,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,75.0,0.16666666666666666,0.07,14.0,7.25,0.049888765156985884,0.1795654296875,0.04198765250598042,0.02452209887699936,0.048624030029361984,0.28823511126959606,gre_physics_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,75.0,0.16666666666666666,0.04666666666666667,13.25,9.0,0.04853406592853679,0.0224609375,0.038873012632302,0.025542992080890694,0.04651403611336642,0.27427795069685,gre_physics_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,75.0,0.16666666666666666,0.08666666666666667,14.25,6.0,0.050332229568471665,0.1795654296875,0.0445554170128076,0.021513131218277245,0.04947726750741193,0.3591968590773878,gre_physics_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,75.0,0.16666666666666666,0.12666666666666668,18.0,3.0,0.0565685424949238,0.8145294189453125,0.04807401700618653,0.029454296045832697,0.05637966536497594,0.07057305370839795,gre_physics_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,75.0,0.16666666666666666,0.07333333333333333,12.5,7.0,0.04714045207910317,0.14599609375,0.04109609335312651,0.020425111632135215,0.045891982677523036,0.4572707781996193,gre_physics_cot
5,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,75.0,0.16666666666666666,0.2613333333333333,22.900000000000002,-7.100000000000001,0.06380525927469546,0.13380050659179688,0.05249338582674541,0.03458417535788855,0.06286191804853508,0.18919926442193447,gre_physics_cot
6,deepseek_r1_distill_llama_70b,google_gemma_2b_it,75.0,0.16666666666666666,0.17666666666666667,20.75,-0.75,0.060736223860961995,1.0,0.04537906190369364,0.040352153552150063,0.060725246442938016,0.04181293593199594,gre_physics_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,75.0,0.16666666666666666,0.16,20.75,0.5,0.060736223860961995,1.0,0.045215533220835116,0.04054444292195728,0.06073134525347102,-0.019111273288648728,gre_physics_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,75.0,0.16666666666666666,0.36,30.1,-14.5,0.07315128919650775,0.005222879350185395,0.04751607914988123,0.050940778978760835,0.06966161597853399,0.021281413268968645,gre_physics_cot
9,deepseek_r1_distill_llama_70b,google_gemma_7b_it,75.0,0.16666666666666666,0.23666666666666666,19.0,-5.25,0.058118652580542315,0.1670684814453125,0.04371625682868001,0.037434387043643894,0.05755383952825775,0.3106462326628111,gre_physics_cot
