,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,515.0,0.043689320388349516,0.018932038834951457,24.0,12.75,0.009512581525371565,0.022655844688415527,0.008482422279664179,0.004165042354923704,0.009449818281260843,0.47305794548111196,jeebench_chat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,515.0,0.043689320388349516,0.012135922330097087,24.5,16.25,0.009611160132632685,0.001543879508972168,0.007946944438711117,0.005223718639797021,0.009510055853659556,0.3118558247321817,jeebench_chat_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,515.0,0.043689320388349516,0.050970873786407765,28.25,-3.75,0.010320529915276358,0.5715881884098053,0.010259461154787933,0.0010741699627314378,0.01031554091143247,0.6458633594675561,jeebench_chat_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,515.0,0.043689320388349516,0.04660194174757282,27.0,-1.5,0.010089616354770159,0.7011080384254456,0.010366095390321661,0.0,0.010088800009742343,0.5778493709064318,jeebench_chat_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,515.0,0.043689320388349516,0.02766990291262136,23.5,8.25,0.00941297059692491,0.21003961563110352,0.008519382900380701,0.003940283723509772,0.00938646476715569,0.5330131963635659,jeebench_chat_cot
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,515.0,0.043689320388349516,0.053721682844660196,47.83333333179999,-5.1666666649999975,0.013429445903504124,0.5600646295802106,0.011460149650051302,0.006987099089623935,0.013422167622623203,-0.0032504976889305903,jeebench_chat_cot
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,515.0,0.043689320388349516,0.06330097087378642,49.300000000000004,-10.100000000000001,0.013633778393430647,0.15240777196147803,0.011922393346026215,0.00655664711406991,0.013606361911834165,0.12009670393914598,jeebench_chat_cot
7,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,515.0,0.043689320388349516,0.13203883495145632,74.5,-45.5,0.016759880098671912,6.221761416347879e-08,0.012806704813857202,0.010085896914522696,0.016301441800026517,0.19309724218227245,jeebench_chat_cot
8,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,515.0,0.043689320388349516,0.0912621359223301,57.5,-24.5,0.014724029988449613,0.001263559472435463,0.0119697359280951,0.008314323223463168,0.014574036807026035,0.20798976036530728,jeebench_chat_cot
9,deepseek_r1_distill_llama_70b,google_gemma_2b_it,515.0,0.043689320388349516,0.04466019417475728,44.5,-0.5,0.012953071906918771,1.0,0.009345973513393948,0.00896844583132598,0.012953001256175711,-0.034964695399844356,jeebench_chat_cot
10,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,515.0,0.043689320388349516,0.04563106796116505,41.5,-1.0,0.012508833715267112,1.0,0.010058427357877056,0.007435834779581833,0.0125085410733198,0.09319554159117151,jeebench_chat_cot
