,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,403.0,0.7196029776674938,0.640818858560794,76.75,31.75,0.021738728868405995,0.0003129786008370502,0.018444254028931146,0.010815729115299601,0.021381545851020277,0.7290159410433049,lsat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,403.0,0.7196029776674938,0.6873449131513648,63.5,13.0,0.01977342115447795,0.12991792302255253,0.01701154987692567,0.009950540880017626,0.019708021032565186,0.7259356636766799,lsat_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,403.0,0.7196029776674938,0.6823821339950372,92.0,15.0,0.023800652721154936,0.1749838984629618,0.016645667326301163,0.016910207979815475,0.023728324312064373,0.5283426786571596,lsat_cot
3,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,403.0,0.7196029776674938,0.739454094292804,80.0,-8.0,0.022194223101734887,0.43404225534547874,0.010527644384911378,0.019513441763722997,0.02217218315280128,0.5279258101629482,lsat_cot
4,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,403.0,0.7196029776674938,0.6377171215880894,88.0,33.0,0.023277497567361933,0.000846496085616675,0.017191571291006225,0.01515431701923052,0.022917317639136767,0.5929338763995678,lsat_cot
5,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,403.0,0.7196029776674938,0.5748552522727046,106.333333333,58.333333334100004,0.025587606779543054,1.3368189650340283e-08,0.014819249683165472,0.019573595052696537,0.024550677881861962,0.5172328832886761,lsat_cot
6,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,403.0,0.7196029776674938,0.5756823821320098,124.6666666664,58.000000000800014,0.027705763812119626,1.8592713687301678e-07,0.016081242427581337,0.021391718633210922,0.026762137136206166,0.4107980532010101,lsat_cot
7,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,403.0,0.7196029776674938,0.7468982630272953,100.0,-11.0,0.02481389578163772,0.2712530240738354,,,0.024776616147606123,0.3893542944584311,lsat_cot
8,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,403.0,0.7196029776674938,0.5645161290322581,116.0,62.5,0.026725383658235752,6.438995104259033e-09,0.01777848243193108,0.018398083707908217,0.02558444687120829,0.506094266716178,lsat_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,403.0,0.7196029776674938,0.6095947063697271,105.9999999993,44.333333333000006,0.02554746933238959,1.3153673146192197e-05,0.018679222151271452,0.01654480340465354,0.0249528327024245,0.5343090236038736,lsat_cot
