,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,google_gemma_3_27b_it,0.8646,0.9006,0.503304969604956,2.0,0.0048387361986369955,0.004026582670205593,0.0026832815729997475
44,qwen3-14b,0.824,0.877,0.4698139057751398,2.0,0.005385610457506188,0.004290081584305828,0.003255764119219941
10,google_gemma_3_12b_it,0.80166666666766,0.8766,0.45180064167573675,3.0,0.005639099612910255,0.004598490090401839,0.003263944443890041
46,qwen3-4b,0.78133333333392,0.8684,0.4358937284704196,3.0,0.005845537709316834,0.004708535983896172,0.0034641016150511517
47,qwen3-8b,0.7777,0.8492,0.43443021276599025,2.0,0.00588018214003614,0.00450294814538209,0.0037815340802378073
45,qwen3-32b,0.7517,0.8606,0.42214654508615557,2.0,0.006109780847133553,0.003943275541982832,0.004666904755831214
13,google_gemma_3_4b_it,0.71515,0.8256,0.38664345744681494,4.0,0.0063829535091523264,0.005256623964104718,0.0036207733980463345
0,deepseek_r1_distill_llama_70b,0.7094,0.7094,0.40700625126647233,1.0,0.006421084643578529,,
5,deepseek_r1_distill_qwen_7b,0.68386666667272,0.8874,0.3911355555588214,3.0,0.0065756071793662205,0.0034735106802135946,0.005583308457516445
1,deepseek_r1_distill_llama_8b,0.65573333333802,0.8704,0.36972396825619747,3.0,0.006719332241933407,0.00366097789018269,0.005634418041384517
43,qwen3-1.7b,0.6298000000009201,0.7686,0.32845453900735216,3.0,0.006828644960748233,0.005245034985670566,0.004372642221705773
3,deepseek_r1_distill_qwen_14b,0.599000000003,0.8366,0.3409336102682312,3.0,0.0069310749526953755,0.0037894326754232223,0.005803447251273678
2,deepseek_r1_distill_qwen_1.5b,0.59033333333722,0.8248,0.32010479567871564,3.0,0.0069547090361594096,0.0038098089776256064,0.005818361739496838
15,llama-3.1-70B-instruct,0.5854666666669599,0.5884,0.29800890577520506,3.0,0.006967000055817981,0.006924768812829092,0.0007659416861859219
4,deepseek_r1_distill_qwen_32b,0.5784,0.5784,0.32619300911855237,1.0,0.006983601363193636,,
39,qwen2.5-coder-32b-instruct,0.5438,0.5438,0.2780495035460349,1.0,0.007043884723645043,,
34,qwen2-72b-instruct,0.5408,0.5408,0.2665007598783638,1.0,0.007047486927976525,,
8,google_gemma_2_9b_it,0.43979999999956,0.5676,0.20009918946229746,3.0,0.007019629050027459,0.005703378414077052,0.004092269134090442
30,qwen1.5-72b-chat,0.4194,0.4194,0.1919407294831685,1.0,0.0069785906886706,,
38,qwen2.5-coder-14b-instruct,0.4142,0.5568,0.19375759371825085,2.0,0.006966180589103329,0.004472993628432753,0.005340411969127476
29,qwen1.5-32b-chat,0.3961,0.5084,0.17849411854092107,2.0,0.0069167158391826395,0.005037951766343143,0.004739198244429115
41,qwen2.5-coder-7b-instruct,0.35346666666528,0.576,0.15952502532745433,3.0,0.006760591427113694,0.004118122118045291,0.005361591803301454
24,mistralai_mixtral_8x22b_instruct_v0.1,0.3315,0.451,0.14421645390059978,2.0,0.006657443202912061,0.004519020911657745,0.004888762624632127
35,qwen2-7b-instruct,0.32813333333197997,0.5326,0.14763710570598587,3.0,0.006640208564321209,0.004210982044488285,0.0051341990610690195
19,mistralai_mathstral_7b_v0.1,0.32739999999822,0.5244,0.1423176224229862,3.0,0.006636403242711907,0.004354520410002817,0.005007993610094366
42,qwen3-0.6b,0.3238,0.5328,0.13999327760879288,4.0,0.006617455099961011,0.004722715885307239,0.004635371254459201
11,google_gemma_3_1b_it,0.3205333333325,0.4546,0.13902913542627446,3.0,0.006599874476916307,0.005122337660865134,0.00416173040923292
18,llama-3.2-3B-instruct,0.3091,0.3108,0.1323955623099152,10.0,0.006535398840162703,0.006511792226415091,0.0005549774770204644
40,qwen2.5-coder-3b-instruct,0.29946666666499994,0.5084,0.13100094562474002,3.0,0.006477443665853896,0.003900078176008966,0.0051717179607292324
16,llama-3.1-8B-instruct,0.286971428571,0.2886,0.12211332320129517,7.0,0.006397168557337214,0.006372108407027606,0.0005656854250128777
28,qwen1.5-14b-chat,0.2855,0.3898,0.11865489868275107,2.0,0.006387327297078176,0.004465193164914593,0.004567274898667695
20,mistralai_ministral_8b_instruct_2410,0.28513333333146,0.477,0.11991396149771238,3.0,0.006384862027557847,0.004053779690465854,0.004932882862192925
25,mistralai_mixtral_8x7b_instruct_v0.1,0.2274,0.327,0.09094273049633021,2.0,0.005927718616803601,0.003901006024091734,0.004463182720884279
6,deepseek_v2_lite_chat,0.2199,0.3206,0.0879212867273449,2.0,0.005857371253386625,0.0037641463839760535,0.004487761134463375
37,qwen2.5-coder-1.5b-instruct,0.19873333333043997,0.3756,0.08054829449308809,3.0,0.005643374798005396,0.003192858559114666,0.004653314230981039
7,google_codegemma_1.1_7b_it,0.18145,0.363,0.07030879179321106,4.0,0.005450245820144263,0.0035517853961071467,0.004134005321718878
31,qwen1.5-7b-chat,0.17559999999705997,0.3298,0.06801801755973345,3.0,0.005380792506649787,0.0032175966186811715,0.004312771730461746
17,llama-3.2-1B-instruct,0.12431666666689999,0.1252,0.04601752364068838,12.0,0.004666091149039651,0.004647512916405909,0.0004159691130197341
14,google_gemma_7b_it,0.11279999999837999,0.1956,0.042459003713888416,3.0,0.004473838620217441,0.0031709985809279537,0.0031559467675330018
23,mistralai_mistral_7b_instruct_v0.3,0.11139999999728,0.2234,0.04048079027189497,3.0,0.004449495252225493,0.0025841842040058216,0.003622154055164413
22,mistralai_mistral_7b_instruct_v0.2,0.09399999999794,0.1808,0.03360492401094119,3.0,0.004127081293076919,0.002613962509328597,0.003193743884454419
33,qwen2-1.5b-instruct,0.08979999999686,0.1996,0.03395286389564735,3.0,0.004043166086062356,0.0019494936094907967,0.003542127420920842
9,google_gemma_2b_it,0.06046666666504,0.1198,0.022859236743418027,3.0,0.0033707699087140003,0.002129653284261655,0.0026127890589034038
36,qwen2.5-coder-0.5b-instruct,0.05225,0.151,0.01947406028365649,4.0,0.003147060136063498,0.0014120862225799103,0.002812472222085047
21,mistralai_mistral_7b_instruct_v0.1,0.0487333333313,0.1126,0.01731826409898184,3.0,0.0030449432032049594,0.0014531617635700714,0.002675817631985035
32,qwen2-0.5b-instruct,0.0392,0.1188,0.01393889817625883,4.0,0.0027445713690847973,0.001136957343087242,0.002497999199359359
27,qwen1.5-1.8b-chat,0.0328666666649,0.0808,0.011532698411886016,3.0,0.0025213666487537405,0.0010695589952756245,0.0022832725052154127
26,qwen1.5-0.5b-chat,0.00435,0.0158,0.0014499924012118086,4.0,0.000930706989336601,0.0002370980809707239,0.0009
