,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
32,qwen3-14b,0.7293333333334001,0.776,0.35854477124177686,3.0,0.019869887882028505,0.018224867016822095,0.007916228057827372
6,google_gemma_3_12b_it,0.6945,0.75,0.33120294117630145,4.0,0.020599502421175128,0.01897382846624968,0.008020806277010644
27,qwen2.5-coder-14b-instruct,0.6813333333336,0.808,0.33986895424810476,3.0,0.020838340731551806,0.01623483223769552,0.013063945294517019
34,qwen3-8b,0.6533333333332,0.73,0.30173660130691654,3.0,0.0212832746018525,0.018752185058003055,0.010066445913442672
0,deepseek_r1_distill_llama_70b,0.641,0.72,0.2893686274508765,2.0,0.0214531582756479,0.017384993528903023,0.012569805089976535
33,qwen3-4b,0.6405,0.714,0.29079387254889855,4.0,0.021459718078297302,0.01948126022617634,0.009
7,google_gemma_3_4b_it,0.6032000000000001,0.68,0.26255450980378586,5.0,0.0218792029105267,0.019977475315965228,0.008921883209278185
16,mistralai_mixtral_8x22b_instruct_v0.1,0.6013333333358001,0.728,0.2644941176481653,3.0,0.02189664611556097,0.01715021217903862,0.01361371857076775
29,qwen2.5-coder-7b-instruct,0.573,0.808,0.26684632352928234,4.0,0.022121075923200482,0.01471989583296476,0.016512621435334447
3,deepseek_r1_distill_qwen_14b,0.533,0.71,0.2211901960783088,4.0,0.022311925062620662,0.01735382762774061,0.014023789311975086
8,llama-3.1-8B-instruct,0.522,0.522,0.21017352941162354,7.0,0.0223390241505756,0.0223390241505756,0.0
17,mistralai_mixtral_8x7b_instruct_v0.1,0.49133333333499996,0.61,0.1931696078432942,3.0,0.022357320451651525,0.018180111233239715,0.013012814196970103
24,qwen2-7b-instruct,0.4805,0.656,0.18727720588221175,4.0,0.022343668006842565,0.017442462555499437,0.013964240043768941
28,qwen2.5-coder-3b-instruct,0.4795,0.706,0.19913946078419853,4.0,0.02234187771875945,0.015345775748828514,0.016237815945091466
31,qwen3-1.7b,0.478,0.59,0.18485514705867354,4.0,0.0223390241505756,0.01948585811984339,0.010923979738782626
10,llama-3.2-3B-instruct,0.458,0.458,0.17284117647045294,8.0,0.022281651644346298,0.022281651644346295,0.0
12,mistralai_ministral_8b_instruct_2410,0.4485,0.638,0.16746789215670002,4.0,0.02224175127996894,0.01672409937784394,0.01466287829861518
11,mistralai_mathstral_7b_v0.1,0.411,0.614,0.147086029411625,4.0,0.022003590616079004,0.01604653649026273,0.015055453054181621
5,deepseek_v2_lite_chat,0.4033333333336,0.558,0.14564052287498477,3.0,0.021938803775758017,0.016532123611974786,0.014422205101495403
20,qwen1.5-14b-chat,0.372,0.496,0.1229323529404351,3.0,0.021615549958305478,0.017375231413564927,0.012858201014335819
15,mistralai_mistral_7b_instruct_v0.3,0.368,0.538,0.12075122549007646,4.0,0.021567382780485908,0.016925877623725553,0.013366625103842282
1,deepseek_r1_distill_llama_8b,0.3425,0.538,0.11843382352929265,4.0,0.02122233493280134,0.015189497468097267,0.01482115605027714
14,mistralai_mistral_7b_instruct_v0.2,0.3405,0.508,0.11312867647044707,4.0,0.021192439689662914,0.01633359013403565,0.013503086067019396
26,qwen2.5-coder-1.5b-instruct,0.328,0.576,0.1133073529410647,4.0,0.02099599961897504,0.01347214410057533,0.01610382977224155
4,deepseek_r1_distill_qwen_7b,0.323,0.558,0.11549975490184854,4.0,0.020912723399882666,0.013760159882792061,0.015748015748023623
21,qwen1.5-7b-chat,0.3193333333322,0.454,0.09958692810321396,3.0,0.020849918731503297,0.016208612251481992,0.01311487704827613
9,llama-3.2-1B-instruct,0.262,0.262,0.08061666666657646,11.0,0.01966499427917537,0.01966499427917537,0.0
25,qwen2.5-coder-0.5b-instruct,0.25,0.48,0.07902647058813647,5.0,0.019364916731037084,0.012609520212918491,0.014696938456699069
30,qwen3-0.6b,0.24080000000000001,0.404,0.06904117647049647,5.0,0.019121472746627025,0.014588718929364565,0.012361229712289956
13,mistralai_mistral_7b_instruct_v0.1,0.2285,0.43,0.06627475490185442,4.0,0.0187769939021133,0.01228449564830943,0.014200938936093862
23,qwen2-1.5b-instruct,0.1245,0.272,0.02995563725486324,4.0,0.014764806128087154,0.009036933476941537,0.011676186592091329
2,deepseek_r1_distill_qwen_1.5b,0.112,0.244,0.028578431372514704,4.0,0.014103616557464968,0.008845639226948686,0.01098483803552272
19,qwen1.5-1.8b-chat,0.07133333333179999,0.142,0.015815032679248008,3.0,0.011510420399583526,0.006963460187245175,0.009165151389682552
22,qwen2-0.5b-instruct,0.06720000000000001,0.192,0.014372156862721178,5.0,0.011196799542726486,0.005913401728277895,0.009507891459203771
18,qwen1.5-0.5b-chat,0.0112,0.042,0.001791960784307059,5.0,0.004706285159231217,0.0018300601083024572,0.0043358966777357595
