,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.641,0.533,115.25,54.0,0.02147091055358389,8.028561762207067e-07,0.018832595855767378,0.009110726279135672,0.020920611845737205,0.7119762070790441,mbpp
1,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.641,0.6945,89.5,-26.75,0.0189208879284245,0.005544959035344681,0.014910846164230027,0.011399217809423007,0.018769003702914015,0.7028852126814698,mbpp
2,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.641,0.6032000000000001,105.69999999999999,18.9,0.0205621010599598,0.07848502733901798,0.015414279094398155,0.013503418826356533,0.02049249423569517,0.6523805317616237,mbpp
3,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,500.0,0.641,0.522,113.5,59.5,0.021307275752662516,2.340613293581683e-08,0.012569805089976535,0.01636086794763652,0.020631965490471332,0.6116697810382731,mbpp
4,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,500.0,0.641,0.458,133.5,91.5,0.023108440016582688,3.316620298377512e-16,0.012569805089976535,0.017579021588245463,0.0216106917982743,0.5627869191137984,mbpp
5,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,500.0,0.641,0.4485,140.0,96.25,0.023664319132398467,4.4887920120309275e-17,0.019313207915827968,0.010624852940158747,0.022042855985556862,0.6577712984860841,mbpp
6,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,500.0,0.641,0.6013333333358001,105.8333333324,19.833333332100004,0.020575065815923894,0.07848502733901798,0.018529256145999675,0.008766590621047378,0.02049844980580489,0.705181843759962,mbpp
7,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,500.0,0.641,0.49133333333499996,128.4999999987,74.8333333325,0.022671568097394585,2.9860859870559856e-11,0.01809235565991523,0.011910770103091942,0.021661019776861284,0.6390293314734079,mbpp
8,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,500.0,0.641,0.4805,134.0,80.25,0.02315167380558045,1.8183331048258316e-12,0.018788294228055936,0.011466451063864527,0.022010895029507548,0.6474150643297598,mbpp
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.641,0.6813333333336,130.8333333328,-20.16666666679999,0.02287647991565136,0.095253411432518,0.018129166187614183,0.013835212723968796,0.022805257678342537,0.5355691538839689,mbpp
10,deepseek_r1_distill_llama_70b,qwen2.5-coder-3b-instruct,500.0,0.641,0.4795,150.5,80.75,0.024535688292770596,3.768666600087516e-11,0.020534523775015252,0.011321167489854275,0.023448571385054566,0.6041059314561756,mbpp
11,deepseek_r1_distill_llama_70b,qwen2.5-coder-7b-instruct,500.0,0.641,0.573,151.25,34.0,0.024596747752497684,0.008986616457699267,0.020752509888364506,0.012848553744812424,0.024408031465073133,0.5368612984481965,mbpp
12,deepseek_r1_distill_llama_70b,qwen3-1.7b,500.0,0.641,0.478,136.5,81.5,0.023366642891095846,7.048816900472416e-13,0.01665332799572906,0.014680894613975905,0.02220049548996598,0.5901929030611253,mbpp
13,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.641,0.7293333333334001,90.16666666680001,-44.1666666667,0.01899122604433953,3.7950491781678e-06,0.014854853303332664,0.011153225741824093,0.018575820603990035,0.6950632536670315,mbpp
14,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.641,0.6405,96.75,0.25,0.019672315572906003,1.0,0.015459624833740306,0.012165504510705671,0.019672302864687703,0.683614840014691,mbpp
15,deepseek_r1_distill_llama_70b,qwen3-8b,500.0,0.641,0.6533333333332,103.5000000001,-6.166666666599994,0.020346989949385632,0.5546010666648732,0.016103829772084237,0.012424268366785937,0.02033951272224053,0.651563006964143,mbpp
16,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,500.0,0.3425,0.533,154.125,-95.25,0.024829418035870274,2.1040062766468492e-15,0.020404247923737188,0.01129540467033681,0.023322081811021928,0.6390306461027628,mbpp
