,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
11552,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,0,4,4,1.0
11553,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,1,4,4,1.0
11554,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,2,4,4,1.0
11555,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,3,4,4,1.0
11556,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,4,4,0,0.0
11557,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,5,4,0,0.0
11558,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,6,4,4,1.0
11559,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,7,4,4,1.0
11560,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,8,4,0,0.0
11561,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,9,4,4,1.0
11562,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,10,4,4,1.0
11563,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,11,4,4,1.0
11564,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,12,4,0,0.0
11565,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,13,4,0,0.0
11566,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,14,4,0,0.0
11567,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,15,4,4,1.0
11568,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,16,4,4,1.0
11569,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,17,4,0,0.0
11570,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,18,4,4,1.0
11571,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,19,4,4,1.0
11572,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,20,4,0,0.0
11573,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,21,4,4,1.0
11574,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,22,4,4,1.0
11575,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,23,4,4,1.0
11576,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,24,4,4,1.0
11577,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,25,4,4,1.0
11578,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,26,4,4,1.0
11579,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,27,4,4,1.0
11580,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,28,4,4,1.0
11581,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,29,4,0,0.0
11582,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,30,4,4,1.0
11583,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,31,4,4,1.0
11584,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,32,4,4,1.0
11585,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,33,4,4,1.0
11586,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,34,4,0,0.0
11587,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,35,4,4,1.0
11588,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,36,4,4,1.0
11589,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,37,4,4,1.0
11590,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,38,4,0,0.0
11591,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,39,4,0,0.0
11592,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,40,4,4,1.0
11593,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,41,4,4,1.0
11594,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,42,4,4,1.0
11595,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,43,4,0,0.0
11596,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,44,4,4,1.0
11597,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,45,4,4,1.0
11598,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,46,4,0,0.0
11599,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,47,4,4,1.0
11600,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,48,4,4,1.0
11601,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,49,4,4,1.0
11602,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,50,4,4,1.0
11603,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,51,4,4,1.0
11604,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,52,4,4,1.0
11605,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,53,4,0,0.0
11606,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,54,4,0,0.0
11607,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,55,4,4,1.0
11608,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,56,4,4,1.0
11609,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,57,4,4,1.0
11610,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,58,4,0,0.0
11611,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,59,4,4,1.0
11612,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,60,4,4,1.0
11613,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,61,4,4,1.0
11614,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,62,4,0,0.0
11615,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,63,4,4,1.0
11616,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,64,4,0,0.0
11617,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,65,4,4,1.0
11618,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,66,4,4,1.0
11619,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,67,4,4,1.0
11620,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,68,4,4,1.0
11621,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,69,4,0,0.0
11622,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,70,4,4,1.0
11623,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,71,4,4,1.0
11624,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,72,4,4,1.0
11625,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,73,4,4,1.0
11626,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,74,4,4,1.0
11627,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,75,4,0,0.0
11628,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,76,4,4,1.0
11629,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,77,4,4,1.0
11630,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,78,4,4,1.0
11631,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,79,4,4,1.0
11632,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,80,4,4,1.0
11633,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,81,4,4,1.0
11634,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,82,4,4,1.0
11635,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,83,4,0,0.0
11636,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,84,4,4,1.0
11637,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,85,4,4,1.0
11638,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,86,4,4,1.0
11639,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,87,4,0,0.0
11640,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,88,4,0,0.0
11641,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,89,4,4,1.0
11642,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,90,4,4,1.0
11643,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,91,4,4,1.0
11644,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,92,4,4,1.0
11645,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,93,4,4,1.0
11646,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,94,4,4,1.0
11647,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,95,4,0,0.0
11648,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,96,4,4,1.0
11649,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,97,4,4,1.0
11650,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,98,4,0,0.0
11651,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,99,4,0,0.0
11652,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,100,4,4,1.0
11653,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,101,4,4,1.0
11654,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,102,4,0,0.0
11655,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,103,4,4,1.0
11656,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,104,4,4,1.0
11657,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,105,4,4,1.0
11658,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,106,4,0,0.0
11659,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,107,4,0,0.0
11660,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,108,4,4,1.0
11661,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,109,4,4,1.0
11662,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,110,4,4,1.0
11663,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,111,4,0,0.0
11664,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,112,4,4,1.0
11665,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,113,4,4,1.0
11666,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,114,4,0,0.0
11667,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,115,4,0,0.0
11668,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,116,4,4,1.0
11669,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,117,4,4,1.0
11670,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,118,4,4,1.0
11671,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,119,4,0,0.0
11672,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,120,4,4,1.0
11673,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,121,4,4,1.0
11674,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,122,4,0,0.0
11675,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,123,4,4,1.0
11676,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,124,4,0,0.0
11677,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,125,4,0,0.0
11678,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,126,4,4,1.0
11679,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,127,4,4,1.0
11680,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,128,4,0,0.0
11681,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,129,4,4,1.0
11682,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,130,4,0,0.0
11683,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,131,4,4,1.0
11684,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,132,4,4,1.0
11685,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,133,4,4,1.0
11686,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,134,4,4,1.0
11687,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,135,4,4,1.0
11688,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,136,4,4,1.0
11689,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,137,4,4,1.0
11690,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,138,4,4,1.0
11691,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,139,4,0,0.0
11692,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,140,4,4,1.0
11693,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,141,4,4,1.0
11694,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,142,4,4,1.0
11695,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,143,4,4,1.0
11696,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,144,4,4,1.0
11697,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,145,4,0,0.0
11698,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,146,4,4,1.0
11699,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,147,4,0,0.0
11700,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,148,4,4,1.0
11701,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,149,4,4,1.0
11702,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,150,4,4,1.0
11703,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,151,4,4,1.0
11704,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,152,4,4,1.0
11705,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,153,4,0,0.0
11706,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,154,4,0,0.0
11707,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,155,4,4,1.0
11708,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,156,4,4,1.0
11709,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,157,4,0,0.0
11710,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,158,4,4,1.0
11711,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,159,4,0,0.0
11712,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,160,4,4,1.0
11713,llama-3.1-70B-instruct,mgsm_cot,1.0,-1,161,4,4,1.0
