,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,12032.0,0.32360926418350233,0.15902039006752824,3450.333333298133,1980.3333333633998,0.004881942991629601,1.492144112392268e-264,0.004107658021362433,0.0021700365682363015,0.004645633770320893,0.45621417056553953,mmlu_pro_cot
1,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,12032.0,0.32360926418350233,0.44744570035497844,3333.7777777332226,-1490.0000000152,0.004798776246017273,3.967222763483493e-152,0.004206798781425336,0.0020140856599056554,0.004664085873227389,0.6334594753621647,mmlu_pro_cot
2,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,12032.0,0.32360926418350233,0.4660904255319149,3418.9999999791,-1714.3333333441003,0.00485972536768585,1.991559169332551e-197,,,0.004682914674274714,0.5340845764615124,mmlu_pro_cot
3,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,12032.0,0.32360926418350233,0.3151041666654006,3114.777777727689,102.33333333780001,0.004638480236845843,0.07028935637583827,0.004213361654029166,0.0019383163970440487,0.004637832131793173,0.6017682528656277,mmlu_pro_cot
4,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,12032.0,0.32360926418350233,0.2613447473404255,3474.1666666449,749.1666666558997,0.00489877509538617,4.399373708731862e-37,0.004327265929916475,0.002224983985905635,0.004865776830656377,0.45231768762156294,mmlu_pro_cot
5,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,12032.0,0.32360926418350233,0.27002992021276595,3649.9999999797,644.6666666558997,0.005021212588747079,1.1489064244563246e-26,,,0.004997397649438857,0.3400012402243305,mmlu_pro_cot
6,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,12032.0,0.32360926418350233,0.4152468417553192,3508.9166666457004,-1102.5833333441005,0.004923213886527087,2.0528496016959584e-78,0.003953488351436053,0.002812479124950338,0.0048518150184463935,0.5447024413625517,mmlu_pro_cot
7,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,12032.0,0.32360926418350233,0.37466755319148937,3534.9999999787,-614.3333333441001,0.004941478223454111,4.767162051017344e-25,0.0030062242926734463,0.003894117945893772,0.004919505978692565,0.4373251435187268,mmlu_pro_cot
8,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,12032.0,0.32360926418350233,0.16489361702127658,3794.9999999835,1909.6666666558997,0.005119977669956104,9.903940142580553e-221,0.0030062242926734463,0.003883702935440797,0.00491126592525913,0.23373205633411706,mmlu_pro_cot
9,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,12032.0,0.32360926418350233,0.2921376329787234,3517.9999999775,378.66666665590014,0.004929581990122839,1.7718610203395442e-10,0.0030062242926734463,0.003896289900177865,0.004921225404722689,0.38588750892257323,mmlu_pro_cot
