,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,aime2024_cot,30,51,2082,164,11,0,"{'count': 14.0, 'mean': 0.073673423, 'std': 0.0093137065, 'min': 0.0586104529, '25%': 0.0683740825, '50%': 0.073539582, '75%': 0.079845517, 'max': 0.0887672779}","{'count': 14.0, 'mean': 0.0625831526, 'std': 0.0087478272, 'min': 0.0452360066, '25%': 0.0589073973, '50%': 0.0645775474, '75%': 0.0675626068, 'max': 0.0750925355}","{'count': 14.0, 'mean': 0.0371098978, 'std': 0.0124299795, 'min': 0.0, '25%': 0.0325394792, '50%': 0.0378789088, '75%': 0.0443572971, 'max': 0.05}","{'count': 164.0, 'mean': 0.0759369413, 'std': 0.0078264259, 'min': 0.0591412308, '25%': 0.0698027792, '50%': 0.0763290583, '75%': 0.0814225376, 'max': 0.092357108}","{'count': 164.0, 'mean': 0.0301656097, 'std': 0.0207996521, 'min': 0.0, '25%': 0.0121716124, '50%': 0.0332296189, '75%': 0.0434613494, 'max': 0.0730296743}","{'count': 164.0, 'mean': 0.0666548332, 'std': 0.0124939055, 'min': 0.0372677996, '25%': 0.0600925213, '50%': 0.0663176169, '75%': 0.0745355992, 'max': 0.0942809042}","{'count': 164.0, 'mean': 0.0776549064, 'std': 0.0087081176, 'min': 0.0600925213, '25%': 0.0707106781, '50%': 0.078173596, '75%': 0.0833333333, 'max': 0.0986013297}","{'count': 164.0, 'mean': 0.6484192586, 'std': 0.1330454832, 'min': 0.191942974, '25%': 0.5694937564, '50%': 0.6603171425, '75%': 0.7544014435, 'max': 0.9244338492}","{'count': 164.0, 'mean': 5.4950880759, 'std': 1.223541017, 'min': 3.25, '25%': 4.5, '50%': 5.4999999999, '75%': 6.25, 'max': 8.75}",
1,jeebench_chat_cot,515,49,2170,124,97,31,"{'count': 13.0, 'mean': 0.0168799376, 'std': 0.002038197, 'min': 0.0140758372, '25%': 0.0149175456, '50%': 0.0172291227, '75%': 0.018337122, 'max': 0.0195163849}","{'count': 13.0, 'mean': 0.0133529732, 'std': 0.0018891018, 'min': 0.0100200225, '25%': 0.0116630466, '50%': 0.0136778146, '75%': 0.015140544, 'max': 0.0155396351}","{'count': 13.0, 'mean': 0.0102744522, 'std': 0.0013192452, 'min': 0.0077669903, '25%': 0.0098857647, '50%': 0.0102747624, '75%': 0.011395998, 'max': 0.0123147557}","{'count': 124.0, 'mean': 0.0208701445, 'std': 0.0011746912, 'min': 0.0187800616, '25%': 0.0196747961, '50%': 0.0210080327, '75%': 0.02169976, 'max': 0.023265023}","{'count': 124.0, 'mean': 0.0098707263, 'std': 0.0022771187, 'min': 0.0036156747, '25%': 0.0085452316, '50%': 0.0101876921, '75%': 0.0113737974, 'max': 0.0139338558}","{'count': 124.0, 'mean': 0.0182320655, 'std': 0.0014016573, 'min': 0.0149358974, '25%': 0.0171563773, '50%': 0.018352682, '75%': 0.0192957349, 'max': 0.0207624789}","{'count': 124.0, 'mean': 0.0210348269, 'std': 0.0012262101, 'min': 0.0187925322, '25%': 0.0197145559, '50%': 0.0212670854, '75%': 0.0219325811, 'max': 0.023595762}","{'count': 124.0, 'mean': 0.3637404108, 'std': 0.1404669846, 'min': 0.1269189331, '25%': 0.2371174358, '50%': 0.3519538863, '75%': 0.441376976, 'max': 0.6501720027}","{'count': 124.0, 'mean': 117.748073476, 'std': 13.6544119747, 'min': 93.6666666656, '25%': 103.0833333323, '50%': 119.9583333325, '75%': 127.5833333328, 'max': 147.6666666653}",
2,gsm8k_plus_cot,10552,52,1244,154,156,655,"{'count': 48.0, 'mean': 0.004424683, 'std': 0.0004172341, 'min': 0.0031195415, '25%': 0.0042560751, '50%': 0.0045375769, '75%': 0.0047734805, 'max': 0.0048673428}","{'count': 48.0, 'mean': 0.0037684249, 'std': 0.0005030988, 'min': 0.0022256648, '25%': 0.0035660749, '50%': 0.0038130447, '75%': 0.0040123812, 'max': 0.0048673428}","{'count': 48.0, 'mean': 0.0020773975, 'std': 0.0010023813, 'min': 0.0, '25%': 0.0016146149, '50%': 0.0024500879, '75%': 0.0027695362, 'max': 0.0033932809}","{'count': 154.0, 'mean': 0.0047681976, 'std': 0.000664349, 'min': 0.0029844129, '25%': 0.0041804181, '50%': 0.0049896812, '75%': 0.0052335072, 'max': 0.0059107993}","{'count': 130.0, 'mean': 0.0024097041, 'std': 0.0008155285, 'min': 0.0009888151, '25%': 0.0018050561, '50%': 0.0022520182, '75%': 0.0027064209, 'max': 0.004505695}","{'count': 130.0, 'mean': 0.0041151664, 'std': 0.000844508, 'min': 0.0019818533, '25%': 0.0035153975, '50%': 0.0043205619, '75%': 0.0047611284, 'max': 0.0054649759}","{'count': 154.0, 'mean': 0.0047702267, 'std': 0.0006649485, 'min': 0.0029845892, '25%': 0.0041805809, '50%': 0.0049949522, '75%': 0.005234491, 'max': 0.0059143226}","{'count': 154.0, 'mean': 0.5782708601, 'std': 0.0911456845, 'min': 0.3624420017, '25%': 0.5136885571, '50%': 0.578540763, '75%': 0.6240760223, 'max': 0.8297424821}","{'count': 154.0, 'mean': 2582.5678210478, 'std': 673.724030361, 'min': 991.8333333279, '25%': 1946.0, '50%': 2777.9999999393, '75%': 3050.8333333004, 'max': 3894.7499999766}",
3,math_cot,5000,48,886,148,97,36,"{'count': 40.0, 'mean': 0.0062594637, 'std': 0.0007442118, 'min': 0.0044494953, '25%': 0.0058544129, '50%': 0.0065064213, '75%': 0.0068506627, 'max': 0.0070474869}","{'count': 40.0, 'mean': 0.0053689009, 'std': 0.0009318211, 'min': 0.0033243558, '25%': 0.0049082411, '50%': 0.0051507371, '75%': 0.0059030694, 'max': 0.0070474869}","{'count': 40.0, 'mean': 0.0027834069, 'std': 0.0015365151, 'min': 0.0, '25%': 0.0022009713, '50%': 0.0032647755, '75%': 0.0038531487, 'max': 0.0047506725}","{'count': 148.0, 'mean': 0.0072935787, 'std': 0.0008326945, 'min': 0.0052977613, '25%': 0.0070558686, '50%': 0.0073262788, '75%': 0.0076393647, 'max': 0.0089731926}","{'count': 126.0, 'mean': 0.0033882185, 'std': 0.0014780033, 'min': 0.0013389601, '25%': 0.0022038661, '50%': 0.0030875429, '75%': 0.0048599699, 'max': 0.0068700016}","{'count': 126.0, 'mean': 0.0060525213, 'std': 0.0012891433, 'min': 0.0007924645, '25%': 0.0050610761, '50%': 0.0064477386, '75%': 0.0070653036, 'max': 0.0082178667}","{'count': 148.0, 'mean': 0.0072994469, 'std': 0.0008330264, 'min': 0.0052977983, '25%': 0.0070558993, '50%': 0.0073388602, '75%': 0.0076428616, 'max': 0.0089747795}","{'count': 148.0, 'mean': 0.5002629202, 'std': 0.1147670054, 'min': 0.1773320594, '25%': 0.4497384122, '50%': 0.5289230483, '75%': 0.5771916673, 'max': 0.7116084047}","{'count': 148.0, 'mean': 1349.2792363666, 'std': 300.3629257291, 'min': 701.6666666482, '25%': 1244.6428571425, '50%': 1346.4722222049, '75%': 1460.3333333084, 'max': 2013.6666666553}",
4,ds1000,1000,39,1220,224,324,3,"{'count': 22.0, 'mean': 0.0123074809, 'std': 0.0017395055, 'min': 0.0096940704, '25%': 0.0109439087, '50%': 0.0119462175, '75%': 0.0139403092, 'max': 0.0153973988}","{'count': 22.0, 'mean': 0.010267872, 'std': 0.0018362049, 'min': 0.0076532632, '25%': 0.0089014348, '50%': 0.0096084842, '75%': 0.0113945788, 'max': 0.0136264408}","{'count': 22.0, 'mean': 0.0065759667, 'std': 0.0016090957, 'min': 0.0007824608, '25%': 0.0059686121, '50%': 0.0069063174, '75%': 0.0074245637, 'max': 0.0085403454}","{'count': 224.0, 'mean': 0.0129015223, 'std': 0.0007885829, 'min': 0.010846766, '25%': 0.0124697133, '50%': 0.0128873096, '75%': 0.0132303604, 'max': 0.0154657415}","{'count': 224.0, 'mean': 0.0065745371, 'std': 0.0017922361, 'min': 0.0028296238, '25%': 0.0052067156, '50%': 0.0063908876, '75%': 0.0077470236, 'max': 0.0114110743}","{'count': 224.0, 'mean': 0.0108843481, 'std': 0.001478778, 'min': 0.0058350338, '25%': 0.0103148236, '50%': 0.0112583302, '75%': 0.0119303534, 'max': 0.0132287566}","{'count': 224.0, 'mean': 0.0129468505, 'std': 0.0007930078, 'min': 0.0109239797, '25%': 0.012504999, '50%': 0.012920084, '75%': 0.0132900339, 'max': 0.0154730949}","{'count': 224.0, 'mean': 0.5756840172, 'std': 0.0879889862, 'min': 0.3234701046, '25%': 0.5163743837, '50%': 0.5949383316, '75%': 0.6493888124, 'max': 0.7249709874}","{'count': 224.0, 'mean': 168.2469908585, 'std': 20.9813497937, 'min': 119.3333333329, '25%': 156.375, '50%': 166.9285714286, '75%': 176.625, 'max': 239.4166666664}",
5,mmlu_pro_cot,12032,45,1144,158,52,1520,"{'count': 41.0, 'mean': 0.0041780924, 'std': 0.0004099255, 'min': 0.0029177941, '25%': 0.0040475252, '50%': 0.0042800886, '75%': 0.0044923186, 'max': 0.0045505602}","{'count': 41.0, 'mean': 0.0036169577, 'std': 0.0006603141, 'min': 0.001950018, '25%': 0.0032610792, '50%': 0.0038094336, '75%': 0.0040475252, 'max': 0.0045477861}","{'count': 41.0, 'mean': 0.0017487209, 'std': 0.001039699, 'min': 0.0, '25%': 0.0015442906, '50%': 0.0022855298, '75%': 0.0024158056, 'max': 0.0027603986}","{'count': 158.0, 'mean': 0.0048997442, 'std': 0.0002589255, 'min': 0.0038496757, '25%': 0.0048124777, '50%': 0.0049392641, '75%': 0.0050728963, 'max': 0.0052959304}","{'count': 111.0, 'mean': 0.0026252261, 'std': 0.0008020959, 'min': 0.0013384432, '25%': 0.0019774381, '50%': 0.0024282993, '75%': 0.0032543541, 'max': 0.0043626427}","{'count': 111.0, 'mean': 0.0040216861, 'std': 0.0006508529, 'min': 0.0022791405, '25%': 0.0035587501, '50%': 0.0042668504, '75%': 0.0044773604, 'max': 0.0047584625}","{'count': 158.0, 'mean': 0.0049015856, 'std': 0.0002591351, 'min': 0.003853283, '25%': 0.0048154608, '50%': 0.0049438075, '75%': 0.0050748352, 'max': 0.0052998511}","{'count': 158.0, 'mean': 0.4382856473, 'std': 0.1012814793, 'min': 0.111708793, '25%': 0.3826497996, '50%': 0.4496627398, '75%': 0.5027520749, 'max': 0.6918116276}","{'count': 158.0, 'mean': 3487.8139943439, 'std': 355.2982773646, 'min': 2149.5, '25%': 3356.9999999915, '50%': 3538.333333324, '75%': 3728.375, 'max': 4066.3333332837}",
6,human_eval_plus,164,51,1138,976,11,1,"{'count': 44.0, 'mean': 0.0355066675, 'std': 0.0032943405, 'min': 0.0264843913, '25%': 0.033461062, '50%': 0.0364139924, '75%': 0.0383133482, 'max': 0.0390418073}","{'count': 44.0, 'mean': 0.0290397347, 'std': 0.0050024091, 'min': 0.0187134794, '25%': 0.0250315806, '50%': 0.0300265325, '75%': 0.0322948689, 'max': 0.0390405371}","{'count': 44.0, 'mean': 0.018824874, 'std': 0.0070947886, 'min': 0.0, '25%': 0.015631204, '50%': 0.0205305267, '75%': 0.0238310322, 'max': 0.0295196901}","{'count': 976.0, 'mean': 0.0427480216, 'std': 0.0045491696, 'min': 0.0275575387, '25%': 0.0396893847, '50%': 0.04292985, '75%': 0.0462803768, 'max': 0.0522751536}","{'count': 976.0, 'mean': 0.0225350467, 'std': 0.0074221493, 'min': 0.0, '25%': 0.0173506239, '50%': 0.0225583572, '75%': 0.0282089961, 'max': 0.0394059391}","{'count': 976.0, 'mean': 0.035070566, 'std': 0.0074936844, 'min': 0.0, '25%': 0.0300244254, '50%': 0.0362450295, '75%': 0.04071382, 'max': 0.0495368195}","{'count': 976.0, 'mean': 0.0435606398, 'std': 0.0046201716, 'min': 0.0276078815, '25%': 0.0406129037, '50%': 0.0438643127, '75%': 0.0471453217, 'max': 0.0522756957}","{'count': 976.0, 'mean': 0.4371683653, 'std': 0.1250922268, 'min': 0.0631506101, '25%': 0.3492410938, '50%': 0.4393327514, '75%': 0.5276236529, 'max': 0.7435690598}","{'count': 976.0, 'mean': 51.6094825819, 'std': 10.5936444126, 'min': 20.4999999999, '25%': 44.3624999999, '50%': 51.75, '75%': 59.78125, 'max': 73.5}",
7,lsat_cot,403,42,892,698,1,46,"{'count': 42.0, 'mean': 0.0232379559, 'std': 0.0016882669, 'min': 0.0196225349, '25%': 0.0219304255, '50%': 0.0238182665, '75%': 0.0247219819, 'max': 0.0249040135}","{'count': 42.0, 'mean': 0.0191212148, 'std': 0.0038717241, 'min': 0.0089867513, '25%': 0.0180504181, '50%': 0.0199804792, '75%': 0.0216706662, 'max': 0.0248895153}","{'count': 42.0, 'mean': 0.0116448068, 'std': 0.0052522439, 'min': 0.0, '25%': 0.0095500633, '50%': 0.0125027073, '75%': 0.0158944177, 'max': 0.0179073137}","{'count': 698.0, 'mean': 0.0278574869, 'std': 0.0026177231, 'min': 0.0191749664, '25%': 0.0260253234, '50%': 0.0287336175, '75%': 0.0298856802, 'max': 0.0315804387}","{'count': 676.0, 'mean': 0.0171950088, 'std': 0.0044521745, 'min': 0.001087178, '25%': 0.0141521261, '50%': 0.0171665576, '75%': 0.0201211312, 'max': 0.0281225435}","{'count': 676.0, 'mean': 0.0213017487, 'std': 0.0044333959, 'min': 0.0, '25%': 0.0185067067, '50%': 0.0208594214, '75%': 0.0249890427, 'max': 0.02834655}","{'count': 698.0, 'mean': 0.0281567838, 'std': 0.0026881486, 'min': 0.019247438, '25%': 0.0263304736, '50%': 0.0290094489, '75%': 0.0301874071, 'max': 0.0323771423}","{'count': 698.0, 'mean': 0.4050948393, 'std': 0.1636990837, 'min': -0.0719569502, '25%': 0.3347555872, '50%': 0.4311354301, '75%': 0.5197255543, 'max': 0.7806211705}","{'count': 698.0, 'mean': 129.9304910853, 'std': 23.5641960722, 'min': 60.1666666661, '25%': 112.5972222219, '50%': 136.6749999999, '75%': 148.0, 'max': 170.25}",
8,human_eval,164,51,1056,942,2,0,"{'count': 45.0, 'mean': 0.0351339824, 'std': 0.0038184194, 'min': 0.025133842, '25%': 0.0323214223, '50%': 0.0359979661, '75%': 0.0382929861, 'max': 0.0390252907}","{'count': 45.0, 'mean': 0.0281583151, 'std': 0.0047621195, 'min': 0.0161935568, '25%': 0.0249879702, '50%': 0.0278388967, '75%': 0.0320891189, 'max': 0.0385496621}","{'count': 45.0, 'mean': 0.0194962588, 'std': 0.0073959413, 'min': 0.0, '25%': 0.0154708713, '50%': 0.0211225708, '75%': 0.0243425601, 'max': 0.0305639294}","{'count': 942.0, 'mean': 0.0438788554, 'std': 0.0050020628, 'min': 0.0271978999, '25%': 0.0408780403, '50%': 0.0443639339, '75%': 0.0474146326, 'max': 0.0545917369}","{'count': 942.0, 'mean': 0.0223792111, 'std': 0.0073311885, 'min': 0.0, '25%': 0.0167520866, '50%': 0.0223599768, '75%': 0.0276368638, 'max': 0.0399326096}","{'count': 942.0, 'mean': 0.0365615072, 'std': 0.0076978721, 'min': 0.0, '25%': 0.0316960705, '50%': 0.0376702297, '75%': 0.0424554741, 'max': 0.0511977306}","{'count': 942.0, 'mean': 0.0447489594, 'std': 0.0050299797, 'min': 0.0273825073, '25%': 0.0417471338, '50%': 0.0452207225, '75%': 0.0482054521, 'max': 0.055215763}","{'count': 942.0, 'mean': 0.4060688161, 'std': 0.13213765, 'min': 0.0124200709, '25%': 0.3183056758, '50%': 0.4204993063, '75%': 0.5058298063, 'max': 0.7042445821}","{'count': 942.0, 'mean': 54.5381811747, 'std': 11.8048178142, 'min': 20.1666666666, '25%': 46.8749999998, '50%': 54.9999999992, '75%': 62.4999999999, 'max': 82.0}",
9,leetcode,180,51,2372,8,70,0,"{'count': 4.0, 'mean': 0.0306950809, 'std': 0.004288463, 'min': 0.0266145324, '25%': 0.0281303647, '50%': 0.0298115253, '75%': 0.0323762415, 'max': 0.0365427407}","{'count': 4.0, 'mean': 0.0257221172, 'std': 0.0047933218, 'min': 0.0204690371, '25%': 0.0235299663, '50%': 0.0251884025, '75%': 0.0273805534, 'max': 0.0320426266}","{'count': 4.0, 'mean': 0.0166106204, 'std': 0.0012697529, 'min': 0.0147405546, '25%': 0.0164428977, '50%': 0.0170668588, '75%': 0.0172345815, 'max': 0.0175682092}","{'count': 8.0, 'mean': 0.0349861113, 'std': 0.0027954537, 'min': 0.0325073591, '25%': 0.0327105654, '50%': 0.0342360454, '75%': 0.0365115912, 'max': 0.0389649951}","{'count': 8.0, 'mean': 0.0180356505, 'std': 0.0049363691, 'min': 0.0101091438, '25%': 0.017514549, '50%': 0.0201898168, '75%': 0.0207109183, 'max': 0.0216538248}","{'count': 8.0, 'mean': 0.0296266678, 'std': 0.0027296917, 'min': 0.0256399572, '25%': 0.0283790332, '50%': 0.0302362684, '75%': 0.031483903, 'max': 0.0323941772}","{'count': 8.0, 'mean': 0.0357087311, 'std': 0.0036312547, 'min': 0.032584174, '25%': 0.0330590867, '50%': 0.0345248238, '75%': 0.0371744682, 'max': 0.0412011027}","{'count': 8.0, 'mean': 0.4749984385, 'std': 0.0618122997, 'min': 0.3991594551, '25%': 0.451719483, '50%': 0.469445646, '75%': 0.4927246014, 'max': 0.5619430068}","{'count': 8.0, 'mean': 41.6875, 'std': 8.7111074415, 'min': 34.4, '25%': 35.4125, '50%': 38.675, '75%': 44.95, 'max': 55.0000000001}",
