,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,claude-3-opus-20240229,claude-3-opus-20240229+cot,800.0,0.6425,0.73375,171.0,-73.0,0.016345871038277525,2.2682561847150196e-08,,,0.016024334522063623,0.5184067923971416,CRUXEval-input-T0.2
1,claude-3-opus-20240229,codellama-13b+cot,800.0,0.6425,0.47425000000000006,297.2,134.59999999999997,0.02154936193950995,6.534124936660379e-15,,,0.020712071887549057,0.32353753986110456,CRUXEval-input-T0.2
2,claude-3-opus-20240229,codellama-34b,800.0,0.6425,0.47212499999999996,259.3,136.3,0.020128493485603933,1.4640582873027306e-17,,,0.019206032886016574,0.41907088549462673,CRUXEval-input-T0.2
3,claude-3-opus-20240229,codellama-34b+cot,800.0,0.6425,0.5011249999999999,278.9,113.1,0.020875374248142235,6.2198450819635715e-12,,,0.020268143395948974,0.3704810081365108,CRUXEval-input-T0.2
4,claude-3-opus-20240229,codetulu-2-34b,800.0,0.6425,0.4925,241.20000000000002,120.00000000000003,0.019413268658317176,8.163132608364069e-15,,,0.0186748493969831,0.45499308788660164,CRUXEval-input-T0.2
5,claude-3-opus-20240229,deepseek-base-33b,800.0,0.6425,0.465125,263.5,141.89999999999998,0.020290853850934907,8.144756102822307e-19,,,0.019297445082672216,0.41240337305556574,CRUXEval-input-T0.2
6,claude-3-opus-20240229,deepseek-instruct-33b,800.0,0.6425,0.465,263.2,142.0,0.02027929979067325,8.144756102822307e-19,,,0.019283858210949384,0.40737733433292556,CRUXEval-input-T0.2
7,claude-3-opus-20240229,gpt-3.5-turbo-0613,800.0,0.6425,0.490375,240.09999999999997,121.69999999999997,0.019368950668531323,4.099016169465006e-15,,,0.018607222535046705,0.4452477197758011,CRUXEval-input-T0.2
8,claude-3-opus-20240229,gpt-3.5-turbo-0613+cot,800.0,0.6425,0.503125,258.9,111.49999999999999,0.020112962238317857,2.177284136317913e-12,,,0.01949998747996393,0.46754509943874467,CRUXEval-input-T0.2
9,claude-3-opus-20240229,gpt-4-0613,800.0,0.6425,0.698125,146.3,-44.5,0.015119317114208565,0.00017503283959185124,,,0.014990866359845584,0.6139556347571661,CRUXEval-input-T0.2
