,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
19,gpt-4-0613+cot,0.7365,0.9225,0.4278220833333333,10.0,0.015575130416789453,0.011664343518699292,0.010321229470260691
18,gpt-4-0613,0.68,0.79375,0.37619041666666664,10.0,0.01649242250247064,0.014696702200002406,0.0074837787543756565
16,gpt-3.5-turbo-0613,0.456625,0.69375,0.2096075,10.0,0.017611026708251567,0.014495892542635617,0.010000868017882802
26,phind,0.444,0.695,0.19790583333333334,10.0,0.017566445286397586,0.013904565597113937,0.010735131836896814
17,gpt-3.5-turbo-0613+cot,0.44299999999999995,0.83125,0.21842166666666665,10.0,0.017562424377061386,0.010978255022239798,0.013708270009985457
9,codetulu-2-34b,0.43912499999999993,0.7575,0.19361916666666665,10.0,0.017546161773127192,0.013053166438832423,0.011725299095924542
14,deepseek-instruct-33b,0.427875,0.70375,0.1890579166666667,10.0,0.017492783668380227,0.013756598716489763,0.01080525206657495
3,codellama-34b+cot,0.42737500000000006,0.8225,0.20229875,10.0,0.017490197589471367,0.0109776002005536,0.013616141360736366
2,codellama-34b,0.41112499999999996,0.74875,0.17713416666666668,10.0,0.017396164605129202,0.012565307781165436,0.01203077650583425
20,magicoder-ds-7b,0.400875,0.7025,0.17050041666666668,10.0,0.017326794076480218,0.013174539362467076,0.011253857363391255
11,deepseek-base-33b,0.39637500000000003,0.74125,0.17054375,10.0,0.01729385220876916,0.012524873776116024,0.011924967971072759
30,wizard-34b,0.386875,0.63375,0.16066583333333334,10.0,0.017219274606345935,0.013801417043666003,0.010296810455454424
7,codellama-python-34b,0.36950000000000005,0.66625,0.15087333333333333,10.0,0.017064940301682863,0.012726982218455753,0.011368206151856639
12,deepseek-base-6.7b,0.368875,0.705,0.1550716666666667,10.0,0.017058950523662058,0.0120639563563845,0.012061042658078943
1,codellama-13b+cot,0.36375,0.7825,0.16363625,10.0,0.017008671960943925,0.010215887935928253,0.01359891744057429
0,codellama-13b,0.3525,0.71,0.14297583333333333,10.0,0.016890964670497655,0.011710890883181252,0.012172087833326796
15,deepseek-instruct-6.7b,0.346625,0.595,0.139635,10.0,0.016825431249116618,0.013302881811717633,0.010301867414319708
22,mixtral-8x7b,0.327875,0.68875,0.13245125,10.0,0.016597175376212366,0.011509246641137193,0.01195840592312463
6,codellama-python-13b,0.32475000000000004,0.65625,0.12778083333333334,10.0,0.016556246460928275,0.011661230504325005,0.011752659273543159
29,wizard-13b,0.322125,0.58625,0.12501041666666668,10.0,0.0165212168277264,0.012791703905347533,0.010455759975566897
8,codellama-python-7b,0.316,0.66375,0.12604291666666667,10.0,0.016437153038163267,0.011464292389851194,0.011779218989389746
5,codellama-7b+cot,0.3005,0.73375,0.12945625,10.0,0.016209555438074175,0.00922555139875721,0.013328123982349838
4,codellama-7b,0.28350000000000003,0.63125,0.10640166666666666,10.0,0.015934543843486703,0.011235482917475729,0.011299274804654992
21,mistral-7b,0.27587500000000004,0.62375,0.10326708333333333,10.0,0.015802214416617374,0.010918173301726244,0.011423811632823007
27,starcoderbase-16b,0.25762500000000005,0.59125,0.09509875,10.0,0.015461822312352127,0.010918983433394794,0.010947317022905658
25,phi-2,0.256875,0.6075,0.1035375,10.0,0.015447096587020813,0.01033055815808802,0.011484439956354472
28,starcoderbase-7b,0.254,0.56125,0.09184750000000001,10.0,0.015390094216735649,0.01107334136062322,0.01068812944865055
13,deepseek-instruct-1.3b,0.240375,0.46625,0.09065166666666666,10.0,0.015107732265920985,0.01196771545064633,0.009220485947666267
10,deepseek-base-1.3b,0.22487500000000002,0.54125,0.08253916666666666,10.0,0.014760853395679736,0.010273219698261591,0.010599233462850039
24,phi-1.5,0.1605,0.4775,0.06367208333333334,10.0,0.012977853732416621,0.008022604782737338,0.010201102881551582
23,phi-1,0.126,0.25375,0.04026833333333334,10.0,0.011732646760215702,0.009641965567248206,0.006684870978560469
