,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
19,gpt-4-0613+cot,0.77225,0.9075,0.42025708333333334,10.0,0.01482733697853394,0.012097230155310577,0.008573619098399722
18,gpt-4-0613,0.68,0.75125,0.33842083333333334,10.0,0.01649242250247064,0.015627610892974726,0.005270462766947299
17,gpt-3.5-turbo-0613+cot,0.56475,0.8225,0.25686916666666665,10.0,0.01752881333333777,0.013389293699216882,0.01131309467436347
14,deepseek-instruct-33b,0.484,0.66125,0.18294291666666668,10.0,0.01766861624462991,0.015311333855822113,0.008817202252163413
16,gpt-3.5-turbo-0613,0.47475,0.63625,0.1804279166666667,10.0,0.01765511390150174,0.01562699737233612,0.008215838362577492
11,deepseek-base-33b,0.4545,0.67125,0.16103416666666667,10.0,0.01760432297760979,0.014779009843167587,0.00956520023604083
9,codetulu-2-34b,0.43762500000000004,0.64,0.14892041666666667,10.0,0.017539575229142523,0.014935552450328973,0.009195975871120053
3,codellama-34b+cot,0.42762500000000003,0.77,0.1651175,10.0,0.01749149290994768,0.012113363456065784,0.01261819123329489
20,magicoder-ds-7b,0.417,0.63125,0.13786625,10.0,0.01743240516968327,0.014699532305485097,0.009370832406995657
30,wizard-34b,0.41387500000000005,0.585,0.13309666666666667,10.0,0.017413446111231114,0.015256452912415456,0.008394566695190408
15,deepseek-instruct-6.7b,0.4046249999999999,0.57,0.12899583333333334,10.0,0.017353083637173826,0.015212647718514974,0.00834894371229745
7,codellama-python-34b,0.39712500000000006,0.57875,0.12276875,10.0,0.01729944848741572,0.014973938514479637,0.008663260548623326
2,codellama-34b,0.39325000000000004,0.61625,0.12291333333333333,10.0,0.017270076631995587,0.014294472210049898,0.00969141945801084
26,phind,0.388625,0.57375,0.12175833333333333,10.0,0.017233528707689263,0.014745458266752097,0.008919976021392783
12,deepseek-base-6.7b,0.3827499999999999,0.605,0.11796,10.0,0.017184747506873647,0.014165548669120523,0.009728965915130845
29,wizard-13b,0.368875,0.58,0.10895041666666666,10.0,0.017058950523662058,0.014320881749384744,0.009269311672874578
6,codellama-python-13b,0.3635,0.58125,0.10696791666666666,10.0,0.017006166161131087,0.014057470088098278,0.009570643772611236
22,mixtral-8x7b,0.362875,0.60875,0.10825791666666666,10.0,0.016999879939833398,0.01380617620132683,0.00991894231592596
0,codellama-13b,0.36075,0.61,0.10542,10.0,0.016978274260801656,0.013846805375147809,0.00982485510212633
1,codellama-13b+cot,0.34924999999999995,0.70125,0.12054875,10.0,0.01685505997838631,0.011260611893158086,0.012541597452743677
8,codellama-python-7b,0.323875,0.55125,0.08909958333333333,10.0,0.016544636002908918,0.013524385688323435,0.009529741456210774
4,codellama-7b,0.3095,0.5525,0.08223791666666667,10.0,0.016344331968606123,0.01309228860181952,0.009784128303873917
27,starcoderbase-16b,0.30725,0.54,0.08169333333333334,10.0,0.0163113241913402,0.013326180047289539,0.009405967373014974
21,mistral-7b,0.301,0.555,0.08193583333333333,10.0,0.016217236201030064,0.0126893492084241,0.01009847348200047
25,phi-2,0.297375,0.52875,0.08175041666666667,10.0,0.01616102987803531,0.012966907583317835,0.009645630847406739
5,codellama-7b+cot,0.291125,0.64625,0.0899325,10.0,0.01606125907171508,0.010580157721565139,0.012084051702783946
28,starcoderbase-7b,0.289,0.5125,0.07298208333333334,10.0,0.016026501489720082,0.013058686976704648,0.009290825821445822
13,deepseek-instruct-1.3b,0.27425,0.45125,0.07414916666666667,10.0,0.015773273974511445,0.01341942227136557,0.008289467882667606
10,deepseek-base-1.3b,0.25925,0.49375,0.06937083333333334,10.0,0.015493524352935325,0.011936492467662164,0.009877724659274749
24,phi-1.5,0.21675,0.45875,0.06393833333333333,10.0,0.01456749109747454,0.010922231008742369,0.00963932916061417
23,phi-1,0.193125,0.37375,0.05429916666666667,10.0,0.013956527790562738,0.011279742223801778,0.008219007442102322
