,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
60676,DS1000,Qwen-Qwen2-72B-Instruct,DS/0,1.0,1.0,,,1
60677,DS1000,Qwen-Qwen2-72B-Instruct,DS/1,0.0,1.0,,,0
60678,DS1000,Qwen-Qwen2-72B-Instruct,DS/2,1.0,1.0,,,1
60679,DS1000,Qwen-Qwen2-72B-Instruct,DS/3,1.0,1.0,,,1
60680,DS1000,Qwen-Qwen2-72B-Instruct,DS/4,1.0,1.0,,,1
60681,DS1000,Qwen-Qwen2-72B-Instruct,DS/5,1.0,1.0,,,1
60682,DS1000,Qwen-Qwen2-72B-Instruct,DS/6,0.0,1.0,,,0
60683,DS1000,Qwen-Qwen2-72B-Instruct,DS/7,1.0,1.0,,,1
60684,DS1000,Qwen-Qwen2-72B-Instruct,DS/8,0.0,1.0,,,0
60685,DS1000,Qwen-Qwen2-72B-Instruct,DS/9,0.0,1.0,,,0
60686,DS1000,Qwen-Qwen2-72B-Instruct,DS/10,0.0,1.0,,,0
60687,DS1000,Qwen-Qwen2-72B-Instruct,DS/11,1.0,1.0,,,1
60688,DS1000,Qwen-Qwen2-72B-Instruct,DS/12,1.0,1.0,,,1
60689,DS1000,Qwen-Qwen2-72B-Instruct,DS/13,1.0,1.0,,,1
60690,DS1000,Qwen-Qwen2-72B-Instruct,DS/14,1.0,1.0,,,1
60691,DS1000,Qwen-Qwen2-72B-Instruct,DS/15,0.0,1.0,,,0
60692,DS1000,Qwen-Qwen2-72B-Instruct,DS/16,1.0,1.0,,,1
60693,DS1000,Qwen-Qwen2-72B-Instruct,DS/17,1.0,1.0,,,1
60694,DS1000,Qwen-Qwen2-72B-Instruct,DS/18,1.0,1.0,,,1
60695,DS1000,Qwen-Qwen2-72B-Instruct,DS/19,1.0,1.0,,,1
60696,DS1000,Qwen-Qwen2-72B-Instruct,DS/20,1.0,1.0,,,1
60697,DS1000,Qwen-Qwen2-72B-Instruct,DS/21,0.0,1.0,,,0
60698,DS1000,Qwen-Qwen2-72B-Instruct,DS/22,1.0,1.0,,,1
60699,DS1000,Qwen-Qwen2-72B-Instruct,DS/23,1.0,1.0,,,1
60700,DS1000,Qwen-Qwen2-72B-Instruct,DS/24,1.0,1.0,,,1
60701,DS1000,Qwen-Qwen2-72B-Instruct,DS/25,1.0,1.0,,,1
60702,DS1000,Qwen-Qwen2-72B-Instruct,DS/26,0.0,1.0,,,0
60703,DS1000,Qwen-Qwen2-72B-Instruct,DS/27,0.0,1.0,,,0
60704,DS1000,Qwen-Qwen2-72B-Instruct,DS/28,0.0,1.0,,,0
60705,DS1000,Qwen-Qwen2-72B-Instruct,DS/29,0.0,1.0,,,0
60706,DS1000,Qwen-Qwen2-72B-Instruct,DS/30,1.0,1.0,,,1
60707,DS1000,Qwen-Qwen2-72B-Instruct,DS/31,1.0,1.0,,,1
60708,DS1000,Qwen-Qwen2-72B-Instruct,DS/32,1.0,1.0,,,1
60709,DS1000,Qwen-Qwen2-72B-Instruct,DS/33,1.0,1.0,,,1
60710,DS1000,Qwen-Qwen2-72B-Instruct,DS/34,0.0,1.0,,,0
60711,DS1000,Qwen-Qwen2-72B-Instruct,DS/35,1.0,1.0,,,1
60712,DS1000,Qwen-Qwen2-72B-Instruct,DS/36,1.0,1.0,,,1
60713,DS1000,Qwen-Qwen2-72B-Instruct,DS/37,1.0,1.0,,,1
60714,DS1000,Qwen-Qwen2-72B-Instruct,DS/38,1.0,1.0,,,1
60715,DS1000,Qwen-Qwen2-72B-Instruct,DS/39,0.0,1.0,,,0
60716,DS1000,Qwen-Qwen2-72B-Instruct,DS/40,0.0,1.0,,,0
60717,DS1000,Qwen-Qwen2-72B-Instruct,DS/41,0.0,1.0,,,0
60718,DS1000,Qwen-Qwen2-72B-Instruct,DS/42,0.0,1.0,,,0
60719,DS1000,Qwen-Qwen2-72B-Instruct,DS/43,0.0,1.0,,,0
60720,DS1000,Qwen-Qwen2-72B-Instruct,DS/44,0.0,1.0,,,0
60721,DS1000,Qwen-Qwen2-72B-Instruct,DS/45,0.0,1.0,,,0
60722,DS1000,Qwen-Qwen2-72B-Instruct,DS/46,0.0,1.0,,,0
60723,DS1000,Qwen-Qwen2-72B-Instruct,DS/47,0.0,1.0,,,0
60724,DS1000,Qwen-Qwen2-72B-Instruct,DS/48,0.0,1.0,,,0
60725,DS1000,Qwen-Qwen2-72B-Instruct,DS/49,0.0,1.0,,,0
60726,DS1000,Qwen-Qwen2-72B-Instruct,DS/50,0.0,1.0,,,0
60727,DS1000,Qwen-Qwen2-72B-Instruct,DS/51,0.0,1.0,,,0
60728,DS1000,Qwen-Qwen2-72B-Instruct,DS/52,0.0,1.0,,,0
60729,DS1000,Qwen-Qwen2-72B-Instruct,DS/53,0.0,1.0,,,0
60730,DS1000,Qwen-Qwen2-72B-Instruct,DS/54,0.0,1.0,,,0
60731,DS1000,Qwen-Qwen2-72B-Instruct,DS/55,0.0,1.0,,,0
60732,DS1000,Qwen-Qwen2-72B-Instruct,DS/56,0.0,1.0,,,0
60733,DS1000,Qwen-Qwen2-72B-Instruct,DS/57,0.0,1.0,,,0
60734,DS1000,Qwen-Qwen2-72B-Instruct,DS/58,0.0,1.0,,,0
60735,DS1000,Qwen-Qwen2-72B-Instruct,DS/59,0.0,1.0,,,0
60736,DS1000,Qwen-Qwen2-72B-Instruct,DS/60,0.0,1.0,,,0
60737,DS1000,Qwen-Qwen2-72B-Instruct,DS/61,1.0,1.0,,,1
60738,DS1000,Qwen-Qwen2-72B-Instruct,DS/62,0.0,1.0,,,0
60739,DS1000,Qwen-Qwen2-72B-Instruct,DS/63,1.0,1.0,,,1
60740,DS1000,Qwen-Qwen2-72B-Instruct,DS/64,0.0,1.0,,,0
60741,DS1000,Qwen-Qwen2-72B-Instruct,DS/65,0.0,1.0,,,0
60742,DS1000,Qwen-Qwen2-72B-Instruct,DS/66,0.0,1.0,,,0
60743,DS1000,Qwen-Qwen2-72B-Instruct,DS/67,0.0,1.0,,,0
60744,DS1000,Qwen-Qwen2-72B-Instruct,DS/68,0.0,1.0,,,0
60745,DS1000,Qwen-Qwen2-72B-Instruct,DS/69,0.0,1.0,,,0
60746,DS1000,Qwen-Qwen2-72B-Instruct,DS/70,0.0,1.0,,,0
60747,DS1000,Qwen-Qwen2-72B-Instruct,DS/71,0.0,1.0,,,0
60748,DS1000,Qwen-Qwen2-72B-Instruct,DS/72,1.0,1.0,,,1
60749,DS1000,Qwen-Qwen2-72B-Instruct,DS/73,0.0,1.0,,,0
60750,DS1000,Qwen-Qwen2-72B-Instruct,DS/74,0.0,1.0,,,0
60751,DS1000,Qwen-Qwen2-72B-Instruct,DS/75,0.0,1.0,,,0
60752,DS1000,Qwen-Qwen2-72B-Instruct,DS/76,1.0,1.0,,,1
60753,DS1000,Qwen-Qwen2-72B-Instruct,DS/77,1.0,1.0,,,1
60754,DS1000,Qwen-Qwen2-72B-Instruct,DS/78,1.0,1.0,,,1
60755,DS1000,Qwen-Qwen2-72B-Instruct,DS/79,0.0,1.0,,,0
60756,DS1000,Qwen-Qwen2-72B-Instruct,DS/80,0.0,1.0,,,0
60757,DS1000,Qwen-Qwen2-72B-Instruct,DS/81,0.0,1.0,,,0
60758,DS1000,Qwen-Qwen2-72B-Instruct,DS/82,0.0,1.0,,,0
60759,DS1000,Qwen-Qwen2-72B-Instruct,DS/83,0.0,1.0,,,0
60760,DS1000,Qwen-Qwen2-72B-Instruct,DS/84,0.0,1.0,,,0
60761,DS1000,Qwen-Qwen2-72B-Instruct,DS/85,0.0,1.0,,,0
60762,DS1000,Qwen-Qwen2-72B-Instruct,DS/86,0.0,1.0,,,0
60763,DS1000,Qwen-Qwen2-72B-Instruct,DS/87,0.0,1.0,,,0
60764,DS1000,Qwen-Qwen2-72B-Instruct,DS/88,0.0,1.0,,,0
60765,DS1000,Qwen-Qwen2-72B-Instruct,DS/89,1.0,1.0,,,1
60766,DS1000,Qwen-Qwen2-72B-Instruct,DS/90,0.0,1.0,,,0
60767,DS1000,Qwen-Qwen2-72B-Instruct,DS/91,1.0,1.0,,,1
60768,DS1000,Qwen-Qwen2-72B-Instruct,DS/92,1.0,1.0,,,1
60769,DS1000,Qwen-Qwen2-72B-Instruct,DS/93,1.0,1.0,,,1
60770,DS1000,Qwen-Qwen2-72B-Instruct,DS/94,0.0,1.0,,,0
60771,DS1000,Qwen-Qwen2-72B-Instruct,DS/95,0.0,1.0,,,0
60772,DS1000,Qwen-Qwen2-72B-Instruct,DS/96,0.0,1.0,,,0
60773,DS1000,Qwen-Qwen2-72B-Instruct,DS/97,0.0,1.0,,,0
60774,DS1000,Qwen-Qwen2-72B-Instruct,DS/98,1.0,1.0,,,1
60775,DS1000,Qwen-Qwen2-72B-Instruct,DS/99,1.0,1.0,,,1
60776,DS1000,Qwen-Qwen2-72B-Instruct,DS/100,1.0,1.0,,,1
60777,DS1000,Qwen-Qwen2-72B-Instruct,DS/101,1.0,1.0,,,1
60778,DS1000,Qwen-Qwen2-72B-Instruct,DS/102,1.0,1.0,,,1
60779,DS1000,Qwen-Qwen2-72B-Instruct,DS/103,0.0,1.0,,,0
60780,DS1000,Qwen-Qwen2-72B-Instruct,DS/104,0.0,1.0,,,0
60781,DS1000,Qwen-Qwen2-72B-Instruct,DS/105,0.0,1.0,,,0
60782,DS1000,Qwen-Qwen2-72B-Instruct,DS/106,0.0,1.0,,,0
60783,DS1000,Qwen-Qwen2-72B-Instruct,DS/107,0.0,1.0,,,0
60784,DS1000,Qwen-Qwen2-72B-Instruct,DS/108,0.0,1.0,,,0
60785,DS1000,Qwen-Qwen2-72B-Instruct,DS/109,0.0,1.0,,,0
60786,DS1000,Qwen-Qwen2-72B-Instruct,DS/110,1.0,1.0,,,1
60787,DS1000,Qwen-Qwen2-72B-Instruct,DS/111,1.0,1.0,,,1
60788,DS1000,Qwen-Qwen2-72B-Instruct,DS/112,0.0,1.0,,,0
60789,DS1000,Qwen-Qwen2-72B-Instruct,DS/113,0.0,1.0,,,0
60790,DS1000,Qwen-Qwen2-72B-Instruct,DS/114,0.0,1.0,,,0
60791,DS1000,Qwen-Qwen2-72B-Instruct,DS/115,1.0,1.0,,,1
60792,DS1000,Qwen-Qwen2-72B-Instruct,DS/116,1.0,1.0,,,1
60793,DS1000,Qwen-Qwen2-72B-Instruct,DS/117,1.0,1.0,,,1
60794,DS1000,Qwen-Qwen2-72B-Instruct,DS/118,1.0,1.0,,,1
60795,DS1000,Qwen-Qwen2-72B-Instruct,DS/119,1.0,1.0,,,1
60796,DS1000,Qwen-Qwen2-72B-Instruct,DS/120,0.0,1.0,,,0
60797,DS1000,Qwen-Qwen2-72B-Instruct,DS/121,0.0,1.0,,,0
60798,DS1000,Qwen-Qwen2-72B-Instruct,DS/122,0.0,1.0,,,0
60799,DS1000,Qwen-Qwen2-72B-Instruct,DS/123,1.0,1.0,,,1
60800,DS1000,Qwen-Qwen2-72B-Instruct,DS/124,1.0,1.0,,,1
60801,DS1000,Qwen-Qwen2-72B-Instruct,DS/125,1.0,1.0,,,1
60802,DS1000,Qwen-Qwen2-72B-Instruct,DS/126,1.0,1.0,,,1
60803,DS1000,Qwen-Qwen2-72B-Instruct,DS/127,0.0,1.0,,,0
60804,DS1000,Qwen-Qwen2-72B-Instruct,DS/128,0.0,1.0,,,0
60805,DS1000,Qwen-Qwen2-72B-Instruct,DS/129,0.0,1.0,,,0
60806,DS1000,Qwen-Qwen2-72B-Instruct,DS/130,0.0,1.0,,,0
60807,DS1000,Qwen-Qwen2-72B-Instruct,DS/131,1.0,1.0,,,1
60808,DS1000,Qwen-Qwen2-72B-Instruct,DS/132,0.0,1.0,,,0
60809,DS1000,Qwen-Qwen2-72B-Instruct,DS/133,0.0,1.0,,,0
60810,DS1000,Qwen-Qwen2-72B-Instruct,DS/134,0.0,1.0,,,0
60811,DS1000,Qwen-Qwen2-72B-Instruct,DS/135,1.0,1.0,,,1
60812,DS1000,Qwen-Qwen2-72B-Instruct,DS/136,0.0,1.0,,,0
60813,DS1000,Qwen-Qwen2-72B-Instruct,DS/137,1.0,1.0,,,1
60814,DS1000,Qwen-Qwen2-72B-Instruct,DS/138,1.0,1.0,,,1
60815,DS1000,Qwen-Qwen2-72B-Instruct,DS/139,1.0,1.0,,,1
60816,DS1000,Qwen-Qwen2-72B-Instruct,DS/140,1.0,1.0,,,1
60817,DS1000,Qwen-Qwen2-72B-Instruct,DS/141,0.0,1.0,,,0
60818,DS1000,Qwen-Qwen2-72B-Instruct,DS/142,0.0,1.0,,,0
60819,DS1000,Qwen-Qwen2-72B-Instruct,DS/143,1.0,1.0,,,1
60820,DS1000,Qwen-Qwen2-72B-Instruct,DS/144,1.0,1.0,,,1
60821,DS1000,Qwen-Qwen2-72B-Instruct,DS/145,1.0,1.0,,,1
60822,DS1000,Qwen-Qwen2-72B-Instruct,DS/146,1.0,1.0,,,1
60823,DS1000,Qwen-Qwen2-72B-Instruct,DS/147,1.0,1.0,,,1
60824,DS1000,Qwen-Qwen2-72B-Instruct,DS/148,0.0,1.0,,,0
60825,DS1000,Qwen-Qwen2-72B-Instruct,DS/149,0.0,1.0,,,0
60826,DS1000,Qwen-Qwen2-72B-Instruct,DS/150,0.0,1.0,,,0
60827,DS1000,Qwen-Qwen2-72B-Instruct,DS/151,0.0,1.0,,,0
60828,DS1000,Qwen-Qwen2-72B-Instruct,DS/152,0.0,1.0,,,0
