,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
23,claude-3-5-sonnet-20240620,0.543,0.543,0.3219423076923077,1.0,0.015752809273269323,,
65,gpt-4-turbo-2024-04-09,0.54,0.54,0.31096153846153846,1.0,0.015760710643876435,,
49,deepseek-ai-deepseek-coder-V2-SFT,0.532,0.532,0.30501923076923076,1.0,0.01577897335063343,,
15,Qwen-Qwen2-72B-Instruct,0.528,0.528,0.3019230769230769,1.0,0.015786576576319516,,
95,mistralai-Codestral-22B-v0.1,0.512,0.512,0.28736538461538463,1.0,0.01580683396509244,,
64,gpt-4-0613,0.51,0.51,0.29052884615384617,1.0,0.0158082257068907,,
82,meta-llama-Llama-3-70b-chat-hf,0.486,0.486,0.2756442307692308,1.0,0.015805189021330938,,
46,deepseek-ai-deepseek-coder-V2-Base,0.467,0.467,0.2533365384615385,1.0,0.015776913513105152,,
94,microsoft-wavecoder-ultra-6.7b,0.46,0.46,0.25047115384615387,1.0,0.015760710643876435,,
43,deepseek-ai-deepseek-coder-33b-instruct,0.454,0.454,0.2520480769230769,1.0,0.015744332313566048,,
73,m-a-p-OpenCodeInterpreter-DS-6.7B,0.42,0.42,0.2206153846153846,1.0,0.015607690412101338,,
42,deepseek-ai-deepseek-coder-33b-base,0.417,0.417,0.20904807692307692,1.0,0.015592017188292218,,
81,meta-llama-Llama-3-70B,0.409,0.409,0.21000961538461538,1.0,0.015547314880711717,,
50,deepseek-ai-deepseek-llm-67b-chat,0.407,0.407,0.21016346153846155,1.0,0.015535475531827148,,
85,microsoft-Phi-3-medium-4k-instruct,0.406,0.406,0.20311538461538461,1.0,0.015529455882290275,,
3,Phind-Phind-CodeLlama-34B-v2,0.404,0.404,0.21008653846153846,1.0,0.015517216245190372,,
5,Qwen-Qwen1.5-110B-Chat,0.402,0.402,0.20121153846153847,1.0,0.015504708962118573,,
98,mistralai-Mixtral-8x22B,0.4,0.4,0.19777884615384617,1.0,0.015491933384829668,,
35,codellama-CodeLlama-70b-hf,0.398,0.398,0.20090384615384616,1.0,0.015478888849009803,,
