,benchmark_id,model,example_id,pass1,count,date,hyperparams
2030547,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_A,0.6,10.0,1692576000000.0,
2030548,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_B,0.0,10.0,1692576000000.0,
2030549,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_D,0.0,10.0,1692576000000.0,
2030550,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_B,0.1,10.0,1695340800000.0,
2030551,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_C,0.0,10.0,1695340800000.0,
2030552,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_A,0.0,10.0,1697500800000.0,
2030553,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_B,0.0,10.0,1697500800000.0,
2030554,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_C,0.0,10.0,1697500800000.0,
2030555,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_D,0.0,10.0,1697500800000.0,
2030556,lcb_codegen_v5,AzeroGPT-64b,leetcode.2727,1.0,10.0,1683936000000.0,
2030557,lcb_codegen_v5,AzeroGPT-64b,leetcode.2728,0.3,10.0,1683936000000.0,
2030558,lcb_codegen_v5,AzeroGPT-64b,leetcode.2730,0.1,10.0,1683936000000.0,
2030559,lcb_codegen_v5,AzeroGPT-64b,leetcode.2754,0.1,10.0,1685145600000.0,
2030560,lcb_codegen_v5,AzeroGPT-64b,leetcode.2755,0.7,10.0,1685145600000.0,
2030561,lcb_codegen_v5,AzeroGPT-64b,leetcode.2756,0.9,10.0,1685145600000.0,
2030562,lcb_codegen_v5,AzeroGPT-64b,leetcode.2757,0.1,10.0,1685836800000.0,
2030563,lcb_codegen_v5,AzeroGPT-64b,leetcode.2777,0.3,10.0,1683417600000.0,
2030564,lcb_codegen_v5,AzeroGPT-64b,leetcode.2779,0.3,10.0,1683417600000.0,
2030565,lcb_codegen_v5,AzeroGPT-64b,leetcode.2784,0.0,10.0,1683936000000.0,
2030566,lcb_codegen_v5,AzeroGPT-64b,leetcode.2785,0.4,10.0,1685836800000.0,
2030567,lcb_codegen_v5,AzeroGPT-64b,leetcode.2786,0.4,10.0,1686355200000.0,
2030568,lcb_codegen_v5,AzeroGPT-64b,leetcode.2791,0.8,10.0,1684022400000.0,
2030569,lcb_codegen_v5,AzeroGPT-64b,leetcode.2792,0.7,10.0,1684022400000.0,
2030570,lcb_codegen_v5,AzeroGPT-64b,leetcode.2800,1.0,10.0,1684627200000.0,
2030571,lcb_codegen_v5,AzeroGPT-64b,leetcode.2802,0.7,10.0,1684627200000.0,
2030572,lcb_codegen_v5,AzeroGPT-64b,leetcode.2808,0.4,10.0,1687046400000.0,
2030573,lcb_codegen_v5,AzeroGPT-64b,leetcode.2810,0.3,10.0,1686441600000.0,
2030574,lcb_codegen_v5,AzeroGPT-64b,leetcode.2811,0.1,10.0,1692489600000.0,
2030575,lcb_codegen_v5,AzeroGPT-64b,leetcode.2812,0.9,10.0,1688860800000.0,
2030576,lcb_codegen_v5,AzeroGPT-64b,leetcode.2816,0.9,10.0,1684627200000.0,
2030577,lcb_codegen_v5,AzeroGPT-64b,leetcode.2817,0.1,10.0,1685232000000.0,
2030578,lcb_codegen_v5,AzeroGPT-64b,leetcode.2819,1.0,10.0,1685232000000.0,
2030579,lcb_codegen_v5,AzeroGPT-64b,leetcode.2824,0.9,10.0,1686355200000.0,
2030580,lcb_codegen_v5,AzeroGPT-64b,leetcode.2825,0.9,10.0,1685836800000.0,
2030581,lcb_codegen_v5,AzeroGPT-64b,leetcode.2827,0.1,10.0,1685145600000.0,
2030582,lcb_codegen_v5,AzeroGPT-64b,leetcode.2828,0.1,10.0,1686441600000.0,
2030583,lcb_codegen_v5,AzeroGPT-64b,leetcode.2831,0.5,10.0,1687651200000.0,
