,benchmark_id,model,example_id,pass1,count,date,hyperparams
2092776,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3485,0.0,10.0,1725737400000.0,
2092777,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3487,0.0,10.0,1728718200000.0,
2092778,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3495,0.0,10.0,1725132600000.0,
2092779,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3496,0.0,10.0,1726947000000.0,
2092780,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3502,0.0,10.0,1729366200000.0,
2092781,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3510,0.0,10.0,1727508600000.0,
2092782,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3517,0.0,10.0,1722643200000.0,
2092783,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3518,0.0,10.0,1726342200000.0,
2092784,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3519,0.1,10.0,1722643200000.0,
2092785,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3522,1.0,10.0,1723879800000.0,
2092786,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3525,0.0,10.0,1723923000000.0,
2092787,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3526,0.0,10.0,1722643200000.0,
2092788,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3527,0.0,10.0,1722643200000.0,
2092789,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3528,0.0,10.0,1725737400000.0,
2092790,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3531,0.0,10.0,1725089400000.0,
2092791,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3532,0.0,10.0,1722643200000.0,
2092792,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3533,0.3,10.0,1723248000000.0,
2092793,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3534,0.0,10.0,1724527800000.0,
2092794,lcb_codegen_v6_080124,Claude-3-Haiku,leetcode.3535,0.0,10.0,1723248000000.0,
