,benchmark_id,model,example_id,pass1,count,date,hyperparams
1918579,swebench-verified,20231010_rag_claude2,django__django-14122,0.0,1.0,,
1918580,swebench-verified,20231010_rag_claude2,django__django-15554,0.0,1.0,,
1918581,swebench-verified,20231010_rag_claude2,django__django-14434,0.0,1.0,,
1918582,swebench-verified,20231010_rag_claude2,sphinx-doc__sphinx-7590,0.0,1.0,,
1918583,swebench-verified,20231010_rag_claude2,django__django-14855,0.0,1.0,,
1918584,swebench-verified,20231010_rag_claude2,django__django-16661,0.0,1.0,,
1918585,swebench-verified,20231010_rag_claude2,django__django-11880,0.0,1.0,,
1918586,swebench-verified,20231010_rag_claude2,sympy__sympy-19346,0.0,1.0,,
1918587,swebench-verified,20231010_rag_claude2,django__django-11820,0.0,1.0,,
1918588,swebench-verified,20231010_rag_claude2,django__django-16631,0.0,1.0,,
1918589,swebench-verified,20231010_rag_claude2,matplotlib__matplotlib-24177,0.0,1.0,,
1918590,swebench-verified,20231010_rag_claude2,django__django-13297,0.0,1.0,,
1918591,swebench-verified,20231010_rag_claude2,sympy__sympy-13480,0.0,1.0,,
1918592,swebench-verified,20231010_rag_claude2,sympy__sympy-14248,0.0,1.0,,
1918593,swebench-verified,20231010_rag_claude2,django__django-14007,0.0,1.0,,
1918594,swebench-verified,20231010_rag_claude2,sympy__sympy-20154,0.0,1.0,,
1918595,swebench-verified,20231010_rag_claude2,sphinx-doc__sphinx-9658,0.0,1.0,,
1918596,swebench-verified,20231010_rag_claude2,django__django-14404,0.0,1.0,,
1918597,swebench-verified,20231010_rag_claude2,scikit-learn__scikit-learn-25102,0.0,1.0,,
1918598,swebench-verified,20231010_rag_claude2,django__django-16082,0.0,1.0,,
1918599,swebench-verified,20231010_rag_claude2,django__django-14311,0.0,1.0,,
1918600,swebench-verified,20231010_rag_claude2,sympy__sympy-13031,0.0,1.0,,
1918601,swebench-verified,20231010_rag_claude2,scikit-learn__scikit-learn-13124,0.0,1.0,,
