,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
23,gpt-4-turbo-2024-04-09+cot,0.756875000001625,0.36098148148213627,2.6675,0.01516637870316136,,
25,gpt-4o+cot,0.7556250000013749,0.35511940586497687,2.69625,0.015192755649251764,,
21,gpt-4-0613+cot,0.755,0.35404525462953096,10.0,0.015205878797359922,0.01203308517749662,0.00929643001969633
1,claude-3-opus-20240229+cot,0.73375,0.3440231481480625,1.0,0.015626937379889894,,
20,gpt-4-0613,0.698125,0.30661307870361043,10.0,0.01623062246091474,0.015595108560837451,0.004497298571858938
22,gpt-4-turbo-2024-04-09,0.685,0.2945154320986174,3.0,0.01642311633034364,0.015543286332092265,0.005303300858766524
24,gpt-4o,0.6512500000003749,0.2744753086420936,3.0,0.016849459839260672,0.016041876351480407,0.005153882031893229
0,claude-3-opus-20240229,0.6425,0.275797453703618,1.0,0.016944532672812197,,
19,gpt-3.5-turbo-0613+cot,0.503125,0.19661689814808753,10.0,0.017677324259308874,0.013350442717248286,0.011586780062736248
5,codellama-34b+cot,0.5011249999999999,0.18808819444438263,10.0,0.01767762478300606,0.014716598760578518,0.009793882727952632
11,codetulu-2-34b,0.4925,0.1647489583332868,10.0,0.017675680679962513,0.016100783926739578,0.007293452162347021
18,gpt-3.5-turbo-0613,0.490375,0.17427268518513125,10.0,0.0176743938854703,0.016683496645783256,0.005834821238811768
3,codellama-13b+cot,0.47425000000000006,0.16892349537031806,10.0,0.01765421116546984,0.015226450111109652,0.00893456148274155
4,codellama-34b,0.47212499999999996,0.15256574074068888,10.0,0.017650176499648666,0.016007298072437493,0.007436070123989478
32,phind,0.47200000000000003,0.1597570601851375,10.0,0.017649929178328166,0.016424042336363687,0.006463035922330413
13,deepseek-base-33b,0.465125,0.1487949074073597,10.0,0.017634615617266796,0.015976017657444306,0.007466359740715536
16,deepseek-instruct-33b,0.465,0.15497557870365278,10.0,0.017634306053825877,0.016241343848339643,0.006869315832017043
9,codellama-python-34b,0.438625,0.13883946759256424,10.0,0.017543984345602625,0.01590651065328894,0.0074009665284715045
36,wizard-34b,0.42674999999999996,0.1366157407407045,10.0,0.017486939322677367,0.01632231744805253,0.006274950199005567
2,codellama-13b,0.42487499999999995,0.12865891203700486,10.0,0.01747699324737382,0.015556041651321167,0.007965855955960484
14,deepseek-base-6.7b,0.418625,0.12772060185181422,10.0,0.017441979151425164,0.015799428542650065,0.0073892282712367495
26,magicoder-ds-7b,0.4171250000000001,0.1261450231481087,10.0,0.017433148538595948,0.016138767203774856,0.006592030120616191
7,codellama-7b+cot,0.4040000000000001,0.14099270833329097,10.0,0.017348775172904857,0.014195098919462778,0.00997392433632152
8,codellama-python-13b,0.397375,0.11629537037033924,10.0,0.01730130448026246,0.015384371508734115,0.007915570099493783
28,mixtral-8x7b,0.39299999999999996,0.11992893518515278,10.0,0.01726814263318438,0.015335185576531726,0.007938566201357354
17,deepseek-instruct-6.7b,0.37375,0.10813275462959654,10.0,0.01710485813665229,0.015872969850503717,0.006373774391990982
10,codellama-python-7b,0.373,0.10861863425922673,10.0,0.017097916539742495,0.01564732405237394,0.006892024376045111
35,wizard-13b,0.36474999999999996,0.10440636574071945,10.0,0.01701864556523227,0.015792125927798464,0.006343741447722751
6,codellama-7b,0.35950000000000004,0.10132881944442153,10.0,0.016965396768127763,0.01534595381887718,0.007233698147482303
27,mistral-7b,0.3505,0.09814918981478334,10.0,0.016868971145271427,0.015225607769295922,0.007262441432160094
31,phi-2,0.316125,0.09383912037034339,10.0,0.01643890143740603,0.014688122844358711,0.007382176357807891
33,starcoderbase-16b,0.31325000000000003,0.08280150462960695,10.0,0.01639833975971348,0.01464330496193852,0.007381000383868481
34,starcoderbase-7b,0.297375,0.07630034722219896,10.0,0.01616102987803531,0.014625477126001546,0.006875631284148064
12,deepseek-base-1.3b,0.27775,0.07342106481479896,10.0,0.01583528250063762,0.014535370831469467,0.006283244915381436
15,deepseek-instruct-1.3b,0.271625,0.07741157407405798,10.0,0.01572596814885335,0.01463433336738093,0.005756940255996331
30,phi-1.5,0.23175,0.07803217592590869,10.0,0.014918190971930879,0.012964306969843523,0.007381000383868482
29,phi-1,0.131,0.03662199074073368,10.0,0.011928903973123434,0.011107436197831113,0.004350127712046062
