,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
23,gpt-4-turbo-2024-04-09+cot,0.820416666667,0.3870879629630679,3.0,0.013570793994918307,0.011672608234162574,0.006922186552258675
1,claude-3-opus-20240229+cot,0.82,0.387631944444382,1.0,0.013583077707206126,,
21,gpt-4-0613+cot,0.771125,0.34717187499995,10.0,0.014853081935031195,0.013114326926934823,0.006973411806441824
25,gpt-4o+cot,0.7600000000014999,0.3719760802473766,2.99375,0.015099668870509217,,
24,gpt-4o,0.6995833333335,0.2888337191358822,3.0,0.01620827308257611,0.015817968147647358,0.0035355339058443496
20,gpt-4-0613,0.6869999999999998,0.2772395833332969,10.0,0.01639477813207608,0.01604585010386036,0.0033644382063643913
22,gpt-4-turbo-2024-04-09,0.67708333333325,0.2688954475307519,3.0,0.016531844008442657,0.01611707788817476,0.003679900360877939
0,claude-3-opus-20240229,0.6575,0.2546666666666215,1.0,0.01677772891365217,,
19,gpt-3.5-turbo-0613+cot,0.5898749999999999,0.21984351851848402,10.0,0.01738974138590767,0.014667269681614041,0.009342071802098052
16,deepseek-instruct-33b,0.49900000000000005,0.14450636574070866,10.0,0.01767763417428927,0.016983411023701923,0.004905354217587146
18,gpt-3.5-turbo-0613,0.49412500000000004,0.14741631944441597,10.0,0.017676449175916244,0.017165713401424983,0.004218428485690956
13,deepseek-base-33b,0.48599999999999993,0.13405057870367082,10.0,0.017670738524464675,0.016814907407152475,0.005432668671002208
11,codetulu-2-34b,0.45787500000000003,0.11938796296292951,10.0,0.017614819200569447,0.016817667460206347,0.005239075936333303
26,magicoder-ds-7b,0.44412499999999994,0.1144453703703316,10.0,0.017566942832170602,0.0167177419867462,0.005395793114393224
5,codellama-34b+cot,0.436125,0.13303668981477987,10.0,0.01753282579816357,0.013866450616180487,0.010729470060435314
14,deepseek-base-6.7b,0.434625,0.10935127314811043,10.0,0.01752591329200136,0.01647350559895343,0.0059817430570027
36,wizard-34b,0.4341249999999999,0.10849490740736006,10.0,0.01752357285112685,0.016887369373518153,0.004678927346209932
4,codellama-34b,0.42400000000000004,0.10163043981478022,10.0,0.017472263734273245,0.016451806722802345,0.005883711036034619
9,codellama-python-34b,0.41387500000000005,0.09748078703699271,10.0,0.017413446111231114,0.01665465133301522,0.005084357820260533
35,wizard-13b,0.41275000000000006,0.09730358796293785,10.0,0.01740644411920482,0.01658516295392763,0.005283622494715786
17,deepseek-instruct-6.7b,0.41225,0.09744004629624722,10.0,0.017403302039411945,0.016864243227989142,0.004297932319409209
28,mixtral-8x7b,0.404875,0.09272071759255938,10.0,0.017354798845528287,0.01622406524175584,0.006161878771933119
8,codellama-python-13b,0.3975,0.08984999999997291,10.0,0.017302230708784345,0.01642192703369492,0.005448623679425842
2,codellama-13b,0.397375,0.08980439814811667,10.0,0.01730130448026246,0.016259988316480532,0.005911676299212151
32,phind,0.39712500000000006,0.08961157407404166,10.0,0.01729944848741572,0.01660875609670577,0.00483943580274487
3,codellama-13b+cot,0.35987499999999994,0.10099409722219584,10.0,0.016969273127295407,0.01267740695629105,0.011280052452596723
10,codellama-python-7b,0.35900000000000004,0.08015011574070313,10.0,0.016960210788784437,0.015995099075793325,0.005639641438562877
27,mistral-7b,0.34262499999999996,0.07073148148144513,10.0,0.016779195055745374,0.015692235271938193,0.005940971207545858
6,codellama-7b,0.3421249999999999,0.06814166666663299,10.0,0.01677332273190825,0.015654935143833683,0.006022238878615752
33,starcoderbase-16b,0.34175000000000005,0.07198854166664098,10.0,0.016768904909832367,0.015752479687955304,0.005749396103553447
31,phi-2,0.33525,0.07353796296292986,10.0,0.016690470241278402,0.01563568273702104,0.005839282680451617
34,starcoderbase-7b,0.322,0.06280416666664791,10.0,0.016519533891729513,0.01575570443433813,0.004965156369922077
12,deepseek-base-1.3b,0.30987500000000007,0.06663865740738577,10.0,0.016349789156706273,0.015207122597354577,0.006004916966767965
7,codellama-7b+cot,0.298875,0.07619004629627951,10.0,0.016184434434627304,0.011857449658893536,0.011015298704781254
15,deepseek-instruct-1.3b,0.286625,0.060026620370351044,10.0,0.015987147547913295,0.015161697832472273,0.005070680975525433
30,phi-1.5,0.274875,0.06767395833332188,10.0,0.01578443594078515,0.014640334360627566,0.005899917607710957
29,phi-1,0.21675,0.049942939814812154,10.0,0.01456749109747454,0.013759718472067499,0.004783507546188721
