,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,Kimi-k1.6-IOI-high,0.8602272727272727,0.2777618577075099,1.0,0.011688976546665232,,
17,O1-2024-12-17 (High),0.8318181818181818,0.2597332015810277,1.0,0.012608470016352825,,
11,Kimi-k1.6-IOI,0.8014772727272726,0.23405583003952568,10.0,0.013446504024742473,0.011556834420329481,0.006873721602487491
23,QwQ-Max-Preview,0.8,0.23183300395256917,1.0,0.01348399724926484,,
19,O1-2024-12-17 (Med),0.7829545454545455,0.2205978260869565,1.0,0.013896399354059782,,
5,DeepSeek-R1-Preview,0.7788636363636364,0.2152771739130435,10.0,0.0139900562216221,0.01218085334595497,0.006881023532039753
14,Llama-3_1-Nemotron-Ultra-253B-v1,0.7772727272727272,0.2227470355731225,1.0,0.014025943280170946,,
18,O1-2024-12-17 (Low),0.759090909090909,0.20666007905138342,1.0,0.014415581091717073,,
3,DeepCoder-14B-Preview,0.7329545454545454,0.20554347826086955,1.0,0.014913850325668379,,
20,O1-Mini-2024-09-12,0.6840909090909091,0.16694664031620554,1.0,0.015670997284723813,,
13,Llama-3_1-Nemotron-Nano-8B-v1,0.6443181818181818,0.1502420948616601,1.0,0.01613762762771495,,
4,DeepSeek-R1-Lite-Preview,0.6307954545454545,0.13297183794466402,10.0,0.01626808605655452,0.013650082475336927,0.008850190526760612
22,QwQ-32B-Preview,0.5988636363636364,0.11533596837944665,1.0,0.016522229564388764,,
21,O1-Preview-2024-09-12,0.5556818181818182,0.10489130434782609,1.0,0.01675015383660587,,
6,DeepSeek-V3 copy,0.545340909090909,0.098399209486166,10.0,0.016785552566351176,0.01564911169697752,0.006071250122772069
15,MetaStone-L1-7B,0.5409090909090909,0.10008794466403162,10.0,0.016798486345535033,0.013765932493071072,0.009627473505408208
9,Gemini-Flash-2.0-Thinking,0.5114772727272727,0.0808255928853755,10.0,0.016850555433614044,0.015010980427312541,0.007655826867957475
1,Claude-3.5-Sonnet-20240620,0.48034090909090915,0.07447776679841897,10.0,0.01684196328926878,0.01635837053822071,0.004006924103517542
7,GPT-4O-2024-05-13,0.4343181818181819,0.05251333992094861,10.0,0.016708935373582527,0.015835110809781006,0.005332709157690323
10,Gemini-Pro-1.5-002,0.4209090909090909,0.04953705533596838,10.0,0.01664279219154283,0.015961572232371914,0.004712827580301755
16,Mistral-Large,0.3729545454545455,0.03655088932806324,10.0,0.01630182130368967,0.015071602059935749,0.006212583131385123
8,Gemini-Flash-1.5-002,0.36124999999999996,0.03359090909090909,10.0,0.016193027311862573,0.01582965207042054,0.003411194637096796
2,Codestral-Latest,0.3532954545454545,0.03312203557312253,10.0,0.01611315725590056,0.015205604158289084,0.005331363703106605
0,AzeroGPT-64b,0.2203409090909091,0.011485671936758894,10.0,0.013972000933356163,0.01102580582559588,0.008581865530172412
