,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,gpt-4-1106-preview,0.7407407407407407,0.23941798941798942,1.0,0.02254002294259943,,
5,claude-3-opus-20240229,0.7354497354497355,0.23084291187739464,1.0,0.02268739843661728,,
23,deepseek-coder-33b-instruct,0.7037037037037037,0.2122787812442985,1.0,0.02348616620274918,,
6,claude-3-sonnet-20240229,0.6984126984126984,0.201559934318555,1.0,0.023605689448972962,,
32,meta-llama-3-70b-instruct,0.6957671957671958,0.19307608100711549,1.0,0.02366405111085963,,
4,claude-3-haiku-20240307,0.6931216931216931,0.20073891625615764,1.0,0.02372148868680078,,
42,opencodeinterpreter-ds-33b,0.6878306878306878,0.19189016602809705,1.0,0.02383361819726812,,
53,white-rabbit-neo-33b-v1,0.6746031746031746,0.18527640941434045,1.0,0.02409821896306408,,
43,opencodeinterpreter-ds-6.7b,0.6693121693121693,0.1761995986133917,1.0,0.02419789385445671,,
58,xwincoder-34b,0.6613756613756614,0.16912972085385877,1.0,0.02434093683747281,,
25,deepseek-coder-6.7b-instruct,0.6613756613756614,0.17551541689472724,1.0,0.02434093683747281,,
3,bigcode--starcoder2-15b-instruct-v0.1,0.6507936507936508,0.1756066411238825,1.0,0.02451979412466991,,
1,HuggingFaceH4--starchat2-15b-v0.1,0.6481481481481481,0.1689928845101259,1.0,0.024562420547969796,,
12,code-millenials-34b,0.6455026455026455,0.16694033935413247,1.0,0.024604220620842228,,
37,mixtral-8x22b-instruct-v0.1,0.6455026455026455,0.16935778142674696,1.0,0.024604220620842228,,
55,wizardcoder-34b,0.6375661375661376,0.15877577084473637,1.0,0.02472470423398484,,
0,CohereForAI--c4ai-command-r-plus,0.6375661375661376,0.1713191023535851,1.0,0.02472470423398484,,
51,starcoder2-15b-oci,0.6375661375661376,0.16160372194854952,1.0,0.02472470423398484,,
48,speechless-starcoder2-15b,0.6296296296296297,0.1520707900018245,1.0,0.024837895560585077,,
2,Qwen--Qwen1.5-72B-Chat,0.6243386243386243,0.15407772304324027,1.0,0.024909354530282132,,
46,speechless-codellama-34b,0.6137566137566137,0.14541142127349024,1.0,0.025042790513123785,,
26,dolphin-2.6,0.6005291005291006,0.13925378580550996,1.0,0.025192061188978418,,
35,mistral-large-latest,0.5978835978835979,0.15822842546980478,1.0,0.02521960695126096,,
24,deepseek-coder-6.7b-base,0.5952380952380952,0.1366082831600073,1.0,0.025246389296839356,,
15,codegemma-7b-it,0.5740740740740741,0.12880861156723225,1.0,0.025433440031296953,,
49,speechless-starcoder2-7b,0.5714285714285714,0.12639116949461776,1.0,0.025453451610707084,,
8,code-llama-34b,0.5687830687830688,0.128717387338077,1.0,0.025472720622192142,,
22,databricks--dbrx-instruct,0.5634920634920635,0.1382047071702244,1.0,0.02550903760758912,,
41,openchat,0.5608465608465608,0.12164750957854406,1.0,0.025526088741460052,,
44,phi-2,0.5529100529100529,0.12046159459952563,1.0,0.025572830236387376,,
10,code-llama-multi-34b,0.5502645502645502,0.11576354679802955,1.0,0.02558694457665968,,
54,wizardcoder-15b,0.5476190476190477,0.1164021164021164,1.0,0.025600327911252174,,
33,microsoft--Phi-3-mini-4k-instruct,0.544973544973545,0.13505747126436782,1.0,0.02561298138606354,,
9,code-llama-multi-13b,0.544973544973545,0.11416712278781244,1.0,0.02561298138606354,,
7,code-llama-13b,0.5317460317460317,0.11129355956942164,1.0,0.02566533646668391,,
14,codegemma-7b,0.5238095238095238,0.11434957124612297,1.0,0.025688050594053557,,
39,octocoder,0.5132275132275133,0.10002736726874657,1.0,0.025708224081670353,,
38,mixtral-8x7b-instruct,0.5026455026455027,0.11895639481846379,1.0,0.02571686501768771,,
56,wizardcoder-7b,0.5,0.09482758620689655,1.0,0.025717224993681984,,
47,speechless-mistral-7b,0.49206349206349204,0.10180623973727422,1.0,0.02571398502831559,,
19,codet5p-16b,0.48148148148148145,0.08652618135376756,1.0,0.02569958024032263,,
13,codegemma-2b,0.47883597883597884,0.09528370735267287,1.0,0.02569417636281439,,
50,stable-code-3b,0.46825396825396826,0.08465608465608465,1.0,0.02566533646668391,,
40,open-hermes-2.5-code-290k-13b,0.46825396825396826,0.10084838533114396,1.0,0.02566533646668391,,
27,gemma-1.1-7b-it,0.4656084656084656,0.08848750228060573,1.0,0.02565631735081653,,
16,codegen-16b,0.46296296296296297,0.08506659368728334,1.0,0.025646573143173347,,
29,gemma-7b,0.4497354497354497,0.0873015873015873,1.0,0.02558694457665968,,
52,starcoder2-3b,0.4444444444444444,0.0825579273855136,1.0,0.02555798367934645,,
11,code-llama-multi-7b,0.4417989417989418,0.0761266192300675,1.0,0.025542403628730947,,
18,codegen-6b,0.4365079365079365,0.07699324940704251,1.0,0.02550903760758912,,
34,mistral-7b,0.42857142857142855,0.0701058201058201,1.0,0.02545345161070708,,
21,codet5p-6b,0.42592592592592593,0.07822477650063857,1.0,0.025433440031296953,,
57,xdan-l1-chat,0.41798941798941797,0.07603539500091225,1.0,0.025368931986865247,,
20,codet5p-2b,0.3888888888888889,0.06157635467980296,1.0,0.025074192606901115,,
36,mistralai--Mistral-7B-Instruct-v0.2,0.37566137566137564,0.07001459587666484,1.0,0.024909354530282132,,
45,solar-10.7b-instruct,0.37566137566137564,0.06413063309615034,1.0,0.024909354530282132,,
17,codegen-2b,0.373015873015873,0.05651340996168582,1.0,0.02487402288602712,,
28,gemma-2b,0.3544973544973545,0.054187192118226604,1.0,0.024604220620842228,,
30,gemma-7b-it,0.3306878306878307,0.060116767013318737,1.0,0.02419789385445671,,
