,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
8,deepseek-coder-33b,0.6652498564043653,0.3039386231229999,1.0,0.0035764601895666662,0.0035764601895666662,0.0
9,deepseek-coder-6.7b,0.6089603676048249,0.25741910779245647,1.0,0.0036983287770738626,0.003698328777073862,0.0
20,wizardcoder-33b,0.583917288914417,0.2523618062963267,1.0,0.0037356494600092566,0.003735649460009256,0.0
4,codellama-13b,0.5002297530155083,0.18465304559503296,1.0,0.003789401065776639,0.003789401065776639,0.0
17,starcoderbase-16b,0.4996553704767375,0.17625885506413938,1.0,0.0037894005657039434,0.0037894005657039434,0.0
11,gpt-4-1106-preview,0.49247558874210223,0.225997647766746,1.0,0.003788972354235581,0.00378897235423558,0.0
7,deepseek-coder-1.3b,0.48317059161401493,0.16956319575503953,1.0,0.0037872543208545655,0.003787254320854565,0.0
18,wizardcoder-15b,0.47581849511774843,0.16270889745904105,1.0,0.0037849672029308125,0.0037849672029308125,0.0
5,codellama-34b,0.4685812751292361,0.16643144334126528,1.0,0.0037819127548687752,0.003781912754868775,0.0
6,codellama-7b,0.44658242389431363,0.1558163069937912,1.0,0.003767713763722155,0.0037677137637221543,0.0
14,mixtral-8x7b,0.4272257323377369,0.14218429474029703,1.0,0.0037490485560474477,0.0037490485560474473,0.0
21,wizardcoder-3b,0.41114302125215396,0.1264243319384043,1.0,0.0037290824791096503,0.0037290824791096503,0.0
10,gpt-3.5-turbo-0301,0.35066053991958646,0.13185634966220836,1.0,0.0036164291468048023,0.0036164291468048023,0.0
19,wizardcoder-1b,0.34738655944859276,0.09366811629878832,1.0,0.003608569939891584,0.0036085699398915837,0.0
0,codegen-16b,0.31183228029867893,0.07356472744180959,1.0,0.0035108178537821746,0.003510817853782174,0.0
16,phi-2,0.29540493968983345,0.06827220262027844,1.0,0.0034576361337412594,0.003457636133741259,0.0
3,codegen-6b,0.29534750143595634,0.06710702661305763,1.0,0.003457440883520374,0.0034574408835203736,0.0
1,codegen-2b,0.2858701895462378,0.06310002461639452,1.0,0.003424314387160704,0.0034243143871607036,0.0
13,incoder-6b,0.27283170591614014,0.07683870791280326,1.0,0.0033757128816156194,0.003375712881615619,0.0
15,phi-1.5,0.2479035037334865,0.05176827767293017,1.0,0.00327249302541457,0.0032724930254145693,0.0
12,incoder-1b,0.2259620907524411,0.06104045294165914,1.0,0.003169563976478385,0.003169563976478385,0.0
2,codegen-350m,0.21522113727742676,0.04350537457946993,1.0,0.0031147035943334283,0.0031147035943334283,0.0
