,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
120,20250928_trae_doubao_seed_code,0.788,0.3160655737704918,1.0,0.018278730809331373,,
108,20250804_epam-ai-run-claude-4-sonnet,0.768,0.2966229508196721,1.0,0.018877287940803362,,
117,20250902_atlassian-rovo-dev,0.768,0.2954754098360656,1.0,0.018877287940803362,,
113,20250819_ACoder,0.764,0.2917704918032787,1.0,0.018989681408596616,,
116,20250901_warp,0.756,0.2913606557377049,1.0,0.019207498535728174,,
93,20250612_trae,0.752,0.28195081967213115,1.0,0.019313000802568203,,
106,20250731_harness_ai,0.748,0.27252459016393443,1.0,0.019416281827373642,,
103,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.746,0.27347540983606555,1.0,0.019467100451787882,,
118,20250915_JoyCode,0.746,0.28295081967213115,1.0,0.019467100451787882,,
90,20250603_Refact_Agent_claude-4-sonnet,0.744,0.27367213114754096,1.0,0.01951737687293044,,
85,20250522_tools_claude-4-opus,0.732,0.27562295081967214,1.0,0.0198078772209442,,
86,20250522_tools_claude-4-sonnet,0.724,0.2651967213114754,1.0,0.01999119806314769,,
112,20250807_openhands_gpt5,0.718,0.26131147540983607,1.0,0.020123419192572618,,
101,20250715_qodo_command,0.712,0.25481967213114753,1.0,0.020251222185339826,,
100,20250710_bloop,0.712,0.2525245901639344,1.0,0.020251222185339826,,
121,20250929_Prometheus_v1.2_gpt5,0.712,0.26186885245901637,1.0,0.020251222185339826,,
96,20250623_warp,0.71,0.25334426229508195,1.0,0.020292855885754475,,
92,20250611_moatless_claude-4-sonnet-20250514,0.708,0.24598360655737705,1.0,0.0203340109176719,,
82,20250519_trae,0.706,0.24621311475409835,1.0,0.020374690181693564,,
91,20250610_augment_agent_v1,0.704,0.252327868852459,1.0,0.020414896521902825,,
79,20250515_Refact_Agent,0.704,0.24354098360655738,1.0,0.020414896521902825,,
87,20250524_openhands_claude_4_sonnet,0.704,0.2509508196721311,1.0,0.020414896521902825,,
81,20250519_devlo,0.702,0.242672131147541,1.0,0.020454632727086548,,
75,20250430_zencoder_ai,0.7,0.2460327868852459,1.0,0.020493901531919198,,
110,20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,0.696,0.24568852459016394,1.0,0.02057104761552022,,
122,20250930_zai_glm4-6,0.682,0.23508196721311475,1.0,0.020826713614970557,,
80,20250516_cortexa_o3,0.682,0.2342295081967213,1.0,0.020826713614970557,,
84,20250522_sweagent_claude-4-sonnet-20250514,0.666,0.22619672131147542,1.0,0.02109236828807993,,
78,20250514_aime_coder,0.664,0.22113114754098362,1.0,0.02112363605064242,,
74,20250415_openhands,0.658,0.21721311475409835,1.0,0.021214900423994452,,
102,20250716_openhands_kimi_k2,0.654,0.21408196721311476,1.0,0.021273645667821018,,
71,20250405_amazon-q-developer-agent-20250405-dev,0.654,0.2119344262295082,1.0,0.021273645667821018,,
70,20250316_augment_agent_v0,0.654,0.21059016393442623,1.0,0.021273645667821018,,
76,20250503_patchpilot-v1.1-o4-mini,0.646,0.2113606557377049,1.0,0.021386163751360363,,
58,20250117_wandb_programmer_o1_crosscheck5,0.646,0.20790163934426228,1.0,0.021386163751360363,,
105,20250728_zai_glm4-5,0.642,0.209672131147541,1.0,0.021439962686534694,,
63,20250206_agentscope,0.634,0.19514754098360657,1.0,0.021542701780417423,,
65,20250224_tools_claude-3-7-sonnet,0.632,0.20147540983606557,1.0,0.021567382780485908,,
68,20250228_epam-ai-run-claude-3-5-sonnet,0.628,0.19811475409836066,1.0,0.021615549958305478,,
55,20250110_blackboxai_agent_v1.1,0.628,0.20557377049180328,1.0,0.021615549958305478,,
66,20250225_sweagent_claude-3-7-sonnet,0.624,0.19308196721311474,1.0,0.021662132858977667,,
53,20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.622,0.19329508196721312,1.0,0.02168483340955148,,
62,20250203_openhands_4x_scaled,0.608,0.18372131147540985,1.0,0.021832819332372078,,
115,20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.604,0.19124590163934427,1.0,0.02187162545399861,,
56,20250110_learn_by_interact_claude3.5,0.602,0.20921311475409837,1.0,0.02189045454073533,,
99,20250629_deepswerl_r2eagent_tts,0.588,0.1795737704918033,1.0,0.02201163328787757,,
73,20250410_cortexa,0.582,0.17126229508196722,1.0,0.022057923746354735,,
52,20241213_devlo,0.582,0.17037704918032787,1.0,0.022057923746354735,,
54,20241223_emergent,0.572,0.16081967213114753,1.0,0.022127629787213995,,
49,20241208_gru,0.57,0.16440983606557377,1.0,0.022140460699813815,,
119,20250924_artemis_agent_v2,0.57,0.17373770491803278,1.0,0.022140460699813815,,
72,20250405_swe-rizzo_claude37,0.566,0.16557377049180327,1.0,0.02216501748251059,,
50,20241212_epam-ai-run-claude-3-5-sonnet,0.554,0.1513606557377049,1.0,0.022229889788300795,,
48,20241202_amazon-q-developer-agent-20241202-dev,0.55,0.1528360655737705,1.0,0.022248595461286987,,
41,20241108_devlo,0.542,0.1493606557377049,1.0,0.022281651644346295,,
107,20250804_codesweep_sweagent_kimi_k2_instruct,0.534,0.14880327868852458,1.0,0.022308921982023246,,
60,20250120_Bracket,0.532,0.15914754098360656,1.0,0.022314838112789434,,
35,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.53,0.14654098360655737,1.0,0.022320394261750844,,
114,20250901_entroPO_R2E_QwenCoder30BA3B,0.522,0.14468852459016393,1.0,0.0223390241505756,,
51,20241212_google_jules_gemini_2.0_flash_experimental,0.522,0.14595081967213114,1.0,0.0223390241505756,,
44,20241125_enginelabs,0.518,0.14668852459016393,1.0,0.022346185356789647,,
109,20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,0.516,0.13950819672131148,1.0,0.022349228174592516,,
61,20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.516,0.13911475409836066,1.0,0.022349228174592516,,
47,20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.508,0.13942622950819672,1.0,0.022357817424784557,,
45,20241125_marscode-agent-dev,0.5,0.13398360655737704,1.0,0.022360679774997897,,
34,20241028_solver,0.5,0.13045901639344262,1.0,0.022360679774997897,,
38,20241105_nfactorial,0.492,0.12791803278688524,1.0,0.022357817424784557,,
30,20241022_tools_claude-3-5-sonnet-updated,0.49,0.1280655737704918,1.0,0.022356207191739835,,
