,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,codellama-13b,codellama-13b+cot,800.0,0.36075,0.34924999999999995,192.5,9.200000000000003,0.01734304615688951,0.61354723759346,0.015931711911920967,0.006840796229647215,0.017338279542676662,0.8019593486666419,CRUXEval-output-T0.8
1,codellama-13b,codellama-34b,800.0,0.36075,0.39325000000000004,163.16,-26.0,0.015966762351835768,0.04137242299938582,0.013800412634732662,0.007947691401351155,0.015925363025689556,0.8023088035863912,CRUXEval-output-T0.8
2,codellama-13b,codellama-34b+cot,800.0,0.36075,0.42762500000000003,213.96,-53.50000000000003,0.018284214503226547,0.0003440631827425948,0.015992077031385818,0.008542578076375552,0.018130696841786035,0.7334517698783574,CRUXEval-output-T0.8
3,codellama-13b,codellama-7b,800.0,0.36075,0.3095,157.92000000000002,41.00000000000001,0.015708278072405008,0.0013352491869990629,0.013865675044672164,0.007156105954396956,0.015603422601307702,0.8169552747782164,CRUXEval-output-T0.8
4,codellama-13b,codellama-7b+cot,800.0,0.36075,0.291125,192.88,55.7,0.01736015552925722,6.45610390025894e-05,0.01557408370766426,0.0072638396103862765,0.017184744665509292,0.7858787005510822,CRUXEval-output-T0.8
5,codellama-13b,codellama-python-13b,800.0,0.36075,0.3635,149.92,-2.200000000000017,0.015305227865013968,0.869922971028641,0.013715866724345202,0.006790842869261517,0.015304919041765626,0.8409978248867017,CRUXEval-output-T0.8
6,codellama-13b,codellama-python-34b,800.0,0.36075,0.39712500000000006,161.46,-29.099999999999994,0.015883363938410527,0.02702396051785464,0.013098849610218108,0.008890864024808775,0.015831213605366774,0.7797886658926315,CRUXEval-output-T0.8
7,codellama-13b,codellama-python-7b,800.0,0.36075,0.323875,157.0,29.5,0.015662455107677085,0.025128032190317243,0.013687357305192263,0.007501269423820878,0.015608100235734973,0.8095656833717654,CRUXEval-output-T0.8
8,codellama-13b,codetulu-2-34b,800.0,0.36075,0.43762500000000004,174.82,-61.49999999999999,0.016527439305591172,2.9873726008990824e-06,0.013457107787336772,0.009201917896218702,0.0163024244506377,0.7644298780869464,CRUXEval-output-T0.8
9,codellama-13b,deepseek-base-1.3b,800.0,0.36075,0.25925,184.44,81.19999999999999,0.01697608612136496,3.2751286248636186e-09,0.013931877914417074,0.009011795896367037,0.016592458753903836,0.7224663491510752,CRUXEval-output-T0.8
10,codellama-13b,deepseek-base-33b,800.0,0.36075,0.4545,178.07999999999998,-74.99999999999999,0.01668082731761228,1.1450505574953316e-08,0.01371206889325361,0.00890184467072228,0.016348200875784466,0.7728741735049012,CRUXEval-output-T0.8
11,codellama-13b,deepseek-base-6.7b,800.0,0.36075,0.3827499999999999,165.68,-17.599999999999994,0.016089592909704086,0.21278579701152142,0.013826805688790002,0.008190814638632988,0.0160707809393321,0.7906902121596572,CRUXEval-output-T0.8
12,codellama-13b,deepseek-instruct-1.3b,800.0,0.36075,0.27425,181.12,69.20000000000002,0.016822603841260723,3.142983309403179e-07,0.012854690021760757,0.010411730497109712,0.016542284833117826,0.6787697913027818,CRUXEval-output-T0.8
13,codellama-13b,deepseek-instruct-33b,800.0,0.36075,0.484,195.04000000000002,-98.60000000000002,0.01745709025009609,7.082356753582226e-13,0.013201167877628605,0.010558928143598035,0.016904490435236435,0.7124042360398972,CRUXEval-output-T0.8
14,codellama-13b,deepseek-instruct-6.7b,800.0,0.36075,0.4046249999999999,166.68,-35.10000000000001,0.01613807609351251,0.006423062145238215,0.012893123705638169,0.00958115815441229,0.016063350536819832,0.7561465854482364,CRUXEval-output-T0.8
15,codellama-13b,gpt-3.5-turbo-0613,800.0,0.36075,0.47475,199.28,-91.20000000000002,0.017645821035021294,8.316002654870786e-11,0.012807332968958751,0.011449987869959611,0.017179348066792294,0.6779893589595258,CRUXEval-output-T0.8
16,codellama-13b,magicoder-ds-7b,800.0,0.36075,0.417,174.98000000000002,-45.000000000000014,0.016535000755972164,0.0006052447871282042,0.013577196977939805,0.00922555657384541,0.016414967921838896,0.7582264713420404,CRUXEval-output-T0.8
17,codellama-13b,mistral-7b,800.0,0.36075,0.301,170.28,47.800000000000004,0.016311422378198662,0.00028724946568644476,0.01408924925056138,0.007943108801379694,0.016174050880190777,0.7799556255431516,CRUXEval-output-T0.8
18,codellama-13b,mixtral-8x7b,800.0,0.36075,0.362875,160.94,-1.6999999999999886,0.015857766236138052,0.9370201692131983,0.013961131560315749,0.007519967488247908,0.015857588261420776,0.8107676424525092,CRUXEval-output-T0.8
19,codellama-13b,phi-1,800.0,0.36075,0.193125,220.01999999999998,134.10000000000002,0.018541338948414702,1.684162641888371e-20,0.012809366147905645,0.012024088868086383,0.017568681630069742,0.5308089231193243,CRUXEval-output-T0.8
20,codellama-13b,phi-1.5,800.0,0.36075,0.21675,214.92000000000002,115.20000000000003,0.018325187584305926,7.01747246986628e-16,0.013763881881375051,0.010974882940403307,0.017603763802096415,0.5921559987031078,CRUXEval-output-T0.8
21,codellama-13b,phi-2,800.0,0.36075,0.297375,177.66000000000003,50.7,0.016661144918642297,0.00015548082207836244,0.01376829590843479,0.009110833633456808,0.016509792903569385,0.7323101913942658,CRUXEval-output-T0.8
22,codellama-13b,phind,800.0,0.36075,0.388625,167.45999999999998,-22.299999999999997,0.0161757920980705,0.08837580839996556,0.013270032027090213,0.009197349100080413,0.016145741868020497,0.7617316895382468,CRUXEval-output-T0.8
23,codellama-13b,starcoderbase-16b,800.0,0.36075,0.30725,163.2,42.8,0.01596871942267131,0.0009442928025158654,0.013601470508735444,0.00814998082819831,0.0158562980389497,0.7816085612011772,CRUXEval-output-T0.8
24,codellama-13b,starcoderbase-7b,800.0,0.36075,0.289,159.76000000000002,57.40000000000001,0.01579952530932496,7.231600975860735e-06,0.01352210125025775,0.0077680563626159275,0.01559454782528176,0.7947403203783366,CRUXEval-output-T0.8
25,codellama-13b,wizard-13b,800.0,0.36075,0.368875,151.64,-6.500000000000014,0.015392774278862145,0.6255036238897111,0.013507328257900105,0.007376114410859103,0.015390093582195983,0.8253253656384596,CRUXEval-output-T0.8
26,codellama-13b,wizard-34b,800.0,0.36075,0.41387500000000005,171.12,-42.5,0.016351605425767832,0.0012521567557723815,0.012922713638310561,0.009841272285175949,0.016243373047761665,0.7454608113610658,CRUXEval-output-T0.8
27,codellama-13b+cot,codellama-13b,800.0,0.34924999999999995,0.36075,192.5,-9.200000000000003,0.01734304615688951,0.5161096341329208,0.015931711911920967,0.006840796229647215,0.017338279542676662,0.8019593486666419,CRUXEval-output-T0.8
28,codellama-13b+cot,codellama-34b,800.0,0.34924999999999995,0.39325000000000004,205.42000000000002,-35.199999999999974,0.01791560074348611,0.01735109046314736,0.01584977216800853,0.008205697546352914,0.01784793405411394,0.7557246951408977,CRUXEval-output-T0.8
29,codellama-13b+cot,codellama-34b+cot,800.0,0.34924999999999995,0.42762500000000003,220.88000000000002,-62.70000000000002,0.0185775402031593,3.501547036804003e-05,0.017790739632366798,0.004575618269926299,0.018369722350072414,0.829493109328007,CRUXEval-output-T0.8
30,codellama-13b+cot,codellama-7b,800.0,0.34924999999999995,0.3095,201.06,31.80000000000001,0.01772445344714471,0.034081299423162986,0.015906628597328012,0.00769157581654544,0.017668649407212765,0.7441948437499222,CRUXEval-output-T0.8
31,codellama-13b+cot,codellama-7b+cot,800.0,0.34924999999999995,0.291125,206.32,46.500000000000014,0.017954804370975474,0.0016512830651188107,0.017415968885543587,0.0038517376918123306,0.017836811807852602,0.8336094701061527,CRUXEval-output-T0.8
32,codellama-13b+cot,codellama-python-13b,800.0,0.34924999999999995,0.3635,198.64,-11.400000000000006,0.01761746292744787,0.434446379874227,0.015776212754932312,0.00782510594088739,0.017610257575487075,0.7665234196601427,CRUXEval-output-T0.8
33,codellama-13b+cot,codellama-python-34b,800.0,0.34924999999999995,0.39712500000000006,204.7,-38.3,0.01788417596647942,0.009414309232917405,0.015242826181518966,0.009199727195343892,0.017803896496799514,0.7328930923423985,CRUXEval-output-T0.8
34,codellama-13b+cot,codellama-python-7b,800.0,0.34924999999999995,0.323875,199.72000000000003,20.299999999999997,0.017665290826929515,0.1560854757677103,0.015751432915417217,0.007946697290690084,0.017642495195372733,0.7452454769862226,CRUXEval-output-T0.8
