,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Doubao-lite-4k,Doubao-pro-4k,1000.0,0.157,0.291,266.0,-134.0,0.016309506430300092,7.464361325862417e-17,,,0.01574941268746235,0.274213978892971,DS1000
1,Doubao-lite-4k,ERNIE-Speed-8K,1000.0,0.157,0.088,161.0,69.0,0.012688577540449521,5.283208926292755e-08,,,0.012499559992255728,0.2734640625986782,DS1000
2,Doubao-lite-4k,Qwen-CodeQwen1.5-7B,1000.0,0.157,0.276,225.0,-119.0,0.015000000000000001,7.34622184456983e-16,,,0.014520296140230749,0.37305446338692844,DS1000
3,Doubao-lite-4k,Qwen-Qwen1.5-14B,1000.0,0.157,0.248,193.0,-91.0,0.013892443989449804,4.026853466792048e-11,,,0.01359113681779416,0.42686552272988143,DS1000
4,Doubao-lite-4k,Qwen-Qwen1.5-14B-Chat,1000.0,0.157,0.214,201.0,-57.0,0.014177446878757825,7.051394532266084e-05,,,0.01406239666628701,0.3445071533824774,DS1000
5,Doubao-lite-4k,Qwen-Qwen1.5-32B,1000.0,0.157,0.285,240.0,-128.0,0.015491933384829668,4.150423848969127e-17,,,0.014953795504820844,0.34254849565455325,DS1000
6,Doubao-lite-4k,Qwen-Qwen1.5-32B-Chat,1000.0,0.157,0.328,251.0,-171.0,0.01584297951775486,3.029542914066364e-29,,,0.01489157479919434,0.3835152599630791,DS1000
7,Doubao-lite-4k,Qwen-Qwen1.5-72B,1000.0,0.157,0.343,260.0,-186.0,0.0161245154965971,1.4383939398769558e-33,,,0.015013460627050647,0.38302747264533865,DS1000
8,Doubao-lite-4k,Qwen-Qwen1.5-72B-Chat,1000.0,0.157,0.355,280.0,-198.0,0.016733200530681513,3.668420643421399e-35,,,0.015517602907665861,0.3461844159679777,DS1000
9,Doubao-lite-4k,Qwen-Qwen1.5-7B,1000.0,0.157,0.201,172.0,-44.0,0.013114877048604,0.0009857426331598563,,,0.013040858867421271,0.42144157896751744,DS1000
10,Doubao-lite-4k,Qwen-Qwen2-0.5B,1000.0,0.157,0.039,142.0,118.0,0.011916375287812983,3.433143911796545e-26,,,0.011317066757777829,0.29642203218579694,DS1000
11,Doubao-lite-4k,Qwen-Qwen2-1.5B,1000.0,0.157,0.118,151.0,39.0,0.012288205727444507,0.0018877311602805867,,,0.012226160476617341,0.37041681340490085,DS1000
