,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,2546.0,0.6370777690494894,0.4744697564807541,820.0,414.0,0.011247306412628715,2.7362357380357586e-49,,,0.010775734201973442,0.38508843289459255,agi_english
1,Meta-Llama-3-70B,Mistral-7B-v0.1,2546.0,0.6370777690494894,0.4399057344854674,902.0,502.0,0.011796274483645883,4.82177684264606e-66,,,0.01113024396894152,0.33977488139213413,agi_english
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,2546.0,0.6370777690494894,0.6119402985074627,580.0,64.0,0.00945922590635687,0.008841111380734273,,,0.009446097843995941,0.5153295434144393,agi_english
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,2546.0,0.6370777690494894,0.5035349567949725,740.0,340.0,0.010684580132549444,6.162102650575997e-37,,,0.010351601999599207,0.4333726694044116,agi_english
4,Meta-Llama-3-70B,Qwen1.5-110B,2546.0,0.6370777690494894,0.6523959151610369,553.0,-39.0,0.00923643049199124,0.10602581592316075,,,0.009231440070886363,0.5262782998680554,agi_english
5,Meta-Llama-3-70B,Qwen1.5-14B,2546.0,0.6370777690494894,0.5471327572663001,705.0,229.0,0.010428843713552046,4.565233943444145e-18,,,0.010275368923693334,0.4390488218221372,agi_english
6,Meta-Llama-3-70B,Qwen1.5-32B,2546.0,0.6370777690494894,0.6135113904163394,620.0,60.0,0.009779968262363497,0.017741419707717296,,,0.009768809714294458,0.48124479656116675,agi_english
7,Meta-Llama-3-70B,Qwen1.5-72B,2546.0,0.6370777690494894,0.6323644933228594,572.0,12.0,0.009393763348862057,0.6456022828729818,,,0.00939329891014197,0.5155311567793509,agi_english
8,Meta-Llama-3-70B,Qwen1.5-7B,2546.0,0.6370777690494894,0.48232521602513745,820.0,394.0,0.011247306412628715,1.35446080514617e-44,,,0.010821073688078687,0.3803449807991686,agi_english
9,Meta-Llama-3-70B,dbrx-base,2546.0,0.6370777690494894,0.558523173605656,596.0,200.0,0.009588810381566146,1.8858726336628674e-16,,,0.009461582924462508,0.5232318036804668,agi_english
10,Meta-Llama-3-70B,deepseek-llm-67b-base,2546.0,0.6370777690494894,0.5549882168106834,659.0,209.0,0.010082873254511734,3.0514489196789e-16,,,0.00995075655069164,0.4730591999276348,agi_english
11,Meta-Llama-3-70B,gemma-7b,2546.0,0.6370777690494894,0.45326001571091906,878.0,468.0,0.011638281531837434,7.598850123606243e-59,,,0.011053424992623453,0.35083834982459233,agi_english
12,Meta-Llama-3-70B,llama2_70B,2546.0,0.6370777690494894,0.48860958366064416,782.0,378.0,0.010983606798200755,4.089743440734995e-43,,,0.01058214540162588,0.4076700270836729,agi_english
13,Meta-Llama-3-70B,llama_65B,2546.0,0.6370777690494894,0.4842890809112333,833.0,389.0,0.011336111303740622,9.299993954013471e-43,,,0.010924210570606436,0.36855058520894435,agi_english
14,Meta-Llama-3-8B,Meta-Llama-3-70B,2546.0,0.4744697564807541,0.6370777690494894,820.0,-414.0,0.011247306412628715,2.7362357380357586e-49,,,0.010775734201973442,0.38508843289459255,agi_english
15,Meta-Llama-3-8B,Mistral-7B-v0.1,2546.0,0.4744697564807541,0.4399057344854674,702.0,88.0,0.010406631028665963,0.0010110364191495398,,,0.010384061567574845,0.44622233250957183,agi_english
16,Meta-Llama-3-8B,Mixtral-8x22B-v0.1,2546.0,0.4744697564807541,0.6119402985074627,844.0,-350.0,0.011410714097670032,3.324171434049337e-34,,,0.011080691025777372,0.35797232834376297,agi_english
17,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,2546.0,0.4744697564807541,0.5035349567949725,728.0,-74.0,0.010597594315186207,0.006778712643767457,,,0.010581927811522207,0.42905392139499365,agi_english
18,Meta-Llama-3-8B,Qwen1.5-0.5B,2546.0,0.4744697564807541,0.29379418695993714,1012.0,460.0,0.01249487330760948,6.93168567976098e-49,,,0.011970810786629595,0.20220672725909217,agi_english
19,Meta-Llama-3-8B,Qwen1.5-1.8B,2546.0,0.4744697564807541,0.3413197172034564,953.0,339.0,0.012125175994055878,1.789318768175781e-28,,,0.011834544651375019,0.2483138853724537,agi_english
20,Meta-Llama-3-8B,Qwen1.5-110B,2546.0,0.4744697564807541,0.6523959151610369,877.0,-453.0,0.011631651920629102,4.095003304308915e-55,,,0.011084269496649181,0.3434052197609742,agi_english
21,Meta-Llama-3-8B,Qwen1.5-14B,2546.0,0.4744697564807541,0.5471327572663001,729.0,-185.0,0.010604870384917519,7.330730545787577e-12,,,0.010506639293782363,0.43465014858570106,agi_english
22,Meta-Llama-3-8B,Qwen1.5-32B,2546.0,0.4744697564807541,0.6135113904163394,842.0,-354.0,0.011397186275370707,4.608083492784607e-35,,,0.011059047950679869,0.36001987917213557,agi_english
23,Meta-Llama-3-8B,Qwen1.5-4B,2546.0,0.4744697564807541,0.42851531814611155,733.0,117.0,0.010633924878775243,1.7620348999493663e-05,,,0.010594852347638583,0.4217720696557173,agi_english
24,Meta-Llama-3-8B,Qwen1.5-72B,2546.0,0.4744697564807541,0.6323644933228594,864.0,-402.0,0.011545120547289135,5.734721770458787e-44,,,0.011112951199642755,0.3476458001347318,agi_english
