,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,1165.0,0.6017167381974249,0.6497854077253219,182.0,-56.0,0.011580032243117632,4.007639265526995e-05,,,0.011494076809195838,0.6708011445183265,arc_challenge
1,DeepSeek-V2,Meta-Llama-3-8B,1165.0,0.6017167381974249,0.5356223175965665,215.0,77.0,0.012586161629712602,1.6265467921323027e-07,,,0.012436305835047786,0.6311767876229664,arc_challenge
2,DeepSeek-V2,Mistral-7B-v0.1,1165.0,0.6017167381974249,0.5416309012875536,208.0,70.0,0.012379575194726143,1.3790084322234868e-06,,,0.01225377106657197,0.6415775522777191,arc_challenge
3,DeepSeek-V2,Mixtral-8x22B-v0.1,1165.0,0.6017167381974249,0.6188841201716738,166.0,-20.0,0.011059312211781224,0.14006351827142788,,,0.011047868976048971,0.700992810753615,arc_challenge
4,DeepSeek-V2,Mixtral-8x7B-v0.1,1165.0,0.6017167381974249,0.6017167381974249,172.0,0.0,0.011257405191934765,1.0,,,0.011257405191934765,0.6919732893895466,arc_challenge
5,DeepSeek-V2,Qwen1.5-110B,1165.0,0.6017167381974249,0.5502145922746781,222.0,60.0,0.012789411524250076,6.827503379647057e-05,,,0.01270008850226049,0.6143411206225218,arc_challenge
6,DeepSeek-V2,Qwen1.5-14B,1165.0,0.6017167381974249,0.455793991416309,266.0,170.0,0.013999576335021536,4.6966742260566066e-27,,,0.013330810169216847,0.575576444519137,arc_challenge
7,DeepSeek-V2,Qwen1.5-32B,1165.0,0.6017167381974249,0.5012875536480687,253.0,117.0,0.013653196326684004,1.0951513690686953e-13,,,0.01333237567299381,0.5772134905309075,arc_challenge
8,DeepSeek-V2,Qwen1.5-72B,1165.0,0.6017167381974249,0.5236051502145923,227.0,91.0,0.012932634483535934,1.4105988880608613e-09,,,0.012728541320448853,0.6142107155929836,arc_challenge
9,DeepSeek-V2,Qwen1.5-7B,1165.0,0.6017167381974249,0.4206008583690987,313.0,211.0,0.015186099581934877,2.4046902374183404e-35,,,0.014228864032273728,0.5120344163404321,arc_challenge
10,DeepSeek-V2,dbrx-base,1165.0,0.6017167381974249,0.6592274678111588,255.0,-67.0,0.013707055298430311,3.247952843546111e-05,,,0.01360309975249645,0.5359757386826086,arc_challenge
