,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,1319.0,0.7733131159969674,0.8271417740712661,249.0,-71.0,0.011963407003835861,8.020884376598191e-06,,,0.011871240401207035,0.4181384616172437,gsm8k
1,DeepSeek-V2,Mixtral-8x22B-v0.1,1319.0,0.7733131159969674,0.8021228203184231,258.0,-38.0,0.012177694013805163,0.021069043721956993,,,0.012151829805004476,0.41740048528826784,gsm8k
2,DeepSeek-V2,Mixtral-8x7B-v0.1,1319.0,0.7733131159969674,0.6034874905231236,366.0,224.0,0.014504265708649728,1.4495644308268287e-33,,,0.01372982560379348,0.4051247469002732,gsm8k
3,DeepSeek-V2,Qwen1.5-110B,1319.0,0.7733131159969674,0.8407884761182715,263.0,-89.0,0.012295128688572294,4.318202012490537e-08,,,0.012153945427339104,0.3731475426104504,gsm8k
4,DeepSeek-V2,Qwen1.5-14B,1319.0,0.7733131159969674,0.6952236542835482,315.0,103.0,0.013455829681045374,6.72332633888518e-09,,,0.013282928151652293,0.40074278372951033,gsm8k
5,DeepSeek-V2,Qwen1.5-32B,1319.0,0.7733131159969674,0.7626990144048522,288.0,14.0,0.012866234077693056,0.44371221051651627,,,0.01286291439731403,0.38752847743803226,gsm8k
6,DeepSeek-V2,Qwen1.5-72B,1319.0,0.7733131159969674,0.7839272175890827,278.0,-14.0,0.012640888552337427,0.4356290984950465,,,0.012637509677276372,0.38891113056574905,gsm8k
7,DeepSeek-V2,Qwen1.5-7B,1319.0,0.7733131159969674,0.5905989385898408,407.0,241.0,0.015295103109804408,1.0102492101669717e-34,,,0.014444020871565228,0.3446423929762045,gsm8k
8,DeepSeek-V2,dbrx-base,1319.0,0.7733131159969674,0.6952236542835482,337.0,103.0,0.013917786012650356,2.1588746571642996e-08,,,0.013750694359579855,0.35747106890591607,gsm8k
9,DeepSeek-V2,deepseek-llm-67b-base,1319.0,0.7733131159969674,0.6292645943896892,344.0,190.0,0.014061589833958612,1.1032221588795767e-25,,,0.013490615684864505,0.4167019676028795,gsm8k
10,Meta-Llama-3-70B,DeepSeek-V2,1319.0,0.8271417740712661,0.7733131159969674,249.0,71.0,0.011963407003835861,8.020884376598191e-06,,,0.011871240401207035,0.41813846161724366,gsm8k
11,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1319.0,0.8271417740712661,0.8021228203184231,201.0,33.0,0.01074863296342519,0.023761175886632374,,,0.010726534761958256,0.4976545148889074,gsm8k
12,Meta-Llama-3-70B,Qwen1.5-110B,1319.0,0.8271417740712661,0.8407884761182715,216.0,-18.0,0.011142485562319232,0.24733281888174355,,,0.011136148002476363,0.4093632536592233,gsm8k
13,Meta-Llama-3-70B,Qwen1.5-14B,1319.0,0.8271417740712661,0.6952236542835482,330.0,174.0,0.013772480761626195,1.6069987458661695e-22,,,0.013284863647132366,0.35068927681821843,gsm8k
14,Meta-Llama-3-70B,Qwen1.5-32B,1319.0,0.8271417740712661,0.7626990144048522,271.0,85.0,0.012480726029684858,2.6987384799864957e-07,,,0.012353947705738945,0.38125674146850025,gsm8k
15,Meta-Llama-3-70B,Qwen1.5-72B,1319.0,0.8271417740712661,0.7839272175890827,273.0,57.0,0.01252669571027923,0.0006731414108808667,,,0.012470054598066852,0.3446030726952454,gsm8k
16,Meta-Llama-3-70B,dbrx-base,1319.0,0.8271417740712661,0.6952236542835482,300.0,174.0,0.013131545167315219,6.900082441586875e-25,,,0.012619185959275468,0.4160261823105111,gsm8k
17,Meta-Llama-3-70B,deepseek-llm-67b-base,1319.0,0.8271417740712661,0.6292645943896892,349.0,261.0,0.014163412958505992,3.459251793897993e-49,,,0.013073508028399657,0.41292749443821,gsm8k
