,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,10042.0,0.85929097789285,0.8045210117506473,752.0,550.0,0.0027307925116116486,2.9325094187994472e-99,,,0.002675538721003076,0.7479988023444499,hellaswag
1,Meta-Llama-3-70B,Mistral-7B-v0.1,10042.0,0.85929097789285,0.8170683130850428,700.0,424.0,0.0026346856314126573,1.561798712959166e-61,,,0.0026007765491942426,0.752991201719612,hellaswag
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,10042.0,0.85929097789285,0.8680541724756025,468.0,-88.0,0.0021542827776124215,5.516791040766929e-05,,,0.0021525071536220206,0.8026801001722936,hellaswag
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,10042.0,0.85929097789285,0.8451503684524995,512.0,142.0,0.002253277932480534,3.591078411354897e-10,,,0.002248855128302295,0.7989190137635575,hellaswag
4,Meta-Llama-3-70B,Qwen1.5-110B,10042.0,0.85929097789285,0.8654650468034256,468.0,-62.0,0.0021542827776124215,0.004754142956148244,,,0.0021534015687508534,0.8039471177605921,hellaswag
5,Meta-Llama-3-70B,Qwen1.5-14B,10042.0,0.85929097789285,0.8003385779725154,864.0,592.0,0.002927093896972529,1.6849397201775666e-98,,,0.0028673670314435847,0.7127459128009771,hellaswag
6,Meta-Llama-3-70B,Qwen1.5-32B,10042.0,0.85929097789285,0.8412666799442342,563.0,181.0,0.0023628381831716136,1.9778358084958273e-14,,,0.0023559823057802114,0.7819014828507136,hellaswag
7,Meta-Llama-3-70B,Qwen1.5-4B,10042.0,0.85929097789285,0.7155945030870344,1607.0,1443.0,0.00399197415909728,0.0,,,0.003725537031368868,0.5898275161112226,hellaswag
8,Meta-Llama-3-70B,Qwen1.5-72B,10042.0,0.85929097789285,0.853415654252141,529.0,59.0,0.002290380402310297,0.011606859717334031,,,0.0022896298569901824,0.7861193638621043,hellaswag
9,Meta-Llama-3-70B,Qwen1.5-7B,10042.0,0.85929097789285,0.772953594901414,1115.0,867.0,0.0033251957492658833,2.03328003297026e-168,,,0.003211639775409979,0.6618694021463571,hellaswag
10,Meta-Llama-3-70B,dbrx-base,10042.0,0.85929097789285,0.8865763792073292,666.0,-274.0,0.002569903983382581,6.967887322221571e-27,,,0.002555439013288276,0.7068905522382023,hellaswag
11,Meta-Llama-3-70B,deepseek-llm-67b-base,10042.0,0.85929097789285,0.8552081258713403,443.0,41.0,0.0020959535132293555,0.05725055720694579,,,0.00209555747559905,0.8198729201728072,hellaswag
12,Meta-Llama-3-70B,deepseek-llm-7b-base,10042.0,0.85929097789285,0.7721569408484366,1073.0,875.0,0.0032619676068829317,2.3725804844489138e-181,,,0.003143942441153641,0.6773528315881987,hellaswag
13,Meta-Llama-3-70B,deepseek-moe-16b-base,10042.0,0.85929097789285,0.7855008962358097,941.0,741.0,0.00305474241190559,1.2763448405856318e-146,,,0.00296466370997066,0.7046062049177175,hellaswag
14,Meta-Llama-3-70B,falcon-40b,10042.0,0.85929097789285,0.8507269468233419,524.0,86.0,0.0022795305999322043,0.00019854036129171544,,,0.002277928042823099,0.7900425738506643,hellaswag
15,Meta-Llama-3-70B,falcon-7b,10042.0,0.85929097789285,0.7834096793467437,972.0,762.0,0.003104651915578549,7.847791002726274e-150,,,0.0030108926589033007,0.696601106117084,hellaswag
16,Meta-Llama-3-70B,gemma-2b,10042.0,0.85929097789285,0.7171878111929895,1567.0,1427.0,0.003941978771736603,0.0,,,0.0036780852840013114,0.5998915902357665,hellaswag
17,Meta-Llama-3-70B,gemma-7b,10042.0,0.85929097789285,0.8084047002589125,759.0,511.0,0.0027434728767090043,1.835449557428319e-83,,,0.002696068453329588,0.7409813625210177,hellaswag
18,Meta-Llama-3-70B,llama2_07B,10042.0,0.85929097789285,0.7623979286994622,1299.0,973.0,0.003589090079852639,8.626032440839594e-180,,,0.003456395214948485,0.6151858941633144,hellaswag
19,Meta-Llama-3-70B,llama2_13B,10042.0,0.85929097789285,0.8032264489145589,1011.0,563.0,0.0031663240580730224,6.314116501795565e-74,,,0.0031165043775836783,0.6562134692678417,hellaswag
20,Meta-Llama-3-70B,llama2_70B,10042.0,0.85929097789285,0.8304122684724159,816.0,290.0,0.0028446239508236803,1.5041735138347027e-24,,,0.0028299887353792565,0.694742293339434,hellaswag
21,Meta-Llama-3-70B,llama_07B,10042.0,0.85929097789285,0.7714598685520813,1090.0,882.0,0.003287706436809237,7.965653863965614e-181,,,0.0031687236696025267,0.6725425333873442,hellaswag
22,Meta-Llama-3-70B,llama_13B,10042.0,0.85929097789285,0.8037243576976698,818.0,558.0,0.00284810787613525,1.9455525746669443e-92,,,0.0027936078706533663,0.7251271721717886,hellaswag
23,Meta-Llama-3-70B,llama_33B,10042.0,0.85929097789285,0.840071698864768,549.0,193.0,0.0023332751471539497,1.2265405957569402e-16,,,0.0023253793958656122,0.788366541165296,hellaswag
24,Meta-Llama-3-70B,llama_65B,10042.0,0.85929097789285,0.8527185819557856,486.0,66.0,0.002195320422729397,0.003153405337254358,,,0.002194340490038136,0.8039841746098302,hellaswag
25,Meta-Llama-3-70B,mpt-30b,10042.0,0.85929097789285,0.8077076279625572,772.0,518.0,0.002766867952489505,3.0192957350671086e-84,,,0.0027185633976518006,0.7370604090557967,hellaswag
26,Meta-Llama-3-70B,pythia-12b-deduped-v0,10042.0,0.85929097789285,0.6954789882493527,1769.0,1645.0,0.004188357069271677,0.0,,,0.003856179643288833,0.5729566439337103,hellaswag
27,Meta-Llama-3-70B,pythia-6.9b-deduped-v0,10042.0,0.85929097789285,0.6610237004580761,2099.0,1991.0,0.004562322720157462,0.0,,,0.004110989951781193,0.5324161816607648,hellaswag
28,Meta-Llama-3-70B,stablelm-3b-4e1t,10042.0,0.85929097789285,0.7523401712806214,1226.0,1074.0,0.0034867837880923317,4.8616118181542836e-247,,,0.003319427322270898,0.6548711507283161,hellaswag
29,Meta-Llama-3-70B,stablelm-base-alpha-7b-v2,10042.0,0.85929097789285,0.754829715196176,1215.0,1049.0,0.0034711063648542873,5.773370773799391e-236,,,0.003310880214149866,0.6547831360532159,hellaswag
30,Meta-Llama-3-8B,Meta-Llama-3-70B,10042.0,0.8045210117506473,0.85929097789285,752.0,-550.0,0.0027307925116116486,2.9325094187994472e-99,,,0.002675538721003076,0.7479988023444499,hellaswag
31,Meta-Llama-3-8B,Mistral-7B-v0.1,10042.0,0.8045210117506473,0.8170683130850428,590.0,-126.0,0.0024188324639496353,2.4044082930433416e-07,,,0.00241558954659714,0.8092307094179331,hellaswag
