,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Claude-3-Haiku,Claude-3.5-Sonnet-20241022,454.0,0.2022026431718062,0.36387665198237884,80.03999999999999,-73.4,0.019705964093696075,1.4128410298528223e-19,0.008705937655084662,0.015967401624125993,0.01818656826012985,0.6809385169042984,lcb_codegen_v6_080124
1,Claude-3-Haiku,DeepSeek-V3,454.0,0.2022026431718062,0.2720264317180617,105.96000000000001,-31.699999999999996,0.022673320233405764,0.0032209898687985275,0.009208465254104639,0.020458370816594816,0.0224352572707636,0.4041977750546607,lcb_codegen_v6_080124
2,Claude-3-Haiku,GPT-4-Turbo-2024-04-09,454.0,0.2022026431718062,0.28700440528634363,62.599999999999994,-38.5,0.01742734840956166,1.2143807700186297e-06,0.009809390026349035,0.013843712885930951,0.01696680639239827,0.7228492355603596,lcb_codegen_v6_080124
3,Claude-3-Haiku,GPT-4O-2024-08-06,454.0,0.2022026431718062,0.2953744493392071,69.7,-42.3,0.018389102612107314,1.6837633430122172e-07,0.009721065076454384,0.014984621293180251,0.017861634346293512,0.6820766280769051,lcb_codegen_v6_080124
4,Claude-3-Haiku,GPT-4O-mini-2024-07-18,454.0,0.2022026431718062,0.2746696035242291,55.1,-32.9,0.016350082431626112,8.699371704778969e-06,0.008212049287360022,0.01372298614577149,0.015992438908905247,0.7379162147374199,lcb_codegen_v6_080124
5,Claude-3-Haiku,Gemini-Flash-2.0-Exp,454.0,0.2022026431718062,0.31277533039647576,63.8,-50.2,0.01759359079093908,1.6395687108330947e-11,,,0.016810836341620044,0.6916978306311642,lcb_codegen_v6_080124
6,Claude-3.5-Sonnet-20241022,Claude-3-Haiku,454.0,0.36387665198237884,0.2022026431718062,80.03999999999999,73.4,0.019705964093696075,2.7577887293885173e-18,0.008705937655084662,0.015967401624125993,0.01818656826012985,0.6809385169042985,lcb_codegen_v6_080124
7,Claude-3.5-Sonnet-20241022,Claude-3.7-Sonnet,454.0,0.36387665198237884,0.5044052863436124,77.79999999999998,-63.79999999999998,0.01942826173674004,3.5245694262351566e-14,,,0.01827454246768642,0.7157876604363712,lcb_codegen_v6_080124
8,Claude-3.5-Sonnet-20241022,Claude-Opus-4,454.0,0.36387665198237884,0.46916299559471364,74.8,-47.8,0.019049998511400577,1.3936467518320873e-08,,,0.018397980107231714,0.7106314169654812,lcb_codegen_v6_080124
9,Claude-3.5-Sonnet-20241022,Claude-Sonnet-4,454.0,0.36387665198237884,0.4713656387665198,77.0,-48.79999999999999,0.019328115390731548,1.414072408794608e-08,,,0.01865816080555104,0.701215036282214,lcb_codegen_v6_080124
10,Claude-3.5-Sonnet-20241022,Claude-Sonnet-4 (Thinking),454.0,0.36387665198237884,0.5594713656387665,103.2,-88.8,0.022376079469956466,4.207682867061068e-21,,,0.02040641490873573,0.6313656841856314,lcb_codegen_v6_080124
11,Claude-3.5-Sonnet-20241022,DeepSeek-V3,454.0,0.36387665198237884,0.2720264317180617,102.89999999999999,41.7,0.022343532428045394,3.885014426598705e-05,0.010128433629696563,0.019443913084386415,0.021923752503263248,0.547648296530036,lcb_codegen_v6_080124
12,Claude-3.5-Sonnet-20241022,GPT-4-Turbo-2024-04-09,454.0,0.36387665198237884,0.28700440528634363,69.12,34.900000000000006,0.01831243144566214,2.9304321745456655e-05,0.010677708937040372,0.014433139118511953,0.017953522577992095,0.7469639124845667,lcb_codegen_v6_080124
13,Claude-3.5-Sonnet-20241022,GPT-4O-2024-08-06,454.0,0.36387665198237884,0.2953744493392071,61.52,31.1,0.017276362600112404,8.837556327558756e-05,0.010596624069758111,0.013260778480426052,0.016974589467280428,0.7867195581269221,lcb_codegen_v6_080124
14,Claude-3.5-Sonnet-20241022,GPT-4O-mini-2024-07-18,454.0,0.36387665198237884,0.2746696035242291,65.44,40.5,0.017818280542869325,1.1688116132369708e-06,0.00923185187019084,0.014653860377825465,0.01731943165712862,0.7459407736135167,lcb_codegen_v6_080124
15,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Exp,454.0,0.36387665198237884,0.31277533039647576,57.2,23.200000000000003,0.016658740441576246,0.0032015437674503813,,,0.016485198564680125,0.756013739242242,lcb_codegen_v6_080124
16,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Thinking-01-21,454.0,0.36387665198237884,0.4889867841409692,81.39999999999999,-56.8,0.019872675891876586,7.033000834768929e-11,,,0.01898542270707345,0.6896105020428348,lcb_codegen_v6_080124
17,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Thinking-12-19,454.0,0.36387665198237884,0.486784140969163,88.2,-55.8,0.02068609142180422,1.1915233414863414e-09,,,0.019865565635718025,0.655867889870203,lcb_codegen_v6_080124
18,Claude-3.5-Sonnet-20241022,QwQ-32B_temp,454.0,0.36387665198237884,0.5572687224669604,110.2,-87.8,0.02312250832072372,7.369793042206747e-19,,,0.02126665113918053,0.5960458851487385,lcb_codegen_v6_080124
19,Claude-3.7-Sonnet,Claude-3.5-Sonnet-20241022,454.0,0.5044052863436124,0.36387665198237884,77.79999999999998,63.79999999999998,0.01942826173674004,3.5245694262351566e-14,,,0.01827454246768642,0.7157876604363712,lcb_codegen_v6_080124
20,Claude-3.7-Sonnet,Claude-Opus-4,454.0,0.5044052863436124,0.46916299559471364,64.0,16.0,0.01762114537444934,0.05994118956699923,,,0.017543347443171067,0.7200035877003248,lcb_codegen_v6_080124
21,Claude-3.7-Sonnet,Claude-Opus-4 (Thinking),454.0,0.5044052863436124,0.566079295154185,50.0,-28.0,0.015575039233183867,9.021490107130603e-05,,,0.015303714906143085,0.7854913816445204,lcb_codegen_v6_080124
22,Claude-3.7-Sonnet,Claude-Sonnet-4,454.0,0.5044052863436124,0.4713656387665198,51.0,15.0,0.01573001856507236,0.04887389231827033,,,0.015653403413837357,0.7771405240988449,lcb_codegen_v6_080124
23,Claude-3.7-Sonnet,Claude-Sonnet-4 (Thinking),454.0,0.5044052863436124,0.5594713656387665,55.0,-25.0,0.01633523895836049,0.0010158471941252854,,,0.016129507624609393,0.7621007320919736,lcb_codegen_v6_080124
24,Claude-3.7-Sonnet,EXAONE-4.0-32B,454.0,0.5044052863436124,0.7004405286343612,117.0,-89.0,0.023825228692493323,6.384202700912362e-18,,,0.021977132432573508,0.5967526636397641,lcb_codegen_v6_080124
25,Claude-3.7-Sonnet,Gemini-2.5-Flash-04-17,454.0,0.5044052863436124,0.6057268722466961,82.0,-46.0,0.01994578224259343,3.3155201688475004e-07,,,0.01937064154861225,0.6516636270082086,lcb_codegen_v6_080124
26,Claude-3.7-Sonnet,Gemini-2.5-Flash-05-20,454.0,0.5044052863436124,0.6189427312775331,84.0,-52.0,0.020187558127558767,8.542340953724185e-09,,,0.01945871038890807,0.6464416736606687,lcb_codegen_v6_080124
27,Claude-3.7-Sonnet,Gemini-2.5-Pro-03-25,454.0,0.5044052863436124,0.6784140969162996,107.0,-79.0,0.022784318133895597,1.7572571105612e-15,,,0.021270429579755872,0.5625430940659826,lcb_codegen_v6_080124
28,Claude-3.7-Sonnet,Gemini-Flash-2.0-Exp,454.0,0.5044052863436124,0.31277533039647576,97.0,87.0,0.02169351938721609,8.590765687358437e-22,,,0.019741409086152416,0.6212028323083565,lcb_codegen_v6_080124
29,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-01-21,454.0,0.5044052863436124,0.4889867841409692,73.0,7.0,0.01881939150950998,0.48278855684402133,,,0.0188054742552281,0.6787991871487503,lcb_codegen_v6_080124
30,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-12-19,454.0,0.5044052863436124,0.486784140969163,84.0,8.0,0.020187558127558767,0.4452046690465761,,,0.0201706115909917,0.6304335468875172,lcb_codegen_v6_080124
31,Claude-3.7-Sonnet,Grok-3-Mini (High),454.0,0.5044052863436124,0.6674008810572687,142.0,-74.0,0.026247522660381026,3.56672340077316e-10,,,0.02510803820691768,0.39426771075198463,lcb_codegen_v6_080124
32,Claude-3.7-Sonnet,O3-Mini-2025-01-31 (High),454.0,0.5044052863436124,0.6740088105726872,129.0,-77.0,0.02501721738238006,4.855987785091934e-12,,,0.023717110950382644,0.4572522197637254,lcb_codegen_v6_080124
33,Claude-3.7-Sonnet,O3-Mini-2025-01-31 (Low),454.0,0.5044052863436124,0.5704845814977973,80.0,-30.0,0.019701039449337356,0.0010527348573533446,,,0.019455415001988583,0.6528798274160624,lcb_codegen_v6_080124
34,Claude-3.7-Sonnet,O3-Mini-2025-01-31 (Med),454.0,0.5044052863436124,0.6299559471365639,107.0,-57.0,0.022784318133895597,2.9080967413009272e-08,,,0.0220092016678624,0.5450985841421488,lcb_codegen_v6_080124
35,Claude-3.7-Sonnet,O4-Mini (Low),454.0,0.5044052863436124,0.6585903083700441,98.0,-70.0,0.021805054926457415,2.4575158375112673e-13,,,0.02056932030789748,0.5962991633256283,lcb_codegen_v6_080124
36,Claude-3.7-Sonnet,OpenReasoning-Nemotron-32B,454.0,0.5044052863436124,0.6980176211453746,116.1,-87.9,0.023733416294362958,1.1257071535022126e-17,,,0.02192503929639014,0.6151810626647347,lcb_codegen_v6_080124
37,Claude-3.7-Sonnet,QwQ-32B_temp,454.0,0.5044052863436124,0.5572687224669604,78.0,-24.0,0.019453217767241956,0.008771714457060136,,,0.019294359297719676,0.6597457956568874,lcb_codegen_v6_080124
38,Claude-3.7-Sonnet,Qwen3-235B-A22B,454.0,0.5044052863436124,0.6585903083700441,96.0,-70.0,0.02158140742540245,1.202072479759671e-13,,,0.020332084596624004,0.6055897985619039,lcb_codegen_v6_080124
39,Claude-3.7-Sonnet,XBai-o4-medium,454.0,0.5044052863436124,0.6497797356828194,102.0,-66.0,0.0222456055911059,2.2569999817319074e-11,,,0.021173495244972657,0.5744215744694331,lcb_codegen_v6_080124
40,Claude-Opus-4,Claude-3.5-Sonnet-20241022,454.0,0.46916299559471364,0.36387665198237884,74.8,47.8,0.019049998511400577,1.3936467518320873e-08,,,0.018397980107231714,0.7106314169654812,lcb_codegen_v6_080124
41,Claude-Opus-4,Claude-3.7-Sonnet,454.0,0.46916299559471364,0.5044052863436124,64.0,-16.0,0.01762114537444934,0.05994118956699923,,,0.017543347443171067,0.7200035877003248,lcb_codegen_v6_080124
42,Claude-Opus-4,Claude-Opus-4 (Thinking),454.0,0.46916299559471364,0.566079295154185,60.0,-44.0,0.017061600644085538,5.205691473372798e-09,,,0.016444126543269988,0.751847034263066,lcb_codegen_v6_080124
43,Claude-Opus-4,Claude-Sonnet-4,454.0,0.46916299559471364,0.4713656387665198,51.0,-1.0,0.01573001856507236,1.0,,,0.015729678878875376,0.7745416216214291,lcb_codegen_v6_080124
44,Claude-Opus-4,Claude-Sonnet-4 (Thinking),454.0,0.46916299559471364,0.5594713656387665,65.0,-41.0,0.017758276978631166,2.7862343424643344e-07,,,0.01724507236439662,0.7275318637797255,lcb_codegen_v6_080124
45,Claude-Opus-4,DeepSeek-V3,454.0,0.46916299559471364,0.2720264317180617,122.5,89.5,0.024378792534337727,1.8172560940408264e-17,,,0.022554923846287114,0.5172609577347353,lcb_codegen_v6_080124
46,Claude-Opus-4,GPT-4-Turbo-2024-04-09,454.0,0.46916299559471364,0.28700440528634363,94.89999999999999,82.7,0.021457407714462653,8.807936656038951e-20,,,0.019680771994572844,0.661334338664974,lcb_codegen_v6_080124
47,Claude-Opus-4,GPT-4O-2024-08-06,454.0,0.46916299559471364,0.2953744493392071,91.89999999999999,78.89999999999999,0.02111552592283148,5.782725134355011e-19,,,0.019476657704263343,0.6703916960373131,lcb_codegen_v6_080124
