,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,CohereForAI--c4ai-command-r-plus,HuggingFaceH4--starchat2-15b-v0.1,378.0,0.7433862433862434,0.7486772486772487,68.0,-2.0,0.021815373680516722,0.9035973456835127,,,0.021813676184215623,0.5253347008117534,mbpp
1,CohereForAI--c4ai-command-r-plus,Qwen--Qwen1.5-72B-Chat,378.0,0.7433862433862434,0.7248677248677249,75.0,7.0,0.02291072496784229,0.48868297090314317,,,0.022890917013200496,0.4925076905240264,mbpp
2,CohereForAI--c4ai-command-r-plus,bigcode--starcoder2-15b-instruct-v0.1,378.0,0.7433862433862434,0.7804232804232805,76.0,-14.0,0.023062957373231077,0.13538510529943087,,,0.02298414791572559,0.4492168762397638,mbpp
3,CohereForAI--c4ai-command-r-plus,claude-3-haiku-20240307,378.0,0.7433862433862434,0.8015873015873016,66.0,-22.0,0.021492165091629524,0.00921048969455458,,,0.021282666235300625,0.5126555511818232,mbpp
4,CohereForAI--c4ai-command-r-plus,claude-3-opus-20240229,378.0,0.7433862433862434,0.8941798941798942,77.0,-57.0,0.02321419150103736,1.696740832819895e-11,,,0.021880204057260773,0.3886077474087278,mbpp
5,CohereForAI--c4ai-command-r-plus,claude-3-sonnet-20240229,378.0,0.7433862433862434,0.8359788359788359,69.0,-35.0,0.02197519540454517,2.9304321745456655e-05,,,0.021452932011637442,0.47583492841054076,mbpp
6,CohereForAI--c4ai-command-r-plus,code-llama-13b,378.0,0.7433862433862434,0.6349206349206349,101.0,41.0,0.026586972542647858,5.5330705875801516e-05,,,0.025995063581845942,0.39739292938016996,mbpp
7,CohereForAI--c4ai-command-r-plus,code-llama-34b,378.0,0.7433862433862434,0.6931216931216931,93.0,19.0,0.02551230360051046,0.06138589870445953,,,0.02538097134465133,0.39705581827010517,mbpp
8,CohereForAI--c4ai-command-r-plus,code-llama-multi-13b,378.0,0.7433862433862434,0.6296296296296297,99.0,43.0,0.0263224189710746,1.8257600947585227e-05,,,0.025663893621142707,0.4148470165359103,mbpp
9,CohereForAI--c4ai-command-r-plus,code-llama-multi-34b,378.0,0.7433862433862434,0.6666666666666666,89.0,29.0,0.024957622042477787,0.002785268996304216,,,0.02464369597517139,0.4454298468538951,mbpp
10,CohereForAI--c4ai-command-r-plus,code-millenials-34b,378.0,0.7433862433862434,0.7619047619047619,63.0,-7.0,0.0209980262782904,0.44996253629022254,,,0.020976412246542404,0.5532711642396906,mbpp
11,CohereForAI--c4ai-command-r-plus,codegemma-2b,378.0,0.7433862433862434,0.5555555555555556,123.0,71.0,0.02934004366774978,7.967669169699199e-11,,,0.027703859973349426,0.3399536406956254,mbpp
