,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,14042.0,0.7866400797607178,0.6531120922945449,3423.0,1875.0,0.004166529689876107,7.631355208319925e-238,,,0.004011262545621328,0.4319380665235248,mmlu
1,Meta-Llama-3-70B,Mistral-7B-v0.1,14042.0,0.7866400797607178,0.6250534111949865,3893.0,2269.0,0.004443377721067226,3.015950242755711e-308,,,0.004228967477967372,0.38085486434851223,mmlu
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,14042.0,0.7866400797607178,0.7763851303233158,2156.0,144.0,0.0033067046763264204,0.0020649061814721073,,,0.0033055720489425285,0.5507163421753386,mmlu
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,14042.0,0.7866400797607178,0.703318615581826,2870.0,1170.0,0.003815153179313167,1.2565509585951113e-108,,,0.0037497982007958005,0.47839860548937957,mmlu
4,Meta-Llama-3-70B,Qwen1.5-110B,14042.0,0.7866400797607178,0.8109243697478992,2175.0,-341.0,0.003321243075448232,2.7713954384880917e-13,,,0.0033149145116681475,0.5200819937703018,mmlu
5,Meta-Llama-3-70B,Qwen1.5-14B,14042.0,0.7866400797607178,0.6781797464748611,3289.0,1523.0,0.004084162073476618,3.5474728965488815e-161,,,0.003980280493283924,0.4274663516015725,mmlu
6,Meta-Llama-3-70B,Qwen1.5-32B,14042.0,0.7866400797607178,0.7360062669135451,2467.0,711.0,0.0035371673374697743,5.491180184779733e-47,,,0.003511263754651573,0.5233405731043973,mmlu
7,Meta-Llama-3-70B,Qwen1.5-72B,14042.0,0.7866400797607178,0.7718273750178037,2236.0,208.0,0.003367494777819937,1.1837682226808031e-05,,,0.003365173898701743,0.5378256247693043,mmlu
8,Meta-Llama-3-70B,Qwen1.5-7B,14042.0,0.7866400797607178,0.6051844466600199,4022.0,2548.0,0.004516396523488941,0.0,,,0.004248882727181385,0.3826937410593909,mmlu
9,Meta-Llama-3-70B,dbrx-base,14042.0,0.7866400797607178,0.7427004700185159,2553.0,617.0,0.0035982922935934424,1.6499018496781276e-34,,,0.0035791358639966665,0.49989711549683324,mmlu
