,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,3610.0,0.43185595567867036,0.29889196675900276,758.0,480.0,0.007626537339576845,4.53976323219707e-73,,,0.007298405639642165,0.5790925619704745,nq
1,Meta-Llama-3-70B,Mistral-7B-v0.1,3610.0,0.43185595567867036,0.2922437673130194,766.0,504.0,0.00766667728703493,3.8909038792182535e-80,,,0.007306067044172265,0.5759556859720887,nq
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,3610.0,0.43185595567867036,0.4218836565096953,472.0,36.0,0.006018160936953029,0.10707959213902728,,,0.006015871797727396,0.7329672894601015,nq
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,3610.0,0.43185595567867036,0.36925207756232686,540.0,226.0,0.006437091434139751,8.31533589900247e-23,,,0.0063522029676936174,0.6956633428802937,nq
4,Meta-Llama-3-70B,Qwen1.5-110B,3610.0,0.43185595567867036,0.41634349030470913,478.0,56.0,0.006056291165948877,0.011802703492007368,,,0.0060507854328006394,0.7293682074881854,nq
5,Meta-Llama-3-70B,Qwen1.5-14B,3610.0,0.43185595567867036,0.23573407202216065,956.0,708.0,0.008564889104565267,2.2969317491506087e-129,,,0.007918493227869987,0.47363981263816485,nq
6,Meta-Llama-3-70B,Qwen1.5-32B,3610.0,0.43185595567867036,0.30664819944598337,700.0,452.0,0.007328951000178921,1.8281739821830713e-70,,,0.007026440664249913,0.6123968487219448,nq
7,Meta-Llama-3-70B,Qwen1.5-72B,3610.0,0.43185595567867036,0.3590027700831025,601.0,263.0,0.006790942200626739,1.6428839419090863e-27,,,0.006681814900342636,0.6613649251427534,nq
8,Meta-Llama-3-70B,dbrx-base,3610.0,0.43185595567867036,0.4883656509695291,734.0,-204.0,0.00750482946489976,4.65945424193156e-14,,,0.007445661959247964,0.5959005917399943,nq
9,Meta-Llama-3-70B,deepseek-llm-67b-base,3610.0,0.43185595567867036,0.3767313019390582,505.0,199.0,0.006224987549652142,4.298682190121181e-19,,,0.006157005541423186,0.7151632795664786,nq
10,Meta-Llama-3-70B,deepseek-moe-16b-base,3610.0,0.43185595567867036,0.267590027700831,851.0,593.0,0.00808085991457885,1.0735427080772125e-100,,,0.007604321138667369,0.5303377514758917,nq
11,Meta-Llama-3-70B,falcon-40b,3610.0,0.43185595567867036,0.33268698060941826,654.0,358.0,0.007084050887836245,1.0886174057427832e-46,,,0.006889088672583262,0.6342053584063535,nq
12,Meta-Llama-3-70B,gemma-7b,3610.0,0.43185595567867036,0.2476454293628809,929.0,665.0,0.008443075154641646,1.6022171398588676e-116,,,0.007866743391225997,0.48703929264501206,nq
13,Meta-Llama-3-70B,llama2_13B,3610.0,0.43185595567867036,0.27008310249307477,874.0,584.0,0.008189332686478938,2.572679450094333e-94,,,0.007734063359393649,0.5150729703268591,nq
14,Meta-Llama-3-70B,llama2_70B,3610.0,0.43185595567867036,0.3329639889196676,669.0,357.0,0.007164829449516655,2.6457255097957086e-45,,,0.006973216239855918,0.6252541344496227,nq
15,Meta-Llama-3-70B,llama_13B,3610.0,0.43185595567867036,0.28614958448753464,812.0,526.0,0.00789352179987535,4.678241326922543e-82,,,0.0075117710272517195,0.5492525004333735,nq
