,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,1838.0,0.8443960826985855,0.8106637649619152,148.0,62.0,0.006618892851249423,3.639315619509465e-07,,,0.00657196032068716,0.7235199150147777,piqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,1838.0,0.8443960826985855,0.8280739934711643,140.0,30.0,0.006437518806419604,0.01395733412484244,,,0.006426251042816315,0.7233180486628842,piqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1838.0,0.8443960826985855,0.8541893362350381,110.0,-18.0,0.00570625053411399,0.10461305811126718,,,0.005701676475187028,0.7668151413082436,piqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,1838.0,0.8443960826985855,0.8367791077257889,118.0,14.0,0.005910109081175308,0.23126568219748722,,,0.005907437968488059,0.7607803055126752,piqa
4,Meta-Llama-3-70B,Qwen1.5-0.5B,1838.0,0.8443960826985855,0.6947769314472253,345.0,275.0,0.010105645060395381,3.3998030744576363e-56,,,0.009483911572958838,0.5335865658181493,piqa
5,Meta-Llama-3-70B,Qwen1.5-1.8B,1838.0,0.8443960826985855,0.7437431991294886,277.0,185.0,0.009055123491345613,8.0323114036444e-31,,,0.00874547255985124,0.5731720684079271,piqa
6,Meta-Llama-3-70B,Qwen1.5-110B,1838.0,0.8443960826985855,0.8433079434167573,116.0,2.0,0.005859809365761158,0.9260777633148564,,,0.005859754397496832,0.7605211999163074,piqa
7,Meta-Llama-3-70B,Qwen1.5-14B,1838.0,0.8443960826985855,0.7992383025027203,173.0,83.0,0.007156118845465673,2.0371817840373796e-10,,,0.007078174655649687,0.6878963632976256,piqa
8,Meta-Llama-3-70B,Qwen1.5-32B,1838.0,0.8443960826985855,0.8269858541893362,144.0,32.0,0.006528835690968443,0.009543281732431066,,,0.006516193615563863,0.7163111004492891,piqa
9,Meta-Llama-3-70B,Qwen1.5-4B,1838.0,0.8443960826985855,0.7731229597388466,215.0,131.0,0.007977626930693787,4.4637769092992895e-20,,,0.007802482611109903,0.641917295541258,piqa
10,Meta-Llama-3-70B,Qwen1.5-72B,1838.0,0.8443960826985855,0.8269858541893362,136.0,32.0,0.0063448878072310125,0.0076238271738663125,,,0.00633187847658186,0.7321834518335998,piqa
11,Meta-Llama-3-70B,Qwen1.5-7B,1838.0,0.8443960826985855,0.79379760609358,189.0,93.0,0.007479720938448052,8.268710330655746e-12,,,0.007386020244210084,0.6641799622780454,piqa
