,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,1954.0,0.5230296827021494,0.4882292732855681,198.0,68.0,0.007201252445992983,1.53348504089696e-06,,,0.007158089646466113,0.799492930125698,siqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,1954.0,0.5230296827021494,0.4938587512794268,219.0,57.0,0.007573515141734259,0.00014250709525327778,,,0.007544709653904196,0.7772936553306328,siqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1954.0,0.5230296827021494,0.5143295803480041,195.0,17.0,0.007146489275214402,0.25182239587374905,,,0.007143778560607809,0.8002670812011602,siqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,1954.0,0.5230296827021494,0.503582395087001,206.0,38.0,0.007345291757629132,0.009769982885939301,,,0.0073321048037669305,0.7896787851598723,siqa
4,Meta-Llama-3-70B,Qwen1.5-0.5B,1954.0,0.5230296827021494,0.45905834186284544,423.0,125.0,0.010525570010851143,1.2598436920144228e-09,,,0.010425607325334122,0.573345241814572,siqa
5,Meta-Llama-3-70B,Qwen1.5-1.8B,1954.0,0.5230296827021494,0.47236438075742065,423.0,99.0,0.010525570010851143,1.7038933490961467e-06,,,0.010462978663229346,0.5710658111066027,siqa
6,Meta-Llama-3-70B,Qwen1.5-110B,1954.0,0.5230296827021494,0.5880245649948823,403.0,-127.0,0.010273725639654417,2.4805535040326687e-10,,,0.010167966742037468,0.5892224969689173,siqa
7,Meta-Llama-3-70B,Qwen1.5-14B,1954.0,0.5230296827021494,0.5690890481064483,496.0,-90.0,0.011397675256560946,6.165448190431126e-05,,,0.011349947026170832,0.4911871003129033,siqa
8,Meta-Llama-3-70B,Qwen1.5-32B,1954.0,0.5230296827021494,0.5690890481064483,404.0,-90.0,0.010286464300021381,8.780396626859554e-06,,,0.010233554809472455,0.5863659710212715,siqa
9,Meta-Llama-3-70B,Qwen1.5-4B,1954.0,0.5230296827021494,0.4897645854657114,413.0,65.0,0.010400410149898452,0.0016052571554274,,,0.010373149128634358,0.5789558876394443,siqa
10,Meta-Llama-3-70B,Qwen1.5-72B,1954.0,0.5230296827021494,0.5721596724667349,388.0,-96.0,0.01008071422906459,1.2567903970573155e-06,,,0.0100192569464978,0.6031665462129707,siqa
11,Meta-Llama-3-70B,Qwen1.5-7B,1954.0,0.5230296827021494,0.5348004094165814,389.0,-23.0,0.010093696480714443,0.2646353959378977,,,0.01009018348727222,0.6007294259501722,siqa
12,Meta-Llama-3-70B,dbrx-base,1954.0,0.5230296827021494,0.6622313203684749,526.0,-272.0,0.011737302908065217,1.000333477994529e-33,,,0.011306973471733418,0.47272218106093145,siqa
13,Meta-Llama-3-70B,deepseek-llm-67b-base,1954.0,0.5230296827021494,0.5076765609007164,200.0,30.0,0.007237531025450845,0.040037191613399414,,,0.007229192319586643,0.795522504555266,siqa
14,Meta-Llama-3-70B,deepseek-llm-7b-base,1954.0,0.5230296827021494,0.49027635619242577,220.0,64.0,0.007590786578398836,1.9051766794813942e-05,,,0.007554536602280156,0.7766876337191078,siqa
15,Meta-Llama-3-70B,deepseek-moe-16b-base,1954.0,0.5230296827021494,0.4662231320368475,271.0,111.0,0.008424809433548786,1.222381619648269e-11,,,0.008326219907212135,0.7281661783523891,siqa
16,Meta-Llama-3-70B,falcon-40b,1954.0,0.5230296827021494,0.5127942681678608,212.0,20.0,0.007451494257196027,0.19179617486993653,,,0.0074478957877156735,0.782917613891341,siqa
17,Meta-Llama-3-70B,falcon-7b,1954.0,0.5230296827021494,0.4866939611054248,225.0,71.0,0.0076765609007164795,2.552378247420806e-06,,,0.007632424530938186,0.7720213834472522,siqa
18,Meta-Llama-3-70B,gemma-2b,1954.0,0.5230296827021494,0.4764585465711361,255.0,91.0,0.008172323143639361,1.2307853767903e-08,,,0.0081041286403454,0.7427767202531615,siqa
19,Meta-Llama-3-70B,gemma-7b,1954.0,0.5230296827021494,0.5158648925281474,230.0,14.0,0.007761387353174565,0.3913839030786506,,,0.007759694729552533,0.7643196201301617,siqa
20,Meta-Llama-3-70B,llama2_07B,1954.0,0.5230296827021494,0.5,325.0,45.0,0.009226077982251763,0.014533392021433054,,,0.009211356523080973,0.668058034785386,siqa
21,Meta-Llama-3-70B,llama2_13B,1954.0,0.5230296827021494,0.5353121801432958,278.0,-24.0,0.008532923234663802,0.16764182176366024,,,0.00852839805169516,0.7147439516049667,siqa
22,Meta-Llama-3-70B,llama2_70B,1954.0,0.5230296827021494,0.5250767656090072,260.0,-4.0,0.008252055013611617,0.8524493050180938,,,0.008251925069198005,0.7332692232485624,siqa
23,Meta-Llama-3-70B,llama_07B,1954.0,0.5230296827021494,0.48771750255885365,231.0,69.0,0.007778241634375979,6.613226227903767e-06,,,0.00773711124264377,0.7657368729832708,siqa
24,Meta-Llama-3-70B,llama_13B,1954.0,0.5230296827021494,0.5061412487205732,203.0,33.0,0.007291610465084445,0.02446682535921564,,,0.007281594353990713,0.7925562186783471,siqa
25,Meta-Llama-3-70B,llama_33B,1954.0,0.5230296827021494,0.5015353121801432,206.0,42.0,0.007345291757629132,0.00417013208393155,,,0.007329179275549209,0.7898510148098865,siqa
26,Meta-Llama-3-70B,llama_65B,1954.0,0.5230296827021494,0.5209825997952917,196.0,4.0,0.007164790174002047,0.8303925586538715,,,0.0071646405099950565,0.7990040815618025,siqa
27,Meta-Llama-3-70B,mpt-30b,1954.0,0.5230296827021494,0.4851586489252815,222.0,74.0,0.007625212090967932,7.673326261533734e-07,,,0.007576930122247284,0.7753050506393474,siqa
28,Meta-Llama-3-70B,pythia-1.4b-deduped-v0,1954.0,0.5230296827021494,0.43858751279426816,341.0,165.0,0.009450453077082595,1.233205088871097e-19,,,0.00925537100286368,0.6623422484377453,siqa
29,Meta-Llama-3-70B,pythia-12b-deduped-v0,1954.0,0.5230296827021494,0.46673490276356194,260.0,110.0,0.008252055013611617,6.719840002433466e-12,,,0.008153193128278662,0.7393646339135,siqa
30,Meta-Llama-3-70B,pythia-1b-deduped,1954.0,0.5230296827021494,0.44268167860798363,337.0,157.0,0.009394861694312088,4.6965184784955645e-18,,,0.00921734972191207,0.6654350765940544,siqa
31,Meta-Llama-3-70B,pythia-2.8b-deduped,1954.0,0.5230296827021494,0.4534288638689867,292.0,136.0,0.008745142011583962,8.228765363413757e-16,,,0.00860222943116914,0.709248658920381,siqa
32,Meta-Llama-3-70B,pythia-6.9b-deduped-v0,1954.0,0.5230296827021494,0.45496417604913,283.0,133.0,0.008609316193070994,1.2552358384276734e-15,,,0.008470497975868203,0.7181646308904007,siqa
33,Meta-Llama-3-70B,stablelm-3b-4e1t,1954.0,0.5230296827021494,0.46519959058341864,253.0,113.0,0.008140211730085398,7.897527656112646e-13,,,0.008034396191492436,0.7468516632898118,siqa
34,Meta-Llama-3-70B,stablelm-base-alpha-7b-v2,1954.0,0.5230296827021494,0.46980552712384854,252.0,104.0,0.008124108427015119,4.629326051554918e-11,,,0.008034387850008689,0.7470037151384881,siqa
35,Meta-Llama-3-8B,Meta-Llama-3-70B,1954.0,0.4882292732855681,0.5230296827021494,198.0,-68.0,0.007201252445992983,1.53348504089696e-06,,,0.007158089646466113,0.7994929301256979,siqa
36,Meta-Llama-3-8B,Mistral-7B-v0.1,1954.0,0.4882292732855681,0.4938587512794268,177.0,-11.0,0.006808666681499525,0.4523583023636841,,,0.0068074755557515736,0.8188326945556219,siqa
37,Meta-Llama-3-8B,Mixtral-8x22B-v0.1,1954.0,0.4882292732855681,0.5143295803480041,207.0,-51.0,0.007363098551657195,0.00048108601352722137,,,0.007339386128391418,0.7893444949153581,siqa
38,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,1954.0,0.4882292732855681,0.503582395087001,198.0,-30.0,0.007201252445992983,0.03903905591217148,,,0.007192871682445534,0.7977490191953137,siqa
39,Meta-Llama-3-8B,Qwen1.5-0.5B,1954.0,0.4882292732855681,0.45905834186284544,381.0,57.0,0.009989366067524635,0.00405900653030427,,,0.009967544662084523,0.6103211348198266,siqa
40,Meta-Llama-3-8B,Qwen1.5-1.8B,1954.0,0.4882292732855681,0.47236438075742065,415.0,31.0,0.010425562327258631,0.14075440804596812,,,0.010419382889653666,0.5749671415833781,siqa
41,Meta-Llama-3-8B,Qwen1.5-110B,1954.0,0.4882292732855681,0.5880245649948823,461.0,-195.0,0.010988183497228193,4.4558351614251984e-20,,,0.010753762160181491,0.5408873145079581,siqa
42,Meta-Llama-3-8B,Qwen1.5-14B,1954.0,0.4882292732855681,0.5690890481064483,536.0,-158.0,0.011848348928137386,8.471796114784326e-12,,,0.011706291477273948,0.459165316042302,siqa
43,Meta-Llama-3-8B,Qwen1.5-32B,1954.0,0.4882292732855681,0.5690890481064483,448.0,-158.0,0.010832144569353493,6.599103730285901e-14,,,0.010676574534904757,0.5501345649904885,siqa
44,Meta-Llama-3-8B,Qwen1.5-4B,1954.0,0.4882292732855681,0.4897645854657114,377.0,-3.0,0.009936790091580144,0.9179767589785162,,,0.009936729390831643,0.6139417212762481,siqa
45,Meta-Llama-3-8B,Qwen1.5-72B,1954.0,0.4882292732855681,0.5721596724667349,436.0,-164.0,0.010686086498373132,2.7763613960528766e-15,,,0.010516053063151233,0.5631837368854153,siqa
46,Meta-Llama-3-8B,Qwen1.5-7B,1954.0,0.4882292732855681,0.5348004094165814,385.0,-91.0,0.010041666770905108,4.082769239780429e-06,,,0.009986245890879257,0.6092208817775219,siqa
47,Meta-Llama-3-8B,dbrx-base,1954.0,0.4882292732855681,0.6622313203684749,578.0,-340.0,0.012303802743266437,4.7884800570231233e-48,,,0.011657136305428823,0.43994856432921575,siqa
48,Meta-Llama-3-8B,deepseek-llm-67b-base,1954.0,0.4882292732855681,0.5076765609007164,192.0,-38.0,0.007091303203966744,0.007418656126766907,,,0.00707764303842152,0.8041590959679624,siqa
49,Meta-Llama-3-8B,deepseek-llm-7b-base,1954.0,0.4882292732855681,0.49027635619242577,190.0,-4.0,0.007054272646924372,0.8277787949824292,,,0.007054120638118637,0.805444806723896,siqa
50,Meta-Llama-3-8B,deepseek-moe-16b-base,1954.0,0.4882292732855681,0.4662231320368475,227.0,43.0,0.007710603466386573,0.005195571458474377,,,0.007694515610272253,0.7680326071532518,siqa
51,Meta-Llama-3-8B,falcon-40b,1954.0,0.4882292732855681,0.5127942681678608,208.0,-48.0,0.007380862385801412,0.001069183425751428,,,0.007359912170407192,0.7881822156165246,siqa
52,Meta-Llama-3-8B,falcon-7b,1954.0,0.4882292732855681,0.4866939611054248,195.0,3.0,0.007146489275214402,0.8861617851303951,,,0.007146404874008088,0.8002880748842693,siqa
53,Meta-Llama-3-8B,gemma-2b,1954.0,0.4882292732855681,0.4764585465711361,197.0,23.0,0.00718304444606868,0.11678744024535483,,,0.0071781071095541596,0.7983603381630522,siqa
54,Meta-Llama-3-8B,gemma-7b,1954.0,0.4882292732855681,0.5158648925281474,238.0,-54.0,0.007895214237738748,0.0005632689081016196,,,0.007870422765469662,0.7577355234864243,siqa
55,Meta-Llama-3-8B,llama2_07B,1954.0,0.4882292732855681,0.5,291.0,-23.0,0.008730154610661199,0.1970830423390808,,,0.008726092693071903,0.7023440835801515,siqa
56,Meta-Llama-3-8B,llama2_13B,1954.0,0.4882292732855681,0.5353121801432958,298.0,-92.0,0.008834532498276391,1.0820540098197794e-07,,,0.008770089569419656,0.6985847466683346,siqa
57,Meta-Llama-3-8B,llama2_70B,1954.0,0.4882292732855681,0.5250767656090072,290.0,-72.0,0.008715141435990994,2.7978021177332246e-05,,,0.008675185291667213,0.7054367012429675,siqa
58,Meta-Llama-3-8B,llama_07B,1954.0,0.4882292732855681,0.48771750255885365,201.0,1.0,0.007255602292097147,1.0,,,0.007255593055263266,0.7941495416604727,siqa
59,Meta-Llama-3-8B,llama_13B,1954.0,0.4882292732855681,0.5061412487205732,193.0,-35.0,0.0071097461563202685,0.014178777442682425,,,0.0070981895204855865,0.8030287553013548,siqa
60,Meta-Llama-3-8B,llama_33B,1954.0,0.4882292732855681,0.5015353121801432,178.0,-26.0,0.0068278731136777555,0.06064937703927811,,,0.006821234632080023,0.818112494474925,siqa
61,Meta-Llama-3-8B,llama_65B,1954.0,0.4882292732855681,0.5209825997952917,202.0,-64.0,0.007273628660978452,7.894420315923235e-06,,,0.007235789956473165,0.7951531934901829,siqa
62,Meta-Llama-3-8B,mpt-30b,1954.0,0.4882292732855681,0.4851586489252815,190.0,6.0,0.007054272646924372,0.7169046430967031,,,0.007053930622504989,0.8054063455600812,siqa
63,Meta-Llama-3-8B,pythia-1.4b-deduped-v0,1954.0,0.4882292732855681,0.43858751279426816,309.0,97.0,0.00899610840903119,3.686216316591219e-08,,,0.008925738493886694,0.6862187598310727,siqa
64,Meta-Llama-3-8B,pythia-12b-deduped-v0,1954.0,0.4882292732855681,0.46673490276356194,212.0,42.0,0.007451494257196027,0.004747816761309467,,,0.007435611912510692,0.7833953033882096,siqa
65,Meta-Llama-3-8B,pythia-1b-deduped,1954.0,0.4882292732855681,0.44268167860798363,279.0,89.0,0.00854825644242071,1.0835687766289636e-07,,,0.008485928184995873,0.7166550807728216,siqa
66,Meta-Llama-3-8B,pythia-2.8b-deduped,1954.0,0.4882292732855681,0.4534288638689867,260.0,68.0,0.008252055013611617,2.9490812531534383e-05,,,0.008214415532683872,0.7350849064031395,siqa
67,Meta-Llama-3-8B,pythia-6.9b-deduped-v0,1954.0,0.4882292732855681,0.45496417604913,223.0,65.0,0.007642366695531259,1.6001084645897152e-05,,,0.007605225852513676,0.7729851533938096,siqa
68,Meta-Llama-3-8B,stablelm-3b-4e1t,1954.0,0.4882292732855681,0.46519959058341864,179.0,45.0,0.006847025670552534,0.000952894542130704,,,0.006827176180085069,0.8173556976405122,siqa
69,Meta-Llama-3-8B,stablelm-base-alpha-7b-v2,1954.0,0.4882292732855681,0.46980552712384854,218.0,36.0,0.0075562042273456505,0.017562221952778453,,,0.007544700771018974,0.7770795157430361,siqa
70,Mistral-7B-v0.1,Meta-Llama-3-70B,1954.0,0.4938587512794268,0.5230296827021494,219.0,-57.0,0.007573515141734259,0.00014250709525327778,,,0.007544709653904196,0.7772936553306328,siqa
71,Mistral-7B-v0.1,Meta-Llama-3-8B,1954.0,0.4938587512794268,0.4882292732855681,177.0,11.0,0.006808666681499525,0.4523583023636841,,,0.0068074755557515736,0.8188326945556219,siqa
72,Mistral-7B-v0.1,Mixtral-8x22B-v0.1,1954.0,0.4938587512794268,0.5143295803480041,198.0,-40.0,0.007201252445992983,0.005444076256877213,,,0.007186346553674542,0.798078792146218,siqa
73,Mistral-7B-v0.1,Mixtral-8x7B-v0.1,1954.0,0.4938587512794268,0.503582395087001,177.0,-19.0,0.006808666681499525,0.17589930239341034,,,0.0068051123754089195,0.8190039641022817,siqa
74,Mistral-7B-v0.1,Qwen1.5-0.5B,1954.0,0.4938587512794268,0.45905834186284544,422.0,68.0,0.010513121076854728,0.0010839739508364406,,,0.010483602690513055,0.5690133437862865,siqa
75,Mistral-7B-v0.1,Qwen1.5-1.8B,1954.0,0.4938587512794268,0.47236438075742065,448.0,42.0,0.010832144569353493,0.05261568145423314,,,0.010821225153365026,0.5416433237660427,siqa
76,Mistral-7B-v0.1,Qwen1.5-110B,1954.0,0.4938587512794268,0.5880245649948823,464.0,-184.0,0.011023878827296836,7.256834763044197e-18,,,0.010816095911607402,0.5356448960705518,siqa
77,Mistral-7B-v0.1,Qwen1.5-14B,1954.0,0.4938587512794268,0.5690890481064483,543.0,-147.0,0.01192546591374723,2.9148486235770116e-10,,,0.01180340293743316,0.45026703447600386,siqa
78,Mistral-7B-v0.1,Qwen1.5-32B,1954.0,0.4938587512794268,0.5690890481064483,461.0,-147.0,0.010988183497228193,7.001446133897202e-12,,,0.010855586589964482,0.5350167353955885,siqa
79,Mistral-7B-v0.1,Qwen1.5-4B,1954.0,0.4938587512794268,0.4897645854657114,408.0,8.0,0.010337261963523109,0.7289751689435013,,,0.010336847029072513,0.5823095926977166,siqa
