,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,300.0,0.03,0.0033333333333333335,8.0,8.0,0.009428090415820635,0.0078125,,,0.009301533127313933,0.3288437905343839,swebench-lite
1,20231010_rag_claude2,20231010_rag_swellama13b,300.0,0.03,0.01,12.0,6.0,0.011547005383792516,0.14599609375,,,0.011489125293076056,-0.017674908041006805,swebench-lite
2,20231010_rag_claude2,20231010_rag_swellama7b,300.0,0.03,0.013333333333333334,13.0,5.0,0.012018504251546632,0.266845703125,,,0.011979921473804347,-0.020443671806033,swebench-lite
3,20231010_rag_claude2,20240402_rag_claude3opus,300.0,0.03,0.043333333333333335,12.0,-4.0,0.011547005383792516,0.3876953125,,,0.011521316797169529,0.4424271870118181,swebench-lite
4,20231010_rag_claude2,20240402_rag_gpt4,300.0,0.03,0.02666666666666667,15.0,1.0,0.012909944487358056,1.0,,,0.012908509969381813,0.09217872114192582,swebench-lite
5,20231010_rag_claude2,20240402_sweagent_claude3opus,300.0,0.03,0.11666666666666667,36.0,-26.0,0.02,1.2913485988974571e-05,,,0.01936396041523952,0.17956370689010387,swebench-lite
6,20231010_rag_claude2,20240402_sweagent_gpt4,300.0,0.03,0.18,51.0,-45.0,0.02380476142847617,1.9674928353197174e-11,,,0.02217355782608345,0.22277332273907116,swebench-lite
7,20231010_rag_claude2,20240509_amazon-q-developer-agent-20240430-dev,300.0,0.03,0.20333333333333334,56.0,-52.0,0.024944382578492942,4.4325654258159375e-14,,,0.022848940327159027,0.25100373308063706,swebench-lite
8,20231010_rag_claude2,20240530_autocoderover-v20240408,300.0,0.03,0.19,54.0,-48.0,0.024494897427831782,2.9187763317395365e-12,,,0.022686266036231407,0.21368312828424335,swebench-lite
9,20231010_rag_claude2,20240615_appmap-navie_gpt4o,300.0,0.03,0.21666666666666667,64.0,-56.0,0.02666666666666667,7.363044635805283e-14,,,0.02439186263824399,0.1446647548444326,swebench-lite
10,20231010_rag_claude2,20240620_sweagent_claude3.5sonnet,300.0,0.03,0.23,62.0,-60.0,0.026246692913372706,2.7321894746634712e-17,,,0.023570226039551584,0.27534529737222874,swebench-lite
11,20231010_rag_claude2,20240728_sweagent_gpt4o,300.0,0.03,0.18333333333333332,52.0,-46.0,0.024037008503093264,1.042677055806962e-11,,,0.02234742507331454,0.21967385708108259,swebench-lite
12,20231010_rag_claude2,20240828_autose_mixed,300.0,0.03,0.21666666666666667,60.0,-56.0,0.025819888974716113,3.1762786845135338e-15,,,0.02346313104678313,0.2395268891686505,swebench-lite
13,20231010_rag_claude2,20250627_agentless_MCTS-Refine-7B,300.0,0.03,0.16333333333333333,52.0,-40.0,0.024037008503093264,1.0325821975243343e-08,,,0.022771001702132438,0.08087420705253996,swebench-lite
14,20231010_rag_gpt35,20231010_rag_claude2,300.0,0.0033333333333333335,0.03,8.0,-8.0,0.009428090415820635,0.0078125,,,0.009301533127313933,0.3288437905343839,swebench-lite
15,20231010_rag_gpt35,20231010_rag_swellama13b,300.0,0.0033333333333333335,0.01,4.0,-2.0,0.006666666666666667,0.625,,,0.006655546280831972,-0.005812283757551316,swebench-lite
16,20231010_rag_gpt35,20231010_rag_swellama7b,300.0,0.0033333333333333335,0.013333333333333334,5.0,-3.0,0.007453559924999299,0.375,,,0.007431165603202651,-0.006722774529136821,swebench-lite
17,20231010_rag_gpt35,20240402_rag_claude3opus,300.0,0.0033333333333333335,0.043333333333333335,14.0,-12.0,0.012472191289246471,0.0018310546875,,,0.012256517540566824,-0.012308216692591722,swebench-lite
18,20231010_rag_gpt35,20240402_rag_gpt4,300.0,0.0033333333333333335,0.02666666666666667,9.0,-7.0,0.01,0.0390625,,,0.009908843786496244,-0.00957233686323876,swebench-lite
19,20231010_rag_gpt35,20240402_sweagent_claude3opus,300.0,0.0033333333333333335,0.11666666666666667,36.0,-34.0,0.02,1.076841726899147e-09,,,0.018899343512016106,-0.02101723068371343,swebench-lite
20,20231010_rag_gpt35,20240402_sweagent_gpt4,300.0,0.0033333333333333335,0.18,53.0,-53.0,0.024267032964268395,2.220446049250313e-16,,,0.0220193517582115,0.12343407859141237,swebench-lite
21,20231010_rag_gpt35,20240509_amazon-q-developer-agent-20240430-dev,300.0,0.0033333333333333335,0.20333333333333334,60.0,-60.0,0.025819888974716113,1.734723475976807e-18,,,0.023094010767585032,0.11447178073612928,swebench-lite
22,20231010_rag_gpt35,20240530_autocoderover-v20240408,300.0,0.0033333333333333335,0.19,56.0,-56.0,0.024944382578492942,2.7755575615628914e-17,,,0.0224960901952778,0.11940709007280585,swebench-lite
23,20231010_rag_gpt35,20240728_sweagent_gpt4o,300.0,0.0033333333333333335,0.18333333333333332,54.0,-54.0,0.024494897427831782,1.1102230246251565e-16,,,0.022181073012818832,0.12205795890857733,swebench-lite
24,20231010_rag_gpt35,20250627_agentless_MCTS-Refine-7B,300.0,0.0033333333333333335,0.16333333333333333,48.0,-48.0,0.023094010767585032,7.105427357601002e-15,,,0.021166010488516726,0.13088902317075685,swebench-lite
