,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,500.0,0.044,0.004,22.0,20.0,0.00938083151964686,1.0967254638671875e-05,,,0.00920869154657707,0.14089964040600306,swebench-verified
1,20231010_rag_claude2,20231010_rag_swellama13b,500.0,0.044,0.012,26.0,16.0,0.010198039027185569,0.002493917942047119,,,0.010097128304622062,0.06591487461715005,swebench-verified
2,20231010_rag_claude2,20231010_rag_swellama7b,500.0,0.044,0.014,25.0,15.0,0.01,0.004077315330505371,,,0.009909591313469997,0.14043410625210384,swebench-verified
3,20231010_rag_claude2,20240402_rag_claude3opus,500.0,0.044,0.07,35.0,-13.0,0.011832159566199233,0.040959591511636986,,,0.011774888534504268,0.36155581716354235,swebench-verified
4,20231010_rag_claude2,20240402_rag_gpt4,500.0,0.044,0.028,30.0,8.0,0.010954451150103323,0.20048842206597334,,,0.010931056673533442,0.1409187603958559,swebench-verified
5,20231010_rag_claude2,20240402_sweagent_claude3opus,500.0,0.044,0.158,79.0,-57.0,0.017776388834631177,3.544560973532992e-11,,,0.017029621252394312,0.20115874105207793,swebench-verified
6,20231010_rag_claude2,20240402_sweagent_gpt4,500.0,0.044,0.224,106.0,-90.0,0.020591260281974,8.07995881983345e-21,,,0.018952572384771414,0.2121890082877179,swebench-verified
7,20231010_rag_claude2,20240728_sweagent_gpt4o,500.0,0.044,0.232,112.0,-94.0,0.021166010488516726,2.314511484284655e-21,,,0.019424520586104565,0.18241361431935899,swebench-verified
8,20231010_rag_claude2,20240820_epam-ai-run-gpt-4o,500.0,0.044,0.24,108.0,-98.0,0.020784609690826527,7.213042994342267e-25,,,0.018845901411182222,0.26760233953613977,swebench-verified
9,20231010_rag_claude2,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.044,0.102,59.0,-29.0,0.015362291495737215,0.00020372185740785698,,,0.01514173041630315,0.1532421734554542,swebench-verified
10,20231010_rag_claude2,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.044,0.182,87.0,-69.0,0.01865475810617763,7.467088418731596e-15,,,0.01760431765221248,0.22735882294847967,swebench-verified
11,20231010_rag_claude2,20250627_agentless_MCTS-Refine-7B,500.0,0.044,0.232,118.0,-94.0,0.02172556098240043,5.775236264703373e-20,,,0.020032773148019222,0.1131075298515175,swebench-verified
12,20231010_rag_gpt35,20231010_rag_claude2,500.0,0.004,0.044,22.0,-20.0,0.00938083151964686,1.0967254638671875e-05,,,0.00920869154657707,0.14089964040600306,swebench-verified
13,20231010_rag_gpt35,20231010_rag_swellama13b,500.0,0.004,0.012,8.0,-4.0,0.00565685424949238,0.2890625,,,0.005645529204600752,-0.006984132615075187,swebench-verified
14,20231010_rag_gpt35,20231010_rag_swellama7b,500.0,0.004,0.014,9.0,-5.0,0.006,0.1796875,,,0.005983310120660636,-0.007551372374927677,swebench-verified
15,20231010_rag_gpt35,20240402_rag_claude3opus,500.0,0.004,0.07,35.0,-33.0,0.011832159566199233,2.0954757928848267e-09,,,0.011458097573332146,0.1068017300472368,swebench-verified
16,20231010_rag_gpt35,20240402_rag_gpt4,500.0,0.004,0.028,16.0,-12.0,0.008,0.004180908203125,,,0.007927673050775998,-0.01075588647317618,swebench-verified
17,20231010_rag_gpt35,20240402_sweagent_claude3opus,500.0,0.004,0.158,79.0,-77.0,0.017776388834631177,2.6469779601696886e-22,,,0.016388044422688142,0.059421258180913615,swebench-verified
18,20231010_rag_gpt35,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.004,0.102,51.0,-49.0,0.0142828568570857,4.618527782440651e-14,,,0.013593822126245436,0.08333839732442774,swebench-verified
19,20231010_rag_gpt35,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.004,0.182,91.0,-89.0,0.019078784028338912,7.431700815906108e-26,,,0.01733874274565489,0.05222940767556655,swebench-verified
20,20231010_rag_swellama13b,20231010_rag_claude2,500.0,0.012,0.044,26.0,-16.0,0.010198039027185569,0.002493917942047119,,,0.010097128304622062,0.06591487461715005,swebench-verified
21,20231010_rag_swellama13b,20231010_rag_gpt35,500.0,0.012,0.004,8.0,4.0,0.00565685424949238,0.2890625,,,0.005645529204600752,-0.006984132615075187,swebench-verified
22,20231010_rag_swellama13b,20231010_rag_swellama7b,500.0,0.012,0.014,7.0,-1.0,0.0052915026221291815,1.0,,,0.005290746639180525,0.45587517672677047,swebench-verified
23,20231010_rag_swellama13b,20240402_rag_claude3opus,500.0,0.012,0.07,37.0,-29.0,0.01216552506059644,1.0843941709026694e-06,,,0.01188578983492473,0.11374373708215108,swebench-verified
24,20231010_rag_swellama13b,20240402_rag_gpt4,500.0,0.012,0.028,20.0,-8.0,0.00894427190999916,0.11531829833984375,,,0.008915604298083222,-0.018705013842817524,swebench-verified
25,20231010_rag_swellama13b,20240402_sweagent_claude3opus,500.0,0.012,0.158,83.0,-73.0,0.0182208671582886,6.403904916571207e-18,,,0.017010820086051114,0.0026186632580471277,swebench-verified
26,20231010_rag_swellama13b,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.012,0.102,53.0,-45.0,0.014560219778561036,7.053979622639872e-11,,,0.013992855319769444,0.08423878848772814,swebench-verified
27,20231010_rag_swellama13b,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.012,0.182,89.0,-85.0,0.018867962264113206,1.2944084116747769e-23,,,0.01726846837446796,0.13843406019595675,swebench-verified
28,20231010_rag_swellama7b,20231010_rag_claude2,500.0,0.014,0.044,25.0,-15.0,0.01,0.004077315330505371,,,0.009909591313469997,0.1404341062521038,swebench-verified
29,20231010_rag_swellama7b,20231010_rag_gpt35,500.0,0.014,0.004,9.0,5.0,0.006,0.1796875,,,0.005983310120660636,-0.007551372374927677,swebench-verified
30,20231010_rag_swellama7b,20231010_rag_swellama13b,500.0,0.014,0.012,7.0,1.0,0.0052915026221291815,1.0,,,0.005290746639180525,0.45587517672677047,swebench-verified
31,20231010_rag_swellama7b,20240402_rag_claude3opus,500.0,0.014,0.07,42.0,-28.0,0.012961481396815721,1.5097200957825409e-05,,,0.012717232403317949,-0.03269136888002275,swebench-verified
32,20231010_rag_swellama7b,20240402_rag_gpt4,500.0,0.014,0.028,19.0,-7.0,0.008717797887081347,0.1670684814453125,,,0.008695286079250068,0.0829605114809213,swebench-verified
33,20231010_rag_swellama7b,20240402_sweagent_claude3opus,500.0,0.014,0.158,86.0,-72.0,0.018547236990991405,1.5200508481866846e-16,,,0.017393332055704567,-0.05161762974611095,swebench-verified
34,20231010_rag_swellama7b,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.014,0.102,54.0,-44.0,0.014696938456699069,3.8913883226854296e-10,,,0.014160225986897243,0.07233196021124313,swebench-verified
35,20231010_rag_swellama7b,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.014,0.182,94.0,-84.0,0.019390719429665318,5.864483250086067e-21,,,0.017876017453560513,0.03202962066445706,swebench-verified
36,20240402_rag_claude3opus,20231010_rag_claude2,500.0,0.07,0.044,35.0,13.0,0.011832159566199233,0.040959591511636986,,,0.011774888534504268,0.36155581716354235,swebench-verified
37,20240402_rag_claude3opus,20231010_rag_gpt35,500.0,0.07,0.004,35.0,33.0,0.011832159566199233,2.0954757928848267e-09,,,0.011458097573332146,0.1068017300472368,swebench-verified
38,20240402_rag_claude3opus,20231010_rag_swellama13b,500.0,0.07,0.012,37.0,29.0,0.01216552506059644,1.0843941709026694e-06,,,0.01188578983492473,0.11374373708215108,swebench-verified
39,20240402_rag_claude3opus,20231010_rag_swellama7b,500.0,0.07,0.014,42.0,28.0,0.012961481396815721,1.5097200957825409e-05,,,0.012717232403317949,-0.03269136888002275,swebench-verified
40,20240402_rag_claude3opus,20240402_rag_gpt4,500.0,0.07,0.028,33.0,21.0,0.011489125293076058,0.0003240634687244892,,,0.01133454895441367,0.3335527037640111,swebench-verified
41,20240402_rag_claude3opus,20240402_sweagent_claude3opus,500.0,0.07,0.158,72.0,-44.0,0.01697056274847714,1.6464300115968573e-07,,,0.016507937484737455,0.3324644594052871,swebench-verified
42,20240402_rag_claude3opus,20240402_sweagent_gpt4,500.0,0.07,0.224,97.0,-77.0,0.01969771560359221,1.7877527700122911e-16,,,0.018454484549832326,0.32262789538776054,swebench-verified
43,20240402_rag_claude3opus,20240509_amazon-q-developer-agent-20240430-dev,500.0,0.07,0.256,113.0,-93.0,0.0212602916254693,1.3214119981913161e-20,,,0.019565479805003505,0.28809612367441495,swebench-verified
44,20240402_rag_claude3opus,20240615_appmap-navie_gpt4o,500.0,0.07,0.262,110.0,-96.0,0.02097617696340303,5.2527095298045276e-23,,,0.019138233983312047,0.33566881455879316,swebench-verified
45,20240402_rag_claude3opus,20240728_sweagent_gpt4o,500.0,0.07,0.232,111.0,-81.0,0.02107130750570548,1.2358357144723343e-15,,,0.019786662174303173,0.22061312148718287,swebench-verified
46,20240402_rag_claude3opus,20240820_epam-ai-run-gpt-4o,500.0,0.07,0.24,105.0,-85.0,0.020493901531919198,1.5854524913510498e-18,,,0.01903155274800246,0.30467384429912164,swebench-verified
