,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
299056,gsm8k,falcon-7b,gsm8k/0,0.0,1.0,,,0
299057,gsm8k,falcon-7b,gsm8k/1,0.0,1.0,,,0
299058,gsm8k,falcon-7b,gsm8k/2,0.0,1.0,,,0
299059,gsm8k,falcon-7b,gsm8k/3,1.0,1.0,,,1
299060,gsm8k,falcon-7b,gsm8k/4,0.0,1.0,,,0
299061,gsm8k,falcon-7b,gsm8k/5,0.0,1.0,,,0
299062,gsm8k,falcon-7b,gsm8k/6,0.0,1.0,,,0
299063,gsm8k,falcon-7b,gsm8k/7,0.0,1.0,,,0
299064,gsm8k,falcon-7b,gsm8k/8,0.0,1.0,,,0
299065,gsm8k,falcon-7b,gsm8k/9,0.0,1.0,,,0
299066,gsm8k,falcon-7b,gsm8k/10,0.0,1.0,,,0
299067,gsm8k,falcon-7b,gsm8k/11,0.0,1.0,,,0
299068,gsm8k,falcon-7b,gsm8k/12,0.0,1.0,,,0
299069,gsm8k,falcon-7b,gsm8k/13,0.0,1.0,,,0
299070,gsm8k,falcon-7b,gsm8k/14,0.0,1.0,,,0
299071,gsm8k,falcon-7b,gsm8k/15,0.0,1.0,,,0
299072,gsm8k,falcon-7b,gsm8k/16,0.0,1.0,,,0
299073,gsm8k,falcon-7b,gsm8k/17,0.0,1.0,,,0
299074,gsm8k,falcon-7b,gsm8k/18,0.0,1.0,,,0
299075,gsm8k,falcon-7b,gsm8k/19,0.0,1.0,,,0
299076,gsm8k,falcon-7b,gsm8k/20,0.0,1.0,,,0
299077,gsm8k,falcon-7b,gsm8k/21,0.0,1.0,,,0
299078,gsm8k,falcon-7b,gsm8k/22,0.0,1.0,,,0
299079,gsm8k,falcon-7b,gsm8k/23,0.0,1.0,,,0
299080,gsm8k,falcon-7b,gsm8k/24,0.0,1.0,,,0
299081,gsm8k,falcon-7b,gsm8k/25,0.0,1.0,,,0
299082,gsm8k,falcon-7b,gsm8k/26,0.0,1.0,,,0
299083,gsm8k,falcon-7b,gsm8k/27,0.0,1.0,,,0
299084,gsm8k,falcon-7b,gsm8k/28,1.0,1.0,,,1
299085,gsm8k,falcon-7b,gsm8k/29,0.0,1.0,,,0
299086,gsm8k,falcon-7b,gsm8k/30,0.0,1.0,,,0
299087,gsm8k,falcon-7b,gsm8k/31,0.0,1.0,,,0
299088,gsm8k,falcon-7b,gsm8k/32,0.0,1.0,,,0
299089,gsm8k,falcon-7b,gsm8k/33,0.0,1.0,,,0
299090,gsm8k,falcon-7b,gsm8k/34,0.0,1.0,,,0
299091,gsm8k,falcon-7b,gsm8k/35,0.0,1.0,,,0
299092,gsm8k,falcon-7b,gsm8k/36,0.0,1.0,,,0
299093,gsm8k,falcon-7b,gsm8k/37,0.0,1.0,,,0
299094,gsm8k,falcon-7b,gsm8k/38,0.0,1.0,,,0
299095,gsm8k,falcon-7b,gsm8k/39,0.0,1.0,,,0
299096,gsm8k,falcon-7b,gsm8k/40,0.0,1.0,,,0
299097,gsm8k,falcon-7b,gsm8k/41,0.0,1.0,,,0
299098,gsm8k,falcon-7b,gsm8k/42,1.0,1.0,,,1
299099,gsm8k,falcon-7b,gsm8k/43,0.0,1.0,,,0
299100,gsm8k,falcon-7b,gsm8k/44,0.0,1.0,,,0
299101,gsm8k,falcon-7b,gsm8k/45,0.0,1.0,,,0
299102,gsm8k,falcon-7b,gsm8k/46,0.0,1.0,,,0
299103,gsm8k,falcon-7b,gsm8k/47,0.0,1.0,,,0
299104,gsm8k,falcon-7b,gsm8k/48,0.0,1.0,,,0
299105,gsm8k,falcon-7b,gsm8k/49,0.0,1.0,,,0
299106,gsm8k,falcon-7b,gsm8k/50,0.0,1.0,,,0
299107,gsm8k,falcon-7b,gsm8k/51,0.0,1.0,,,0
299108,gsm8k,falcon-7b,gsm8k/52,0.0,1.0,,,0
299109,gsm8k,falcon-7b,gsm8k/53,0.0,1.0,,,0
299110,gsm8k,falcon-7b,gsm8k/54,0.0,1.0,,,0
299111,gsm8k,falcon-7b,gsm8k/55,1.0,1.0,,,1
299112,gsm8k,falcon-7b,gsm8k/56,0.0,1.0,,,0
299113,gsm8k,falcon-7b,gsm8k/57,0.0,1.0,,,0
299114,gsm8k,falcon-7b,gsm8k/58,0.0,1.0,,,0
299115,gsm8k,falcon-7b,gsm8k/59,0.0,1.0,,,0
299116,gsm8k,falcon-7b,gsm8k/60,0.0,1.0,,,0
299117,gsm8k,falcon-7b,gsm8k/61,0.0,1.0,,,0
299118,gsm8k,falcon-7b,gsm8k/62,0.0,1.0,,,0
299119,gsm8k,falcon-7b,gsm8k/63,0.0,1.0,,,0
299120,gsm8k,falcon-7b,gsm8k/64,0.0,1.0,,,0
299121,gsm8k,falcon-7b,gsm8k/65,0.0,1.0,,,0
299122,gsm8k,falcon-7b,gsm8k/66,0.0,1.0,,,0
299123,gsm8k,falcon-7b,gsm8k/67,0.0,1.0,,,0
299124,gsm8k,falcon-7b,gsm8k/68,0.0,1.0,,,0
299125,gsm8k,falcon-7b,gsm8k/69,0.0,1.0,,,0
