,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,HuggingFaceH4--starchat2-15b-v0.1,Qwen--Qwen1.5-72B-Chat,164.0,0.7378048780487805,0.6829268292682927,33.0,9.0,0.03502782101547579,0.16275565745308995,,,0.03476470665786099,0.5173713658992057,humaneval
1,HuggingFaceH4--starchat2-15b-v0.1,Qwen1.5-110B,164.0,0.7378048780487805,0.5426829268292683,50.0,32.0,0.04311626714552119,5.614100093254137e-06,,,0.04033438532857558,0.3989331086105502,humaneval
2,HuggingFaceH4--starchat2-15b-v0.1,bigcode--starcoder2-15b-instruct-v0.1,164.0,0.7378048780487805,0.676829268292683,34.0,10.0,0.035554584724666466,0.12144948495551944,,,0.035234324328526974,0.5069983295748289,humaneval
3,HuggingFaceH4--starchat2-15b-v0.1,claude-3-haiku-20240307,164.0,0.7378048780487805,0.7682926829268293,33.0,-5.0,0.03502782101547579,0.48685024166479707,,,0.03494682423451797,0.46121278274329275,humaneval
4,HuggingFaceH4--starchat2-15b-v0.1,claude-3-opus-20240229,164.0,0.7378048780487805,0.8292682926829268,27.0,-15.0,0.03168385623601605,0.005924612283706665,,,0.03086838604234603,0.5400812256064688,humaneval
5,HuggingFaceH4--starchat2-15b-v0.1,claude-3-sonnet-20240229,164.0,0.7378048780487805,0.7073170731707317,41.0,5.0,0.03904344047215152,0.5327092552361137,,,0.03897079063720064,0.37826943208363606,humaneval
6,HuggingFaceH4--starchat2-15b-v0.1,code-13b,164.0,0.7378048780487805,0.5609756097560976,55.0,29.0,0.04522072248229063,0.00011361060320691506,,,0.04306102189814197,0.3106975002855446,humaneval
7,HuggingFaceH4--starchat2-15b-v0.1,code-33b,164.0,0.7378048780487805,0.5487804878048781,53.0,31.0,0.04439091395902755,2.2475594023241285e-05,,,0.04186509341137214,0.35096700501791006,humaneval
8,HuggingFaceH4--starchat2-15b-v0.1,code-llama-70b-instruct,164.0,0.7378048780487805,0.7195121951219512,37.0,3.0,0.037090015428647684,0.7428293587290682,,,0.03706249944259445,0.43015937614496913,humaneval
9,HuggingFaceH4--starchat2-15b-v0.1,code-millenials-34b,164.0,0.7378048780487805,0.7439024390243902,35.0,-1.0,0.03607365721402205,1.0,,,0.0360705147725148,0.4442852959464916,humaneval
10,HuggingFaceH4--starchat2-15b-v0.1,codebooga-34b,164.0,0.7378048780487805,0.7134146341463414,28.0,4.0,0.03226525989103159,0.5715881884098053,,,0.03220899958686868,0.5726354417454119,humaneval
11,HuggingFaceH4--starchat2-15b-v0.1,codegemma-7b-it,164.0,0.7378048780487805,0.6036585365853658,42.0,22.0,0.039516711575657684,0.0009406740282429382,,,0.03810306306485521,0.4522749497724641,humaneval
12,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-1.3b-instruct,164.0,0.7378048780487805,0.6585365853658537,39.0,13.0,0.03807925608779511,0.05325191409792752,,,0.03757280865394307,0.44780282689452505,humaneval
13,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-33b-instruct,164.0,0.7378048780487805,0.8170731707317073,31.0,-13.0,0.03394978270018306,0.029449373483657837,,,0.03338074222265867,0.4709835723859924,humaneval
14,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-6.7b-instruct,164.0,0.7378048780487805,0.7439024390243902,33.0,-1.0,0.03502782101547579,1.0,,,0.03502458474060258,0.4760476274788473,humaneval
15,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-7b-instruct-v1.5,164.0,0.7378048780487805,0.7560975609756098,29.0,-3.0,0.03283637077521039,0.711071103811264,,,0.03280528716719428,0.533065908641919,humaneval
16,HuggingFaceH4--starchat2-15b-v0.1,gpt-3.5-turbo,164.0,0.7378048780487805,0.7682926829268293,33.0,-5.0,0.03502782101547579,0.48685024166479707,,,0.03494682423451797,0.4612127827432926,humaneval
17,HuggingFaceH4--starchat2-15b-v0.1,meta-llama-3-70b-instruct,164.0,0.7378048780487805,0.774390243902439,30.0,-6.0,0.03339771692104671,0.36159460805356514,,,0.03327530581795354,0.5074240249372726,humaneval
18,HuggingFaceH4--starchat2-15b-v0.1,microsoft--Phi-3-mini-4k-instruct,164.0,0.7378048780487805,0.6463414634146342,41.0,15.0,0.03904344047215152,0.027533155829587486,,,0.03838464217336419,0.4289404017046102,humaneval
19,HuggingFaceH4--starchat2-15b-v0.1,mistral-large-latest,164.0,0.7378048780487805,0.6951219512195121,39.0,7.0,0.03807925608779511,0.3367836351899315,,,0.03793311232963371,0.4183014586082174,humaneval
