,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,AzeroGPT-64b,Codestral-Latest,880.0,0.2203409090909091,0.3532954545454545,178.12,-117.0,0.015166091473366247,5.99560490697788e-20,0.010103061660346531,0.010385137294406595,0.014488717387555007,0.7049667411661429,lcb_codegen_v5
1,AzeroGPT-64b,Gemini-Flash-1.5-002,880.0,0.2203409090909091,0.36124999999999996,186.48000000000002,-124.0,0.015517918195555966,4.943811792912209e-21,0.009234969671315622,0.011530750091788134,0.014773045133261843,0.6638190050419365,lcb_codegen_v5
2,AzeroGPT-64b,Mistral-Large,880.0,0.2203409090909091,0.3729545454545455,189.18,-134.3,0.015629854617746793,1.160507611322082e-24,0.010594555448074845,0.010275251500897234,0.014758909124627852,0.7044129907070433,lcb_codegen_v5
3,Claude-3.5-Sonnet-20240620,Codestral-Latest,880.0,0.48034090909090915,0.3532954545454545,171.94,111.80000000000001,0.014900669739232727,2.0823268066276926e-18,0.006669248811234472,0.012617826583768494,0.014271945466691197,0.6764538195714384,lcb_codegen_v5
4,Claude-3.5-Sonnet-20240620,DeepSeek-R1-Lite-Preview,880.0,0.48034090909090915,0.6307954545454545,230.08,-132.4,0.01723680475078049,1.4791306876806915e-19,0.009715004535835951,0.013304238031675198,0.016473738577954488,0.605627703996874,lcb_codegen_v5
5,Claude-3.5-Sonnet-20240620,DeepSeek-V3 copy,880.0,0.48034090909090915,0.5453409090909092,175.04000000000002,-57.2,0.015034395825946569,9.687504605972184e-06,0.007274305384338062,0.012973681153126648,0.014873867065682791,0.6652365225029815,lcb_codegen_v5
6,Claude-3.5-Sonnet-20240620,GPT-4O-2024-05-13,880.0,0.48034090909090915,0.4343181818181819,157.32,40.500000000000014,0.014253098836613777,0.002317473463870318,0.006670324409791782,0.012500027065564653,0.014168412203620877,0.6929233779011582,lcb_codegen_v5
7,Claude-3.5-Sonnet-20240620,Gemini-Flash-1.5-002,880.0,0.48034090909090915,0.36124999999999996,189.57999999999998,104.8,0.015646369684291644,7.43754976983154e-15,0.005262289389943107,0.014177466383355417,0.01512257394343571,0.6091870188303912,lcb_codegen_v5
8,Claude-3.5-Sonnet-20240620,Gemini-Flash-2.0-Thinking,880.0,0.48034090909090915,0.5114772727272727,181.56,-27.39999999999999,0.015311841147910428,0.05298888865344443,0.008641014165217497,0.0125969710451387,0.015275824210678524,0.6698954407168944,lcb_codegen_v5
9,Claude-3.5-Sonnet-20240620,Gemini-Pro-1.5-002,880.0,0.48034090909090915,0.4209090909090909,156.54000000000002,52.3,0.014217721162033046,3.80768626674405e-05,0.006185966745222831,0.012643718355900028,0.014075858710442007,0.6891024979897468,lcb_codegen_v5
10,Claude-3.5-Sonnet-20240620,Llama-3_1-Nemotron-Nano-8B-v1,880.0,0.48034090909090915,0.6443181818181818,259.3,-144.3,0.018298630441458123,3.3965183661344764e-20,,,0.017443758487116157,0.45281672036530096,lcb_codegen_v5
11,Claude-3.5-Sonnet-20240620,MetaStone-L1-7B,880.0,0.48034090909090915,0.5409090909090909,233.76,-53.30000000000001,0.01737410441237854,0.0006266921997496673,0.01042802411143582,0.013745801612887564,0.017253716957500758,0.5796073494075749,lcb_codegen_v5
12,Claude-3.5-Sonnet-20240620,Mistral-Large,880.0,0.48034090909090915,0.3729545454545455,178.26000000000002,94.50000000000003,0.015172050477851678,9.077867422545717e-13,0.0073926740720608565,0.01274500420751857,0.014733864468814249,0.6662881003732365,lcb_codegen_v5
13,Claude-3.5-Sonnet-20240620,O1-Preview-2024-09-12,880.0,0.48034090909090915,0.5556818181818182,188.7,-66.3,0.015610013474086337,1.6860965470030647e-06,,,0.01540202044004047,0.5949167048331464,lcb_codegen_v5
14,Claude-3.5-Sonnet-20240620,QwQ-32B-Preview,880.0,0.48034090909090915,0.5988636363636364,198.90000000000003,-104.30000000000003,0.01602635355483158,6.366545227324355e-14,,,0.015520334549777021,0.5823882463466121,lcb_codegen_v5
15,Codestral-Latest,AzeroGPT-64b,880.0,0.3532954545454545,0.2203409090909091,178.12,117.0,0.015166091473366247,2.8912760817667444e-19,0.010103061660346531,0.010385137294406595,0.014488717387555007,0.7049667411661429,lcb_codegen_v5
16,Codestral-Latest,Claude-3.5-Sonnet-20240620,880.0,0.3532954545454545,0.48034090909090915,171.94,-111.80000000000001,0.014900669739232727,2.0823268066276926e-18,0.006669248811234472,0.012617826583768494,0.014271945466691197,0.6764538195714384,lcb_codegen_v5
17,Codestral-Latest,DeepSeek-V3 copy,880.0,0.3532954545454545,0.5453409090909092,219.26,-169.0,0.016826625644451487,1.3697763216144082e-33,0.008079821593826341,0.013264277871069284,0.015531406389281067,0.6222115579269316,lcb_codegen_v5
18,Codestral-Latest,GPT-4O-2024-05-13,880.0,0.3532954545454545,0.4343181818181819,146.89999999999998,-71.3,0.013772989796477899,1.980365676693408e-09,0.007540638294953339,0.01119706013867584,0.013499458568566382,0.7318274394166574,lcb_codegen_v5
19,Codestral-Latest,Gemini-Flash-1.5-002,880.0,0.3532954545454545,0.36124999999999996,148.92000000000002,-7.0,0.013867361645542546,0.5651719099883442,0.006329272295213765,0.012335806744878866,0.013864768870556746,0.6789600327571219,lcb_codegen_v5
20,Codestral-Latest,Gemini-Flash-2.0-Thinking,880.0,0.3532954545454545,0.5114772727272727,207.86,-139.2,0.016383353020622705,1.2823436375046921e-23,0.009329261705351723,0.012367118645476185,0.015491312002481486,0.6525616996484493,lcb_codegen_v5
21,Codestral-Latest,Gemini-Pro-1.5-002,880.0,0.3532954545454545,0.4209090909090909,145.28000000000003,-59.500000000000014,0.013696835612108512,4.2905018827335674e-07,0.007115770003060489,0.0114792908624675,0.013505861743760936,0.7221227963167969,lcb_codegen_v5
22,Codestral-Latest,MetaStone-L1-7B,880.0,0.3532954545454545,0.5409090909090909,246.72,-165.1,0.0178492308327926,4.061159357975239e-28,0.011005075421465296,0.012549288144686586,0.016691204808836024,0.6101939532841512,lcb_codegen_v5
23,Codestral-Latest,Mistral-Large,880.0,0.3532954545454545,0.3729545454545455,131.51999999999998,-17.299999999999997,0.013032064715301318,0.16188152458394647,0.008186551661058125,0.010118097696246879,0.01301520376674795,0.7654733647237131,lcb_codegen_v5
24,DeepCoder-14B-Preview,DeepSeek-R1-Lite-Preview,880.0,0.7329545454545454,0.6307954545454545,197.1,89.9,0.015953671304723985,1.7765386884519302e-10,,,0.015577547685688121,0.5880694544862713,lcb_codegen_v5
25,DeepCoder-14B-Preview,DeepSeek-R1-Preview,880.0,0.7329545454545454,0.7788636363636364,148.6,-40.4,0.013852454506973432,0.001268752139779757,,,0.013765734457486078,0.6195135925091849,lcb_codegen_v5
26,DeepCoder-14B-Preview,DeepSeek-V3 copy,880.0,0.7329545454545454,0.5453409090909092,249.9,165.1,0.01796389284873943,2.1956104248352847e-27,,,0.01681376587588838,0.47094608918769454,lcb_codegen_v5
27,DeepCoder-14B-Preview,Kimi-k1.6-IOI,880.0,0.7329545454545454,0.8014772727272726,156.1,-60.29999999999999,0.01419772563557771,7.532489029546564e-07,,,0.014008560673399255,0.5901264973399291,lcb_codegen_v5
