,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
16072,mbpp+,code-llama-multi-7b,Mbpp/2,1.0,1.0,,,1
16073,mbpp+,code-llama-multi-7b,Mbpp/3,1.0,1.0,,,1
16074,mbpp+,code-llama-multi-7b,Mbpp/4,0.0,1.0,,,0
16075,mbpp+,code-llama-multi-7b,Mbpp/6,0.0,1.0,,,0
16076,mbpp+,code-llama-multi-7b,Mbpp/7,0.0,1.0,,,0
16077,mbpp+,code-llama-multi-7b,Mbpp/8,1.0,1.0,,,1
16078,mbpp+,code-llama-multi-7b,Mbpp/9,0.0,1.0,,,0
16079,mbpp+,code-llama-multi-7b,Mbpp/11,0.0,1.0,,,0
16080,mbpp+,code-llama-multi-7b,Mbpp/12,1.0,1.0,,,1
16081,mbpp+,code-llama-multi-7b,Mbpp/14,0.0,1.0,,,0
16082,mbpp+,code-llama-multi-7b,Mbpp/16,0.0,1.0,,,0
16083,mbpp+,code-llama-multi-7b,Mbpp/17,1.0,1.0,,,1
16084,mbpp+,code-llama-multi-7b,Mbpp/18,1.0,1.0,,,1
16085,mbpp+,code-llama-multi-7b,Mbpp/19,1.0,1.0,,,1
16086,mbpp+,code-llama-multi-7b,Mbpp/20,0.0,1.0,,,0
16087,mbpp+,code-llama-multi-7b,Mbpp/56,0.0,1.0,,,0
16088,mbpp+,code-llama-multi-7b,Mbpp/57,1.0,1.0,,,1
16089,mbpp+,code-llama-multi-7b,Mbpp/58,1.0,1.0,,,1
16090,mbpp+,code-llama-multi-7b,Mbpp/59,0.0,1.0,,,0
16091,mbpp+,code-llama-multi-7b,Mbpp/61,1.0,1.0,,,1
16092,mbpp+,code-llama-multi-7b,Mbpp/62,1.0,1.0,,,1
16093,mbpp+,code-llama-multi-7b,Mbpp/63,0.0,1.0,,,0
16094,mbpp+,code-llama-multi-7b,Mbpp/64,0.0,1.0,,,0
16095,mbpp+,code-llama-multi-7b,Mbpp/65,1.0,1.0,,,1
16096,mbpp+,code-llama-multi-7b,Mbpp/66,0.0,1.0,,,0
16097,mbpp+,code-llama-multi-7b,Mbpp/67,0.0,1.0,,,0
16098,mbpp+,code-llama-multi-7b,Mbpp/68,0.0,1.0,,,0
16099,mbpp+,code-llama-multi-7b,Mbpp/69,0.0,1.0,,,0
16100,mbpp+,code-llama-multi-7b,Mbpp/70,1.0,1.0,,,1
16101,mbpp+,code-llama-multi-7b,Mbpp/71,1.0,1.0,,,1
16102,mbpp+,code-llama-multi-7b,Mbpp/72,0.0,1.0,,,0
16103,mbpp+,code-llama-multi-7b,Mbpp/74,0.0,1.0,,,0
16104,mbpp+,code-llama-multi-7b,Mbpp/75,1.0,1.0,,,1
16105,mbpp+,code-llama-multi-7b,Mbpp/77,1.0,1.0,,,1
16106,mbpp+,code-llama-multi-7b,Mbpp/79,0.0,1.0,,,0
16107,mbpp+,code-llama-multi-7b,Mbpp/80,0.0,1.0,,,0
16108,mbpp+,code-llama-multi-7b,Mbpp/82,1.0,1.0,,,1
16109,mbpp+,code-llama-multi-7b,Mbpp/84,0.0,1.0,,,0
16110,mbpp+,code-llama-multi-7b,Mbpp/85,1.0,1.0,,,1
16111,mbpp+,code-llama-multi-7b,Mbpp/86,0.0,1.0,,,0
16112,mbpp+,code-llama-multi-7b,Mbpp/87,1.0,1.0,,,1
16113,mbpp+,code-llama-multi-7b,Mbpp/88,1.0,1.0,,,1
16114,mbpp+,code-llama-multi-7b,Mbpp/89,0.0,1.0,,,0
16115,mbpp+,code-llama-multi-7b,Mbpp/90,1.0,1.0,,,1
16116,mbpp+,code-llama-multi-7b,Mbpp/91,1.0,1.0,,,1
16117,mbpp+,code-llama-multi-7b,Mbpp/92,0.0,1.0,,,0
16118,mbpp+,code-llama-multi-7b,Mbpp/93,0.0,1.0,,,0
16119,mbpp+,code-llama-multi-7b,Mbpp/94,1.0,1.0,,,1
16120,mbpp+,code-llama-multi-7b,Mbpp/95,1.0,1.0,,,1
16121,mbpp+,code-llama-multi-7b,Mbpp/96,1.0,1.0,,,1
16122,mbpp+,code-llama-multi-7b,Mbpp/97,0.0,1.0,,,0
16123,mbpp+,code-llama-multi-7b,Mbpp/98,0.0,1.0,,,0
16124,mbpp+,code-llama-multi-7b,Mbpp/99,0.0,1.0,,,0
16125,mbpp+,code-llama-multi-7b,Mbpp/100,0.0,1.0,,,0
16126,mbpp+,code-llama-multi-7b,Mbpp/101,0.0,1.0,,,0
16127,mbpp+,code-llama-multi-7b,Mbpp/102,0.0,1.0,,,0
16128,mbpp+,code-llama-multi-7b,Mbpp/103,0.0,1.0,,,0
16129,mbpp+,code-llama-multi-7b,Mbpp/104,1.0,1.0,,,1
16130,mbpp+,code-llama-multi-7b,Mbpp/105,1.0,1.0,,,1
16131,mbpp+,code-llama-multi-7b,Mbpp/106,1.0,1.0,,,1
16132,mbpp+,code-llama-multi-7b,Mbpp/108,0.0,1.0,,,0
16133,mbpp+,code-llama-multi-7b,Mbpp/109,0.0,1.0,,,0
16134,mbpp+,code-llama-multi-7b,Mbpp/111,0.0,1.0,,,0
16135,mbpp+,code-llama-multi-7b,Mbpp/113,0.0,1.0,,,0
16136,mbpp+,code-llama-multi-7b,Mbpp/116,1.0,1.0,,,1
16137,mbpp+,code-llama-multi-7b,Mbpp/118,0.0,1.0,,,0
16138,mbpp+,code-llama-multi-7b,Mbpp/119,0.0,1.0,,,0
16139,mbpp+,code-llama-multi-7b,Mbpp/120,0.0,1.0,,,0
16140,mbpp+,code-llama-multi-7b,Mbpp/123,0.0,1.0,,,0
16141,mbpp+,code-llama-multi-7b,Mbpp/124,0.0,1.0,,,0
16142,mbpp+,code-llama-multi-7b,Mbpp/125,0.0,1.0,,,0
16143,mbpp+,code-llama-multi-7b,Mbpp/126,0.0,1.0,,,0
16144,mbpp+,code-llama-multi-7b,Mbpp/127,0.0,1.0,,,0
16145,mbpp+,code-llama-multi-7b,Mbpp/128,1.0,1.0,,,1
16146,mbpp+,code-llama-multi-7b,Mbpp/129,0.0,1.0,,,0
16147,mbpp+,code-llama-multi-7b,Mbpp/130,1.0,1.0,,,1
16148,mbpp+,code-llama-multi-7b,Mbpp/131,0.0,1.0,,,0
16149,mbpp+,code-llama-multi-7b,Mbpp/132,1.0,1.0,,,1
16150,mbpp+,code-llama-multi-7b,Mbpp/133,1.0,1.0,,,1
16151,mbpp+,code-llama-multi-7b,Mbpp/135,0.0,1.0,,,0
16152,mbpp+,code-llama-multi-7b,Mbpp/137,0.0,1.0,,,0
16153,mbpp+,code-llama-multi-7b,Mbpp/138,0.0,1.0,,,0
16154,mbpp+,code-llama-multi-7b,Mbpp/139,1.0,1.0,,,1
16155,mbpp+,code-llama-multi-7b,Mbpp/140,0.0,1.0,,,0
16156,mbpp+,code-llama-multi-7b,Mbpp/141,1.0,1.0,,,1
16157,mbpp+,code-llama-multi-7b,Mbpp/142,0.0,1.0,,,0
16158,mbpp+,code-llama-multi-7b,Mbpp/145,1.0,1.0,,,1
16159,mbpp+,code-llama-multi-7b,Mbpp/160,0.0,1.0,,,0
16160,mbpp+,code-llama-multi-7b,Mbpp/161,0.0,1.0,,,0
16161,mbpp+,code-llama-multi-7b,Mbpp/162,0.0,1.0,,,0
16162,mbpp+,code-llama-multi-7b,Mbpp/165,0.0,1.0,,,0
16163,mbpp+,code-llama-multi-7b,Mbpp/166,0.0,1.0,,,0
16164,mbpp+,code-llama-multi-7b,Mbpp/167,1.0,1.0,,,1
16165,mbpp+,code-llama-multi-7b,Mbpp/168,1.0,1.0,,,1
16166,mbpp+,code-llama-multi-7b,Mbpp/170,1.0,1.0,,,1
16167,mbpp+,code-llama-multi-7b,Mbpp/171,1.0,1.0,,,1
16168,mbpp+,code-llama-multi-7b,Mbpp/172,1.0,1.0,,,1
16169,mbpp+,code-llama-multi-7b,Mbpp/222,1.0,1.0,,,1
16170,mbpp+,code-llama-multi-7b,Mbpp/223,0.0,1.0,,,0
16171,mbpp+,code-llama-multi-7b,Mbpp/224,1.0,1.0,,,1
16172,mbpp+,code-llama-multi-7b,Mbpp/226,1.0,1.0,,,1
16173,mbpp+,code-llama-multi-7b,Mbpp/227,0.0,1.0,,,0
16174,mbpp+,code-llama-multi-7b,Mbpp/230,1.0,1.0,,,1
16175,mbpp+,code-llama-multi-7b,Mbpp/232,1.0,1.0,,,1
16176,mbpp+,code-llama-multi-7b,Mbpp/233,0.0,1.0,,,0
16177,mbpp+,code-llama-multi-7b,Mbpp/234,1.0,1.0,,,1
16178,mbpp+,code-llama-multi-7b,Mbpp/235,0.0,1.0,,,0
16179,mbpp+,code-llama-multi-7b,Mbpp/237,0.0,1.0,,,0
16180,mbpp+,code-llama-multi-7b,Mbpp/238,0.0,1.0,,,0
16181,mbpp+,code-llama-multi-7b,Mbpp/239,0.0,1.0,,,0
16182,mbpp+,code-llama-multi-7b,Mbpp/240,0.0,1.0,,,0
16183,mbpp+,code-llama-multi-7b,Mbpp/242,1.0,1.0,,,1
16184,mbpp+,code-llama-multi-7b,Mbpp/244,0.0,1.0,,,0
16185,mbpp+,code-llama-multi-7b,Mbpp/245,0.0,1.0,,,0
16186,mbpp+,code-llama-multi-7b,Mbpp/247,0.0,1.0,,,0
16187,mbpp+,code-llama-multi-7b,Mbpp/250,1.0,1.0,,,1
16188,mbpp+,code-llama-multi-7b,Mbpp/251,1.0,1.0,,,1
16189,mbpp+,code-llama-multi-7b,Mbpp/252,0.0,1.0,,,0
16190,mbpp+,code-llama-multi-7b,Mbpp/253,1.0,1.0,,,1
16191,mbpp+,code-llama-multi-7b,Mbpp/255,0.0,1.0,,,0
16192,mbpp+,code-llama-multi-7b,Mbpp/256,0.0,1.0,,,0
16193,mbpp+,code-llama-multi-7b,Mbpp/257,1.0,1.0,,,1
16194,mbpp+,code-llama-multi-7b,Mbpp/259,0.0,1.0,,,0
16195,mbpp+,code-llama-multi-7b,Mbpp/260,0.0,1.0,,,0
16196,mbpp+,code-llama-multi-7b,Mbpp/261,1.0,1.0,,,1
