,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,CohereForAI--c4ai-command-r-plus,HuggingFaceH4--starchat2-15b-v0.1,378.0,0.6375661375661376,0.6481481481481481,64.0,-4.0,0.021164021164021163,0.7079807541347641,,,0.021157021322201118,0.6314883423678321,mbpp+
1,CohereForAI--c4ai-command-r-plus,Qwen--Qwen1.5-72B-Chat,378.0,0.6375661375661376,0.6243386243386243,77.0,5.0,0.02321419150103736,0.6487911623106449,,,0.023204219683164298,0.5628979330120795,mbpp+
2,CohereForAI--c4ai-command-r-plus,bigcode--starcoder2-15b-instruct-v0.1,378.0,0.6375661375661376,0.6507936507936508,81.0,-5.0,0.023809523809523808,0.6569924675863577,,,0.023799801429717753,0.5328712980553502,mbpp+
3,CohereForAI--c4ai-command-r-plus,claude-3-haiku-20240307,378.0,0.6375661375661376,0.6931216931216931,67.0,-21.0,0.021654372412360977,0.013933875024287785,,,0.021465011366204732,0.6080690982887076,mbpp+
4,CohereForAI--c4ai-command-r-plus,claude-3-opus-20240229,378.0,0.6375661375661376,0.7354497354497355,83.0,-37.0,0.024101676135302376,5.973595638605142e-05,,,0.02356997466972404,0.508509054893172,mbpp+
5,CohereForAI--c4ai-command-r-plus,claude-3-sonnet-20240229,378.0,0.6375661375661376,0.6984126984126984,73.0,-23.0,0.02260318451142204,0.009542211425865477,,,0.022385475092537608,0.5717787155849882,mbpp+
6,CohereForAI--c4ai-command-r-plus,code-llama-13b,378.0,0.6375661375661376,0.5317460317460317,98.0,40.0,0.026189140043946204,6.572240952992274e-05,,,0.025617318281489467,0.48361534260798716,mbpp+
7,CohereForAI--c4ai-command-r-plus,code-llama-34b,378.0,0.6375661375661376,0.5687830687830688,86.0,26.0,0.024533382263216146,0.0066739231422248664,,,0.0242769577952774,0.5325452327911282,mbpp+
8,CohereForAI--c4ai-command-r-plus,code-llama-multi-13b,378.0,0.6375661375661376,0.544973544973545,97.0,35.0,0.026055179369830966,0.000490157948963301,,,0.025616234126468712,0.4825280632540863,mbpp+
9,CohereForAI--c4ai-command-r-plus,code-llama-multi-34b,378.0,0.6375661375661376,0.5502645502645502,93.0,33.0,0.02551230360051046,0.0008100087738623599,,,0.025114035099096464,0.502101021043013,mbpp+
10,CohereForAI--c4ai-command-r-plus,code-llama-multi-7b,378.0,0.6375661375661376,0.4417989417989418,124.0,74.0,0.029459070702804346,1.2977559955671763e-11,,,0.027684806307332922,0.39370905717575877,mbpp+
11,CohereForAI--c4ai-command-r-plus,code-millenials-34b,378.0,0.6375661375661376,0.6455026455026455,71.0,-3.0,0.02229140151633957,0.8125886494061619,,,0.022287663543391966,0.5917316807022167,mbpp+
12,CohereForAI--c4ai-command-r-plus,codegemma-2b,378.0,0.6375661375661376,0.47883597883597884,118.0,60.0,0.028737514526984694,2.8230349944117135e-08,,,0.027553413681420662,0.40321618670209813,mbpp+
13,CohereForAI--c4ai-command-r-plus,codegemma-7b,378.0,0.6375661375661376,0.5238095238095238,109.0,43.0,0.02761985848918135,4.655578894552281e-05,,,0.02699300424685893,0.4271291952396299,mbpp+
14,CohereForAI--c4ai-command-r-plus,codegemma-7b-it,378.0,0.6375661375661376,0.5740740740740741,90.0,24.0,0.02509744174736809,0.014866752945626234,,,0.02488406961395723,0.5080463713473771,mbpp+
15,CohereForAI--c4ai-command-r-plus,codegen-16b,378.0,0.6375661375661376,0.46296296296296297,100.0,66.0,0.026455026455026454,1.3097998650070218e-11,,,0.024884069613957227,0.5124087365104287,mbpp+
16,CohereForAI--c4ai-command-r-plus,codet5p-16b,378.0,0.6375661375661376,0.48148148148148145,107.0,59.0,0.027365292150234394,8.577708625136334e-09,,,0.02616119967172384,0.4621951788040357,mbpp+
17,CohereForAI--c4ai-command-r-plus,databricks--dbrx-instruct,378.0,0.6375661375661376,0.5634920634920635,92.0,28.0,0.025374769964617565,0.004609105461459271,,,0.02508711145602806,0.5015501959745032,mbpp+
18,CohereForAI--c4ai-command-r-plus,deepseek-coder-33b-instruct,378.0,0.6375661375661376,0.7037037037037037,83.0,-25.0,0.024101676135302376,0.008036706377857002,,,0.023860404312874894,0.5111105998709334,mbpp+
19,CohereForAI--c4ai-command-r-plus,deepseek-coder-6.7b-base,378.0,0.6375661375661376,0.5952380952380952,86.0,16.0,0.024533382263216146,0.10522535125694396,,,0.024436591325798326,0.5218954274613617,mbpp+
20,CohereForAI--c4ai-command-r-plus,deepseek-coder-6.7b-instruct,378.0,0.6375661375661376,0.6613756613756614,71.0,-9.0,0.02229140151633957,0.34247099841986794,,,0.022257737160584407,0.5885334831690547,mbpp+
21,CohereForAI--c4ai-command-r-plus,dolphin-2.6,378.0,0.6375661375661376,0.6005291005291006,84.0,14.0,0.024246432248443597,0.15565646371399705,,,0.024171481737594095,0.5311657232432448,mbpp+
22,CohereForAI--c4ai-command-r-plus,gemma-1.1-7b-it,378.0,0.6375661375661376,0.4656084656084656,111.0,65.0,0.027872099875271797,3.795723347076606e-10,,,0.026431570464329653,0.4500152360689879,mbpp+
23,CohereForAI--c4ai-command-r-plus,gemma-7b,378.0,0.6375661375661376,0.4497354497354497,117.0,71.0,0.028615486313206265,2.2313814815989472e-11,,,0.026935325354240362,0.4271780428505369,mbpp+
24,CohereForAI--c4ai-command-r-plus,gpt-4-1106-preview,378.0,0.6375661375661376,0.7407407407407407,83.0,-39.0,0.024101676135302376,2.1806574627155318e-05,,,0.023510198216993735,0.508378691816003,mbpp+
25,CohereForAI--c4ai-command-r-plus,meta-llama-3-70b-instruct,378.0,0.6375661375661376,0.6957671957671958,64.0,-22.0,0.021164021164021163,0.008146902228698568,,,0.020951241337650677,0.6258421572725971,mbpp+
26,CohereForAI--c4ai-command-r-plus,microsoft--Phi-3-mini-4k-instruct,378.0,0.6375661375661376,0.544973544973545,105.0,35.0,0.027108335359681476,0.0008214525388957499,,,0.026686718134700495,0.4383216628881032,mbpp+
27,CohereForAI--c4ai-command-r-plus,mistral-large-latest,378.0,0.6375661375661376,0.5978835978835979,89.0,15.0,0.024957622042477787,0.137367971355652,,,0.02487402288602712,0.5040696485630927,mbpp+
28,CohereForAI--c4ai-command-r-plus,mixtral-8x22b-instruct-v0.1,378.0,0.6375661375661376,0.6455026455026455,69.0,-3.0,0.02197519540454517,0.8099490529189248,,,0.021971403635833563,0.6032363908814904,mbpp+
29,CohereForAI--c4ai-command-r-plus,mixtral-8x7b-instruct,378.0,0.6375661375661376,0.5026455026455027,101.0,51.0,0.026586972542647858,3.7231423277541645e-07,,,0.02566533646668391,0.48279192344802596,mbpp+
30,CohereForAI--c4ai-command-r-plus,octocoder,378.0,0.6375661375661376,0.5132275132275133,103.0,47.0,0.026848919484370952,4.027763000797049e-06,,,0.02607613390090371,0.4658847667426802,mbpp+
31,CohereForAI--c4ai-command-r-plus,open-hermes-2.5-code-290k-13b,378.0,0.6375661375661376,0.46825396825396826,114.0,64.0,0.028246238761987594,1.3151843662610918e-09,,,0.02687028860684423,0.4317962868932516,mbpp+
32,CohereForAI--c4ai-command-r-plus,openchat,378.0,0.6375661375661376,0.5608465608465608,93.0,29.0,0.02551230360051046,0.0034618534914423785,,,0.025205286911799366,0.497196057179046,mbpp+
33,CohereForAI--c4ai-command-r-plus,opencodeinterpreter-ds-33b,378.0,0.6375661375661376,0.6878306878306878,75.0,-19.0,0.02291072496784229,0.0369549040273683,,,0.022764388635443413,0.5609692399784368,mbpp+
34,CohereForAI--c4ai-command-r-plus,opencodeinterpreter-ds-6.7b,378.0,0.6375661375661376,0.6693121693121693,78.0,-12.0,0.023364446736317053,0.21268281985080573,,,0.023307320864196953,0.5462421929843212,mbpp+
35,CohereForAI--c4ai-command-r-plus,phi-2,378.0,0.6375661375661376,0.5529100529100529,96.0,32.0,0.02592052637865797,0.001424496094649118,,,0.02555218756096387,0.4842520034635307,mbpp+
36,CohereForAI--c4ai-command-r-plus,speechless-codellama-34b,378.0,0.6375661375661376,0.6137566137566137,83.0,9.0,0.024101676135302376,0.37999939641191804,,,0.024070543709646404,0.532208709262762,mbpp+
37,CohereForAI--c4ai-command-r-plus,speechless-mistral-7b,378.0,0.6375661375661376,0.49206349206349204,101.0,55.0,0.026586972542647858,3.552056811614334e-08,,,0.025511940733055325,0.4889034131798197,mbpp+
38,CohereForAI--c4ai-command-r-plus,speechless-starcoder2-15b,378.0,0.6375661375661376,0.6296296296296297,67.0,3.0,0.021654372412360977,0.8071946913670247,,,0.02165052445632663,0.6183642296714734,mbpp+
39,CohereForAI--c4ai-command-r-plus,speechless-starcoder2-7b,378.0,0.6375661375661376,0.5714285714285714,75.0,25.0,0.02291072496784229,0.005228243004014281,,,0.022656774262788754,0.5925832942092331,mbpp+
40,CohereForAI--c4ai-command-r-plus,stable-code-3b,378.0,0.6375661375661376,0.46825396825396826,114.0,64.0,0.028246238761987594,1.3151843662610918e-09,,,0.02687028860684423,0.4317962868932525,mbpp+
41,CohereForAI--c4ai-command-r-plus,starcoder2-15b-oci,378.0,0.6375661375661376,0.6375661375661376,80.0,0.0,0.023662094999997774,1.0,,,0.023662094999997777,0.542054093345853,mbpp+
42,CohereForAI--c4ai-command-r-plus,starcoder2-3b,378.0,0.6375661375661376,0.4444444444444444,113.0,73.0,0.028122078869668384,1.93144963207924e-12,,,0.02630940295966834,0.45286005605062635,mbpp+
43,CohereForAI--c4ai-command-r-plus,white-rabbit-neo-33b-v1,378.0,0.6375661375661376,0.6746031746031746,86.0,-14.0,0.024533382263216146,0.16057841913397977,,,0.024459311067271866,0.49828465553484497,mbpp+
44,CohereForAI--c4ai-command-r-plus,wizardcoder-15b,378.0,0.6375661375661376,0.5476190476190477,96.0,34.0,0.02592052637865797,0.0006747185703333388,,,0.025504319323898995,0.48677401630679384,mbpp+
45,CohereForAI--c4ai-command-r-plus,wizardcoder-34b,378.0,0.6375661375661376,0.6375661375661376,84.0,0.0,0.024246432248443597,1.0,,,0.024246432248443597,0.5191567980131452,mbpp+
46,CohereForAI--c4ai-command-r-plus,wizardcoder-7b,378.0,0.6375661375661376,0.5,98.0,52.0,0.026189140043946204,1.3172242120654855e-07,,,0.025215201651460042,0.5008095333464357,mbpp+
47,CohereForAI--c4ai-command-r-plus,xwincoder-34b,378.0,0.6375661375661376,0.6613756613756614,73.0,-9.0,0.02260318451142204,0.34918183817058834,,,0.022569985201687286,0.5769043322731893,mbpp+
