,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
1219639,nq,falcon-7b,nq/0,0.0,1.0,,,0
1219640,nq,falcon-7b,nq/1,0.0,1.0,,,0
1219641,nq,falcon-7b,nq/2,0.0,1.0,,,0
1219642,nq,falcon-7b,nq/3,0.0,1.0,,,0
1219643,nq,falcon-7b,nq/4,0.0,1.0,,,0
1219644,nq,falcon-7b,nq/5,0.0,1.0,,,0
1219645,nq,falcon-7b,nq/6,0.0,1.0,,,0
1219646,nq,falcon-7b,nq/7,0.0,1.0,,,0
1219647,nq,falcon-7b,nq/8,0.0,1.0,,,0
1219648,nq,falcon-7b,nq/9,0.0,1.0,,,0
1219649,nq,falcon-7b,nq/10,0.0,1.0,,,0
1219650,nq,falcon-7b,nq/11,0.0,1.0,,,0
1219651,nq,falcon-7b,nq/12,1.0,1.0,,,1
1219652,nq,falcon-7b,nq/13,0.0,1.0,,,0
1219653,nq,falcon-7b,nq/14,0.0,1.0,,,0
1219654,nq,falcon-7b,nq/15,0.0,1.0,,,0
1219655,nq,falcon-7b,nq/16,0.0,1.0,,,0
1219656,nq,falcon-7b,nq/17,0.0,1.0,,,0
1219657,nq,falcon-7b,nq/18,0.0,1.0,,,0
1219658,nq,falcon-7b,nq/19,0.0,1.0,,,0
1219659,nq,falcon-7b,nq/20,1.0,1.0,,,1
1219660,nq,falcon-7b,nq/21,0.0,1.0,,,0
1219661,nq,falcon-7b,nq/22,1.0,1.0,,,1
1219662,nq,falcon-7b,nq/23,0.0,1.0,,,0
1219663,nq,falcon-7b,nq/24,0.0,1.0,,,0
1219664,nq,falcon-7b,nq/25,0.0,1.0,,,0
1219665,nq,falcon-7b,nq/26,1.0,1.0,,,1
1219666,nq,falcon-7b,nq/27,0.0,1.0,,,0
1219667,nq,falcon-7b,nq/28,0.0,1.0,,,0
1219668,nq,falcon-7b,nq/29,0.0,1.0,,,0
1219669,nq,falcon-7b,nq/30,1.0,1.0,,,1
1219670,nq,falcon-7b,nq/31,0.0,1.0,,,0
1219671,nq,falcon-7b,nq/32,0.0,1.0,,,0
1219672,nq,falcon-7b,nq/33,1.0,1.0,,,1
1219673,nq,falcon-7b,nq/34,1.0,1.0,,,1
1219674,nq,falcon-7b,nq/35,0.0,1.0,,,0
1219675,nq,falcon-7b,nq/36,0.0,1.0,,,0
1219676,nq,falcon-7b,nq/37,0.0,1.0,,,0
1219677,nq,falcon-7b,nq/38,0.0,1.0,,,0
1219678,nq,falcon-7b,nq/39,0.0,1.0,,,0
1219679,nq,falcon-7b,nq/40,0.0,1.0,,,0
1219680,nq,falcon-7b,nq/41,0.0,1.0,,,0
1219681,nq,falcon-7b,nq/42,0.0,1.0,,,0
1219682,nq,falcon-7b,nq/43,0.0,1.0,,,0
1219683,nq,falcon-7b,nq/44,0.0,1.0,,,0
1219684,nq,falcon-7b,nq/45,1.0,1.0,,,1
1219685,nq,falcon-7b,nq/46,0.0,1.0,,,0
1219686,nq,falcon-7b,nq/47,1.0,1.0,,,1
1219687,nq,falcon-7b,nq/48,0.0,1.0,,,0
1219688,nq,falcon-7b,nq/49,0.0,1.0,,,0
1219689,nq,falcon-7b,nq/50,0.0,1.0,,,0
1219690,nq,falcon-7b,nq/51,0.0,1.0,,,0
1219691,nq,falcon-7b,nq/52,0.0,1.0,,,0
1219692,nq,falcon-7b,nq/53,0.0,1.0,,,0
1219693,nq,falcon-7b,nq/54,0.0,1.0,,,0
1219694,nq,falcon-7b,nq/55,1.0,1.0,,,1
1219695,nq,falcon-7b,nq/56,0.0,1.0,,,0
1219696,nq,falcon-7b,nq/57,0.0,1.0,,,0
1219697,nq,falcon-7b,nq/58,0.0,1.0,,,0
1219698,nq,falcon-7b,nq/59,1.0,1.0,,,1
1219699,nq,falcon-7b,nq/60,0.0,1.0,,,0
1219700,nq,falcon-7b,nq/61,0.0,1.0,,,0
1219701,nq,falcon-7b,nq/62,0.0,1.0,,,0
1219702,nq,falcon-7b,nq/63,1.0,1.0,,,1
1219703,nq,falcon-7b,nq/64,0.0,1.0,,,0
1219704,nq,falcon-7b,nq/65,0.0,1.0,,,0
1219705,nq,falcon-7b,nq/66,0.0,1.0,,,0
1219706,nq,falcon-7b,nq/67,0.0,1.0,,,0
1219707,nq,falcon-7b,nq/68,0.0,1.0,,,0
1219708,nq,falcon-7b,nq/69,0.0,1.0,,,0
1219709,nq,falcon-7b,nq/70,0.0,1.0,,,0
1219710,nq,falcon-7b,nq/71,0.0,1.0,,,0
1219711,nq,falcon-7b,nq/72,0.0,1.0,,,0
1219712,nq,falcon-7b,nq/73,0.0,1.0,,,0
1219713,nq,falcon-7b,nq/74,0.0,1.0,,,0
1219714,nq,falcon-7b,nq/75,0.0,1.0,,,0
1219715,nq,falcon-7b,nq/76,0.0,1.0,,,0
1219716,nq,falcon-7b,nq/77,0.0,1.0,,,0
1219717,nq,falcon-7b,nq/78,1.0,1.0,,,1
1219718,nq,falcon-7b,nq/79,0.0,1.0,,,0
1219719,nq,falcon-7b,nq/80,0.0,1.0,,,0
1219720,nq,falcon-7b,nq/81,0.0,1.0,,,0
1219721,nq,falcon-7b,nq/82,0.0,1.0,,,0
1219722,nq,falcon-7b,nq/83,0.0,1.0,,,0
1219723,nq,falcon-7b,nq/84,0.0,1.0,,,0
1219724,nq,falcon-7b,nq/85,0.0,1.0,,,0
1219725,nq,falcon-7b,nq/86,0.0,1.0,,,0
1219726,nq,falcon-7b,nq/87,0.0,1.0,,,0
1219727,nq,falcon-7b,nq/88,0.0,1.0,,,0
1219728,nq,falcon-7b,nq/89,0.0,1.0,,,0
1219729,nq,falcon-7b,nq/90,0.0,1.0,,,0
1219730,nq,falcon-7b,nq/91,0.0,1.0,,,0
1219731,nq,falcon-7b,nq/92,1.0,1.0,,,1
1219732,nq,falcon-7b,nq/93,1.0,1.0,,,1
1219733,nq,falcon-7b,nq/94,0.0,1.0,,,0
1219734,nq,falcon-7b,nq/95,0.0,1.0,,,0
1219735,nq,falcon-7b,nq/96,0.0,1.0,,,0
1219736,nq,falcon-7b,nq/97,0.0,1.0,,,0
1219737,nq,falcon-7b,nq/98,0.0,1.0,,,0
1219738,nq,falcon-7b,nq/99,0.0,1.0,,,0
1219739,nq,falcon-7b,nq/100,0.0,1.0,,,0
1219740,nq,falcon-7b,nq/101,0.0,1.0,,,0
1219741,nq,falcon-7b,nq/102,0.0,1.0,,,0
1219742,nq,falcon-7b,nq/103,0.0,1.0,,,0
1219743,nq,falcon-7b,nq/104,0.0,1.0,,,0
1219744,nq,falcon-7b,nq/105,0.0,1.0,,,0
1219745,nq,falcon-7b,nq/106,0.0,1.0,,,0
1219746,nq,falcon-7b,nq/107,1.0,1.0,,,1
1219747,nq,falcon-7b,nq/108,0.0,1.0,,,0
1219748,nq,falcon-7b,nq/109,0.0,1.0,,,0
1219749,nq,falcon-7b,nq/110,0.0,1.0,,,0
1219750,nq,falcon-7b,nq/111,0.0,1.0,,,0
1219751,nq,falcon-7b,nq/112,0.0,1.0,,,0
1219752,nq,falcon-7b,nq/113,0.0,1.0,,,0
1219753,nq,falcon-7b,nq/114,0.0,1.0,,,0
1219754,nq,falcon-7b,nq/115,0.0,1.0,,,0
1219755,nq,falcon-7b,nq/116,0.0,1.0,,,0
1219756,nq,falcon-7b,nq/117,1.0,1.0,,,1
1219757,nq,falcon-7b,nq/118,0.0,1.0,,,0
1219758,nq,falcon-7b,nq/119,0.0,1.0,,,0
1219759,nq,falcon-7b,nq/120,1.0,1.0,,,1
1219760,nq,falcon-7b,nq/121,0.0,1.0,,,0
1219761,nq,falcon-7b,nq/122,0.0,1.0,,,0
1219762,nq,falcon-7b,nq/123,1.0,1.0,,,1
1219763,nq,falcon-7b,nq/124,0.0,1.0,,,0
1219764,nq,falcon-7b,nq/125,0.0,1.0,,,0
1219765,nq,falcon-7b,nq/126,0.0,1.0,,,0
1219766,nq,falcon-7b,nq/127,0.0,1.0,,,0
1219767,nq,falcon-7b,nq/128,0.0,1.0,,,0
1219768,nq,falcon-7b,nq/129,0.0,1.0,,,0
1219769,nq,falcon-7b,nq/130,0.0,1.0,,,0
1219770,nq,falcon-7b,nq/131,0.0,1.0,,,0
1219771,nq,falcon-7b,nq/132,0.0,1.0,,,0
1219772,nq,falcon-7b,nq/133,0.0,1.0,,,0
1219773,nq,falcon-7b,nq/134,0.0,1.0,,,0
1219774,nq,falcon-7b,nq/135,0.0,1.0,,,0
1219775,nq,falcon-7b,nq/136,0.0,1.0,,,0
1219776,nq,falcon-7b,nq/137,1.0,1.0,,,1
1219777,nq,falcon-7b,nq/138,0.0,1.0,,,0
1219778,nq,falcon-7b,nq/139,1.0,1.0,,,1
1219779,nq,falcon-7b,nq/140,0.0,1.0,,,0
1219780,nq,falcon-7b,nq/141,0.0,1.0,,,0
1219781,nq,falcon-7b,nq/142,1.0,1.0,,,1
1219782,nq,falcon-7b,nq/143,1.0,1.0,,,1
1219783,nq,falcon-7b,nq/144,1.0,1.0,,,1
1219784,nq,falcon-7b,nq/145,1.0,1.0,,,1
1219785,nq,falcon-7b,nq/146,0.0,1.0,,,0
1219786,nq,falcon-7b,nq/147,0.0,1.0,,,0
1219787,nq,falcon-7b,nq/148,0.0,1.0,,,0
1219788,nq,falcon-7b,nq/149,0.0,1.0,,,0
1219789,nq,falcon-7b,nq/150,0.0,1.0,,,0
1219790,nq,falcon-7b,nq/151,0.0,1.0,,,0
1219791,nq,falcon-7b,nq/152,0.0,1.0,,,0
1219792,nq,falcon-7b,nq/153,1.0,1.0,,,1
1219793,nq,falcon-7b,nq/154,0.0,1.0,,,0
1219794,nq,falcon-7b,nq/155,0.0,1.0,,,0
1219795,nq,falcon-7b,nq/156,0.0,1.0,,,0
1219796,nq,falcon-7b,nq/157,0.0,1.0,,,0
1219797,nq,falcon-7b,nq/158,0.0,1.0,,,0
1219798,nq,falcon-7b,nq/159,1.0,1.0,,,1
1219799,nq,falcon-7b,nq/160,0.0,1.0,,,0
1219800,nq,falcon-7b,nq/161,0.0,1.0,,,0
1219801,nq,falcon-7b,nq/162,0.0,1.0,,,0
1219802,nq,falcon-7b,nq/163,0.0,1.0,,,0
1219803,nq,falcon-7b,nq/164,0.0,1.0,,,0
1219804,nq,falcon-7b,nq/165,0.0,1.0,,,0
1219805,nq,falcon-7b,nq/166,0.0,1.0,,,0
1219806,nq,falcon-7b,nq/167,0.0,1.0,,,0
1219807,nq,falcon-7b,nq/168,1.0,1.0,,,1
1219808,nq,falcon-7b,nq/169,0.0,1.0,,,0
1219809,nq,falcon-7b,nq/170,0.0,1.0,,,0
1219810,nq,falcon-7b,nq/171,1.0,1.0,,,1
1219811,nq,falcon-7b,nq/172,0.0,1.0,,,0
1219812,nq,falcon-7b,nq/173,0.0,1.0,,,0
1219813,nq,falcon-7b,nq/174,0.0,1.0,,,0
1219814,nq,falcon-7b,nq/175,0.0,1.0,,,0
1219815,nq,falcon-7b,nq/176,0.0,1.0,,,0
1219816,nq,falcon-7b,nq/177,0.0,1.0,,,0
1219817,nq,falcon-7b,nq/178,0.0,1.0,,,0
1219818,nq,falcon-7b,nq/179,0.0,1.0,,,0
1219819,nq,falcon-7b,nq/180,1.0,1.0,,,1
1219820,nq,falcon-7b,nq/181,0.0,1.0,,,0
1219821,nq,falcon-7b,nq/182,0.0,1.0,,,0
1219822,nq,falcon-7b,nq/183,0.0,1.0,,,0
1219823,nq,falcon-7b,nq/184,0.0,1.0,,,0
1219824,nq,falcon-7b,nq/185,0.0,1.0,,,0
1219825,nq,falcon-7b,nq/186,1.0,1.0,,,1
1219826,nq,falcon-7b,nq/187,0.0,1.0,,,0
1219827,nq,falcon-7b,nq/188,0.0,1.0,,,0
1219828,nq,falcon-7b,nq/189,0.0,1.0,,,0
1219829,nq,falcon-7b,nq/190,1.0,1.0,,,1
1219830,nq,falcon-7b,nq/191,1.0,1.0,,,1
1219831,nq,falcon-7b,nq/192,0.0,1.0,,,0
1219832,nq,falcon-7b,nq/193,0.0,1.0,,,0
1219833,nq,falcon-7b,nq/194,0.0,1.0,,,0
1219834,nq,falcon-7b,nq/195,1.0,1.0,,,1
1219835,nq,falcon-7b,nq/196,0.0,1.0,,,0
1219836,nq,falcon-7b,nq/197,0.0,1.0,,,0
1219837,nq,falcon-7b,nq/198,0.0,1.0,,,0
1219838,nq,falcon-7b,nq/199,0.0,1.0,,,0
1219839,nq,falcon-7b,nq/200,0.0,1.0,,,0
1219840,nq,falcon-7b,nq/201,0.0,1.0,,,0
1219841,nq,falcon-7b,nq/202,0.0,1.0,,,0
1219842,nq,falcon-7b,nq/203,0.0,1.0,,,0
1219843,nq,falcon-7b,nq/204,0.0,1.0,,,0
1219844,nq,falcon-7b,nq/205,0.0,1.0,,,0
1219845,nq,falcon-7b,nq/206,0.0,1.0,,,0
1219846,nq,falcon-7b,nq/207,1.0,1.0,,,1
1219847,nq,falcon-7b,nq/208,0.0,1.0,,,0
1219848,nq,falcon-7b,nq/209,0.0,1.0,,,0
1219849,nq,falcon-7b,nq/210,1.0,1.0,,,1
1219850,nq,falcon-7b,nq/211,0.0,1.0,,,0
1219851,nq,falcon-7b,nq/212,0.0,1.0,,,0
1219852,nq,falcon-7b,nq/213,0.0,1.0,,,0
1219853,nq,falcon-7b,nq/214,0.0,1.0,,,0
1219854,nq,falcon-7b,nq/215,0.0,1.0,,,0
1219855,nq,falcon-7b,nq/216,1.0,1.0,,,1
1219856,nq,falcon-7b,nq/217,1.0,1.0,,,1
1219857,nq,falcon-7b,nq/218,1.0,1.0,,,1
1219858,nq,falcon-7b,nq/219,0.0,1.0,,,0
1219859,nq,falcon-7b,nq/220,0.0,1.0,,,0
1219860,nq,falcon-7b,nq/221,0.0,1.0,,,0
1219861,nq,falcon-7b,nq/222,0.0,1.0,,,0
1219862,nq,falcon-7b,nq/223,0.0,1.0,,,0
1219863,nq,falcon-7b,nq/224,0.0,1.0,,,0
1219864,nq,falcon-7b,nq/225,0.0,1.0,,,0
1219865,nq,falcon-7b,nq/226,0.0,1.0,,,0
1219866,nq,falcon-7b,nq/227,0.0,1.0,,,0
1219867,nq,falcon-7b,nq/228,1.0,1.0,,,1
1219868,nq,falcon-7b,nq/229,0.0,1.0,,,0
1219869,nq,falcon-7b,nq/230,0.0,1.0,,,0
1219870,nq,falcon-7b,nq/231,0.0,1.0,,,0
1219871,nq,falcon-7b,nq/232,0.0,1.0,,,0
1219872,nq,falcon-7b,nq/233,0.0,1.0,,,0
1219873,nq,falcon-7b,nq/234,0.0,1.0,,,0
1219874,nq,falcon-7b,nq/235,0.0,1.0,,,0
1219875,nq,falcon-7b,nq/236,0.0,1.0,,,0
1219876,nq,falcon-7b,nq/237,0.0,1.0,,,0
1219877,nq,falcon-7b,nq/238,0.0,1.0,,,0
1219878,nq,falcon-7b,nq/239,0.0,1.0,,,0
1219879,nq,falcon-7b,nq/240,0.0,1.0,,,0
1219880,nq,falcon-7b,nq/241,1.0,1.0,,,1
1219881,nq,falcon-7b,nq/242,0.0,1.0,,,0
1219882,nq,falcon-7b,nq/243,0.0,1.0,,,0
1219883,nq,falcon-7b,nq/244,0.0,1.0,,,0
1219884,nq,falcon-7b,nq/245,0.0,1.0,,,0
1219885,nq,falcon-7b,nq/246,0.0,1.0,,,0
1219886,nq,falcon-7b,nq/247,1.0,1.0,,,1
1219887,nq,falcon-7b,nq/248,0.0,1.0,,,0
1219888,nq,falcon-7b,nq/249,1.0,1.0,,,1
1219889,nq,falcon-7b,nq/250,0.0,1.0,,,0
1219890,nq,falcon-7b,nq/251,0.0,1.0,,,0
1219891,nq,falcon-7b,nq/252,0.0,1.0,,,0
1219892,nq,falcon-7b,nq/253,0.0,1.0,,,0
1219893,nq,falcon-7b,nq/254,0.0,1.0,,,0
1219894,nq,falcon-7b,nq/255,0.0,1.0,,,0
1219895,nq,falcon-7b,nq/256,1.0,1.0,,,1
1219896,nq,falcon-7b,nq/257,0.0,1.0,,,0
1219897,nq,falcon-7b,nq/258,0.0,1.0,,,0
1219898,nq,falcon-7b,nq/259,0.0,1.0,,,0
1219899,nq,falcon-7b,nq/260,0.0,1.0,,,0
1219900,nq,falcon-7b,nq/261,0.0,1.0,,,0
1219901,nq,falcon-7b,nq/262,0.0,1.0,,,0
1219902,nq,falcon-7b,nq/263,0.0,1.0,,,0
1219903,nq,falcon-7b,nq/264,1.0,1.0,,,1
1219904,nq,falcon-7b,nq/265,0.0,1.0,,,0
1219905,nq,falcon-7b,nq/266,0.0,1.0,,,0
1219906,nq,falcon-7b,nq/267,0.0,1.0,,,0
1219907,nq,falcon-7b,nq/268,1.0,1.0,,,1
1219908,nq,falcon-7b,nq/269,0.0,1.0,,,0
1219909,nq,falcon-7b,nq/270,0.0,1.0,,,0
1219910,nq,falcon-7b,nq/271,0.0,1.0,,,0
1219911,nq,falcon-7b,nq/272,0.0,1.0,,,0
1219912,nq,falcon-7b,nq/273,0.0,1.0,,,0
