,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
3,Mixtral-8x22B-v0.1,0.8541893362350381,0.8541893362350381,0.08433079434167573,1.0,0.008231878706518786,,
13,dbrx-base,0.8536452665941241,0.8536452665941241,0.09056427794186227,1.0,0.008244595467058146,,
0,Meta-Llama-3-70B,0.8443960826985855,0.8443960826985855,0.07547023161821856,1.0,0.008454941644126652,,
7,Qwen1.5-110B,0.8433079434167573,0.8433079434167573,0.07523705891496969,1.0,0.008478984324984205,,
4,Mixtral-8x7B-v0.1,0.8367791077257889,0.8367791077257889,0.06964091403699674,1.0,0.008620263364797303,,
14,deepseek-llm-67b-base,0.8313384113166485,0.8313384113166485,0.06625213741644645,1.0,0.008734222747336293,,
17,falcon-40b,0.8307943416757345,0.8307943416757345,0.06673402766982746,1.0,0.008745435729055033,,
2,Mistral-7B-v0.1,0.8280739934711643,0.8280739934711643,0.06486864604383646,1.0,0.008801011874504544,,
9,Qwen1.5-32B,0.8269858541893362,0.8269858541893362,0.06617441318203016,1.0,0.008823016540308058,,
11,Qwen1.5-72B,0.8269858541893362,0.8269858541893362,0.06438675579045547,1.0,0.008823016540308058,,
27,llama_65B,0.8264417845484222,0.8264417845484222,0.0628478159490129,1.0,0.008833970972624958,,
26,llama_33B,0.8215451577801959,0.8215451577801959,0.060593813150940465,1.0,0.008931144888819489,,
28,mpt-30b,0.8122959738846572,0.8122959738846572,0.057749106171304215,1.0,0.009107961597951977,,
1,Meta-Llama-3-8B,0.8106637649619152,0.8106637649619152,0.056676511736359396,1.0,0.009138280731207303,,
20,gemma-7b,0.8106637649619152,0.8106637649619152,0.05788900979325354,1.0,0.009138280731207303,,
23,llama2_70B,0.8079434167573449,0.8079434167573449,0.0659723301725478,1.0,0.009188239753576976,,
18,falcon-7b,0.8057671381936888,0.8057671381936888,0.05254158246541272,1.0,0.009227698086196253,,
16,deepseek-moe-16b-base,0.8003264417845484,0.8003264417845484,0.0519508782838489,1.0,0.009324404556280239,,
35,stablelm-base-alpha-7b-v2,0.8003264417845484,0.8003264417845484,0.05279030001554485,1.0,0.009324404556280239,,
8,Qwen1.5-14B,0.7992383025027203,0.7992383025027203,0.05485776465101819,1.0,0.009343418901908733,,
25,llama_13B,0.7992383025027203,0.7992383025027203,0.05094046323643712,1.0,0.009343418901908733,,
34,stablelm-3b-4e1t,0.7976060935799782,0.7976060935799782,0.049370433701228046,1.0,0.009371739202639968,,
22,llama2_13B,0.7970620239390642,0.7970620239390642,0.06130887610757034,1.0,0.009381125969029762,,
24,llama_07B,0.795429815016322,0.795429815016322,0.04671226488419089,1.0,0.009409127383986563,,
12,Qwen1.5-7B,0.79379760609358,0.79379760609358,0.05233949945593036,1.0,0.009436892120344115,,
15,deepseek-llm-7b-base,0.79379760609358,0.79379760609358,0.04567076014301259,1.0,0.009436892120344115,,
19,gemma-2b,0.7818280739934712,0.7818280739934712,0.04498678688014923,1.0,0.009633460251902709,,
10,Qwen1.5-4B,0.7731229597388466,0.7731229597388466,0.04366547489507228,1.0,0.009768925686384369,,
30,pythia-12b-deduped-v0,0.7698585418933623,0.7698585418933623,0.040665319446603454,1.0,0.009818160854860735,,
21,llama2_07B,0.7687704026115343,0.7687704026115343,0.055806000310896935,1.0,0.00983438679282435,,
33,pythia-6.9b-deduped-v0,0.7611534276387377,0.7611534276387377,0.03883102751437898,1.0,0.009945413781999158,,
6,Qwen1.5-1.8B,0.7437431991294886,0.7437431991294886,0.03988807710244054,1.0,0.010183016565609361,,
32,pythia-2.8b-deduped,0.7372143634385201,0.7372143634385201,0.03522462303746308,1.0,0.010266560066166115,,
31,pythia-1b-deduped,0.7013057671381937,0.7013057671381937,0.029162132752992384,1.0,0.01067565106374673,,
29,pythia-1.4b-deduped-v0,0.6958650707290533,0.6958650707290533,0.03939064200217628,1.0,0.0107305730545256,,
5,Qwen1.5-0.5B,0.6947769314472253,0.6947769314472253,0.033810041971086585,1.0,0.01074134383318798,,
