,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,codegen-16b,codegen-2b,17410.0,0.31183228029867893,0.2858701895462378,2242.0,452.0,0.0027196876741531796,1.2110276646699911e-21,,,0.0027125607697719746,0.6942931715621297,safim
1,codegen-16b,codegen-350m,17410.0,0.31183228029867893,0.21522113727742676,3070.0,1682.0,0.00318251468746584,1.3328447857978523e-213,,,0.0030971418374947826,0.5685758757198605,safim
2,codegen-16b,codegen-6b,17410.0,0.31183228029867893,0.29534750143595634,2187.0,287.0,0.0026861212983549506,9.115667167908439e-10,,,0.0026832142856364717,0.7035538862832534,safim
3,codegen-16b,codellama-13b,17410.0,0.31183228029867893,0.5002297530155083,4812.0,-3280.0,0.003984410154169931,0.0,,,0.0037197894328937255,0.4828874236985576,safim
4,codegen-16b,codellama-34b,17410.0,0.31183228029867893,0.4685812751292361,4317.0,-2729.0,0.00377391620700177,0.0,,,0.0035820624548733187,0.5195791245749996,safim
5,codegen-16b,codellama-7b,17410.0,0.31183228029867893,0.44658242389431363,4518.0,-2346.0,0.003860773664975545,4.929648672587821e-280,,,0.003723255616352333,0.4784967270979153,safim
6,codegen-16b,deepseek-coder-1.3b,17410.0,0.31183228029867893,0.48317059161401493,4497.0,-2983.0,0.003851790632808498,0.0,,,0.0036263048376363924,0.5083741125347079,safim
7,codegen-16b,gpt-3.5-turbo-0301,17410.0,0.31183228029867893,0.35066053991958646,5138.0,-676.0,0.004117165063172298,4.087296168819764e-21,,,0.004106635156377634,0.3363078822467072,safim
8,codegen-16b,gpt-4-1106-preview,17410.0,0.31183228029867893,0.49247558874210223,6473.0,-3145.0,0.004621192208043809,0.0,,,0.00441373900933889,0.2706679210551519,safim
9,codegen-16b,incoder-1b,17410.0,0.31183228029867893,0.2259620907524411,4373.0,1495.0,0.0037983149034728175,2.8108802213969424e-115,,,0.003742147011963638,0.37601063433476356,safim
10,codegen-16b,incoder-6b,17410.0,0.31183228029867893,0.27283170591614014,4245.0,679.0,0.0037423127235524235,1.8417457337952024e-25,,,0.0037306217127118396,0.4136071509814525,safim
11,codegen-16b,mixtral-8x7b,17410.0,0.31183228029867893,0.4272257323377369,3987.0,-2009.0,0.003626806176883835,2.62689832895969e-232,,,0.0035197862761669136,0.5315328503212491,safim
12,codegen-16b,phi-1.5,17410.0,0.31183228029867893,0.2479035037334865,2683.0,1113.0,0.0029751684862653347,2.557246023863594e-105,,,0.00293545290951496,0.6274701678872254,safim
13,codegen-16b,phi-2,17410.0,0.31183228029867893,0.29540493968983345,2480.0,286.0,0.0028604019754138385,1.0098091829144761e-08,,,0.0028576912562831057,0.6637497674806017,safim
14,codegen-16b,starcoderbase-16b,17410.0,0.31183228029867893,0.4996553704767375,4452.0,-3270.0,0.003832470377395124,0.0,,,0.0035583072427835183,0.5270579798554431,safim
15,codegen-16b,wizardcoder-15b,17410.0,0.31183228029867893,0.47581849511774843,4309.0,-2855.0,0.0037704177902989798,0.0,,,0.0035596981242143,0.5260392968730354,safim
16,codegen-16b,wizardcoder-1b,17410.0,0.31183228029867893,0.34738655944859276,3197.0,-619.0,0.003247674886439329,5.684044274905681e-28,,,0.003236477109862347,0.5869759899178038,safim
17,codegen-16b,wizardcoder-3b,17410.0,0.31183228029867893,0.41114302125215396,3663.0,-1729.0,0.0034763195293220014,1.5919523709916916e-186,,,0.003393862933405282,0.5619251131337628,safim
18,codegen-2b,codegen-16b,17410.0,0.2858701895462378,0.31183228029867893,2242.0,-452.0,0.0027196876741531796,1.2110276646699911e-21,,,0.0027125607697719746,0.6942931715621298,safim
19,codegen-2b,codegen-350m,17410.0,0.2858701895462378,0.21522113727742676,2646.0,1230.0,0.002954582688021065,4.717579373723133e-131,,,0.002905661363502239,0.608699378579488,safim
20,codegen-2b,codegen-6b,17410.0,0.2858701895462378,0.29534750143595634,2131.0,-165.0,0.002651508072965834,0.0003790363559831795,,,0.0026505350382833182,0.7033523805820683,safim
21,codegen-2b,codellama-34b,17410.0,0.2858701895462378,0.4685812751292361,4619.0,-3181.0,0.0039036889919692582,0.0,,,0.003649836563762592,0.4906191700989905,safim
22,codegen-2b,codellama-7b,17410.0,0.2858701895462378,0.44658242389431363,4734.0,-2798.0,0.003951985620165324,0.0,,,0.003759607807531729,0.456793310342954,safim
23,codegen-2b,deepseek-coder-1.3b,17410.0,0.2858701895462378,0.48317059161401493,4719.0,-3435.0,0.003945719585432647,0.0,,,0.0036514077241757386,0.49104371956984466,safim
24,codegen-2b,gpt-3.5-turbo-0301,17410.0,0.2858701895462378,0.35066053991958646,5170.0,-1128.0,0.004129966229120632,8.454617702383268e-56,,,0.004100671573604391,0.32255800569721044,safim
25,codegen-2b,incoder-1b,17410.0,0.2858701895462378,0.2259620907524411,4089.0,1043.0,0.003672905750430366,2.441744971816168e-60,,,0.003644734817493688,0.3910216802206705,safim
26,codegen-2b,incoder-6b,17410.0,0.2858701895462378,0.27283170591614014,4043.0,227.0,0.003652187784486969,0.0003777296499762263,,,0.0036508507216729273,0.42357600398752016,safim
27,codegen-2b,mixtral-8x7b,17410.0,0.2858701895462378,0.4272257323377369,4249.0,-2461.0,0.003744075471047045,0.0,,,0.0035875346703898013,0.5028419001156949,safim
28,codegen-2b,phi-1.5,17410.0,0.2858701895462378,0.2479035037334865,2447.0,661.0,0.002841307341994632,4.327638074196181e-41,,,0.0028266998312505196,0.6445140883110917,safim
29,codegen-2b,phi-2,17410.0,0.2858701895462378,0.29540493968983345,2476.0,-166.0,0.0028580942687248083,0.0009096607934865976,,,0.0028571806126635574,0.6553062560961688,safim
30,codegen-2b,wizardcoder-15b,17410.0,0.2858701895462378,0.47581849511774843,4581.0,-3307.0,0.0038875982214859775,0.0,,,0.0036112362320366294,0.5019273703927936,safim
31,codegen-2b,wizardcoder-1b,17410.0,0.2858701895462378,0.34738655944859276,3185.0,-1071.0,0.0032415740515847127,1.0640502641650795e-81,,,0.0032078716977117527,0.5849885888812614,safim
32,codegen-2b,wizardcoder-3b,17410.0,0.2858701895462378,0.41114302125215396,3809.0,-2181.0,0.0035449222571417513,1.8423006373022553e-290,,,0.0034154178474401485,0.5468832193717497,safim
33,codegen-350m,codegen-16b,17410.0,0.21522113727742676,0.31183228029867893,3070.0,-1682.0,0.00318251468746584,1.3328447857978523e-213,,,0.0030971418374947826,0.5685758757198605,safim
34,codegen-350m,codegen-2b,17410.0,0.21522113727742676,0.2858701895462378,2646.0,-1230.0,0.002954582688021065,4.717579373723133e-131,,,0.002905661363502239,0.608699378579488,safim
35,codegen-350m,codegen-6b,17410.0,0.21522113727742676,0.29534750143595634,2865.0,-1395.0,0.0030744224448185265,5.727448422392748e-156,,,0.0030138524060350567,0.5837163255872192,safim
36,codegen-350m,gpt-3.5-turbo-0301,17410.0,0.21522113727742676,0.35066053991958646,5350.0,-2358.0,0.004201246076487017,9.54255832479046e-236,,,0.004073920829848831,0.27446066075268644,safim
37,codegen-350m,incoder-1b,17410.0,0.21522113727742676,0.2259620907524411,3573.0,-187.0,0.00343334730244192,0.0018562220101853658,,,0.003432382140442362,0.40346756106711235,safim
38,codegen-350m,incoder-6b,17410.0,0.21522113727742676,0.27283170591614014,3989.0,-1003.0,0.003627715720766945,2.854821622924467e-57,,,0.0036013448976200944,0.3864782272523395,safim
39,codegen-350m,phi-1.5,17410.0,0.21522113727742676,0.2479035037334865,2525.0,-569.0,0.002886236536795201,7.265278419944125e-30,,,0.002875588534146992,0.5955932188091905,safim
40,codegen-350m,phi-2,17410.0,0.21522113727742676,0.29540493968983345,3034.0,-1396.0,0.003163799966437774,6.944142646552699e-147,,,0.0031048887735348435,0.557884710081931,safim
41,codegen-350m,wizardcoder-1b,17410.0,0.21522113727742676,0.34738655944859276,3715.0,-2301.0,0.0035009075146859915,0.0,,,0.003354555008797201,0.510253474060852,safim
42,codegen-350m,wizardcoder-3b,17410.0,0.21522113727742676,0.41114302125215396,4589.0,-3411.0,0.003890991281893153,0.0,,,0.003596529394956151,0.4594241601029984,safim
43,codegen-6b,codegen-16b,17410.0,0.29534750143595634,0.31183228029867893,2187.0,-287.0,0.0026861212983549506,9.115667167908439e-10,,,0.0026832142856364717,0.7035538862832533,safim
44,codegen-6b,codegen-2b,17410.0,0.29534750143595634,0.2858701895462378,2131.0,165.0,0.002651508072965834,0.0003790363559831795,,,0.0026505350382833182,0.7033523805820683,safim
45,codegen-6b,codegen-350m,17410.0,0.29534750143595634,0.21522113727742676,2865.0,1395.0,0.0030744224448185265,5.727448422392748e-156,,,0.0030138524060350567,0.5837163255872192,safim
46,codegen-6b,codellama-34b,17410.0,0.29534750143595634,0.4685812751292361,4550.0,-3016.0,0.0038744220457300523,0.0,,,0.0036451923976511444,0.495931173079881,safim
47,codegen-6b,codellama-7b,17410.0,0.29534750143595634,0.44658242389431363,4665.0,-2633.0,0.003923078992884362,0.0,,,0.0037519089727779437,0.4633864327677159,safim
48,codegen-6b,deepseek-coder-1.3b,17410.0,0.29534750143595634,0.48317059161401493,4730.0,-3270.0,0.003950315649408248,0.0,,,0.003684930795875849,0.48565281138491456,safim
49,codegen-6b,gpt-3.5-turbo-0301,17410.0,0.29534750143595634,0.35066053991958646,5183.0,-963.0,0.004135155383149068,5.963258707402503e-41,,,0.004113851705400654,0.32425412993028585,safim
50,codegen-6b,gpt-4-1106-preview,17410.0,0.29534750143595634,0.49247558874210223,6598.0,-3432.0,0.004665598734325621,0.0,,,0.004419931075351325,0.25856266252154475,safim
51,codegen-6b,incoder-1b,17410.0,0.29534750143595634,0.2259620907524411,4182.0,1208.0,0.003714439107231417,7.88955728688098e-79,,,0.003677027450667212,0.3868887361716453,safim
52,codegen-6b,incoder-6b,17410.0,0.29534750143595634,0.27283170591614014,4062.0,392.0,0.0036607594185245704,8.277285437943731e-10,,,0.0036567800812930826,0.42742756401787557,safim
53,codegen-6b,mixtral-8x7b,17410.0,0.29534750143595634,0.4272257323377369,4114.0,-2296.0,0.003684116648092953,5.6754240515671726e-297,,,0.003545949373507634,0.5182605953101804,safim
54,codegen-6b,phi-1.5,17410.0,0.29534750143595634,0.2479035037334865,2572.0,826.0,0.0029129746888238864,1.575149160370879e-60,,,0.002890697473158461,0.632243489284418,safim
55,codegen-6b,phi-2,17410.0,0.29534750143595634,0.29540493968983345,2471.0,-1.0,0.00285520701243804,1.0,,,0.0028552069792534772,0.6590339455305755,safim
56,codegen-6b,wizardcoder-15b,17410.0,0.29534750143595634,0.47581849511774843,4480.0,-3142.0,0.0038445032810296405,0.0,,,0.003592972893125058,0.5108556131896939,safim
57,codegen-6b,wizardcoder-1b,17410.0,0.29534750143595634,0.34738655944859276,3176.0,-906.0,0.0032369908796336293,8.189454239340099e-59,,,0.0032128746493791543,0.5872323231178995,safim
58,codegen-6b,wizardcoder-3b,17410.0,0.29534750143595634,0.41114302125215396,3786.0,-2016.0,0.0035342033458736727,1.0979390921335155e-247,,,0.0034235108559271064,0.5483377355275932,safim
59,codellama-13b,codegen-16b,17410.0,0.5002297530155083,0.31183228029867893,4812.0,3280.0,0.003984410154169931,0.0,,,0.0037197894328937255,0.4828874236985576,safim
60,codellama-13b,codellama-34b,17410.0,0.5002297530155083,0.4685812751292361,3361.0,551.0,0.0033299329214556564,1.9412116390722072e-21,,,0.0033212831261661443,0.6151446608681961,safim
61,codellama-13b,codellama-7b,17410.0,0.5002297530155083,0.44658242389431363,3066.0,934.0,0.0031804407122130104,1.0801871383246657e-64,,,0.003154345219844543,0.651566868847977,safim
62,codellama-13b,deepseek-coder-1.3b,17410.0,0.5002297530155083,0.48317059161401493,3663.0,297.0,0.0034763195293220014,9.916854924162632e-07,,,0.003473914517831248,0.5795512641448767,safim
63,codellama-13b,deepseek-coder-33b,17410.0,0.5002297530155083,0.6652498564043653,4323.0,-2873.0,0.0037765378927691585,0.0,,,0.003563439478696365,0.5331996133629088,safim
64,codellama-13b,deepseek-coder-6.7b,17410.0,0.5002297530155083,0.6089603676048249,3717.0,-1893.0,0.0035018497586849356,1.4583663351789236e-221,,,0.003403512419530614,0.5870119129056272,safim
65,codellama-13b,gpt-3.5-turbo-0301,17410.0,0.5002297530155083,0.35066053991958646,5814.0,2604.0,0.0043796433177962675,1.2318016271887088e-264,,,0.004230405100449935,0.34813641810613677,safim
66,codellama-13b,gpt-4-1106-preview,17410.0,0.5002297530155083,0.49247558874210223,5801.0,135.0,0.004374744175607034,0.07850831883331115,,,0.0043743494383125065,0.3336461108287703,safim
67,codellama-13b,mixtral-8x7b,17410.0,0.5002297530155083,0.4272257323377369,3795.0,1271.0,0.0035384015695029154,3.1117976111045046e-96,,,0.00349487674945447,0.5701824012860439,safim
68,codellama-13b,starcoderbase-16b,17410.0,0.5002297530155083,0.4996553704767375,3672.0,10.0,0.0034805875720949147,0.8819333234920522,,,0.003480584849886979,0.5781739786237841,safim
69,codellama-13b,wizardcoder-15b,17410.0,0.5002297530155083,0.47581849511774843,3871.0,425.0,0.0035736565721544585,9.008614154303037e-12,,,0.0035688644263765553,0.5559859210382123,safim
70,codellama-13b,wizardcoder-1b,17410.0,0.5002297530155083,0.34738655944859276,4697.0,2661.0,0.00393651135914542,0.0,,,0.0037622206513980446,0.48364505154208165,safim
71,codellama-13b,wizardcoder-33b,17410.0,0.5002297530155083,0.583917288914417,4745.0,-1457.0,0.003956574405351986,9.498716561818595e-101,,,0.00390540731034951,0.46137847172148855,safim
72,codellama-13b,wizardcoder-3b,17410.0,0.5002297530155083,0.41114302125215396,4373.0,1551.0,0.0037983149034728175,3.973259280112982e-124,,,0.0037378256404712483,0.5057776187019032,safim
73,codellama-34b,codegen-16b,17410.0,0.4685812751292361,0.31183228029867893,4317.0,2729.0,0.00377391620700177,0.0,,,0.0035820624548733187,0.5195791245749996,safim
74,codellama-34b,codegen-2b,17410.0,0.4685812751292361,0.2858701895462378,4619.0,3181.0,0.0039036889919692582,0.0,,,0.003649836563762592,0.4906191700989905,safim
75,codellama-34b,codegen-6b,17410.0,0.4685812751292361,0.29534750143595634,4550.0,3016.0,0.0038744220457300523,0.0,,,0.0036451923976511444,0.495931173079881,safim
76,codellama-34b,codellama-13b,17410.0,0.4685812751292361,0.5002297530155083,3361.0,-551.0,0.0033299329214556564,1.9412116390722072e-21,,,0.0033212831261661443,0.6151446608681961,safim
77,codellama-34b,codellama-7b,17410.0,0.4685812751292361,0.44658242389431363,3647.0,383.0,0.003468718930932625,2.4330882867679595e-10,,,0.0034647097728543893,0.5787818999205804,safim
78,codellama-34b,deepseek-coder-1.3b,17410.0,0.4685812751292361,0.48317059161401493,4006.0,-254.0,0.0036354376561623576,6.373665369492802e-05,,,0.0036337558153308504,0.5390598170113674,safim
79,codellama-34b,deepseek-coder-33b,17410.0,0.4685812751292361,0.6652498564043653,4826.0,-3424.0,0.003990202052374131,0.0,,,0.003701362606337988,0.4951199415482182,safim
80,codellama-34b,deepseek-coder-6.7b,17410.0,0.4685812751292361,0.6089603676048249,4252.0,-2444.0,0.0037453969872259865,0.0,,,0.0035911145521489753,0.5392385220591152,safim
81,codellama-34b,gpt-3.5-turbo-0301,17410.0,0.4685812751292361,0.35066053991958646,5667.0,2053.0,0.004323921842364362,2.4885199355698547e-167,,,0.00423055598700262,0.34670638175528795,safim
82,codellama-34b,gpt-4-1106-preview,17410.0,0.4685812751292361,0.49247558874210223,5890.0,-416.0,0.004408175497840297,6.316964585234888e-08,,,0.004404454282332492,0.3231067877873929,safim
83,codellama-34b,incoder-6b,17410.0,0.4685812751292361,0.27283170591614014,5674.0,3408.0,0.0043265915187286575,0.0,,,0.004064293450909914,0.35952341202505095,safim
84,codellama-34b,mixtral-8x7b,17410.0,0.4685812751292361,0.4272257323377369,3162.0,720.0,0.0032298485742698565,9.514266861485926e-38,,,0.003214605148856246,0.6356260578573693,safim
85,codellama-34b,phi-2,17410.0,0.4685812751292361,0.29540493968983345,4479.0,3015.0,0.003844074183056204,0.0,,,0.0036130777202058057,0.5048676298291663,safim
86,codellama-34b,starcoderbase-16b,17410.0,0.4685812751292361,0.4996553704767375,4011.0,-541.0,0.003637705694099716,1.3513211769274422e-17,,,0.0036300744308221927,0.5402548094063605,safim
87,codellama-34b,wizardcoder-15b,17410.0,0.4685812751292361,0.47581849511774843,4092.0,-126.0,0.003674252864266393,0.05067856706743863,,,0.0036738434434337914,0.5285481237611628,safim
88,codellama-34b,wizardcoder-1b,17410.0,0.4685812751292361,0.34738655944859276,4584.0,2110.0,0.0038888709660679513,3.6639515808416554e-221,,,0.003778843100585365,0.47793296435047394,safim
89,codellama-34b,wizardcoder-33b,17410.0,0.4685812751292361,0.583917288914417,5106.0,-2008.0,0.0041043239712693505,2.75346647507211e-178,,,0.004010163195950724,0.43093919909736816,safim
90,codellama-34b,wizardcoder-3b,17410.0,0.4685812751292361,0.41114302125215396,4294.0,1000.0,0.0037638494946366174,6.063418790816416e-53,,,0.0037385913697805667,0.5045660359386476,safim
91,codellama-7b,codegen-16b,17410.0,0.44658242389431363,0.31183228029867893,4518.0,2346.0,0.003860773664975545,4.929648672587821e-280,,,0.003723255616352333,0.4784967270979153,safim
92,codellama-7b,codegen-2b,17410.0,0.44658242389431363,0.2858701895462378,4734.0,2798.0,0.003951985620165324,0.0,,,0.003759607807531729,0.45679331034295406,safim
93,codellama-7b,codegen-6b,17410.0,0.44658242389431363,0.29534750143595634,4665.0,2633.0,0.003923078992884362,0.0,,,0.0037519089727779437,0.46338643276771585,safim
94,codellama-7b,codellama-13b,17410.0,0.44658242389431363,0.5002297530155083,3066.0,-934.0,0.0031804407122130104,1.0801871383246657e-64,,,0.003154345219844543,0.6515668688479771,safim
95,codellama-7b,codellama-34b,17410.0,0.44658242389431363,0.4685812751292361,3647.0,-383.0,0.003468718930932625,2.4330882867679595e-10,,,0.0034647097728543893,0.5787818999205803,safim
96,codellama-7b,deepseek-coder-1.3b,17410.0,0.44658242389431363,0.48317059161401493,3857.0,-637.0,0.003567188410160652,1.0240450772315785e-24,,,0.0035563943688471087,0.5568259223726777,safim
97,codellama-7b,deepseek-coder-6.7b,17410.0,0.44658242389431363,0.6089603676048249,4493.0,-2827.0,0.0038500772027269137,0.0,,,0.003648101314021064,0.5226210802852597,safim
98,codellama-7b,gpt-3.5-turbo-0301,17410.0,0.44658242389431363,0.35066053991958646,5630.0,1670.0,0.004309783223964175,3.0479785336694794e-111,,,0.004248027967677552,0.33864335668490825,safim
99,codellama-7b,gpt-4-1106-preview,17410.0,0.44658242389431363,0.49247558874210223,6041.0,-799.0,0.004464323389275829,8.494813096381989e-25,,,0.004450753629926989,0.30621026893449543,safim
100,codellama-7b,incoder-6b,17410.0,0.44658242389431363,0.27283170591614014,5471.0,3025.0,0.004248489862200424,0.0,,,0.004039262895914079,0.36463810056976353,safim
101,codellama-7b,mixtral-8x7b,17410.0,0.44658242389431363,0.4272257323377369,3897.0,337.0,0.003585637917292041,7.22015975554498e-08,,,0.003582635653027239,0.5456771958949392,safim
102,codellama-7b,phi-1.5,17410.0,0.44658242389431363,0.2479035037334865,5045.0,3459.0,0.00407973368341867,0.0,,,0.003791694705008727,0.42692964782755893,safim
103,codellama-7b,phi-2,17410.0,0.44658242389431363,0.29540493968983345,4604.0,2632.0,0.0038973453081418436,0.0,,,0.003725126885261433,0.47109784408995353,safim
104,codellama-7b,starcoderbase-16b,17410.0,0.44658242389431363,0.4996553704767375,3884.0,-924.0,0.0035796522575262226,4.374508345210785e-50,,,0.003556982118601835,0.5569336101032067,safim
105,codellama-7b,wizardcoder-15b,17410.0,0.44658242389431363,0.47581849511774843,4045.0,-509.0,0.0036530910088817567,1.266879516901797e-15,,,0.003646365134562876,0.5338340276993844,safim
106,codellama-7b,wizardcoder-1b,17410.0,0.44658242389431363,0.34738655944859276,4443.0,1727.0,0.003828594626822627,9.677126666386716e-152,,,0.003754058439164295,0.48265786464478555,safim
107,codellama-7b,wizardcoder-33b,17410.0,0.44658242389431363,0.583917288914417,5219.0,-2391.0,0.004149491481024012,4.2118094622739007e-249,,,0.004016832631596513,0.4268533153119193,safim
