,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,mbpp,378,59,2466,1776,9,15,"{'count': 59.0, 'mean': 0.0236173489, 'std': 0.0022307465, 'min': 0.0158216089, '25%': 0.0223878241, '50%': 0.024386913, '75%': 0.0255086687, 'max': 0.025716865}","{'count': 59.0, 'mean': 0.0236173489, 'std': 0.0022307465, 'min': 0.0158216089, '25%': 0.0223878241, '50%': 0.024386913, '75%': 0.0255086687, 'max': 0.025716865}","{'count': 59.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1776.0, 'mean': 0.0244850281, 'std': 0.0026688529, 'min': 0.0162875247, '25%': 0.0224461847, '50%': 0.0244594925, '75%': 0.0264027471, 'max': 0.0310084333}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 1776.0, 'mean': 0.0247623626, 'std': 0.002739659, 'min': 0.0163079736, '25%': 0.0227574743, '50%': 0.0248170146, '75%': 0.026718267, 'max': 0.0317460317}","{'count': 1776.0, 'mean': 0.4710774762, 'std': 0.0729935656, 'min': 0.2576158437, '25%': 0.4215218538, '50%': 0.4758577374, '75%': 0.5203765944, 'max': 0.7633972656}","{'count': 1776.0, 'mean': 88.6846846847, 'std': 19.3104718496, 'min': 38.0, '25%': 74.0, '50%': 88.0, '75%': 102.0, 'max': 144.0}",1.9792739259
1,agi_english,2546,35,782,246,25,522,"{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 246.0, 'mean': 0.0111277334, 'std': 0.0008132117, 'min': 0.0086764466, '25%': 0.0105799692, '50%': 0.0111269798, '75%': 0.0117274417, 'max': 0.0129718309}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 246.0, 'mean': 0.0111442513, 'std': 0.0008160715, 'min': 0.0086855241, '25%': 0.010586669, '50%': 0.0111301079, '75%': 0.0117520506, 'max': 0.013014958}","{'count': 246.0, 'mean': 0.2541784589, 'std': 0.1715307143, 'min': -0.1576258479, '25%': 0.1348880899, '50%': 0.2541719595, '75%': 0.4156431979, 'max': 0.5827067037}","{'count': 246.0, 'mean': 809.3414634146, 'std': 116.7395027326, 'min': 489.0, '25%': 726.5, '50%': 803.0, '75%': 895.25, 'max': 1098.0}",
2,CRUXEval-output-T0.2,800,37,844,472,24,30,"{'count': 37.0, 'mean': 0.0166617657, 'std': 0.0010909661, 'min': 0.013570794, '25%': 0.0163497892, '50%': 0.0169602108, '75%': 0.0174134461, 'max': 0.0176776342}","{'count': 37.0, 'mean': 0.0155773788, 'std': 0.0014890679, 'min': 0.0118496074, '25%': 0.0149618258, '50%': 0.0160810836, '75%': 0.0166791125, 'max': 0.0172174688}","{'count': 37.0, 'mean': 0.005369456, 'std': 0.0022960344, 'min': 0.0, '25%': 0.0045910919, '50%': 0.0051690183, '75%': 0.0056747797, 'max': 0.0107011974}","{'count': 472.0, 'mean': 0.0158701853, 'std': 0.0015165102, 'min': 0.0110151848, '25%': 0.0150650646, '50%': 0.0156717401, '75%': 0.016705818, 'max': 0.0192044917}","{'count': 458.0, 'mean': 0.0130787926, 'std': 0.0013369096, 'min': 0.0072923666, '25%': 0.0125678717, '50%': 0.0132626173, '75%': 0.0139306545, 'max': 0.0158757408}","{'count': 458.0, 'mean': 0.0087908111, 'std': 0.0021446398, 'min': 0.0048805168, '25%': 0.0075130095, '50%': 0.007951677, '75%': 0.0085806947, 'max': 0.0157663055}","{'count': 472.0, 'mean': 0.0159563766, 'std': 0.0015398641, 'min': 0.0110283725, '25%': 0.0151265495, '50%': 0.0157539678, '75%': 0.0169050658, 'max': 0.0194382034}","{'count': 472.0, 'mean': 0.6371293981, 'std': 0.0808405499, 'min': 0.3559945591, '25%': 0.5977097144, '50%': 0.6400892699, '75%': 0.678105622, 'max': 0.8780501958}","{'count': 472.0, 'mean': 164.4621516007, 'std': 31.1174606698, 'min': 77.84, '25%': 146.44, '50%': 158.84, '75%': 182.9, 'max': 241.82}",2.7295344255
3,arc_challenge,1165,38,1164,464,165,130,"{'count': 38.0, 'mean': 0.0143310724, 'std': 0.0004187778, 'min': 0.0130388314, '25%': 0.0142519907, '50%': 0.0145078516, '75%': 0.0145964779, 'max': 0.0146489198}","{'count': 38.0, 'mean': 0.0143310724, 'std': 0.0004187778, 'min': 0.0130388314, '25%': 0.0142519907, '50%': 0.0145078516, '75%': 0.0145964779, 'max': 0.0146489198}","{'count': 38.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 464.0, 'mean': 0.0126329306, 'std': 0.0009937213, 'min': 0.0104406937, '25%': 0.0118590707, '50%': 0.012528317, '75%': 0.0135077928, 'max': 0.0149907507}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 464.0, 'mean': 0.012680962, 'std': 0.00099772, 'min': 0.0104777301, '25%': 0.011862897, '50%': 0.0126007797, '75%': 0.0135448359, 'max': 0.0149907718}","{'count': 464.0, 'mean': 0.6163211675, 'std': 0.0586734739, 'min': 0.4763897649, '25%': 0.5629367468, '50%': 0.6234708429, '75%': 0.6667039174, 'max': 0.7267460057}","{'count': 464.0, 'mean': 219.599137931, 'std': 34.4154342684, 'min': 149.0, '25%': 191.0, '50%': 215.5, '75%': 249.0, 'max': 305.0}",2.767285034
4,swebench-test,2294,22,340,42,1075,26,"{'count': 15.0, 'mean': 0.0085360636, 'std': 0.0011651616, 'min': 0.0067817908, '25%': 0.0077088436, '50%': 0.0083116237, '75%': 0.0095386962, 'max': 0.0103041471}","{'count': 15.0, 'mean': 0.0085360636, 'std': 0.0011651616, 'min': 0.0067817908, '25%': 0.0077088436, '50%': 0.0083116237, '75%': 0.0095386962, 'max': 0.0103041471}","{'count': 15.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 42.0, 'mean': 0.0076421526, 'std': 0.0003476721, 'min': 0.0068224895, '25%': 0.0074733812, '50%': 0.0076032019, '75%': 0.0079142304, 'max': 0.0081920248}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 42.0, 'mean': 0.007656715, 'std': 0.0003504854, 'min': 0.006823224, '25%': 0.0074744674, '50%': 0.007625482, '75%': 0.0079428366, 'max': 0.0082133582}","{'count': 42.0, 'mean': 0.5477336497, 'std': 0.0835920325, 'min': 0.4161064149, '25%': 0.4967482052, '50%': 0.5585512952, '75%': 0.5873538403, 'max': 0.74792443}","{'count': 42.0, 'mean': 309.1428571429, 'std': 27.9604000709, 'min': 245.0, '25%': 294.0, '50%': 306.0, '75%': 332.0, 'max': 355.0}",
5,lcb_codegen_v6,1055,33,624,257,36,13,"{'count': 33.0, 'mean': 0.0133355575, 'std': 0.0015429237, 'min': 0.0102518803, '25%': 0.0121078277, '50%': 0.0132675749, '75%': 0.0148902942, 'max': 0.0153931158}","{'count': 33.0, 'mean': 0.0130483221, 'std': 0.0016162466, 'min': 0.0097245047, '25%': 0.0119505486, '50%': 0.0132675749, '75%': 0.0142974801, 'max': 0.0152921452}","{'count': 33.0, 'mean': 0.0014023027, 'std': 0.002357046, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0035881504, 'max': 0.0061887823}","{'count': 257.0, 'mean': 0.0110241702, 'std': 0.001354157, 'min': 0.0086978301, '25%': 0.0098646078, '50%': 0.0108213672, '75%': 0.011800528, 'max': 0.0153050809}","{'count': 14.0, 'mean': 0.0070833254, 'std': 0.0035155316, 'min': 0.002557951, '25%': 0.0037815312, '50%': 0.0087214115, '75%': 0.0091426116, 'max': 0.0124692857}","{'count': 14.0, 'mean': 0.0081786989, 'std': 0.000679421, 'min': 0.007288929, '25%': 0.007563435, '50%': 0.0082512258, '75%': 0.0087220356, 'max': 0.0091466329}","{'count': 257.0, 'mean': 0.0110716127, 'std': 0.0013649435, 'min': 0.0087389047, '25%': 0.0099277505, '50%': 0.010931339, '75%': 0.0118767432, 'max': 0.015453435}","{'count': 257.0, 'mean': 0.6539440725, 'std': 0.0877884888, 'min': 0.4619645011, '25%': 0.5910296556, '50%': 0.6477187562, '75%': 0.720309124, 'max': 0.9063189407}","{'count': 257.0, 'mean': 138.5008560311, 'std': 35.2788244855, 'min': 85.0, '25%': 109.7, '50%': 133.0, '75%': 157.0, 'max': 265.8}",
6,gsm8k,1319,37,524,136,28,7,"{'count': 30.0, 'mean': 0.0119462374, 'std': 0.0015847468, 'min': 0.008534247, '25%': 0.010811338, '50%': 0.011979162, '75%': 0.0134427997, 'max': 0.0137655179}","{'count': 30.0, 'mean': 0.0119462374, 'std': 0.0015847468, 'min': 0.008534247, '25%': 0.010811338, '50%': 0.011979162, '75%': 0.0134427997, 'max': 0.0137655179}","{'count': 30.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 136.0, 'mean': 0.0134580636, 'std': 0.001401593, 'min': 0.0101715655, '25%': 0.0123857036, '50%': 0.013408476, '75%': 0.0148073123, 'max': 0.0154310721}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 136.0, 'mean': 0.0134964524, 'std': 0.0014039531, 'min': 0.0101716511, '25%': 0.0123940366, '50%': 0.013445108, '75%': 0.0148808062, 'max': 0.0155189458}","{'count': 136.0, 'mean': 0.3753402113, 'std': 0.054794477, 'min': 0.2465602242, '25%': 0.3444362877, '50%': 0.3857079388, '75%': 0.4043873223, 'max': 0.4976545149}","{'count': 136.0, 'mean': 320.3088235294, 'std': 64.7489184472, 'min': 180.0, '25%': 267.25, '50%': 314.5, '75%': 385.25, 'max': 419.0}",
7,nq,3610,36,934,136,1138,200,"{'count': 31.0, 'mean': 0.0072365762, 'std': 0.000896136, 'min': 0.0050114586, '25%': 0.0069155876, '50%': 0.0073897852, '75%': 0.0079572543, 'max': 0.0083195302}","{'count': 31.0, 'mean': 0.0072365762, 'std': 0.000896136, 'min': 0.0050114586, '25%': 0.0069155876, '50%': 0.0073897852, '75%': 0.0079572543, 'max': 0.0083195302}","{'count': 31.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 136.0, 'mean': 0.0064486067, 'std': 0.0003718355, 'min': 0.0049627528, '25%': 0.0062263371, '50%': 0.0064939703, '75%': 0.0066875174, 'max': 0.0071745106}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 136.0, 'mean': 0.0064561575, 'std': 0.0003741692, 'min': 0.0049630119, '25%': 0.0062296078, '50%': 0.0064993723, '75%': 0.0066942083, 'max': 0.007196887}","{'count': 136.0, 'mean': 0.6040763491, 'std': 0.0649916952, 'min': 0.4792052222, '25%': 0.5567410943, '50%': 0.5944543654, '75%': 0.6389505663, 'max': 0.7389366816}","{'count': 136.0, 'mean': 545.0147058824, 'std': 61.4348176458, 'min': 321.0, '25%': 505.75, '50%': 550.5, '75%': 584.0, 'max': 675.0}",5.9788300616
8,swebench-lite,300,84,4862,3658,35,5,"{'count': 78.0, 'mean': 0.0268434542, 'std': 0.0021167694, 'min': 0.0185342526, '25%': 0.0257308001, '50%': 0.0275969039, '75%': 0.0284637521, 'max': 0.028866872}","{'count': 78.0, 'mean': 0.0268434542, 'std': 0.0021167694, 'min': 0.0185342526, '25%': 0.0257308001, '50%': 0.0275969039, '75%': 0.0284637521, 'max': 0.028866872}","{'count': 78.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 3658.0, 'mean': 0.0262493984, 'std': 0.0025498136, 'min': 0.0066220731, '25%': 0.0246456367, '50%': 0.0261165479, '75%': 0.0276726901, 'max': 0.0349072846}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 3658.0, 'mean': 0.0266252597, 'std': 0.0026426295, 'min': 0.0066666667, '25%': 0.0249443826, '50%': 0.0264575131, '75%': 0.0282842712, 'max': 0.0362092683}","{'count': 3658.0, 'mean': 0.5207787461, 'std': 0.0963335726, 'min': 0.1655296262, '25%': 0.4598672074, '50%': 0.5206002308, '75%': 0.5865980373, 'max': 0.9641030609}","{'count': 3658.0, 'mean': 64.429743029, 'std': 12.6936995902, 'min': 4.0, '25%': 56.0, '50%': 63.0, '75%': 72.0, 'max': 118.0}",
9,humaneval,164,78,2772,2724,6,2,"{'count': 78.0, 'mean': 0.0354899624, 'std': 0.0035029214, 'min': 0.0249916557, '25%': 0.0335332052, '50%': 0.0365202425, '75%': 0.0386231041, 'max': 0.0390405371}","{'count': 78.0, 'mean': 0.0354899624, 'std': 0.0035029214, 'min': 0.0249916557, '25%': 0.0335332052, '50%': 0.0365202425, '75%': 0.0386231041, 'max': 0.0390405371}","{'count': 78.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 2724.0, 'mean': 0.0378605087, 'std': 0.005111019, 'min': 0.0182368273, '25%': 0.0350924838, '50%': 0.0381595433, '75%': 0.0413447053, 'max': 0.0498902431}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 0.0, 'mean': None, 'std': None, 'min': None, '25%': None, '50%': None, '75%': None, 'max': None}","{'count': 2724.0, 'mean': 0.0387063966, 'std': 0.0052698483, 'min': 0.0182926829, '25%': 0.0360736572, '50%': 0.0390434405, '75%': 0.0422451416, 'max': 0.0502817759}","{'count': 2724.0, 'mean': 0.4560054769, 'std': 0.1017388128, 'min': 0.1418868246, '25%': 0.394809104, '50%': 0.4512906933, '75%': 0.5188611051, 'max': 0.8053425302}","{'count': 2724.0, 'mean': 41.0418502203, 'std': 10.5202396449, 'min': 9.0, '25%': 35.0, '50%': 41.0, '75%': 48.0, 'max': 68.0}",1.1183760971
