,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
3,Claude 4.5 Opus medium (20251101),0.744,0.744,0.24014814814814814,1.0,0.01951737687293044,,
18,Gemini 3 Pro Preview (2025-11-18),0.742,0.742,0.23755555555555555,1.0,0.019567115270269147,,
16,GPT-5.2 (2025-12-11) (high reasoning),0.718,0.718,0.22562962962962962,1.0,0.020123419192572618,,
4,Claude 4.5 Sonnet (20250929),0.706,0.706,0.21644444444444444,1.0,0.020374690181693564,,
15,GPT-5.2 (2025-12-11),0.69,0.69,0.21318518518518517,1.0,0.020683326618317472,,
1,Claude 4 Opus (20250514),0.676,0.676,0.19192592592592592,1.0,0.020929596269398033,,
13,GPT-5.1 (2025-11-13) (medium reasoning),0.66,0.66,0.18822222222222224,1.0,0.021184900282984576,,
14,GPT-5.1-codex (medium reasoning),0.66,0.66,0.18548148148148147,1.0,0.021184900282984576,,
10,GPT-5 (2025-08-07) (medium reasoning),0.65,0.65,0.17888888888888888,1.0,0.02133072900770154,,
2,Claude 4 Sonnet (20250514),0.648,0.648,0.17837037037037037,1.0,0.02135865164283551,,
20,Kimi K2 Thinking,0.634,0.634,0.1725925925925926,1.0,0.021542701780417423,,
22,Minimax M2,0.61,0.61,0.168,1.0,0.02181284025522582,,
5,DeepSeek V3.2 Reasoner,0.6,0.6,0.16762962962962963,1.0,0.021908902300206645,,
11,GPT-5 mini (2025-08-07) (medium reasoning),0.598,0.598,0.1537037037037037,1.0,0.021926969694875762,,
26,o3 (2025-04-16),0.584,0.584,0.15192592592592594,1.0,0.02204286732709699,,
7,Devstral small (2512),0.564,0.564,0.14925925925925926,1.0,0.02217674457624473,,
24,Qwen3-Coder 480B/A35B Instruct,0.554,0.554,0.14274074074074075,1.0,0.022229889788300795,,
9,GLM-4.6 (T=1),0.554,0.554,0.13762962962962963,1.0,0.022229889788300795,,
8,GLM-4.5 (2025-08-22),0.542,0.542,0.12992592592592592,1.0,0.022281651644346295,,
6,Devstral (2512),0.538,0.538,0.14192592592592593,1.0,0.022296008611408454,,
17,Gemini 2.5 Pro (2025-05-06),0.536,0.536,0.13014814814814815,1.0,0.022302645582979615,,
27,o4-mini (2025-04-16),0.45,0.45,0.09962962962962962,1.0,0.02224859546128699,,
19,Kimi K2 Instruct,0.438,0.438,0.10296296296296296,1.0,0.02218810492133116,,
12,GPT-5 nano (2025-08-07) (medium reasoning),0.348,0.348,0.07355555555555555,1.0,0.021302394231635092,,
25,gpt-oss-120b,0.26,0.26,0.052444444444444446,1.0,0.019616319736382767,,
21,Llama 4 Maverick Instruct,0.21,0.21,0.03911111111111111,1.0,0.01821537811850196,,
0,Claude 3.7 Sonnet (20250219),0.102,0.102,0.02125925925925926,1.0,0.013534843922262273,,
23,Qwen2.5-Coder 32B Instruct,0.09,0.09,0.01274074074074074,1.0,0.012798437404620925,,
