,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
77,20250625_ExpeRepair-v1_claude-4-sonnet-20250514,0.6033333333333334,0.6033333333333334,0.29518072289156627,1.0,0.02824430457173164,,
69,20250425_Refact_Agent,0.6,0.6,0.3028112449799197,1.0,0.0282842712474619,,
82,20250906_KGCompass_claude-4-sonnet-20250514,0.5833333333333334,0.5833333333333334,0.29887550200803215,1.0,0.028463752127665554,,
72,20250526_sweagent_claude-4-sonnet-20250514,0.5666666666666667,0.5666666666666667,0.278714859437751,1.0,0.02860976264351941,,
61,20250114_Isoform,0.55,0.55,0.2589156626506024,1.0,0.028722813232690145,,
78,20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro,0.5166666666666667,0.5166666666666667,0.22899598393574297,1.0,0.028851471494663966,,
83,20250911_isea_claude-3.5-sonnet-20241022,0.5133333333333333,0.5133333333333333,0.2234136546184739,1.0,0.02885724762933466,,
81,20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.49666666666666665,0.49666666666666665,0.21393574297188755,1.0,0.028866871952054254,,
73,20250528_Codev,0.49,0.49,0.20236947791164658,1.0,0.028861739379323625,,
55,20241220_blackboxai_agent_v1,0.49,0.49,0.21220883534136545,1.0,0.028861739379323625,,
53,20241208_gru,0.4866666666666667,0.4866666666666667,0.20345381526104417,1.0,0.02885724762933466,,
75,20250613_ExpeRepair-v1.0,0.48333333333333334,0.48333333333333334,0.20795180722891565,1.0,0.028851471494663966,,
48,20241127_globant_codefixer_agent,0.48333333333333334,0.48333333333333334,0.21345381526104418,1.0,0.028851471494663966,,
66,20250226_sweagent_claude-3-7-sonnet-20250219,0.48,0.48,0.19975903614457832,1.0,0.028844410203711916,,
47,20241122_devlo,0.47333333333333333,0.47333333333333333,0.19650602409638554,1.0,0.028826428203351226,,
63,20250205_dars_agent_claude_3.5_sonnet_deepseek_r1,0.47,0.47,0.198714859437751,1.0,0.02881550508551487,,
76,20250619_KGCompass_claude-3.5-sonnet-20241022,0.46,0.46,0.21136546184738955,1.0,0.02877498913987632,,
80,20250901_entroPO_R2E_QwenCoder30BA3B,0.45,0.45,0.18421686746987953,1.0,0.028722813232690145,,
52,20241207_kodu_sonnet_v1,0.44666666666666666,0.44666666666666666,0.22052208835341366,1.0,0.028702819580171072,,
68,20250310_codefuse-cgm,0.44,0.44,0.1670281124497992,1.0,0.028658913680272905,,
24,20240702_codestory_aide_mixed,0.43,0.43,0.16751004016064258,1.0,0.028583211855912907,,
70,20250509_Lingxi_claude-3-5-sonnet-20241022,0.4266666666666667,0.4266666666666667,0.16971887550200804,1.0,0.02855533938526046,,
71,20250515_codartai,0.4166666666666667,0.4166666666666667,0.1993574297188755,1.0,0.02846375212766555,,
40,20241025_OpenHands-CodeAct-2.1-sonnet-20241022,0.4166666666666667,0.4166666666666667,0.16883534136546186,1.0,0.02846375212766555,,
54,20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022,0.41333333333333333,0.41333333333333333,0.15345381526104418,1.0,0.028430552163056847,,
42,20241030_composio_swekit,0.41,0.41,0.15112449799196787,1.0,0.02839600910926276,,
60,20250113_OrcaLoca,0.41,0.41,0.15429718875502008,1.0,0.02839600910926276,,
50,20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.4066666666666667,0.4066666666666667,0.15104417670682732,1.0,0.028360118058574725,,
59,20250113_OpenCSG-Starship-Agentic-Coder_gpt4o,0.39666666666666667,0.39666666666666667,0.14755020080321285,1.0,0.02824430457173164,,
37,20240912_marscode-agent-dev,0.3933333333333333,0.3933333333333333,0.14931726907630521,1.0,0.028202968060248683,,
62,20250114_moatless_claude-3.5-sonnet-20241022,0.39,0.39,0.15108433734939758,1.0,0.02816025568065745,,
45,20241117_moatless_claude-3.5-sonnet-20241022,0.38333333333333336,0.38333333333333336,0.1316867469879518,1.0,0.028070677992577293,,
33,20240820_honeycomb,0.38333333333333336,0.38333333333333336,0.14248995983935742,1.0,0.028070677992577293,,
22,20240627_abanteai_mentatbot_gpt4o,0.38,0.38,0.15244979919678714,1.0,0.028023799409311604,,
57,20250104_patched_codes_claude-3.5-sonnet-20241022,0.37,0.37,0.13650602409638554,1.0,0.027874719729532708,,
74,20250609_KGCompass_deepseek-v3,0.36666666666666664,0.36666666666666664,0.15333333333333332,1.0,0.02782218672344203,,
44,20241113_navie-2-gpt4o-sonnet,0.36,0.36,0.12943775100401606,1.0,0.027712812921102038,,
32,20240811_gru,0.3566666666666667,0.3566666666666667,0.12614457831325301,1.0,0.027655955088404592,,
56,20250104_codefuse-aais,0.3566666666666667,0.3566666666666667,0.12253012048192771,1.0,0.027655955088404592,,
35,20240829_Isoform,0.35,0.35,0.11815261044176707,1.0,0.02753785273643051,,
27,20240723_marscode-agent-dev,0.34,0.34,0.12120481927710844,1.0,0.027349588662354686,,
30,20240806_SuperCoder2.0,0.34,0.34,0.13389558232931728,1.0,0.027349588662354686,,
20,20240622_Lingma_Agent,0.33,0.33,0.10879518072289157,1.0,0.027147743920996455,,
65,20250214_agentless_lite_o3_mini,0.3233333333333333,0.3233333333333333,0.1248995983935743,1.0,0.027005486411029452,,
41,20241028_agentless-1.5_gpt4o,0.32,0.32,0.10610441767068272,1.0,0.02693201316896554,,
43,20241111_codeshelltester_gpt4o,0.31333333333333335,0.31333333333333335,0.1093574297188755,1.0,0.026780313388479703,,
16,20240617_factory_code_droid,0.31333333333333335,0.31333333333333335,0.1123293172690763,1.0,0.026780313388479703,,
58,20250111_moatless_deepseek_v3,0.30666666666666664,0.30666666666666664,0.09514056224899599,1.0,0.02662218512332789,,
19,20240621_autocoderover-v20240620,0.30666666666666664,0.30666666666666664,0.09819277108433735,1.0,0.02662218512332789,,
64,20250207_aegis_o3mini,0.30333333333333334,0.30333333333333334,0.11277108433734939,1.0,0.02654067458463344,,
36,20240908_infant_gpt4o,0.3,0.3,0.10160642570281124,1.0,0.026457513110645904,,
51,20241203_KortixAI-AgentPress-sonnet-20241022,0.3,0.3,0.1063855421686747,1.0,0.026457513110645904,,
31,20240808_RepoGraph_gpt4o,0.2966666666666667,0.2966666666666667,0.09626506024096386,1.0,0.026372685083595842,,
26,20240721_amazon-q-developer-agent-20240719-dev,0.2966666666666667,0.2966666666666667,0.10036144578313252,1.0,0.026372685083595842,,
12,20240604_CodeR,0.2833333333333333,0.2833333333333333,0.08983935742971888,1.0,0.02601637660881799,,
46,20241117_reproducedRG_gpt4o,0.28,0.28,0.08373493975903615,1.0,0.025922962793631443,,
25,20240706_sima_gpt4o,0.27666666666666667,0.27666666666666667,0.08377510040160642,1.0,0.025827777180277713,,
14,20240612_MASAI_gpt4o,0.2733333333333333,0.2733333333333333,0.08409638554216868,1.0,0.025730800105594736,,
23,20240630_agentless_gpt4o,0.2733333333333333,0.2733333333333333,0.08493975903614458,1.0,0.025730800105594736,,
13,20240612_IBM_Research_Agent101,0.26666666666666666,0.26666666666666666,0.07795180722891566,1.0,0.02553138954016902,,
28,20240725_opendevin_codeact_v1.8_claude35sonnet,0.26666666666666666,0.26666666666666666,0.08931726907630522,1.0,0.02553138954016902,,
21,20240623_moatless_claude35sonnet,0.26666666666666666,0.26666666666666666,0.07706827309236948,1.0,0.02553138954016902,,
9,20240523_aider,0.2633333333333333,0.2633333333333333,0.08273092369477912,1.0,0.025428913260885325,,
38,20240925_hyperagent_lite1,0.25333333333333335,0.25333333333333335,0.08044176706827309,1.0,0.025110127807689838,,
67,20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.24666666666666667,0.24666666666666667,0.07301204819277109,1.0,0.024887896805624365,,
17,20240617_moatless_gpt4o,0.24666666666666667,0.24666666666666667,0.07168674698795181,1.0,0.024887896805624365,,
10,20240524_opencsg_starship_gpt4,0.23666666666666666,0.23666666666666666,0.06927710843373494,1.0,0.024539461794937257,,
