,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,GoogleChrome__lighthouse-10176,,0,[],0.0,0.0,,GoogleChrome__lighthouse-10176
1,GoogleChrome__lighthouse-10295,,0,[],0.0,0.0,,GoogleChrome__lighthouse-10295
2,GoogleChrome__lighthouse-10505,,0,[],0.0,0.0,,GoogleChrome__lighthouse-10505
3,GoogleChrome__lighthouse-11068,,0,[],0.0,0.0,,GoogleChrome__lighthouse-11068
4,GoogleChrome__lighthouse-11489,,0,[],0.0,0.0,,GoogleChrome__lighthouse-11489
5,GoogleChrome__lighthouse-11579,,0,[],0.0,0.0,,GoogleChrome__lighthouse-11579
6,GoogleChrome__lighthouse-11738,,0,[],0.0,0.0,,GoogleChrome__lighthouse-11738
7,GoogleChrome__lighthouse-12067,0.2568627450980392,12,"['20250226_agentless_lite_claude3.5' '20250311_zencoder'
 '20250325_globant_codefixer_agent' '20250401_zencoder'
 '20250509_OpenHands-Versa_claude3.7' '20250528_OpenHands-Versa-claude4'
 '20250531_GUIRepair_gpt41' '20250531_GUIRepair_gpt4o'
 '20250531_GUIRepair_o4mini' '20250611_Refact_Agent_claude-4-sonnet'
 '20250701_GUIRepair_o3' '20251117_codefuse_pycfuse_svr']",1.0,1.0,,GoogleChrome__lighthouse-12067
8,GoogleChrome__lighthouse-12970,,0,[],0.0,0.0,,GoogleChrome__lighthouse-12970
9,GoogleChrome__lighthouse-13185,,0,[],0.0,0.0,,GoogleChrome__lighthouse-13185
10,GoogleChrome__lighthouse-1446,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1446
11,GoogleChrome__lighthouse-14479,,0,[],0.0,0.0,,GoogleChrome__lighthouse-14479
12,GoogleChrome__lighthouse-14515,,0,[],0.0,0.0,,GoogleChrome__lighthouse-14515
13,GoogleChrome__lighthouse-14587,0.2568627450980392,2,['20250226_agentless_lite_claude3.5' '20250701_GUIRepair_o3'],0.16666666666666666,0.16666666666666666,-0.02773500981126146,GoogleChrome__lighthouse-14587
14,GoogleChrome__lighthouse-14672,,0,[],0.0,0.0,,GoogleChrome__lighthouse-14672
15,GoogleChrome__lighthouse-14800,0.3176470588235294,1,['20250509_OpenHands-Versa_claude3.7'],0.08333333333333333,0.08333333333333333,0.03739787960033829,GoogleChrome__lighthouse-14800
16,GoogleChrome__lighthouse-15054,,0,[],0.0,0.0,,GoogleChrome__lighthouse-15054
17,GoogleChrome__lighthouse-15092,,0,[],0.0,0.0,,GoogleChrome__lighthouse-15092
18,GoogleChrome__lighthouse-1549,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1549
19,GoogleChrome__lighthouse-1563,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1563
20,GoogleChrome__lighthouse-1617,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1617
21,GoogleChrome__lighthouse-1755,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1755
22,GoogleChrome__lighthouse-1786,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1786
23,GoogleChrome__lighthouse-1895,0.3156862745098039,4,"['20250531_GUIRepair_gpt41' '20250531_GUIRepair_o4mini'
 '20250611_Refact_Agent_claude-4-sonnet' '20250701_GUIRepair_o3']",0.3333333333333333,0.3333333333333333,0.4166025591708388,GoogleChrome__lighthouse-1895
24,GoogleChrome__lighthouse-1916,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1916
25,GoogleChrome__lighthouse-1941,,0,[],0.0,0.0,,GoogleChrome__lighthouse-1941
