,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2616201,swebench-multimodal,20250226_agentless_lite_claude3.5,carbon-design-system__carbon-7478,0.0,1.0,,,0
2616202,swebench-multimodal,20250226_agentless_lite_claude3.5,carbon-design-system__carbon-5485,0.0,1.0,,,0
2616203,swebench-multimodal,20250226_agentless_lite_claude3.5,bpmn-io__bpmn-js-1677,1.0,1.0,,,1
2616204,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-9083,1.0,1.0,,,1
2616205,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-13547,0.0,1.0,,,0
2616206,swebench-multimodal,20250226_agentless_lite_claude3.5,highlightjs__highlight.js-2726,0.0,1.0,,,0
2616207,swebench-multimodal,20250226_agentless_lite_claude3.5,highlightjs__highlight.js-2972,0.0,1.0,,,0
2616208,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-15614,1.0,1.0,,,1
2616209,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-7554,1.0,1.0,,,1
2616210,swebench-multimodal,20250226_agentless_lite_claude3.5,bpmn-io__bpmn-js-1584,1.0,1.0,,,1
2616211,swebench-multimodal,20250226_agentless_lite_claude3.5,bpmn-io__bpmn-js-1179,0.0,1.0,,,0
2616212,swebench-multimodal,20250226_agentless_lite_claude3.5,quarto-dev__quarto-cli-6902,0.0,1.0,,,0
2616213,swebench-multimodal,20250226_agentless_lite_claude3.5,PrismJS__prism-2649,0.0,1.0,,,0
2616214,swebench-multimodal,20250226_agentless_lite_claude3.5,carbon-design-system__carbon-10214,0.0,1.0,,,0
2616215,swebench-multimodal,20250226_agentless_lite_claude3.5,GoogleChrome__lighthouse-2016,1.0,1.0,,,1
2616216,swebench-multimodal,20250226_agentless_lite_claude3.5,PrismJS__prism-1572,0.0,1.0,,,0
2616217,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-13150,1.0,1.0,,,1
2616218,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-10545,0.0,1.0,,,0
2616219,swebench-multimodal,20250226_agentless_lite_claude3.5,openlayers__openlayers-14414,0.0,1.0,,,0
2616220,swebench-multimodal,20250226_agentless_lite_claude3.5,GoogleChrome__lighthouse-5011,0.0,1.0,,,0
2616221,swebench-multimodal,20250226_agentless_lite_claude3.5,bpmn-io__bpmn-js-1365,0.0,1.0,,,0
2616222,swebench-multimodal,20250226_agentless_lite_claude3.5,carbon-design-system__carbon-4801,0.0,1.0,,,0
2616223,swebench-multimodal,20250226_agentless_lite_claude3.5,GoogleChrome__lighthouse-6694,0.0,1.0,,,0
