,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20250226_agentless_lite_claude3.5,20250311_zencoder,510.0,0.2568627450980392,0.27450980392156865,59.0,-9.0,0.015061070093860016,0.2975952082844287,,,0.01504078480330658,0.7043545388465032,swebench-multimodal
1,20250226_agentless_lite_claude3.5,20250325_globant_codefixer_agent,510.0,0.2568627450980392,0.3,44.0,-22.0,0.013006371726883922,0.0012600338162656044,,,0.01286534233584631,0.7903303038739428,swebench-multimodal
2,20250226_agentless_lite_claude3.5,20250401_zencoder,510.0,0.2568627450980392,0.30980392156862746,47.0,-27.0,0.013442460000786362,9.848878492846323e-05,,,0.013236468827359613,0.7804692928948513,swebench-multimodal
3,20250226_agentless_lite_claude3.5,20250509_OpenHands-Versa_claude3.7,510.0,0.2568627450980392,0.3176470588235294,53.0,-31.0,0.014274725273099056,2.2475594023241285e-05,,,0.014018673529063124,0.7556465112561677,swebench-multimodal
4,20250226_agentless_lite_claude3.5,20250528_OpenHands-Versa-claude4,510.0,0.2568627450980392,0.34901960784313724,61.0,-47.0,0.015314215050797362,4.32210722073334e-10,,,0.01476050345773995,0.7370178300274136,swebench-multimodal
5,20250226_agentless_lite_claude3.5,20250531_GUIRepair_gpt41,510.0,0.2568627450980392,0.3156862745098039,42.0,-30.0,0.01270733470276051,2.8288777684792876e-06,,,0.012437509173433513,0.8076622161823114,swebench-multimodal
6,20250226_agentless_lite_claude3.5,20250531_GUIRepair_gpt4o,510.0,0.2568627450980392,0.307843137254902,36.0,-26.0,0.011764705882352941,1.2913485988974571e-05,,,0.011546091343525721,0.8329509600008064,swebench-multimodal
7,20250226_agentless_lite_claude3.5,20250531_GUIRepair_o4mini,510.0,0.2568627450980392,0.3431372549019608,54.0,-44.0,0.014408763192842225,3.8913883226854296e-10,,,0.013893083474518538,0.7661631523254298,swebench-multimodal
8,20250226_agentless_lite_claude3.5,20250611_Refact_Agent_claude-4-sonnet,510.0,0.2568627450980392,0.3607843137254902,63.0,-53.0,0.015563243006262299,1.6623508125590547e-12,,,0.014867369147567136,0.7358299848238755,swebench-multimodal
9,20250226_agentless_lite_claude3.5,20250701_GUIRepair_o3,510.0,0.2568627450980392,0.36470588235294116,61.0,-55.0,0.015314215050797362,3.2857397358476703e-14,,,0.014550635110744477,0.7479760822310382,swebench-multimodal
10,20250226_agentless_lite_claude3.5,20251117_codefuse_pycfuse_svr,510.0,0.2568627450980392,0.36470588235294116,63.0,-55.0,0.015563243006262299,1.3821257506541063e-13,,,0.01481250594517801,0.7386524325771834,swebench-multimodal
11,20250311_zencoder,20250226_agentless_lite_claude3.5,510.0,0.27450980392156865,0.2568627450980392,59.0,9.0,0.015061070093860016,0.2975952082844287,,,0.01504078480330658,0.7043545388465032,swebench-multimodal
12,20250311_zencoder,20250325_globant_codefixer_agent,510.0,0.27450980392156865,0.3,55.0,-13.0,0.01454156566097189,0.10478948242660333,,,0.014497693336391454,0.7382716607354256,swebench-multimodal
