,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,500.0,0.044,0.004,22.0,20.0,0.00938083151964686,1.0967254638671875e-05,,,0.00920869154657707,0.1408996404060046,swebench-verified
1,20231010_rag_claude2,20231010_rag_swellama13b,500.0,0.044,0.012,26.0,16.0,0.010198039027185569,0.002493917942047119,,,0.010097128304622062,0.0659148746171505,swebench-verified
2,20231010_rag_claude2,20231010_rag_swellama7b,500.0,0.044,0.014,25.0,15.0,0.01,0.004077315330505371,,,0.009909591313469997,0.14043410625210456,swebench-verified
3,20231010_rag_claude2,20240402_rag_claude3opus,500.0,0.044,0.07,35.0,-13.0,0.011832159566199233,0.040959591511636986,,,0.011774888534504266,0.361555817163542,swebench-verified
4,20231010_rag_claude2,20240402_rag_gpt4,500.0,0.044,0.028,30.0,8.0,0.010954451150103323,0.20048842206597334,,,0.010931056673533442,0.1409187603958562,swebench-verified
5,20231010_rag_claude2,20240402_sweagent_claude3opus,500.0,0.044,0.158,79.0,-57.0,0.017776388834631177,3.544560973532992e-11,,,0.017029621252394312,0.20115874105207818,swebench-verified
6,20231010_rag_claude2,20240402_sweagent_gpt4,500.0,0.044,0.224,106.0,-90.0,0.020591260281974,8.07995881983345e-21,,,0.018952572384771414,0.21218900828771814,swebench-verified
7,20231010_rag_claude2,20240728_sweagent_gpt4o,500.0,0.044,0.232,112.0,-94.0,0.021166010488516726,2.314511484284655e-21,,,0.019424520586104565,0.18241361431935915,swebench-verified
8,20231010_rag_claude2,20240820_epam-ai-run-gpt-4o,500.0,0.044,0.24,108.0,-98.0,0.020784609690826527,7.213042994342267e-25,,,0.018845901411182222,0.2676023395361404,swebench-verified
9,20231010_rag_claude2,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.044,0.102,59.0,-29.0,0.015362291495737215,0.00020372185740785698,,,0.01514173041630315,0.15324217345545346,swebench-verified
10,20231010_rag_claude2,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.044,0.182,87.0,-69.0,0.01865475810617763,7.467088418731596e-15,,,0.01760431765221248,0.22735882294847914,swebench-verified
11,20231010_rag_claude2,20250627_agentless_MCTS-Refine-7B,500.0,0.044,0.232,118.0,-94.0,0.02172556098240043,5.775236264703373e-20,,,0.020032773148019222,0.11310752985151744,swebench-verified
12,20231010_rag_gpt35,20231010_rag_claude2,500.0,0.004,0.044,22.0,-20.0,0.00938083151964686,1.0967254638671875e-05,,,0.00920869154657707,0.14089964040600464,swebench-verified
13,20231010_rag_gpt35,20231010_rag_swellama13b,500.0,0.004,0.012,8.0,-4.0,0.00565685424949238,0.2890625,,,0.005645529204600752,-0.006984132615075173,swebench-verified
14,20231010_rag_gpt35,20231010_rag_swellama7b,500.0,0.004,0.014,9.0,-5.0,0.006,0.1796875,,,0.005983310120660636,-0.007551372374927708,swebench-verified
15,20231010_rag_gpt35,20240402_rag_claude3opus,500.0,0.004,0.07,35.0,-33.0,0.011832159566199233,2.0954757928848267e-09,,,0.011458097573332146,0.10680173004723724,swebench-verified
16,20231010_rag_gpt35,20240402_rag_gpt4,500.0,0.004,0.028,16.0,-12.0,0.008,0.004180908203125,,,0.007927673050775998,-0.01075588647317619,swebench-verified
17,20231010_rag_gpt35,20240402_sweagent_claude3opus,500.0,0.004,0.158,79.0,-77.0,0.017776388834631177,2.6469779601696886e-22,,,0.016388044422688142,0.059421258180913955,swebench-verified
18,20231010_rag_gpt35,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.004,0.102,51.0,-49.0,0.0142828568570857,4.618527782440651e-14,,,0.013593822126245436,0.08333839732442848,swebench-verified
19,20231010_rag_gpt35,20241002_lingma-agent_lingma-swe-gpt-7b,500.0,0.004,0.182,91.0,-89.0,0.019078784028338912,7.431700815906108e-26,,,0.01733874274565489,0.052229407675567295,swebench-verified
20,20231010_rag_swellama13b,20231010_rag_claude2,500.0,0.012,0.044,26.0,-16.0,0.010198039027185569,0.002493917942047119,,,0.010097128304622062,0.0659148746171505,swebench-verified
21,20231010_rag_swellama13b,20231010_rag_gpt35,500.0,0.012,0.004,8.0,4.0,0.00565685424949238,0.2890625,,,0.005645529204600752,-0.006984132615075173,swebench-verified
22,20231010_rag_swellama13b,20231010_rag_swellama7b,500.0,0.012,0.014,7.0,-1.0,0.0052915026221291815,1.0,,,0.005290746639180525,0.45587517672677286,swebench-verified
23,20231010_rag_swellama13b,20240402_rag_claude3opus,500.0,0.012,0.07,37.0,-29.0,0.01216552506059644,1.0843941709026694e-06,,,0.01188578983492473,0.11374373708215145,swebench-verified
24,20231010_rag_swellama13b,20240402_rag_gpt4,500.0,0.012,0.028,20.0,-8.0,0.00894427190999916,0.11531829833984375,,,0.008915604298083222,-0.01870501384281757,swebench-verified
25,20231010_rag_swellama13b,20240402_sweagent_claude3opus,500.0,0.012,0.158,83.0,-73.0,0.0182208671582886,6.403904916571207e-18,,,0.017010820086051114,0.0026186632580471043,swebench-verified
