,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
20,20251019_apex_agent_claude-4-5-sonnet,0.6425,0.675,0.21708333333333335,5.0,0.053583317133227205,0.05073752925596594,0.017230060940112778
17,20251016_Chaterm_claude-4-5-sonnet,0.6375,0.675,0.22333333333333333,5.0,0.05374636615623423,0.0510629207449006,0.016770509831248424
22,20251108_abacusai-desktop_multiple,0.6224999999999999,0.7125,0.219375,5.0,0.054197987739398594,0.047597761239369235,0.02592055169165965
16,20251013_ante_claude_4-5_sonnet,0.6025,0.7,0.19704166666666667,5.0,0.05471445764146804,0.04898899748923221,0.024366985862022413
8,20250923_droid_claude-4-1-opus,0.5875,0.6875,0.19214583333333335,5.0,0.055039048638216855,0.04774198231116927,0.027386127875258306
12,20251001_droid_claude-4-5-sonnet,0.575,0.675,0.17733333333333334,5.0,0.05526922742358536,0.04897384506039933,0.025617376914898994
24,ob1-09-10-25,0.5675,0.625,0.201625,5.0,0.05538995283442657,0.05144095523024431,0.02053959590644373
11,20250926_ante_claude-4-sonnet,0.5475,0.675,0.16843750000000002,5.0,0.05564887128235397,0.047957500716780475,0.02822897447659054
10,20250924_droid_gpt-5,0.525,0.6625,0.15483333333333335,5.0,0.05583177858531824,0.04601290579826491,0.03162277660168379
14,20251010_Chaterm_claude-4-5-sonnet,0.525,0.6625,0.15104166666666666,5.0,0.05583177858531824,0.04735174231218953,0.029580398915498077
19,20251017_deepagent-desktop_claude-4-5-sonnet,0.5050000000000001,0.5875,0.13877083333333334,5.0,0.05589890428264225,0.05077216264844349,0.023385358667337132
9,20250923_droid_claude-4-sonnet,0.505,0.65,0.14360416666666667,5.0,0.05589890428264225,0.04792246341748304,0.028777161083053348
18,20251016_apex_agent_gpt-5,0.4925,0.6625,0.14916666666666664,5.0,0.055895410142515284,0.04506158979663279,0.03307189138830738
7,20250911_chaterm_claude-4-sonnet,0.4925,0.6375,0.13708333333333333,5.0,0.055895410142515284,0.047261737960003124,0.029843340965783303
3,20250829_goose_claude-4-opus,0.4525,0.5625,0.11497916666666666,5.0,0.05564887128235397,0.049243495763400064,0.02592055169165965
23,20251111_iflow-cli_Minimax-M2,0.42000000000000004,0.6,0.11022916666666667,5.0,0.05518151864528558,0.043995738429988884,0.033307281486185565
0,20250711_openhands_claude-4-sonnet,0.4125,0.5375,0.10477083333333333,5.0,0.055039048638216855,0.048553289023504885,0.025920551691659653
4,20250829_goose_claude-4-sonnet,0.4125,0.5125,0.10064583333333334,5.0,0.055039048638216855,0.04887404091130587,0.025310570914145736
21,20251026_iflow-cli_Qwen3-Coder-480A30,0.39,0.5625,0.09977083333333334,5.0,0.05453210063806455,0.0433589667773576,0.03307189138830738
15,20251012_alpha_claude-4-5-sonnet,0.3825,0.5625,0.09420833333333332,5.0,0.05433619304846448,0.0443626743445433,0.03137475099502783
5,20250902_orchestrator_claude-4-sonnet,0.36,0.575,0.0875625,5.0,0.05366563145999496,0.03998437194704952,0.035794552658190884
13,20251007_camel-agent_gpt-4-1,0.35,0.5125,0.083,5.0,0.05332682251925385,0.04401704215414752,0.03010398644698074
1,20250811_cursor-cli_claude-4-sonnet,0.2625,0.4,0.05702083333333333,5.0,0.049192701440355965,0.03950375773265121,0.029315098498896436
6,20250902_orchestrator_qwen-3-coder-480B,0.19249999999999998,0.3875,0.04152083333333333,5.0,0.04408000538793071,0.03070906828609426,0.03162277660168379
2,20250825_swe-agent-mini_claude-4-sonnet,0.1275,0.225,0.0335,5.0,0.037290037208348295,0.026808056158550548,0.02592055169165965
