,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Ante__Gemini-3-Pro-Preview,Mux__Claude-Opus-4.5,89.0,0.647191011235955,0.5842696629213483,23.6,5.600000000000001,0.05458408000670167,0.4048728942871094,,,0.05417506404823627,0.531156634668473,terminal-bench-2.0
1,Ante__Gemini-3-Pro-Preview,Mux__GPT-5.2,89.0,0.647191011235955,0.6067415730337079,22.8,3.6000000000000014,0.053650950050846385,0.5234670639038086,,,0.0534793479230058,0.5419691800208596,terminal-bench-2.0
2,Ante__Gemini-3-Pro-Preview,OpenCode__Claude-Opus-4.5,89.0,0.647191011235955,0.5168539325842697,22.0,11.600000000000001,0.05270130067217337,0.052478790283203125,,,0.05085816995612908,0.6181980552684896,terminal-bench-2.0
3,MAYA__Claude-4.5-sonnet,Mux__Claude-Opus-4.5,89.0,0.42696629213483145,0.5842696629213483,40.0,-14.0,0.0710624193296265,0.03847730828420026,,,0.06907851352850436,0.12894957849941382,terminal-bench-2.0
4,MAYA__Claude-4.5-sonnet,Mux__GPT-5.2,89.0,0.42696629213483145,0.6067415730337079,40.0,-16.0,0.0710624193296265,0.01658900337497471,,,0.06845970278856015,0.13689686505281365,terminal-bench-2.0
5,MAYA__Claude-4.5-sonnet,OpenCode__Claude-Opus-4.5,89.0,0.42696629213483145,0.5168539325842697,38.0,-8.0,0.06926307868504468,0.2558750795433298,,,0.06860459121050332,0.1527148107600982,terminal-bench-2.0
6,MAYA__Claude-4.5-sonnet,Terminus2__GLM-4.7,89.0,0.42696629213483145,0.33033707865168543,36.6,8.600000000000001,0.06797520657192888,0.24298495403490966,0.030770930196919444,0.05973998785339909,0.06719907956146393,0.1649161914158097,terminal-bench-2.0
7,MAYA__Claude-4.5-sonnet,dakou__qwen3-coder-480b,89.0,0.42696629213483145,0.2719101123595506,39.4,13.799999999999997,0.07052743742236052,0.05325191409792752,0.029299786090798422,0.06201211515782884,0.0685855662024771,0.06554386960152231,terminal-bench-2.0
8,Mux__Claude-Opus-4.5,Ante__Gemini-3-Pro-Preview,89.0,0.5842696629213483,0.647191011235955,23.6,-5.600000000000001,0.05458408000670167,0.4048728942871094,,,0.05417506404823627,0.531156634668473,terminal-bench-2.0
9,Mux__Claude-Opus-4.5,MAYA__Claude-4.5-sonnet,89.0,0.5842696629213483,0.42696629213483145,40.0,14.0,0.0710624193296265,0.03847730828420026,,,0.06907851352850436,0.12894957849941382,terminal-bench-2.0
