,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20250711_openhands_claude-4-sonnet,20250811_cursor-cli_claude-4-sonnet,80.0,0.4125,0.2625,21.600000000000005,12.000000000000004,0.05809475019311126,0.02660369873046875,0.03913118960624632,0.039528470752104736,0.05562148865321747,0.5668448474629176,terminal-bench
1,20250711_openhands_claude-4-sonnet,20250829_goose_claude-4-opus,80.0,0.4125,0.4525,16.799999999999997,-3.200000000000001,0.051234753829797995,0.454498291015625,0.036657195746537946,0.035514081714159526,0.05103920062069939,0.6971575598606716,terminal-bench
2,20250711_openhands_claude-4-sonnet,20250829_goose_claude-4-sonnet,80.0,0.4125,0.4125,18.560000000000002,0.0,0.05385164807134505,1.0,0.036228441865473596,0.03984344362627307,0.053851648071345036,0.6306427024123084,terminal-bench
3,20250711_openhands_claude-4-sonnet,20250902_orchestrator_claude-4-sonnet,80.0,0.4125,0.36000000000000004,21.16,4.199999999999999,0.0575,0.6636238098144531,0.04419417382415922,0.03631352193054263,0.05719962303197461,0.6133864772126201,terminal-bench
4,20250711_openhands_claude-4-sonnet,20250911_chaterm_claude-4-sonnet,80.0,0.4125,0.49250000000000005,17.119999999999997,-6.4,0.051720402163943004,0.143463134765625,0.03952847075210474,0.03213253802611926,0.050941142507800116,0.7258079711804187,terminal-bench
5,20250711_openhands_claude-4-sonnet,20250923_droid_claude-4-1-opus,80.0,0.4125,0.5875,21.6,-14.0,0.05809475019311126,0.0014896392822265625,0.03770775782249589,0.03962716871036839,0.05470089121760266,0.6231650406877796,terminal-bench
6,20250711_openhands_claude-4-sonnet,20250923_droid_claude-4-sonnet,80.0,0.4125,0.505,16.759999999999998,-7.4,0.05117372372614681,0.076812744140625,0.03872983346207417,0.03180875469112238,0.05011782991112046,0.7352168035186045,terminal-bench
7,20250711_openhands_claude-4-sonnet,20250924_droid_gpt-5,80.0,0.4125,0.525,19.88,-9.0,0.055733742024019886,0.063568115234375,0.04088856808449031,0.0357235479061081,0.05429591950598129,0.6655351018036799,terminal-bench
8,20250711_openhands_claude-4-sonnet,20250926_ante_claude-4-sonnet,80.0,0.4125,0.5475,18.64,-10.800000000000002,0.05396758286230726,0.007537841796875,0.038324274291889726,0.03487029538159951,0.05181397012389612,0.6950949768286746,terminal-bench
9,20250711_openhands_claude-4-sonnet,20251001_droid_claude-4-5-sonnet,80.0,0.4125,0.575,18.200000000000003,-13.000000000000002,0.05332682251925385,0.001312255859375,0.036443449342783124,0.034431771302098305,0.05013653233920352,0.7110276325191505,terminal-bench
10,20250711_openhands_claude-4-sonnet,20251007_camel-agent_gpt-4-1,80.0,0.4125,0.35,21.72,5.000000000000002,0.05825590098865521,0.38331031799316406,0.03972562145517676,0.04203328294340094,0.057835299558314734,0.5501389211432683,terminal-bench
11,20250711_openhands_claude-4-sonnet,20251010_Chaterm_claude-4-5-sonnet,80.0,0.4125,0.525,18.839999999999996,-8.999999999999998,0.054256336035526764,0.0308837890625,0.03933033180638068,0.03519477056325273,0.05277828033386461,0.6847293637942177,terminal-bench
12,20250711_openhands_claude-4-sonnet,20251012_alpha_claude-4-5-sonnet,80.0,0.4125,0.3825,20.400000000000002,2.400000000000002,0.05645794895318108,0.8238029479980469,0.04069705149024927,0.038987177379235856,0.056358229212777784,0.6039458578972005,terminal-bench
13,20250711_openhands_claude-4-sonnet,20251013_ante_claude_4-5_sonnet,80.0,0.4125,0.6025,18.56,-15.2,0.05385164807134505,0.00014495849609375,0.035575623676894264,0.0343965841327304,0.049484846165265585,0.7133604348474916,terminal-bench
14,20250711_openhands_claude-4-sonnet,20251016_apex_agent_gpt-5,80.0,0.4125,0.4925,22.240000000000002,-6.4,0.058949130612757986,0.13380050659179688,0.04201934078492903,0.04036551746230934,0.05826662852782886,0.5826101465558028,terminal-bench
15,20250711_openhands_claude-4-sonnet,20251017_deepagent-desktop_claude-4-5-sonnet,80.0,0.4125,0.505,17.16,-7.400000000000001,0.05178078794301995,0.049041748046875,0.03491060010942235,0.036817752172016154,0.050737529255965946,0.6916873224447082,terminal-bench
16,20250711_openhands_claude-4-sonnet,20251026_iflow-cli_Qwen3-Coder-480A30,80.0,0.4125,0.39,21.480000000000004,1.799999999999999,0.05793315113128234,1.0,0.04201934078492903,0.03980322694204579,0.05787850961280879,0.5800842089524532,terminal-bench
17,20250711_openhands_claude-4-sonnet,20251111_iflow-cli_Minimax-M2,80.0,0.4125,0.41999999999999993,20.759999999999998,-0.5999999999999996,0.05695392874947259,1.0,0.04220485754033533,0.038233452302924464,0.056947755662536875,0.6105433468853988,terminal-bench
18,20250711_openhands_claude-4-sonnet,ob1-09-10-25,80.0,0.4125,0.5675,27.360000000000003,-12.400000000000002,0.0653834841531101,0.0191572904586792,0.03307189138830738,0.053674365389820865,0.06304512272967672,0.4068820551775479,terminal-bench
19,20250811_cursor-cli_claude-4-sonnet,20250711_openhands_claude-4-sonnet,80.0,0.2625,0.4125,21.600000000000005,-12.000000000000004,0.05809475019311126,0.007197380065917969,0.03913118960624632,0.039528470752104736,0.05562148865321747,0.5668448474629176,terminal-bench
20,20250811_cursor-cli_claude-4-sonnet,20250825_swe-agent-mini_claude-4-sonnet,80.0,0.2625,0.1275,24.080000000000002,10.8,0.06133922073192649,0.06391465663909912,0.03913118960624632,0.044759775468605746,0.059453237926962395,0.11342831026659515,terminal-bench
21,20250811_cursor-cli_claude-4-sonnet,20250829_goose_claude-4-opus,80.0,0.2625,0.4525,24.24,-15.2,0.06154266812545586,0.001543879508972168,0.03913118960624632,0.042485291572496,0.05776028047023318,0.5177650226579162,terminal-bench
