,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
1486111,tqa,falcon-7b,tqa/0,0.0,1.0,,,0
1486112,tqa,falcon-7b,tqa/1,0.0,1.0,,,0
1486113,tqa,falcon-7b,tqa/2,0.0,1.0,,,0
1486114,tqa,falcon-7b,tqa/3,0.0,1.0,,,0
1486115,tqa,falcon-7b,tqa/4,1.0,1.0,,,1
1486116,tqa,falcon-7b,tqa/5,0.0,1.0,,,0
1486117,tqa,falcon-7b,tqa/6,1.0,1.0,,,1
1486118,tqa,falcon-7b,tqa/7,0.0,1.0,,,0
1486119,tqa,falcon-7b,tqa/8,1.0,1.0,,,1
1486120,tqa,falcon-7b,tqa/9,0.0,1.0,,,0
1486121,tqa,falcon-7b,tqa/10,1.0,1.0,,,1
1486122,tqa,falcon-7b,tqa/11,1.0,1.0,,,1
1486123,tqa,falcon-7b,tqa/12,0.0,1.0,,,0
1486124,tqa,falcon-7b,tqa/13,0.0,1.0,,,0
1486125,tqa,falcon-7b,tqa/14,0.0,1.0,,,0
1486126,tqa,falcon-7b,tqa/15,0.0,1.0,,,0
1486127,tqa,falcon-7b,tqa/16,0.0,1.0,,,0
1486128,tqa,falcon-7b,tqa/17,0.0,1.0,,,0
1486129,tqa,falcon-7b,tqa/18,1.0,1.0,,,1
1486130,tqa,falcon-7b,tqa/19,0.0,1.0,,,0
1486131,tqa,falcon-7b,tqa/20,1.0,1.0,,,1
1486132,tqa,falcon-7b,tqa/21,0.0,1.0,,,0
1486133,tqa,falcon-7b,tqa/22,1.0,1.0,,,1
1486134,tqa,falcon-7b,tqa/23,0.0,1.0,,,0
1486135,tqa,falcon-7b,tqa/24,1.0,1.0,,,1
1486136,tqa,falcon-7b,tqa/25,1.0,1.0,,,1
1486137,tqa,falcon-7b,tqa/26,1.0,1.0,,,1
1486138,tqa,falcon-7b,tqa/27,0.0,1.0,,,0
1486139,tqa,falcon-7b,tqa/28,0.0,1.0,,,0
1486140,tqa,falcon-7b,tqa/29,0.0,1.0,,,0
1486141,tqa,falcon-7b,tqa/30,1.0,1.0,,,1
1486142,tqa,falcon-7b,tqa/31,0.0,1.0,,,0
1486143,tqa,falcon-7b,tqa/32,0.0,1.0,,,0
1486144,tqa,falcon-7b,tqa/33,0.0,1.0,,,0
1486145,tqa,falcon-7b,tqa/34,0.0,1.0,,,0
1486146,tqa,falcon-7b,tqa/35,0.0,1.0,,,0
1486147,tqa,falcon-7b,tqa/36,0.0,1.0,,,0
1486148,tqa,falcon-7b,tqa/37,0.0,1.0,,,0
1486149,tqa,falcon-7b,tqa/38,0.0,1.0,,,0
1486150,tqa,falcon-7b,tqa/39,0.0,1.0,,,0
1486151,tqa,falcon-7b,tqa/40,1.0,1.0,,,1
1486152,tqa,falcon-7b,tqa/41,1.0,1.0,,,1
1486153,tqa,falcon-7b,tqa/42,0.0,1.0,,,0
1486154,tqa,falcon-7b,tqa/43,0.0,1.0,,,0
1486155,tqa,falcon-7b,tqa/44,0.0,1.0,,,0
1486156,tqa,falcon-7b,tqa/45,0.0,1.0,,,0
1486157,tqa,falcon-7b,tqa/46,0.0,1.0,,,0
1486158,tqa,falcon-7b,tqa/47,1.0,1.0,,,1
1486159,tqa,falcon-7b,tqa/48,1.0,1.0,,,1
1486160,tqa,falcon-7b,tqa/49,1.0,1.0,,,1
1486161,tqa,falcon-7b,tqa/50,1.0,1.0,,,1
1486162,tqa,falcon-7b,tqa/51,1.0,1.0,,,1
1486163,tqa,falcon-7b,tqa/52,0.0,1.0,,,0
1486164,tqa,falcon-7b,tqa/53,1.0,1.0,,,1
1486165,tqa,falcon-7b,tqa/54,0.0,1.0,,,0
1486166,tqa,falcon-7b,tqa/55,0.0,1.0,,,0
1486167,tqa,falcon-7b,tqa/56,0.0,1.0,,,0
1486168,tqa,falcon-7b,tqa/57,0.0,1.0,,,0
1486169,tqa,falcon-7b,tqa/58,0.0,1.0,,,0
1486170,tqa,falcon-7b,tqa/59,0.0,1.0,,,0
1486171,tqa,falcon-7b,tqa/60,0.0,1.0,,,0
1486172,tqa,falcon-7b,tqa/61,0.0,1.0,,,0
1486173,tqa,falcon-7b,tqa/62,1.0,1.0,,,1
1486174,tqa,falcon-7b,tqa/63,1.0,1.0,,,1
1486175,tqa,falcon-7b,tqa/64,1.0,1.0,,,1
1486176,tqa,falcon-7b,tqa/65,0.0,1.0,,,0
1486177,tqa,falcon-7b,tqa/66,1.0,1.0,,,1
1486178,tqa,falcon-7b,tqa/67,1.0,1.0,,,1
1486179,tqa,falcon-7b,tqa/68,1.0,1.0,,,1
1486180,tqa,falcon-7b,tqa/69,1.0,1.0,,,1
1486181,tqa,falcon-7b,tqa/70,0.0,1.0,,,0
1486182,tqa,falcon-7b,tqa/71,1.0,1.0,,,1
1486183,tqa,falcon-7b,tqa/72,0.0,1.0,,,0
1486184,tqa,falcon-7b,tqa/73,1.0,1.0,,,1
1486185,tqa,falcon-7b,tqa/74,1.0,1.0,,,1
1486186,tqa,falcon-7b,tqa/75,0.0,1.0,,,0
1486187,tqa,falcon-7b,tqa/76,1.0,1.0,,,1
1486188,tqa,falcon-7b,tqa/77,0.0,1.0,,,0
1486189,tqa,falcon-7b,tqa/78,1.0,1.0,,,1
1486190,tqa,falcon-7b,tqa/79,0.0,1.0,,,0
1486191,tqa,falcon-7b,tqa/80,0.0,1.0,,,0
1486192,tqa,falcon-7b,tqa/81,0.0,1.0,,,0
1486193,tqa,falcon-7b,tqa/82,0.0,1.0,,,0
1486194,tqa,falcon-7b,tqa/83,0.0,1.0,,,0
1486195,tqa,falcon-7b,tqa/84,0.0,1.0,,,0
1486196,tqa,falcon-7b,tqa/85,1.0,1.0,,,1
1486197,tqa,falcon-7b,tqa/86,0.0,1.0,,,0
1486198,tqa,falcon-7b,tqa/87,0.0,1.0,,,0
1486199,tqa,falcon-7b,tqa/88,1.0,1.0,,,1
1486200,tqa,falcon-7b,tqa/89,1.0,1.0,,,1
1486201,tqa,falcon-7b,tqa/90,1.0,1.0,,,1
1486202,tqa,falcon-7b,tqa/91,0.0,1.0,,,0
1486203,tqa,falcon-7b,tqa/92,0.0,1.0,,,0
1486204,tqa,falcon-7b,tqa/93,1.0,1.0,,,1
1486205,tqa,falcon-7b,tqa/94,0.0,1.0,,,0
1486206,tqa,falcon-7b,tqa/95,1.0,1.0,,,1
1486207,tqa,falcon-7b,tqa/96,1.0,1.0,,,1
1486208,tqa,falcon-7b,tqa/97,1.0,1.0,,,1
1486209,tqa,falcon-7b,tqa/98,1.0,1.0,,,1
1486210,tqa,falcon-7b,tqa/99,1.0,1.0,,,1
1486211,tqa,falcon-7b,tqa/100,0.0,1.0,,,0
1486212,tqa,falcon-7b,tqa/101,0.0,1.0,,,0
1486213,tqa,falcon-7b,tqa/102,1.0,1.0,,,1
1486214,tqa,falcon-7b,tqa/103,1.0,1.0,,,1
1486215,tqa,falcon-7b,tqa/104,0.0,1.0,,,0
1486216,tqa,falcon-7b,tqa/105,0.0,1.0,,,0
1486217,tqa,falcon-7b,tqa/106,1.0,1.0,,,1
1486218,tqa,falcon-7b,tqa/107,1.0,1.0,,,1
1486219,tqa,falcon-7b,tqa/108,0.0,1.0,,,0
1486220,tqa,falcon-7b,tqa/109,0.0,1.0,,,0
1486221,tqa,falcon-7b,tqa/110,0.0,1.0,,,0
1486222,tqa,falcon-7b,tqa/111,0.0,1.0,,,0
1486223,tqa,falcon-7b,tqa/112,0.0,1.0,,,0
1486224,tqa,falcon-7b,tqa/113,0.0,1.0,,,0
1486225,tqa,falcon-7b,tqa/114,0.0,1.0,,,0
1486226,tqa,falcon-7b,tqa/115,0.0,1.0,,,0
1486227,tqa,falcon-7b,tqa/116,0.0,1.0,,,0
1486228,tqa,falcon-7b,tqa/117,0.0,1.0,,,0
1486229,tqa,falcon-7b,tqa/118,0.0,1.0,,,0
1486230,tqa,falcon-7b,tqa/119,0.0,1.0,,,0
1486231,tqa,falcon-7b,tqa/120,1.0,1.0,,,1
1486232,tqa,falcon-7b,tqa/121,0.0,1.0,,,0
1486233,tqa,falcon-7b,tqa/122,1.0,1.0,,,1
1486234,tqa,falcon-7b,tqa/123,0.0,1.0,,,0
1486235,tqa,falcon-7b,tqa/124,1.0,1.0,,,1
1486236,tqa,falcon-7b,tqa/125,0.0,1.0,,,0
1486237,tqa,falcon-7b,tqa/126,0.0,1.0,,,0
1486238,tqa,falcon-7b,tqa/127,0.0,1.0,,,0
1486239,tqa,falcon-7b,tqa/128,1.0,1.0,,,1
1486240,tqa,falcon-7b,tqa/129,1.0,1.0,,,1
1486241,tqa,falcon-7b,tqa/130,1.0,1.0,,,1
1486242,tqa,falcon-7b,tqa/131,0.0,1.0,,,0
1486243,tqa,falcon-7b,tqa/132,0.0,1.0,,,0
1486244,tqa,falcon-7b,tqa/133,1.0,1.0,,,1
1486245,tqa,falcon-7b,tqa/134,1.0,1.0,,,1
1486246,tqa,falcon-7b,tqa/135,0.0,1.0,,,0
1486247,tqa,falcon-7b,tqa/136,1.0,1.0,,,1
1486248,tqa,falcon-7b,tqa/137,0.0,1.0,,,0
