,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,11313.0,0.7763634756474852,0.6535843719614602,1813.0,1389.0,0.0037637530020407967,1.3222320429858925e-263,,,0.0035823629989589242,0.6426936403525744,tqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,11313.0,0.7763634756474852,0.6422699549191196,1973.0,1517.0,0.003926320571822295,4.183948916580808e-289,,,0.00371841047074154,0.6182447934325298,tqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,11313.0,0.7763634756474852,0.7702642977105985,887.0,69.0,0.002632594822210807,0.022364361883308172,,,0.0026319702217154593,0.776496758711777,tqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,11313.0,0.7763634756474852,0.7314593830106957,1164.0,508.0,0.0030157733773944983,1.3498678287098942e-51,,,0.002986076627207133,0.7287890033008017,tqa
4,Meta-Llama-3-70B,Qwen1.5-110B,11313.0,0.7763634756474852,0.7459559798461947,1052.0,344.0,0.0028670157765803687,1.3801288829277437e-26,,,0.0028527266048647315,0.747180380820716,tqa
5,Meta-Llama-3-70B,Qwen1.5-32B,11313.0,0.7763634756474852,0.6549102802086095,1908.0,1374.0,0.0038611030969400786,8.033239091265146e-241,,,0.0036883912046710866,0.6202290842031677,tqa
6,Meta-Llama-3-70B,Qwen1.5-72B,11313.0,0.7763634756474852,0.706885883496862,1400.0,786.0,0.0033073962580871044,1.6931915078352787e-103,,,0.003242249331746404,0.6904048865542342,tqa
7,Meta-Llama-3-70B,dbrx-base,11313.0,0.7763634756474852,0.781843896402369,968.0,-62.0,0.002750172224185282,0.04986796478846275,,,0.002749689500901906,0.7515159928024931,tqa
8,Meta-Llama-3-70B,deepseek-llm-67b-base,11313.0,0.7763634756474852,0.7294263236984001,1157.0,531.0,0.0030066916559170773,9.320069580048455e-57,,,0.002974130878555963,0.7317634727749092,tqa
9,Meta-Llama-3-70B,deepseek-moe-16b-base,11313.0,0.7763634756474852,0.5914434721117299,2556.0,2092.0,0.004468920590387886,0.0,,,0.004116866086022782,0.5456367257889768,tqa
10,Meta-Llama-3-70B,falcon-40b,11313.0,0.7763634756474852,0.6751524794484222,1643.0,1145.0,0.0035829520373926002,5.8743687155064185e-193,,,0.0034542825461808093,0.6609571293678927,tqa
11,Meta-Llama-3-70B,gemma-7b,11313.0,0.7763634756474852,0.6033766463360736,2411.0,1957.0,0.004340310685827249,0.0,,,0.00402407245482135,0.5635410208227833,tqa
12,Meta-Llama-3-70B,llama2_13B,11313.0,0.7763634756474852,0.6037302218686467,2523.0,1953.0,0.004439978203791871,0.0,,,0.004132683232810476,0.5388599437358976,tqa
13,Meta-Llama-3-70B,llama2_70B,11313.0,0.7763634756474852,0.686820472023336,1701.0,1013.0,0.0036456449442767223,4.99287107268508e-142,,,0.0035471100023473194,0.6374637956661486,tqa
14,Meta-Llama-3-70B,llama_13B,11313.0,0.7763634756474852,0.6355520198002298,2051.0,1593.0,0.00400317930671767,1.2984134671686244e-307,,,0.0037779336260581426,0.6078164141929554,tqa
15,Meta-Llama-3-70B,llama_33B,11313.0,0.7763634756474852,0.7071510651462919,1371.0,783.0,0.0032729618282637,4.30413437358794e-105,,,0.003207622297678833,0.6969607931431168,tqa
16,Meta-Llama-3-70B,llama_65B,11313.0,0.7763634756474852,0.733404048439848,1164.0,486.0,0.0030157733773944983,3.149244501905341e-47,,,0.002988604533492699,0.7275549371586426,tqa
17,Meta-Llama-3-70B,mpt-30b,11313.0,0.7763634756474852,0.6078847343763811,2324.0,1906.0,0.004261281991759551,0.0,,,0.00395593935941763,0.5774427269661457,tqa
18,Meta-Llama-3-8B,Meta-Llama-3-70B,11313.0,0.6535843719614602,0.7763634756474852,1813.0,-1389.0,0.0037637530020407967,1.3222320429858925e-263,,,0.0035823629989589242,0.6426936403525744,tqa
19,Meta-Llama-3-8B,Mistral-7B-v0.1,11313.0,0.6535843719614602,0.6422699549191196,1386.0,128.0,0.0032908177263301134,0.0006413285539468385,,,0.0032890979726463475,0.7317302241548527,tqa
20,Meta-Llama-3-8B,Mixtral-8x22B-v0.1,11313.0,0.6535843719614602,0.7702642977105985,1788.0,-1320.0,0.003737713163946959,7.915711223316754e-239,,,0.00357310610584774,0.6468104837206696,tqa
21,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,11313.0,0.6535843719614602,0.7314593830106957,1571.0,-881.0,0.0035035660183163463,1.1685623313642509e-115,,,0.0034262090722992225,0.6876578844777308,tqa
22,Meta-Llama-3-8B,Qwen1.5-110B,11313.0,0.6535843719614602,0.7459559798461947,1667.0,-1045.0,0.0036090260165462036,2.3452854496976785e-155,,,0.003502976840873016,0.6688701437100455,tqa
23,Meta-Llama-3-8B,Qwen1.5-14B,11313.0,0.6535843719614602,0.5399098382391938,2226.0,1286.0,0.004170467996848033,9.539991333848093e-174,,,0.0040312016109345745,0.6134734227015515,tqa
24,Meta-Llama-3-8B,Qwen1.5-32B,11313.0,0.6535843719614602,0.6549102802086095,1577.0,-15.0,0.0035102500931078902,0.7244432649623933,,,0.0035102279579578145,0.6918860407132147,tqa
25,Meta-Llama-3-8B,Qwen1.5-72B,11313.0,0.6535843719614602,0.706885883496862,1631.0,-603.0,0.003569843632336015,2.0756339408713386e-51,,,0.0035344945915317997,0.6747261668010982,tqa
26,Meta-Llama-3-8B,Qwen1.5-7B,11313.0,0.6535843719614602,0.4806859365331919,2720.0,1956.0,0.004610060924743321,0.0,,,0.004313957182112167,0.5583947959984544,tqa
27,Meta-Llama-3-8B,dbrx-base,11313.0,0.6535843719614602,0.781843896402369,1931.0,-1451.0,0.003884305231630837,2.0988835410513316e-268,,,0.003692384468328473,0.6176096825221319,tqa
28,Meta-Llama-3-8B,deepseek-llm-67b-base,11313.0,0.6535843719614602,0.7294263236984001,1516.0,-858.0,0.0034416905036562867,7.673422285806685e-114,,,0.0033670152601173063,0.6989999977321533,tqa
29,Meta-Llama-3-8B,deepseek-llm-7b-base,11313.0,0.6535843719614602,0.5443295323963582,2076.0,1236.0,0.004027503137945555,7.298030786590641e-173,,,0.0038943108935406098,0.6390447572277091,tqa
30,Meta-Llama-3-8B,deepseek-moe-16b-base,11313.0,0.6535843719614602,0.5914434721117299,1741.0,703.0,0.0036882605931273867,2.66023244718389e-65,,,0.0036416938339499006,0.6798122616740401,tqa
31,Meta-Llama-3-8B,falcon-40b,11313.0,0.6535843719614602,0.6751524794484222,1498.0,-244.0,0.0034211972916757052,3.1346722751854726e-10,,,0.0034151825066596696,0.7040627129274555,tqa
32,Meta-Llama-3-8B,falcon-7b,11313.0,0.6535843719614602,0.5216123044285336,2209.0,1493.0,0.004154512507734465,7.082192447390455e-242,,,0.003964902384637406,0.6270720746318748,tqa
33,Meta-Llama-3-8B,gemma-7b,11313.0,0.6535843719614602,0.6033766463360736,1742.0,568.0,0.003689319677310918,8.960373811713304e-43,,,0.0036589964460052894,0.6750429069604701,tqa
34,Meta-Llama-3-8B,llama2_07B,11313.0,0.6535843719614602,0.5262087863519844,2305.0,1441.0,0.004243827060605605,6.807511506819631e-213,,,0.004071353343099382,0.606518767901795,tqa
35,Meta-Llama-3-8B,llama2_13B,11313.0,0.6535843719614602,0.6037302218686467,1874.0,564.0,0.003826546596289819,3.0445606320773226e-39,,,0.0037977310975571004,0.6498460403940716,tqa
36,Meta-Llama-3-8B,llama2_70B,11313.0,0.6535843719614602,0.686820472023336,1792.0,-376.0,0.0037418917154630467,6.057668324865763e-19,,,0.0037288215748761864,0.6439404363327098,tqa
37,Meta-Llama-3-8B,llama_07B,11313.0,0.6535843719614602,0.5635110050384513,1919.0,1019.0,0.0038722171154971286,1.0849579573676042e-125,,,0.003778479472829067,0.6586464847523315,tqa
38,Meta-Llama-3-8B,llama_13B,11313.0,0.6535843719614602,0.6355520198002298,1564.0,204.0,0.003495751778181771,2.746638725457457e-07,,,0.0034916382735916836,0.6989282984135602,tqa
39,Meta-Llama-3-8B,llama_33B,11313.0,0.6535843719614602,0.7071510651462919,1500.0,-606.0,0.0034234803732055307,1.5128430387070126e-56,,,0.0033862340862197567,0.7014553560625577,tqa
40,Meta-Llama-3-8B,llama_65B,11313.0,0.6535843719614602,0.733404048439848,1661.0,-903.0,0.0036025252138804616,1.6864985953612915e-114,,,0.003523494644478534,0.6689207883066661,tqa
41,Meta-Llama-3-8B,mpt-30b,11313.0,0.6535843719614602,0.6078847343763811,1659.0,517.0,0.0036003556712483516,2.298286077386951e-37,,,0.003574626434537685,0.6892005322657306,tqa
