,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,instance_NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac-vnan,,0,[],0.0,0.0,,instance_NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac-vnan
1,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,0.22845417236662108,47,"['cwm-baseline-30' 'cwm-baseline-60' 'cwm-baseline-160' 'cwm-baseline-210'
 'cwm-baseline-220' 'cwm-baseline-240' 'cwm-baseline-250'
 'cwm-baseline-280' 'cwm-baseline-330' 'cwm-baseline-360'
 'cwm-selfplay-130' 'cwm-baseline_10-59' 'cwm-baseline_20-69'
 'cwm-baseline_30-79' 'cwm-baseline_40-89' 'cwm-baseline_50-99'
 'cwm-baseline_60-109' 'cwm-selfplay_90-139' 'cwm-selfplay_100-149'
 'cwm-selfplay_110-159' 'cwm-baseline_120-169' 'cwm-selfplay_120-169'
 'cwm-baseline_130-179' 'cwm-selfplay_130-179' 'cwm-baseline_140-189'
 'cwm-baseline_150-199' 'cwm-baseline_160-209' 'cwm-baseline_170-219'
 'cwm-baseline_180-229' 'cwm-baseline_190-239' 'cwm-baseline_200-249'
 'cwm-baseline_210-259' 'cwm-baseline_220-269' 'cwm-baseline_230-279'
 'cwm-baseline_240-289' 'cwm-baseline_250-299' 'cwm-baseline_260-309'
 'cwm-baseline_270-319' 'cwm-baseline_280-329' 'cwm-baseline_290-339'
 'cwm-baseline_300-349' 'cwm-baseline_310-359' 'cwm-baseline_320-369'
 'cwm-baseline_330-379' 'cwm-baseline_340-389' 'cwm-baseline_350-399'
 'cwm-baseline_360-409']",0.144,0.31333333333333335,0.11192888182056157,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan
2,instance_NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,0.22845417236662108,108,"['cwm-baseline-30' 'cwm-baseline-40' 'cwm-baseline-50' 'cwm-baseline-60'
 'cwm-baseline-110' 'cwm-baseline-130' 'cwm-baseline-140'
 'cwm-baseline-150' 'cwm-baseline-160' 'cwm-baseline-170'
 'cwm-baseline-200' 'cwm-baseline-220' 'cwm-baseline-230'
 'cwm-baseline-250' 'cwm-baseline-260' 'cwm-baseline-280'
 'cwm-baseline-320' 'cwm-baseline-370' 'cwm-baseline-390'
 'cwm-baseline-400' 'cwm-selfplay-30' 'cwm-selfplay-40' 'cwm-selfplay-60'
 'cwm-selfplay-70' 'cwm-selfplay-90' 'cwm-selfplay-140' 'cwm-selfplay-150'
 'cwm-selfplay-160' 'cwm-selfplay-200' 'cwm-selfplay-220'
 'cwm-selfplay-260' 'cwm-selfplay-280' 'cwm-selfplay-300'
 'cwm-selfplay-310' 'cwm-selfplay-340' 'cwm-selfplay-370'
 'cwm-baseline_10-59' 'cwm-selfplay_10-59' 'cwm-baseline_20-69'
 'cwm-selfplay_20-69' 'cwm-baseline_30-79' 'cwm-selfplay_30-79'
 'cwm-baseline_40-89' 'cwm-selfplay_40-89' 'cwm-baseline_50-99'
 'cwm-selfplay_50-99' 'cwm-baseline_60-109' 'cwm-selfplay_60-109'
 'cwm-baseline_70-119' 'cwm-selfplay_70-119' 'cwm-baseline_80-129'
 'cwm-selfplay_80-129' 'cwm-baseline_90-139' 'cwm-selfplay_90-139'
 'cwm-baseline_100-149' 'cwm-selfplay_100-149' 'cwm-baseline_110-159'
 'cwm-selfplay_110-159' 'cwm-baseline_120-169' 'cwm-selfplay_120-169'
 'cwm-baseline_130-179' 'cwm-selfplay_130-179' 'cwm-baseline_140-189'
 'cwm-selfplay_140-189' 'cwm-baseline_150-199' 'cwm-selfplay_150-199'
 'cwm-baseline_160-209' 'cwm-selfplay_160-209' 'cwm-baseline_170-219'
 'cwm-selfplay_170-219' 'cwm-baseline_180-229' 'cwm-selfplay_180-229'
 'cwm-baseline_190-239' 'cwm-selfplay_190-239' 'cwm-baseline_200-249'
 'cwm-selfplay_200-249' 'cwm-baseline_210-259' 'cwm-selfplay_210-259'
 'cwm-baseline_220-269' 'cwm-selfplay_220-269' 'cwm-baseline_230-279'
 'cwm-selfplay_230-279' 'cwm-baseline_240-289' 'cwm-selfplay_240-289'
 'cwm-baseline_250-299' 'cwm-selfplay_250-299' 'cwm-baseline_260-309'
 'cwm-selfplay_260-309' 'cwm-baseline_270-319' 'cwm-selfplay_270-319'
 'cwm-baseline_280-329' 'cwm-selfplay_280-329' 'cwm-baseline_290-339'
 'cwm-selfplay_290-339' 'cwm-baseline_300-349' 'cwm-selfplay_300-349'
 'cwm-baseline_310-359' 'cwm-selfplay_310-359' 'cwm-baseline_320-369'
 'cwm-selfplay_320-369' 'cwm-baseline_330-379' 'cwm-selfplay_330-379'
 'cwm-baseline_340-389' 'cwm-selfplay_340-389' 'cwm-baseline_350-399'
 'cwm-selfplay_350-399' 'cwm-baseline_360-409' 'cwm-selfplay_360-409']",0.46300000000000013,0.72,0.05736958680955293,instance_NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e
3,instance_NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,0.22845417236662108,31,"['cwm-baseline-40' 'cwm-baseline-110' 'cwm-baseline-400' 'cwm-selfplay-70'
 'cwm-selfplay-140' 'cwm-selfplay-220' 'cwm-baseline_10-59'
 'cwm-baseline_20-69' 'cwm-baseline_30-79' 'cwm-selfplay_30-79'
 'cwm-baseline_40-89' 'cwm-selfplay_40-89' 'cwm-selfplay_50-99'
 'cwm-selfplay_60-109' 'cwm-baseline_70-119' 'cwm-selfplay_70-119'
 'cwm-baseline_80-129' 'cwm-baseline_90-139' 'cwm-baseline_100-149'
 'cwm-selfplay_100-149' 'cwm-baseline_110-159' 'cwm-selfplay_110-159'
 'cwm-selfplay_120-169' 'cwm-selfplay_130-179' 'cwm-selfplay_140-189'
 'cwm-selfplay_180-229' 'cwm-selfplay_190-239' 'cwm-selfplay_200-249'
 'cwm-selfplay_210-259' 'cwm-selfplay_220-269' 'cwm-baseline_360-409']",0.07433333333333335,0.20666666666666667,-0.06921272089306478,instance_NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e
4,instance_NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,0.23392612859097128,37,"['cwm-baseline-300' 'cwm-baseline-340' 'cwm-selfplay-20'
 'cwm-selfplay-170' 'cwm-selfplay-180' 'cwm-selfplay-200'
 'cwm-selfplay-270' 'cwm-selfplay-360' 'cwm-selfplay_10-59'
 'cwm-selfplay_20-69' 'cwm-selfplay_130-179' 'cwm-selfplay_140-189'
 'cwm-selfplay_150-199' 'cwm-selfplay_160-209' 'cwm-selfplay_170-219'
 'cwm-selfplay_180-229' 'cwm-selfplay_190-239' 'cwm-selfplay_200-249'
 'cwm-selfplay_230-279' 'cwm-selfplay_240-289' 'cwm-selfplay_250-299'
 'cwm-baseline_260-309' 'cwm-selfplay_260-309' 'cwm-baseline_270-319'
 'cwm-selfplay_270-319' 'cwm-baseline_280-329' 'cwm-baseline_290-339'
 'cwm-baseline_300-349' 'cwm-baseline_310-359' 'cwm-baseline_320-369'
 'cwm-selfplay_320-369' 'cwm-baseline_330-379' 'cwm-selfplay_330-379'
 'cwm-baseline_340-389' 'cwm-selfplay_340-389' 'cwm-selfplay_350-399'
 'cwm-selfplay_360-409']",0.104,0.24666666666666667,0.10527652026722137,instance_NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e
5,instance_NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,0.26757865937072506,6,"['cwm-selfplay-320' 'cwm-selfplay_280-329' 'cwm-selfplay_290-339'
 'cwm-selfplay_300-349' 'cwm-selfplay_310-359' 'cwm-selfplay_320-369']",0.013333333333333334,0.04,-0.017412812220684533,instance_NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e
6,instance_NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc-v0ec6d6c2baf3cb4797482ce4829bc25cd5716649,0.25718194254445964,53,"['cwm-baseline-130' 'cwm-baseline-200' 'cwm-baseline-320'
 'cwm-baseline-350' 'cwm-baseline-380' 'cwm-selfplay-120'
 'cwm-selfplay-190' 'cwm-selfplay-200' 'cwm-selfplay-210'
 'cwm-selfplay-290' 'cwm-selfplay-310' 'cwm-selfplay-380'
 'cwm-selfplay_80-129' 'cwm-baseline_90-139' 'cwm-selfplay_90-139'
 'cwm-baseline_100-149' 'cwm-selfplay_100-149' 'cwm-baseline_110-159'
 'cwm-selfplay_110-159' 'cwm-baseline_120-169' 'cwm-selfplay_120-169'
 'cwm-baseline_130-179' 'cwm-selfplay_150-199' 'cwm-baseline_160-209'
 'cwm-selfplay_160-209' 'cwm-baseline_170-219' 'cwm-selfplay_170-219'
 'cwm-baseline_180-229' 'cwm-selfplay_180-229' 'cwm-baseline_190-239'
 'cwm-selfplay_190-239' 'cwm-baseline_200-249' 'cwm-selfplay_200-249'
 'cwm-selfplay_210-259' 'cwm-selfplay_250-299' 'cwm-selfplay_260-309'
 'cwm-selfplay_270-319' 'cwm-baseline_280-329' 'cwm-selfplay_280-329'
 'cwm-baseline_290-339' 'cwm-selfplay_290-339' 'cwm-baseline_300-349'
 'cwm-selfplay_300-349' 'cwm-baseline_310-359' 'cwm-selfplay_310-359'
 'cwm-baseline_320-369' 'cwm-baseline_330-379' 'cwm-baseline_340-389'
 'cwm-selfplay_340-389' 'cwm-baseline_350-399' 'cwm-selfplay_350-399'
 'cwm-baseline_360-409' 'cwm-selfplay_360-409']",0.156,0.35333333333333333,0.1505587010418615,instance_NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc-v0ec6d6c2baf3cb4797482ce4829bc25cd5716649
7,instance_NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67e860612b91825407c,,0,[],0.0,0.0,,instance_NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67e860612b91825407c
8,instance_NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11-vd59a5728dfc977f44533186ace531248c2917516,0.22024623803009577,67,"['cwm-baseline-20' 'cwm-baseline-100' 'cwm-baseline-140'
 'cwm-baseline-190' 'cwm-baseline-240' 'cwm-baseline-340'
 'cwm-baseline-360' 'cwm-selfplay-60' 'cwm-selfplay-120'
 'cwm-selfplay-150' 'cwm-selfplay-270' 'cwm-selfplay-300'
 'cwm-selfplay-350' 'cwm-baseline_10-59' 'cwm-baseline_20-69'
 'cwm-selfplay_20-69' 'cwm-selfplay_30-79' 'cwm-selfplay_40-89'
 'cwm-selfplay_50-99' 'cwm-baseline_60-109' 'cwm-selfplay_60-109'
 'cwm-baseline_70-119' 'cwm-baseline_80-129' 'cwm-selfplay_80-129'
 'cwm-baseline_90-139' 'cwm-selfplay_90-139' 'cwm-baseline_100-149'
 'cwm-selfplay_100-149' 'cwm-baseline_110-159' 'cwm-selfplay_110-159'
 'cwm-baseline_120-169' 'cwm-selfplay_120-169' 'cwm-baseline_130-179'
 'cwm-selfplay_130-179' 'cwm-baseline_140-189' 'cwm-selfplay_140-189'
 'cwm-baseline_150-199' 'cwm-selfplay_150-199' 'cwm-baseline_160-209'
 'cwm-baseline_170-219' 'cwm-baseline_180-229' 'cwm-baseline_190-239'
 'cwm-baseline_200-249' 'cwm-baseline_210-259' 'cwm-baseline_220-269'
 'cwm-baseline_230-279' 'cwm-selfplay_230-279' 'cwm-baseline_240-289'
 'cwm-selfplay_240-289' 'cwm-selfplay_250-299' 'cwm-selfplay_260-309'
 'cwm-selfplay_270-319' 'cwm-selfplay_280-329' 'cwm-selfplay_290-339'
 'cwm-baseline_300-349' 'cwm-selfplay_300-349' 'cwm-baseline_310-359'
 'cwm-selfplay_310-359' 'cwm-baseline_320-369' 'cwm-selfplay_320-369'
 'cwm-baseline_330-379' 'cwm-selfplay_330-379' 'cwm-baseline_340-389'
 'cwm-selfplay_340-389' 'cwm-baseline_350-399' 'cwm-selfplay_350-399'
 'cwm-baseline_360-409']",0.16999999999999998,0.44666666666666666,0.14785734695012245,instance_NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11-vd59a5728dfc977f44533186ace531248c2917516
9,instance_NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,0.20930232558139536,132,"['cwm-baseline-10' 'cwm-baseline-20' 'cwm-baseline-30' 'cwm-baseline-40'
 'cwm-baseline-50' 'cwm-baseline-60' 'cwm-baseline-70' 'cwm-baseline-80'
 'cwm-baseline-90' 'cwm-baseline-100' 'cwm-baseline-110'
 'cwm-baseline-120' 'cwm-baseline-130' 'cwm-baseline-140'
 'cwm-baseline-160' 'cwm-baseline-180' 'cwm-baseline-200'
 'cwm-baseline-210' 'cwm-baseline-220' 'cwm-baseline-230'
 'cwm-baseline-250' 'cwm-baseline-260' 'cwm-baseline-270'
 'cwm-baseline-280' 'cwm-baseline-300' 'cwm-baseline-310'
 'cwm-baseline-330' 'cwm-baseline-340' 'cwm-baseline-350'
 'cwm-baseline-360' 'cwm-baseline-370' 'cwm-baseline-380'
 'cwm-baseline-390' 'cwm-baseline-400' 'cwm-selfplay-20' 'cwm-selfplay-30'
 'cwm-selfplay-50' 'cwm-selfplay-60' 'cwm-selfplay-70' 'cwm-selfplay-80'
 'cwm-selfplay-90' 'cwm-selfplay-100' 'cwm-selfplay-120'
 'cwm-selfplay-130' 'cwm-selfplay-170' 'cwm-selfplay-180'
 'cwm-selfplay-190' 'cwm-selfplay-200' 'cwm-selfplay-210'
 'cwm-selfplay-220' 'cwm-selfplay-230' 'cwm-selfplay-260'
 'cwm-selfplay-270' 'cwm-selfplay-290' 'cwm-selfplay-300'
 'cwm-selfplay-320' 'cwm-selfplay-330' 'cwm-selfplay-350'
 'cwm-selfplay-360' 'cwm-selfplay-370' 'cwm-baseline_10-59'
 'cwm-selfplay_10-59' 'cwm-baseline_20-69' 'cwm-selfplay_20-69'
 'cwm-baseline_30-79' 'cwm-selfplay_30-79' 'cwm-baseline_40-89'
 'cwm-selfplay_40-89' 'cwm-baseline_50-99' 'cwm-selfplay_50-99'
 'cwm-baseline_60-109' 'cwm-selfplay_60-109' 'cwm-baseline_70-119'
 'cwm-selfplay_70-119' 'cwm-baseline_80-129' 'cwm-selfplay_80-129'
 'cwm-baseline_90-139' 'cwm-selfplay_90-139' 'cwm-baseline_100-149'
 'cwm-selfplay_100-149' 'cwm-baseline_110-159' 'cwm-selfplay_110-159'
 'cwm-baseline_120-169' 'cwm-selfplay_120-169' 'cwm-baseline_130-179'
 'cwm-selfplay_130-179' 'cwm-baseline_140-189' 'cwm-selfplay_140-189'
 'cwm-baseline_150-199' 'cwm-selfplay_150-199' 'cwm-baseline_160-209'
 'cwm-selfplay_160-209' 'cwm-baseline_170-219' 'cwm-selfplay_170-219'
 'cwm-baseline_180-229' 'cwm-selfplay_180-229' 'cwm-baseline_190-239'
 'cwm-selfplay_190-239' 'cwm-baseline_200-249' 'cwm-selfplay_200-249'
 'cwm-baseline_210-259' 'cwm-selfplay_210-259' 'cwm-baseline_220-269'
 'cwm-selfplay_220-269' 'cwm-baseline_230-279' 'cwm-selfplay_230-279'
 'cwm-baseline_240-289' 'cwm-selfplay_240-289' 'cwm-baseline_250-299'
 'cwm-selfplay_250-299' 'cwm-baseline_260-309' 'cwm-selfplay_260-309'
 'cwm-baseline_270-319' 'cwm-selfplay_270-319' 'cwm-baseline_280-329'
 'cwm-selfplay_280-329' 'cwm-baseline_290-339' 'cwm-selfplay_290-339'
 'cwm-baseline_300-349' 'cwm-selfplay_300-349' 'cwm-baseline_310-359'
 'cwm-selfplay_310-359' 'cwm-baseline_320-369' 'cwm-selfplay_320-369'
 'cwm-baseline_330-379' 'cwm-selfplay_330-379' 'cwm-baseline_340-389'
 'cwm-selfplay_340-389' 'cwm-baseline_350-399' 'cwm-selfplay_350-399'
 'cwm-baseline_360-409' 'cwm-selfplay_360-409']",0.771,0.88,-0.13854112401097313,instance_NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed
