,model,step,example_id,pass1,benchmark_id,model_pref,correct,count,step_group_end
0,cwm-baseline-10,10,django__django-16032,0.0,swebench-verified,cwm-baseline,0,1,
1,cwm-baseline-10,10,scikit-learn__scikit-learn-14894,1.0,swebench-verified,cwm-baseline,1,1,
2,cwm-baseline-10,10,sympy__sympy-13877,0.0,swebench-verified,cwm-baseline,0,1,
3,cwm-baseline-10,10,pytest-dev__pytest-10051,0.0,swebench-verified,cwm-baseline,0,1,
4,cwm-baseline-10,10,django__django-14787,1.0,swebench-verified,cwm-baseline,1,1,
5,cwm-baseline-10,10,scikit-learn__scikit-learn-14710,1.0,swebench-verified,cwm-baseline,1,1,
6,cwm-baseline-10,10,astropy__astropy-8872,0.0,swebench-verified,cwm-baseline,0,1,
7,cwm-baseline-10,10,django__django-16569,1.0,swebench-verified,cwm-baseline,1,1,
8,cwm-baseline-10,10,django__django-11119,1.0,swebench-verified,cwm-baseline,1,1,
9,cwm-baseline-10,10,sympy__sympy-18763,1.0,swebench-verified,cwm-baseline,1,1,
10,cwm-baseline-10,10,sympy__sympy-24066,1.0,swebench-verified,cwm-baseline,1,1,
11,cwm-baseline-10,10,django__django-15103,0.0,swebench-verified,cwm-baseline,0,1,
12,cwm-baseline-10,10,django__django-16527,1.0,swebench-verified,cwm-baseline,1,1,
13,cwm-baseline-10,10,pylint-dev__pylint-7277,1.0,swebench-verified,cwm-baseline,1,1,
14,cwm-baseline-10,10,django__django-10999,0.0,swebench-verified,cwm-baseline,0,1,
15,cwm-baseline-10,10,scikit-learn__scikit-learn-10297,1.0,swebench-verified,cwm-baseline,1,1,
16,cwm-baseline-10,10,django__django-14559,1.0,swebench-verified,cwm-baseline,1,1,
17,cwm-baseline-10,10,django__django-14089,1.0,swebench-verified,cwm-baseline,1,1,
18,cwm-baseline-10,10,pytest-dev__pytest-7205,1.0,swebench-verified,cwm-baseline,1,1,
19,cwm-baseline-10,10,sphinx-doc__sphinx-10614,0.0,swebench-verified,cwm-baseline,0,1,
20,cwm-baseline-10,10,astropy__astropy-7606,1.0,swebench-verified,cwm-baseline,1,1,
21,cwm-baseline-10,10,astropy__astropy-13236,0.0,swebench-verified,cwm-baseline,0,1,
22,cwm-baseline-10,10,pydata__xarray-4629,1.0,swebench-verified,cwm-baseline,1,1,
