,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
34,cwm-baseline-400,0.31053351573187415,0.1071319053608645,1.0,0.01711402379083813,,
31,cwm-baseline-380,0.3023255813953488,0.09983703486076809,1.0,0.016986549125790406,,
13,cwm-baseline-210,0.2954856361149111,0.0973117637877689,1.0,0.016875413556858895,,
95,cwm-selfplay-280,0.2954856361149111,0.0987940579696839,1.0,0.016875413556858895,,
69,cwm-baseline_360-409,0.29466484268125853,0.09473471111559967,5.0,0.01686177300107935,0.013208654646112063,0.010480974724693818
30,cwm-baseline-370,0.29411764705882354,0.09164149505595902,1.0,0.01685264278200603,,
27,cwm-baseline-340,0.292749658002736,0.0951766909354658,1.0,0.016829689084103785,,
79,cwm-selfplay-120,0.29001367989056087,0.09429300672977166,1.0,0.016783229911058954,,
67,cwm-baseline_340-389,0.2897400820793434,0.09111376343888578,5.0,0.01677854335110621,0.013208927923629633,0.010346194473974848
14,cwm-baseline-220,0.28864569083447333,0.09241133319255594,1.0,0.01675972290634973,,
82,cwm-selfplay-150,0.28864569083447333,0.09126001891313729,1.0,0.01675972290634973,,
68,cwm-baseline_350-399,0.28809849521203834,0.09001221090902414,5.0,0.016750268073424886,0.013286157116729045,0.010200466146269356
94,cwm-selfplay-270,0.2872777017783858,0.0942695948365299,1.0,0.016736029919147574,,
90,cwm-selfplay-220,0.2859097127222982,0.08606349672692552,1.0,0.016712150158444634,,
19,cwm-baseline-270,0.2859097127222982,0.08682966240968058,1.0,0.016712150158444634,,
117,cwm-selfplay_120-169,0.2856361149110807,0.08986219116958474,5.0,0.016707351723118147,0.013025323383003716,0.010463104337057697
66,cwm-baseline_330-379,0.2848153214774282,0.08789072613593588,5.0,0.016692911334526085,0.013135647900192414,0.01030087583968082
32,cwm-baseline-390,0.28454172366621067,0.08961016902468807,1.0,0.016688082822452027,,
83,cwm-selfplay-160,0.28454172366621067,0.08676539446744828,1.0,0.016688082822452027,,
81,cwm-selfplay-140,0.28454172366621067,0.09089598692606432,1.0,0.016688082822452027,,
93,cwm-selfplay-260,0.28454172366621067,0.08812741578604284,1.0,0.016688082822452027,,
130,cwm-selfplay_240-289,0.28385772913816687,0.09080440510838331,4.0,0.016675978560174044,0.012545251859798469,0.010986578935847476
112,cwm-selfplay-80,0.28317373461012313,0.08475748032941911,1.0,0.016663827098432553,,
85,cwm-selfplay-180,0.28317373461012313,0.08535654936237021,1.0,0.016663827098432553,,
25,cwm-baseline-320,0.28317373461012313,0.08917773758481072,1.0,0.016663827098432553,,
8,cwm-baseline-170,0.28317373461012313,0.08642844682745894,1.0,0.016663827098432553,,
119,cwm-selfplay_140-189,0.28290013679890563,0.08692046383092024,5.0,0.016658953274763716,0.013227559482218697,0.010126815607836797
65,cwm-baseline_320-369,0.2826265389876881,0.08738622278941231,5.0,0.016654071876010958,0.012971346749458925,0.010445203375551888
53,cwm-baseline_210-259,0.28235294117647064,0.08846188451968895,5.0,0.016649182895511427,0.012841793006962528,0.01059639766404218
118,cwm-selfplay_130-179,0.2823529411764706,0.08748638896794866,5.0,0.016649182895511427,0.013101475727601945,0.010273588703430142
29,cwm-baseline-360,0.2818057455540356,0.08760868168088212,1.0,0.016639382162529682,,
116,cwm-selfplay_110-159,0.28071135430916555,0.08746600684912642,5.0,0.016619689420414138,0.012876405827484713,0.010507723321297686
64,cwm-baseline_310-359,0.2807113543091655,0.08619515419715569,5.0,0.016619689420414134,0.013028114006063596,0.010319027176824137
120,cwm-selfplay_150-199,0.280437756497948,0.08526354446882546,5.0,0.016614747179592774,0.013129150507634298,0.010182103456048369
52,cwm-baseline_200-249,0.280437756497948,0.08670342180886714,5.0,0.016614747179592774,0.012811731311527828,0.01057872225946988
80,cwm-selfplay-130,0.280437756497948,0.08824493430898189,1.0,0.016614747179592774,,
4,cwm-baseline-130,0.280437756497948,0.08114975348653587,1.0,0.016614747179592774,,
50,cwm-baseline_190-239,0.2801641586867305,0.08650501749006143,5.0,0.01660979730306241,0.012907205487107632,0.010454157687848317
131,cwm-selfplay_250-299,0.279890560875513,0.08809372102204391,5.0,0.01660483978399447,0.01262220241760293,0.010788916089264217
100,cwm-selfplay-320,0.27906976744186046,0.08965423847079021,1.0,0.016589921302998408,,
15,cwm-baseline-230,0.27906976744186046,0.08715421551795371,1.0,0.016589921302998408,,
21,cwm-baseline-290,0.27906976744186046,0.08471524711023788,1.0,0.016589921302998408,,
5,cwm-baseline-140,0.27906976744186046,0.08740302426573876,1.0,0.016589921302998408,,
132,cwm-selfplay_260-309,0.27879616963064296,0.08741753045841405,5.0,0.016584933145119326,0.01275104797919769,0.010605224319187036
108,cwm-selfplay-40,0.2777017783857729,0.0824158319485122,1.0,0.016564903674467713,,
28,cwm-baseline-350,0.2777017783857729,0.08340555825888964,1.0,0.016564903674467713,,
26,cwm-baseline-330,0.2777017783857729,0.08370348607680937,1.0,0.016564903674467713,,
133,cwm-selfplay_270-319,0.2771545827633379,0.08670479897905782,5.0,0.016554842738008377,0.0127486364858639,0.010561017272568416
63,cwm-baseline_300-349,0.2771545827633379,0.08412783811823465,5.0,0.016554842738008377,0.012872804750580905,0.01040930909972465
121,cwm-selfplay_160-209,0.2766073871409029,0.08373038680120089,5.0,0.016544750925930395,0.012975719546891596,0.010264476871301817
115,cwm-selfplay_100-149,0.2766073871409029,0.08559957399535435,5.0,0.016544750925930395,0.012713468415515633,0.010587563650281448
110,cwm-selfplay-60,0.2763337893296854,0.0804359202710271,1.0,0.01653969342387962,,
20,cwm-baseline-280,0.2763337893296854,0.08719139911310239,1.0,0.01653969342387962,,
129,cwm-selfplay_230-279,0.2763337893296854,0.08606441484038597,4.0,0.01653969342387962,0.012476523270874871,0.010858076515996951
16,cwm-baseline-240,0.2763337893296854,0.08486306337737218,1.0,0.01653969342387962,,
105,cwm-selfplay-370,0.2763337893296854,0.08321826311295549,1.0,0.01653969342387962,,
99,cwm-selfplay-310,0.2763337893296854,0.08454539612005252,1.0,0.01653969342387962,,
128,cwm-selfplay_220-269,0.2759917920656635,0.08404559810501382,4.0,0.01653336066092585,0.0128196455056483,0.010440723339585326
49,cwm-baseline_180-229,0.27578659370725034,0.08342796022732489,5.0,0.01652955519227451,0.012883916925973404,0.01035523440097158
134,cwm-selfplay_280-329,0.27551299589603284,0.085783931178215,5.0,0.016524474448469446,0.01273124456539516,0.01053440399900326
10,cwm-baseline-190,0.2749658002735978,0.08381962742955774,1.0,0.016514289669079887,,
148,cwm-selfplay_80-129,0.2746922024623803,0.08269475481780039,5.0,0.016509185619126322,0.012908613641596251,0.010291788166240233
48,cwm-baseline_170-219,0.2746922024623803,0.08223578989891571,5.0,0.016509185619126322,0.01290136298002065,0.01030087583968082
59,cwm-baseline_270-319,0.2746922024623803,0.08228261368539924,5.0,0.016509185619126322,0.013002504313510254,0.010172909681301344
61,cwm-baseline_290-339,0.2744186046511628,0.08203922180703092,5.0,0.016504073786054427,0.012843925904127059,0.010364266443160498
123,cwm-selfplay_180-229,0.2741450068399453,0.0818623013432,5.0,0.016498954162629916,0.012859194678245325,0.010337146641484302
149,cwm-selfplay_90-139,0.2741450068399453,0.08338049376141903,5.0,0.016498954162629916,0.012778902703662786,0.010436241380443585
60,cwm-baseline_280-329,0.2741450068399453,0.08274047686813137,5.0,0.016498954162629916,0.012873739417299388,0.010319027176824137
54,cwm-baseline_220-269,0.27387140902872775,0.08289591347698749,5.0,0.016493826741598508,0.012838046622551457,0.01035523440097158
107,cwm-selfplay-390,0.27359781121751026,0.08797684517852716,1.0,0.01648869151568583,,
84,cwm-selfplay-170,0.27359781121751026,0.08233687419091251,1.0,0.01648869151568583,,
55,cwm-baseline_230-279,0.27332421340629276,0.081784720755791,5.0,0.016483548477597365,0.012875809363086264,0.010291788166240233
57,cwm-baseline_250-299,0.2733242134062927,0.08177948750906637,5.0,0.016483548477597365,0.013041881501032094,0.010080510767135726
44,cwm-baseline_130-179,0.27305061559507526,0.08151286736014836,5.0,0.01647839762001839,0.012927250276478964,0.010218795839662434
56,cwm-baseline_240-289,0.2727770177838577,0.08179729891019932,5.0,0.0164732389356139,0.01291342995533588,0.010227948367999312
24,cwm-baseline-310,0.2722298221614227,0.08160192436581312,1.0,0.01646289805688659,,
86,cwm-selfplay-190,0.2722298221614227,0.08263342483864156,1.0,0.01646289805688659,,
113,cwm-selfplay-90,0.2722298221614227,0.0797381540410764,1.0,0.01646289805688659,,
17,cwm-baseline-250,0.2722298221614227,0.08277251902790146,1.0,0.01646289805688659,,
144,cwm-selfplay_40-89,0.2719562243502052,0.07877532845509048,5.0,0.01645771584779178,0.012937090845423561,0.010172909681301344
122,cwm-selfplay_170-219,0.27168262653898767,0.08112358725291272,5.0,0.01645252578232734,0.012865195629387587,0.0102553569433605
145,cwm-selfplay_50-99,0.2708618331053352,0.07825007574436049,5.0,0.016436908373238867,0.01301168002861048,0.010043313183571902
58,cwm-baseline_260-309,0.2708618331053352,0.07983510682250113,5.0,0.016436908373238867,0.012874322058172528,0.010218795839662434
