,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
99,cwm-selfplay-310,0.53,0.11463557046979866,1.0,0.022320394261750844,,
88,cwm-selfplay-200,0.528,0.11894362416107382,1.0,0.02232559069767248,,
82,cwm-selfplay-150,0.514,0.10717583892617451,1.0,0.022351912669836556,,
113,cwm-selfplay-90,0.51,0.10686375838926175,1.0,0.022356207191739835,,
83,cwm-selfplay-160,0.51,0.10211677852348994,1.0,0.022356207191739835,,
121,cwm-selfplay_160-209,0.5075999999999999,0.10321543624161074,5.0,0.022358096520052866,0.01790766539781219,0.013386560424545207
122,cwm-selfplay_170-219,0.5064,0.10320832214765101,5.0,0.022358847913074593,0.01790860351897936,0.01338656042454521
92,cwm-selfplay-250,0.506,0.1001006711409396,1.0,0.02235906974809104,,
77,cwm-selfplay-100,0.506,0.09597516778523489,1.0,0.02235906974809104,,
79,cwm-selfplay-120,0.506,0.10123355704697987,1.0,0.02235906974809104,,
85,cwm-selfplay-180,0.506,0.10486979865771813,1.0,0.02235906974809104,,
81,cwm-selfplay-140,0.506,0.0988214765100671,1.0,0.02235906974809104,,
117,cwm-selfplay_120-169,0.5055999999999999,0.10130899328859061,5.0,0.022359277269178447,0.017931460620931025,0.013356646285651199
119,cwm-selfplay_140-189,0.5052000000000001,0.10128778523489934,5.0,0.022359470476735355,0.01779735710716622,0.013535139452550905
120,cwm-selfplay_150-199,0.5047999999999999,0.10085973154362417,5.0,0.022359649371132814,0.017887255798472834,0.013416407864998738
123,cwm-selfplay_180-229,0.5047999999999999,0.10070939597315437,5.0,0.022359649371132814,0.018054193972592628,0.013190905958272919
86,cwm-selfplay-190,0.504,0.09663825503355705,1.0,0.022359964221796064,,
89,cwm-selfplay-210,0.504,0.10208120805369128,1.0,0.022359964221796064,,
116,cwm-selfplay_110-159,0.5032000000000001,0.10043785234899329,5.0,0.022360221823586636,0.017910318813466164,0.013386560424545207
118,cwm-selfplay_130-179,0.5024000000000001,0.10023114093959731,5.0,0.022360422178483125,0.01778731233210909,0.013549907748763457
149,cwm-selfplay_90-139,0.5024,0.09981369127516779,5.0,0.022360422178483125,0.017988565256851365,0.013281566172707194
111,cwm-selfplay-70,0.502,0.09812953020134228,1.0,0.02236050088884415,,
94,cwm-selfplay-270,0.502,0.09715637583892617,1.0,0.02236050088884415,,
93,cwm-selfplay-260,0.502,0.09738456375838926,1.0,0.02236050088884415,,
115,cwm-selfplay_100-149,0.5015999999999999,0.09821489932885906,5.0,0.02236056528802436,0.018088528961748104,0.013145341380123987
137,cwm-selfplay_300-349,0.5004000000000001,0.09947691275167785,5.0,0.022360672619579223,0.017966626839782698,0.013311649033834989
107,cwm-selfplay-390,0.5,0.09905973154362416,1.0,0.022360679774997897,,
100,cwm-selfplay-320,0.5,0.09778724832214765,1.0,0.022360679774997897,,
101,cwm-selfplay-330,0.5,0.09708255033557046,1.0,0.022360679774997897,,
124,cwm-selfplay_190-239,0.5,0.09693476510067114,5.0,0.022360679774997897,0.01818790807102345,0.013007690033207281
126,cwm-selfplay_200-249,0.499,0.09714211409395973,4.0,0.022360635053593626,0.018092300388102483,0.013140268896284682
148,cwm-selfplay_80-129,0.49839999999999995,0.09632832214765101,5.0,0.02236056528802436,0.018132701949792263,0.013084341787036899
129,cwm-selfplay_230-279,0.498,0.09472567114093959,4.0,0.02236050088884415,0.018275448010924383,0.012884098726725125
78,cwm-selfplay-110,0.498,0.09777181208053691,1.0,0.02236050088884415,,
147,cwm-selfplay_70-119,0.49760000000000004,0.09571395973154363,5.0,0.022360422178483125,0.018198584560344247,0.012992305415129373
138,cwm-selfplay_310-359,0.49760000000000004,0.09743959731543624,5.0,0.022360422178483125,0.01803298311428256,0.013221195104830727
135,cwm-selfplay_290-339,0.4972,0.09799597315436241,5.0,0.022360329156790155,0.017943921533488717,0.013341664064126334
25,cwm-baseline-320,0.496,0.08960402684563758,1.0,0.022359964221796064,,
20,cwm-baseline-280,0.496,0.10258053691275168,1.0,0.022359964221796064,,
146,cwm-selfplay_60-109,0.494,0.0948536912751678,5.0,0.02235906974809104,0.017920044642801534,0.013371611720357423
109,cwm-selfplay-50,0.494,0.090148322147651,1.0,0.02235906974809104,,
127,cwm-selfplay_210-259,0.4935,0.0924523489932886,4.0,0.02235879021771974,0.01831890189576511,0.012819256348686274
128,cwm-selfplay_220-269,0.493,0.09128406040268457,4.0,0.02235848832099344,0.018382110868994345,0.012727922061357855
130,cwm-selfplay_240-289,0.4925,0.0938536912751678,4.0,0.02235816405700611,0.018043119648959455,0.013203534880225572
31,cwm-baseline-380,0.492,0.09907718120805369,1.0,0.022357817424784557,,
10,cwm-baseline-190,0.492,0.09273355704697986,1.0,0.022357817424784557,,
80,cwm-selfplay-130,0.492,0.09959194630872484,1.0,0.022357817424784557,,
145,cwm-selfplay_50-99,0.49160000000000004,0.09368832214765101,5.0,0.022357524013181782,0.017918115972389508,0.013371611720357423
84,cwm-selfplay-170,0.49,0.09591409395973155,1.0,0.022356207191739835,,
6,cwm-baseline-150,0.49,0.09014295302013423,1.0,0.022356207191739835,,
23,cwm-baseline-300,0.49,0.08578724832214765,1.0,0.022356207191739835,,
133,cwm-selfplay_270-319,0.48960000000000004,0.09493530201342282,5.0,0.022355842189459112,0.017691344776471912,0.01366747965061591
134,cwm-selfplay_280-329,0.48919999999999997,0.09505610738255034,5.0,0.02235546286704885,0.0176342484954704,0.013740451229854135
60,cwm-baseline_280-329,0.48840000000000006,0.08953422818791947,5.0,0.022354661258896322,0.01827924724927151,0.012868566353716332
131,cwm-selfplay_250-299,0.4884,0.09275100671140939,5.0,0.022354661258896322,0.01784743342892753,0.013461054936371071
139,cwm-selfplay_320-369,0.488,0.09175087248322149,5.0,0.022354238971613417,0.01817998899889656,0.013007690033207278
102,cwm-selfplay-340,0.488,0.09641140939597315,1.0,0.022354238971613417,,
21,cwm-baseline-290,0.486,0.08675771812080536,1.0,0.022351912669836556,,
59,cwm-baseline_270-319,0.486,0.09041919463087249,5.0,0.022351912669836556,0.018022430468724246,0.013221195104830727
29,cwm-baseline-360,0.486,0.09169999999999999,1.0,0.022351912669836556,,
58,cwm-baseline_260-309,0.4852,0.09041906040268456,5.0,0.022350881861796863,0.01806548975256414,0.013160547101089682
69,cwm-baseline_360-409,0.4852,0.09069758389261745,5.0,0.022350881861796863,0.018252723632378814,0.01289961239727768
140,cwm-selfplay_330-379,0.4848,0.09162107382550336,5.0,0.02235034496378076,0.01793147846665188,0.013341664064126332
57,cwm-baseline_250-299,0.484,0.09156657718120806,5.0,0.022349228174592516,0.017705592336886105,0.013638181696985857
105,cwm-selfplay-370,0.484,0.09725637583892618,1.0,0.022349228174592516,,
98,cwm-selfplay-300,0.484,0.09384630872483221,1.0,0.022349228174592516,,
17,cwm-baseline-250,0.484,0.09169664429530201,1.0,0.022349228174592516,,
30,cwm-baseline-370,0.484,0.09299731543624161,1.0,0.022349228174592516,,
5,cwm-baseline-140,0.484,0.08661073825503356,1.0,0.022349228174592516,,
19,cwm-baseline-270,0.484,0.0941523489932886,1.0,0.022349228174592516,,
132,cwm-selfplay_260-309,0.484,0.09148724832214765,5.0,0.022349228174592516,0.017705592336886105,0.013638181696985857
34,cwm-baseline-400,0.484,0.09034362416107382,1.0,0.022349228174592516,,
144,cwm-selfplay_40-89,0.48280000000000006,0.08771395973154363,5.0,0.022347445491599255,0.018335984293186988,0.01277497553813705
14,cwm-baseline-220,0.482,0.09254295302013422,1.0,0.022346185356789647,,
7,cwm-baseline-160,0.482,0.0868241610738255,1.0,0.022346185356789647,,
104,cwm-selfplay-360,0.482,0.08611677852348994,1.0,0.022346185356789647,,
91,cwm-selfplay-230,0.482,0.08593221476510067,1.0,0.022346185356789647,,
90,cwm-selfplay-220,0.482,0.0833496644295302,1.0,0.022346185356789647,,
56,cwm-baseline_240-289,0.48160000000000003,0.09076268456375838,5.0,0.02234553378194399,0.017587577434086822,0.013784048752090222
143,cwm-selfplay_360-409,0.4815,0.08956795302013423,4.0,0.02234536864766388,0.01771013363397728,0.013625955623979799
136,cwm-selfplay_30-79,0.48120000000000007,0.0880786577181208,5.0,0.022344867867141214,0.018234393875311568,0.012915107432770353
44,cwm-baseline_130-179,0.48000000000000004,0.08459154362416108,5.0,0.022342784070030305,0.01835211159512714,0.012743625857659192
110,cwm-selfplay-60,0.48,0.09360469798657718,1.0,0.022342784070030305,,
4,cwm-baseline-130,0.48,0.08459865771812079,1.0,0.022342784070030305,,
68,cwm-baseline_350-399,0.48,0.08916953020134229,5.0,0.022342784070030305,0.018077610461562667,0.013130118049735882
32,cwm-baseline-390,0.48,0.08160335570469798,1.0,0.022342784070030305,,
43,cwm-baseline_120-169,0.47920000000000007,0.08392214765100671,5.0,0.02234132314792479,0.018459001056395224,0.01258570617804182
142,cwm-selfplay_350-399,0.4792,0.08825221476510067,5.0,0.022341323147924787,0.017672994087024416,0.01366747965061591
61,cwm-baseline_290-339,0.47880000000000006,0.08592040268456376,5.0,0.022340571165482766,0.018251058051521288,0.012884098726725126
53,cwm-baseline_210-259,0.4788,0.08726053691275168,5.0,0.022340571165482766,0.017919294628974656,0.013341664064126334
67,cwm-baseline_340-389,0.4784,0.08969973154362416,5.0,0.022339804833525292,0.0176484242922704,0.013696714934611148
55,cwm-baseline_230-279,0.478,0.08792040268456375,5.0,0.0223390241505756,0.01771530411819114,0.0136088206689632
50,cwm-baseline_190-239,0.478,0.08689503355704699,5.0,0.0223390241505756,0.0178838474607675,0.01338656042454521
15,cwm-baseline-230,0.478,0.08830469798657718,1.0,0.0223390241505756,,
54,cwm-baseline_220-269,0.47759999999999997,0.08760496644295301,5.0,0.022338229115129067,0.017781914407622144,0.013520355024924458
46,cwm-baseline_150-199,0.4772,0.08319248322147652,5.0,0.022337419725653184,0.0182691083526263,0.012853015210447705
141,cwm-selfplay_340-389,0.4768,0.08773543624161073,5.0,0.022336595980587553,0.017802345912828456,0.01349073756323204
13,cwm-baseline-210,0.476,0.08335570469798657,1.0,0.02233490541730589,,
63,cwm-baseline_300-349,0.476,0.08544657718120806,5.0,0.02233490541730589,0.018101049693318893,0.013084341787036899
45,cwm-baseline_140-189,0.4756,0.08197436241610738,5.0,0.02233403859582946,0.018330555910828238,0.012759310326189266
52,cwm-baseline_200-249,0.47440000000000004,0.08490993288590604,5.0,0.022331351951908333,0.01790779941813064,0.013341664064126332
24,cwm-baseline-310,0.474,0.08516442953020134,1.0,0.022330427671677047,,
1,cwm-baseline-100,0.474,0.07575369127516778,1.0,0.022330427671677047,,
16,cwm-baseline-240,0.474,0.08279194630872483,1.0,0.022330427671677047,,
49,cwm-baseline_180-229,0.474,0.08356778523489933,5.0,0.022330427671677047,0.018183728990501375,0.012961481396815723
42,cwm-baseline_110-159,0.4732,0.08067046979865772,5.0,0.02232853600216548,0.018378343777391913,0.012680693987317885
125,cwm-selfplay_20-69,0.4732,0.08478281879194631,5.0,0.02232853600216548,0.01796005345203627,0.013266499161421601
27,cwm-baseline-340,0.472,0.08445838926174497,1.0,0.02232559069767248,,
65,cwm-baseline_320-369,0.472,0.08611221476510067,5.0,0.02232559069767248,0.017664427531058007,0.01365283853270081
112,cwm-selfplay-80,0.472,0.08209530201342283,1.0,0.02232559069767248,,
96,cwm-selfplay-290,0.472,0.08901744966442954,1.0,0.02232559069767248,,
47,cwm-baseline_160-209,0.4716,0.08115261744966443,5.0,0.0223245801752239,0.018253407353149165,0.012853015210447705
48,cwm-baseline_170-219,0.4704,0.08045570469798657,5.0,0.02232146231768878,0.01821668685573752,0.01289961239727768
18,cwm-baseline-260,0.47,0.08514228187919463,1.0,0.022320394261750844,,
103,cwm-selfplay-350,0.47,0.0836275167785235,1.0,0.022320394261750844,,
41,cwm-baseline_100-149,0.47,0.0778269798657718,5.0,0.022320394261750844,0.018713631395322502,0.012165525060596441
64,cwm-baseline_310-359,0.4696,0.08480510067114094,5.0,0.022319311817347774,0.017656491157645112,0.01365283853270081
66,cwm-baseline_330-379,0.46959999999999996,0.08675758389261745,5.0,0.022319311817347774,0.017301782567122958,0.014099645385611653
114,cwm-selfplay_10-59,0.4664,0.07940402684563759,5.0,0.022310134020216015,0.018136760460457105,0.012992305415129373
108,cwm-selfplay-40,0.466,0.07678255033557048,1.0,0.022308921982023246,,
75,cwm-baseline_90-139,0.4656,0.07634791946308725,5.0,0.022307695533156265,0.018558913761316957,0.012377398757412643
8,cwm-baseline-170,0.464,0.07696107382550335,1.0,0.022302645582979615,,
97,cwm-selfplay-30,0.464,0.08396711409395974,1.0,0.022302645582979615,,
12,cwm-baseline-200,0.462,0.07994362416107383,1.0,0.022296008611408458,,
87,cwm-selfplay-20,0.462,0.0817738255033557,1.0,0.022296008611408458,,
36,cwm-baseline-60,0.462,0.0814986577181208,1.0,0.022296008611408458,,
39,cwm-baseline-90,0.462,0.07928523489932886,1.0,0.022296008611408458,,
95,cwm-selfplay-280,0.46,0.08252818791946309,1.0,0.022289010745208053,,
37,cwm-baseline-70,0.46,0.0785731543624161,1.0,0.022289010745208053,,
3,cwm-baseline-120,0.46,0.07356040268456376,1.0,0.022289010745208053,,
106,cwm-selfplay-380,0.46,0.07770805369127516,1.0,0.022289010745208053,,
72,cwm-baseline_60-109,0.4592,0.07723409395973155,5.0,0.022286110472668846,0.018029717690524163,0.01309961831505025
9,cwm-baseline-180,0.458,0.07151812080536912,1.0,0.022281651644346298,,
28,cwm-baseline-350,0.458,0.08278389261744966,1.0,0.022281651644346298,,
74,cwm-baseline_80-129,0.4572,0.07406536912751678,5.0,0.022278606778701398,0.018164149305706555,0.01289961239727768
73,cwm-baseline_70-119,0.4572,0.07507006711409396,5.0,0.022278606778701398,0.018186157373123107,0.012868566353716328
71,cwm-baseline_50-99,0.454,0.07803825503355705,5.0,0.022265848288354075,0.01782604835626786,0.013341664064126334
2,cwm-baseline-110,0.452,0.07059798657718121,1.0,0.022257403262734853,,
70,cwm-baseline_40-89,0.45080000000000003,0.07623261744966443,5.0,0.02225216214213801,0.017752710215626234,0.013416407864998738
62,cwm-baseline_30-79,0.4484,0.07545758389261745,5.0,0.02224128773250326,0.017637314988398885,0.01354990774876346
26,cwm-baseline-330,0.448,0.08451677852348993,1.0,0.02223942445298439,,
35,cwm-baseline-50,0.448,0.07986040268456376,1.0,0.02223942445298439,,
76,cwm-selfplay-10,0.446,0.06661409395973154,1.0,0.022229889788300795,,
33,cwm-baseline-40,0.446,0.07028389261744966,1.0,0.022229889788300795,,
51,cwm-baseline_20-69,0.44239999999999996,0.07320738255033557,5.0,0.022211809471540136,0.017428840466307563,0.013769531582446806
38,cwm-baseline-80,0.438,0.07336308724832215,1.0,0.02218810492133116,,
40,cwm-baseline_10-59,0.43320000000000003,0.07052496644295302,5.0,0.022160223825584434,0.017328459827693862,0.013813037319865606
11,cwm-baseline-20,0.43,0.06740268456375839,1.0,0.022140460699813815,,
22,cwm-baseline-30,0.426,0.06953624161073825,1.0,0.02211442967837968,,
0,cwm-baseline-10,0.416,0.06810268456375838,1.0,0.022042867327096993,,
