,model,step,example_id,pass1,benchmark_id,model_pref,correct,count,step_group_end
75000,cwm-baseline-10,10,instance_internetarchive__openlibrary-dbbd9d539c6d4fd45d5be9662aa19b6d664b5137-v08d8e8889ec945ab821fb156c04c7d2e2810debb,0.0,swebench-pro,cwm-baseline,0,1,
75001,cwm-baseline-10,10,instance_tutao__tutanota-40e94dee2bcec2b63f362da283123e9df1874cc1-vc4e41fd0029957297843cb9dec4a25c7c756f029,0.0,swebench-pro,cwm-baseline,0,1,
75002,cwm-baseline-10,10,instance_element-hq__element-web-1216285ed2e82e62f8780b6702aa0f9abdda0b34-vnan,0.0,swebench-pro,cwm-baseline,0,1,
75003,cwm-baseline-10,10,instance_future-architect__vuls-f6cc8c263dc00329786fa516049c60d4779c4a07,0.0,swebench-pro,cwm-baseline,0,1,
75004,cwm-baseline-10,10,instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,0.0,swebench-pro,cwm-baseline,0,1,
75005,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-0833b5f6f140d04200ec91605f88704dd18e2970-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,1.0,swebench-pro,cwm-baseline,1,1,
75006,cwm-baseline-10,10,instance_internetarchive__openlibrary-7cbfb812ef0e1f9716e2d6e85d538a96fcb79d13-vfa6ff903cb27f336e17654595dd900fa943dcd91,1.0,swebench-pro,cwm-baseline,1,1,
75007,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-fea33d607fde83cf505b228238cf365936437a63-v9f8e9d96c85c85a605e382f1510bd08563afc566,1.0,swebench-pro,cwm-baseline,1,1,
75008,cwm-baseline-10,10,instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,1.0,swebench-pro,cwm-baseline,1,1,
75009,cwm-baseline-10,10,instance_NodeBB__NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189-v0495b863a912fbff5749c67e860612b91825407c,0.0,swebench-pro,cwm-baseline,0,1,
75010,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-ec2dcfce9eee9f808efc17a1b99e227fc4421dea-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,0.0,swebench-pro,cwm-baseline,0,1,
75011,cwm-baseline-10,10,instance_ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1.0,swebench-pro,cwm-baseline,1,1,
75012,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-8f46ba3f6dc7b18375f7aa63c48a1fe461190430-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1.0,swebench-pro,cwm-baseline,1,1,
75013,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-85b867fe8d4378c8e371f055c70452f546055854-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1.0,swebench-pro,cwm-baseline,1,1,
75014,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-e5340c449f23608803c286da0563b62f58ba25b0-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,0.0,swebench-pro,cwm-baseline,0,1,
75015,cwm-baseline-10,10,instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,1.0,swebench-pro,cwm-baseline,1,1,
75016,cwm-baseline-10,10,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,1.0,swebench-pro,cwm-baseline,1,1,
75017,cwm-baseline-10,10,instance_internetarchive__openlibrary-6e889f4a733c9f8ce9a9bd2ec6a934413adcedb9-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,0.0,swebench-pro,cwm-baseline,0,1,
75018,cwm-baseline-10,10,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,1.0,swebench-pro,cwm-baseline,1,1,
75019,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-305e7c96d5e2fdb3b248b27dfb21042fb2b7e0b8-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.0,swebench-pro,cwm-baseline,0,1,
75020,cwm-baseline-10,10,instance_ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d-v0f01c69f1e2528b935359cfe578530722bca2c59,0.0,swebench-pro,cwm-baseline,0,1,
75021,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-44e64199ed38003253f0296badd4a447645067b6-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1.0,swebench-pro,cwm-baseline,1,1,
75022,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-f631cd4422744160d9dcf7a0455da532ce973315-v35616345bb8052ea303186706cec663146f0f184,0.0,swebench-pro,cwm-baseline,0,1,
75023,cwm-baseline-10,10,instance_ansible__ansible-9a21e247786ebd294dafafca1105fcd770ff46c6-v67cdaa49f89b34e42b69d5b7830b3c3ad3d8803f,0.0,swebench-pro,cwm-baseline,0,1,
75024,cwm-baseline-10,10,instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,1.0,swebench-pro,cwm-baseline,1,1,
75025,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-bf045f7ec7c27709ea3ef61cf41a24e8fdd2e7da-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,0.0,swebench-pro,cwm-baseline,0,1,
75026,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-473a15f7908f2bb6d670b0e908ab34a28d8cf7e2-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.0,swebench-pro,cwm-baseline,0,1,
75027,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-54bcdc1eefa86cc20790973d6997b60c3bba884c-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.0,swebench-pro,cwm-baseline,0,1,
75028,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-1a9e74bfaf9a9db2a510dc14572d33ded6040a57-v2ef375ac784985212b1805e1d0431dc8f1b3c171,1.0,swebench-pro,cwm-baseline,1,1,
75029,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-34a13afd36b5e529d553892b1cd8b9d5ce8881c4-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,0.0,swebench-pro,cwm-baseline,0,1,
75030,cwm-baseline-10,10,instance_ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,0.0,swebench-pro,cwm-baseline,0,1,
75031,cwm-baseline-10,10,instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,0.0,swebench-pro,cwm-baseline,0,1,
75032,cwm-baseline-10,10,instance_ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59,0.0,swebench-pro,cwm-baseline,0,1,
75033,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-cc360cd4a34a126274c7b51f3b63afbaf3e05a02-v5fc38aaf22415ab0b70567368332beee7955b367,0.0,swebench-pro,cwm-baseline,0,1,
75034,cwm-baseline-10,10,instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,1.0,swebench-pro,cwm-baseline,1,1,
75035,cwm-baseline-10,10,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,0.0,swebench-pro,cwm-baseline,0,1,
75036,cwm-baseline-10,10,instance_internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6-v08d8e8889ec945ab821fb156c04c7d2e2810debb,1.0,swebench-pro,cwm-baseline,1,1,
75037,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.0,swebench-pro,cwm-baseline,0,1,
75038,cwm-baseline-10,10,instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,1.0,swebench-pro,cwm-baseline,1,1,
75039,cwm-baseline-10,10,instance_qutebrowser__qutebrowser-36ade4bba504eb96f05d32ceab9972df7eb17bcc-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.0,swebench-pro,cwm-baseline,0,1,
75040,cwm-baseline-10,10,instance_ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263-v1055803c3a812189a1133297f7f5468579283f86,0.0,swebench-pro,cwm-baseline,0,1,
