,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,cwm-baseline-10,cwm-baseline-100,731.0,0.20930232558139536,0.25718194254445964,123.0,-35.0,0.015171732566907547,0.002045039581843465,,,0.015068026148389011,0.535867322174874,swebench-pro
1,cwm-baseline-10,cwm-baseline-110,731.0,0.20930232558139536,0.25170998632010944,113.0,-31.0,0.01454192313643591,0.004553556466032557,,,0.014457085589172008,0.5694083017573506,swebench-pro
2,cwm-baseline-10,cwm-baseline-120,731.0,0.20930232558139536,0.2694938440492476,110.0,-44.0,0.014347590262245575,3.296813651959348e-05,,,0.014173817274619017,0.5969675739791153,swebench-pro
3,cwm-baseline-10,cwm-baseline-130,731.0,0.20930232558139536,0.280437756497948,116.0,-52.0,0.01473369304277566,1.481143728223155e-06,,,0.014496873618070918,0.5845883765302584,swebench-pro
4,cwm-baseline-10,cwm-baseline-140,731.0,0.20930232558139536,0.27906976744186046,121.0,-51.0,0.015047879616963064,4.004113903707685e-06,,,0.014824978913475973,0.564541327124452,swebench-pro
5,cwm-baseline-10,cwm-baseline-150,731.0,0.20930232558139536,0.253077975376197,118.0,-32.0,0.01486016483064325,0.0041237038446994495,,,0.014771696283275218,0.551299476468682,swebench-pro
6,cwm-baseline-10,cwm-baseline-160,731.0,0.20930232558139536,0.2694938440492476,128.0,-44.0,0.015477029410375868,0.00012535822987511485,,,0.01531607616756472,0.5287578157476653,swebench-pro
7,cwm-baseline-10,cwm-baseline-170,731.0,0.20930232558139536,0.28317373461012313,136.0,-54.0,0.015953356757442683,4.170408807838569e-06,,,0.01571764918722466,0.5125685052994583,swebench-pro
8,cwm-baseline-10,cwm-baseline-180,731.0,0.20930232558139536,0.25718194254445964,117.0,-35.0,0.014797064057991749,0.0015572017627745842,,,0.01469071297327271,0.5589480849663789,swebench-pro
9,cwm-baseline-10,cwm-baseline-190,731.0,0.20930232558139536,0.2749658002735978,126.0,-48.0,0.015355639070207693,2.2819570016594486e-05,,,0.015162364720261477,0.5417304447879894,swebench-pro
10,cwm-baseline-10,cwm-baseline-20,731.0,0.20930232558139536,0.22024623803009577,120.0,-8.0,0.014985569288787035,0.522990983889995,,,0.01498010159936348,0.5136615308777555,swebench-pro
11,cwm-baseline-10,cwm-baseline-200,731.0,0.20930232558139536,0.26265389876880985,113.0,-39.0,0.01454192313643591,0.00030960246353573076,,,0.014407418146289307,0.5793111532519347,swebench-pro
12,cwm-baseline-10,cwm-baseline-210,731.0,0.20930232558139536,0.2954856361149111,127.0,-63.0,0.015416453720362032,1.935609019546314e-08,,,0.015083309331668737,0.5585900006794292,swebench-pro
13,cwm-baseline-10,cwm-baseline-220,731.0,0.20930232558139536,0.28864569083447333,126.0,-58.0,0.015355639070207693,2.364920722052491e-07,,,0.015072612730526055,0.5553700137414738,swebench-pro
14,cwm-baseline-10,cwm-baseline-230,731.0,0.20930232558139536,0.27906976744186046,125.0,-51.0,0.015294582609437687,5.833040213469515e-06,,,0.015075330046646029,0.5495473326424557,swebench-pro
15,cwm-baseline-10,cwm-baseline-240,731.0,0.20930232558139536,0.2763337893296854,133.0,-49.0,0.015776419418154303,2.589642959698437e-05,,,0.01558039594471171,0.5167651899109725,swebench-pro
16,cwm-baseline-10,cwm-baseline-250,731.0,0.20930232558139536,0.2722298221614227,124.0,-46.0,0.015233281430451497,4.410029455394906e-05,,,0.015054428071304225,0.5465840364393372,swebench-pro
17,cwm-baseline-10,cwm-baseline-260,731.0,0.20930232558139536,0.253077975376197,106.0,-32.0,0.01408430935839535,0.002440008379349039,,,0.013990935722617812,0.5977057619267302,swebench-pro
18,cwm-baseline-10,cwm-baseline-270,731.0,0.20930232558139536,0.2859097127222982,122.0,-56.0,0.015109932992048236,4.040347038076119e-07,,,0.014841892363062189,0.567508419249175,swebench-pro
19,cwm-baseline-10,cwm-baseline-280,731.0,0.20930232558139536,0.2763337893296854,129.0,-49.0,0.015537368935158068,1.9141845929673903e-05,,,0.015338290698891055,0.5318047182806319,swebench-pro
20,cwm-baseline-10,cwm-baseline-290,731.0,0.20930232558139536,0.27906976744186046,117.0,-51.0,0.014797064057991749,2.6732854862880627e-06,,,0.014570326817017733,0.5795353216064483,swebench-pro
21,cwm-baseline-10,cwm-baseline-30,731.0,0.20930232558139536,0.22982216142270862,109.0,-15.0,0.014282225046389261,0.17967107079467207,,,0.01426204549820505,0.5661875918696361,swebench-pro
22,cwm-baseline-10,cwm-baseline-300,731.0,0.20930232558139536,0.25991792065663477,129.0,-37.0,0.015537368935158068,0.0014292326992851557,,,0.015424173548199291,0.5154801490245804,swebench-pro
23,cwm-baseline-10,cwm-baseline-310,731.0,0.20930232558139536,0.2722298221614227,130.0,-46.0,0.015597475035555922,6.738406993240589e-05,,,0.015422845680986518,0.5239195103381884,swebench-pro
24,cwm-baseline-10,cwm-baseline-320,731.0,0.20930232558139536,0.28317373461012313,132.0,-54.0,0.015716997664946726,2.9270542670539947e-06,,,0.015477691033948273,0.5274959998662564,swebench-pro
25,cwm-baseline-10,cwm-baseline-330,731.0,0.20930232558139536,0.2777017783857729,120.0,-50.0,0.014985569288787035,5.732969902850976e-06,,,0.014770483080558382,0.5669654509116149,swebench-pro
26,cwm-baseline-10,cwm-baseline-340,731.0,0.20930232558139536,0.292749658002736,135.0,-61.0,0.01589459649606327,1.5020945707319435e-07,,,0.015592057734943921,0.5262502496856041,swebench-pro
27,cwm-baseline-10,cwm-baseline-350,731.0,0.20930232558139536,0.2777017783857729,124.0,-50.0,0.015233281430451497,8.274158969176748e-06,,,0.015021742464286978,0.5519488113124771,swebench-pro
28,cwm-baseline-10,cwm-baseline-360,731.0,0.20930232558139536,0.2818057455540356,133.0,-53.0,0.015776419418154303,4.950860259590813e-06,,,0.015546840154356444,0.5223607072406333,swebench-pro
29,cwm-baseline-10,cwm-baseline-370,731.0,0.20930232558139536,0.29411764705882354,128.0,-62.0,0.015477029410375868,3.81094538709223e-08,,,0.015155778445074321,0.5535093034625597,swebench-pro
30,cwm-baseline-10,cwm-baseline-380,731.0,0.20930232558139536,0.3023255813953488,130.0,-68.0,0.015597475035555922,1.7803381639606352e-09,,,0.015213269604224644,0.5545948347472182,swebench-pro
31,cwm-baseline-10,cwm-baseline-390,731.0,0.20930232558139536,0.28454172366621067,129.0,-55.0,0.015537368935158068,1.397144948615295e-06,,,0.015286127452408744,0.5400751859534882,swebench-pro
32,cwm-baseline-10,cwm-baseline-40,731.0,0.20930232558139536,0.253077975376197,116.0,-32.0,0.01473369304277566,0.0038069274291090776,,,0.01464446048750777,0.5590338573783571,swebench-pro
33,cwm-baseline-10,cwm-baseline-400,731.0,0.20930232558139536,0.31053351573187415,138.0,-74.0,0.01607023272841413,1.865139043673374e-10,,,0.015627973791135417,0.53406998680796,swebench-pro
34,cwm-baseline-10,cwm-baseline-50,731.0,0.20930232558139536,0.22982216142270862,117.0,-15.0,0.014797064057991749,0.19534905940457784,,,0.014777587565413829,0.5342163949551333,swebench-pro
