,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,astropy__astropy-12907,0.426,140,"['cwm-baseline-20' 'cwm-baseline-30' 'cwm-baseline-40' 'cwm-baseline-50'
 'cwm-baseline-60' 'cwm-baseline-70' 'cwm-baseline-80' 'cwm-baseline-90'
 'cwm-baseline-100' 'cwm-baseline-110' 'cwm-baseline-120'
 'cwm-baseline-130' 'cwm-baseline-140' 'cwm-baseline-150'
 'cwm-baseline-160' 'cwm-baseline-170' 'cwm-baseline-190'
 'cwm-baseline-200' 'cwm-baseline-210' 'cwm-baseline-220'
 'cwm-baseline-230' 'cwm-baseline-240' 'cwm-baseline-250'
 'cwm-baseline-260' 'cwm-baseline-270' 'cwm-baseline-280'
 'cwm-baseline-290' 'cwm-baseline-300' 'cwm-baseline-310'
 'cwm-baseline-320' 'cwm-baseline-330' 'cwm-baseline-340'
 'cwm-baseline-350' 'cwm-baseline-360' 'cwm-baseline-370'
 'cwm-baseline-380' 'cwm-baseline-400' 'cwm-selfplay-10' 'cwm-selfplay-20'
 'cwm-selfplay-30' 'cwm-selfplay-40' 'cwm-selfplay-50' 'cwm-selfplay-70'
 'cwm-selfplay-80' 'cwm-selfplay-100' 'cwm-selfplay-110'
 'cwm-selfplay-120' 'cwm-selfplay-130' 'cwm-selfplay-140'
 'cwm-selfplay-150' 'cwm-selfplay-170' 'cwm-selfplay-200'
 'cwm-selfplay-210' 'cwm-selfplay-220' 'cwm-selfplay-230'
 'cwm-selfplay-250' 'cwm-selfplay-260' 'cwm-selfplay-270'
 'cwm-selfplay-290' 'cwm-selfplay-310' 'cwm-selfplay-320'
 'cwm-selfplay-330' 'cwm-selfplay-340' 'cwm-selfplay-350'
 'cwm-selfplay-360' 'cwm-selfplay-370' 'cwm-selfplay-380'
 'cwm-selfplay-390' 'cwm-baseline_10-59' 'cwm-selfplay_10-59'
 'cwm-baseline_20-69' 'cwm-selfplay_20-69' 'cwm-baseline_30-79'
 'cwm-selfplay_30-79' 'cwm-baseline_40-89' 'cwm-selfplay_40-89'
 'cwm-baseline_50-99' 'cwm-selfplay_50-99' 'cwm-baseline_60-109'
 'cwm-selfplay_60-109' 'cwm-baseline_70-119' 'cwm-selfplay_70-119'
 'cwm-baseline_80-129' 'cwm-selfplay_80-129' 'cwm-baseline_90-139'
 'cwm-selfplay_90-139' 'cwm-baseline_100-149' 'cwm-selfplay_100-149'
 'cwm-baseline_110-159' 'cwm-selfplay_110-159' 'cwm-baseline_120-169'
 'cwm-selfplay_120-169' 'cwm-baseline_130-179' 'cwm-selfplay_130-179'
 'cwm-baseline_140-189' 'cwm-selfplay_140-189' 'cwm-baseline_150-199'
 'cwm-selfplay_150-199' 'cwm-baseline_160-209' 'cwm-selfplay_160-209'
 'cwm-baseline_170-219' 'cwm-selfplay_170-219' 'cwm-baseline_180-229'
 'cwm-selfplay_180-229' 'cwm-baseline_190-239' 'cwm-selfplay_190-239'
 'cwm-baseline_200-249' 'cwm-selfplay_200-249' 'cwm-baseline_210-259'
 'cwm-selfplay_210-259' 'cwm-baseline_220-269' 'cwm-selfplay_220-269'
 'cwm-baseline_230-279' 'cwm-selfplay_230-279' 'cwm-baseline_240-289'
 'cwm-selfplay_240-289' 'cwm-baseline_250-299' 'cwm-selfplay_250-299'
 'cwm-baseline_260-309' 'cwm-selfplay_260-309' 'cwm-baseline_270-319'
 'cwm-selfplay_270-319' 'cwm-baseline_280-329' 'cwm-selfplay_280-329'
 'cwm-baseline_290-339' 'cwm-selfplay_290-339' 'cwm-baseline_300-349'
 'cwm-selfplay_300-349' 'cwm-baseline_310-359' 'cwm-selfplay_310-359'
 'cwm-baseline_320-369' 'cwm-selfplay_320-369' 'cwm-baseline_330-379'
 'cwm-selfplay_330-379' 'cwm-baseline_340-389' 'cwm-selfplay_340-389'
 'cwm-baseline_350-399' 'cwm-selfplay_350-399' 'cwm-baseline_360-409'
 'cwm-selfplay_360-409']",0.8756666666666666,0.9333333333333333,-0.2017109434808922,astropy__astropy-12907
1,astropy__astropy-13033,,0,[],0.0,0.0,,astropy__astropy-13033
2,astropy__astropy-13236,0.448,44,"['cwm-baseline-190' 'cwm-baseline-210' 'cwm-baseline-280'
 'cwm-baseline-330' 'cwm-selfplay-60' 'cwm-selfplay-70' 'cwm-selfplay-160'
 'cwm-selfplay-290' 'cwm-selfplay-390' 'cwm-selfplay_20-69'
 'cwm-selfplay_30-79' 'cwm-selfplay_40-89' 'cwm-selfplay_50-99'
 'cwm-selfplay_60-109' 'cwm-selfplay_70-119' 'cwm-selfplay_120-169'
 'cwm-selfplay_130-179' 'cwm-selfplay_140-189' 'cwm-baseline_150-199'
 'cwm-selfplay_150-199' 'cwm-baseline_160-209' 'cwm-selfplay_160-209'
 'cwm-baseline_170-219' 'cwm-baseline_180-229' 'cwm-baseline_190-239'
 'cwm-baseline_200-249' 'cwm-baseline_210-259' 'cwm-baseline_240-289'
 'cwm-baseline_250-299' 'cwm-selfplay_250-299' 'cwm-baseline_260-309'
 'cwm-selfplay_260-309' 'cwm-baseline_270-319' 'cwm-selfplay_270-319'
 'cwm-baseline_280-329' 'cwm-selfplay_280-329' 'cwm-baseline_290-339'
 'cwm-selfplay_290-339' 'cwm-baseline_300-349' 'cwm-baseline_310-359'
 'cwm-baseline_320-369' 'cwm-baseline_330-379' 'cwm-selfplay_350-399'
 'cwm-selfplay_360-409']",0.11633333333333333,0.29333333333333333,0.07900965431636686,astropy__astropy-13236
3,astropy__astropy-13398,,0,[],0.0,0.0,,astropy__astropy-13398
4,astropy__astropy-13453,0.426,134,"['cwm-baseline-20' 'cwm-baseline-30' 'cwm-baseline-50' 'cwm-baseline-70'
 'cwm-baseline-80' 'cwm-baseline-100' 'cwm-baseline-110'
 'cwm-baseline-120' 'cwm-baseline-130' 'cwm-baseline-140'
 'cwm-baseline-160' 'cwm-baseline-170' 'cwm-baseline-180'
 'cwm-baseline-200' 'cwm-baseline-210' 'cwm-baseline-240'
 'cwm-baseline-250' 'cwm-baseline-260' 'cwm-baseline-270'
 'cwm-baseline-280' 'cwm-baseline-290' 'cwm-baseline-300'
 'cwm-baseline-310' 'cwm-baseline-320' 'cwm-baseline-340'
 'cwm-baseline-350' 'cwm-baseline-360' 'cwm-baseline-370'
 'cwm-baseline-380' 'cwm-baseline-390' 'cwm-baseline-400'
 'cwm-selfplay-10' 'cwm-selfplay-20' 'cwm-selfplay-40' 'cwm-selfplay-50'
 'cwm-selfplay-60' 'cwm-selfplay-70' 'cwm-selfplay-80' 'cwm-selfplay-100'
 'cwm-selfplay-110' 'cwm-selfplay-120' 'cwm-selfplay-130'
 'cwm-selfplay-150' 'cwm-selfplay-160' 'cwm-selfplay-180'
 'cwm-selfplay-210' 'cwm-selfplay-220' 'cwm-selfplay-230'
 'cwm-selfplay-250' 'cwm-selfplay-260' 'cwm-selfplay-270'
 'cwm-selfplay-280' 'cwm-selfplay-290' 'cwm-selfplay-300'
 'cwm-selfplay-310' 'cwm-selfplay-320' 'cwm-selfplay-340'
 'cwm-selfplay-350' 'cwm-selfplay-360' 'cwm-selfplay-370'
 'cwm-selfplay-380' 'cwm-selfplay-390' 'cwm-baseline_10-59'
 'cwm-selfplay_10-59' 'cwm-baseline_20-69' 'cwm-selfplay_20-69'
 'cwm-baseline_30-79' 'cwm-selfplay_30-79' 'cwm-baseline_40-89'
 'cwm-selfplay_40-89' 'cwm-baseline_50-99' 'cwm-selfplay_50-99'
 'cwm-baseline_60-109' 'cwm-selfplay_60-109' 'cwm-baseline_70-119'
 'cwm-selfplay_70-119' 'cwm-baseline_80-129' 'cwm-selfplay_80-129'
 'cwm-baseline_90-139' 'cwm-selfplay_90-139' 'cwm-baseline_100-149'
 'cwm-selfplay_100-149' 'cwm-baseline_110-159' 'cwm-selfplay_110-159'
 'cwm-baseline_120-169' 'cwm-selfplay_120-169' 'cwm-baseline_130-179'
 'cwm-selfplay_130-179' 'cwm-baseline_140-189' 'cwm-selfplay_140-189'
 'cwm-baseline_150-199' 'cwm-selfplay_150-199' 'cwm-baseline_160-209'
 'cwm-selfplay_160-209' 'cwm-baseline_170-219' 'cwm-selfplay_170-219'
 'cwm-baseline_180-229' 'cwm-selfplay_180-229' 'cwm-baseline_190-239'
 'cwm-selfplay_190-239' 'cwm-baseline_200-249' 'cwm-selfplay_200-249'
 'cwm-baseline_210-259' 'cwm-selfplay_210-259' 'cwm-baseline_220-269'
 'cwm-selfplay_220-269' 'cwm-baseline_230-279' 'cwm-selfplay_230-279'
 'cwm-baseline_240-289' 'cwm-selfplay_240-289' 'cwm-baseline_250-299'
 'cwm-selfplay_250-299' 'cwm-baseline_260-309' 'cwm-selfplay_260-309'
 'cwm-baseline_270-319' 'cwm-selfplay_270-319' 'cwm-baseline_280-329'
 'cwm-selfplay_280-329' 'cwm-baseline_290-339' 'cwm-selfplay_290-339'
 'cwm-baseline_300-349' 'cwm-selfplay_300-349' 'cwm-baseline_310-359'
 'cwm-selfplay_310-359' 'cwm-baseline_320-369' 'cwm-selfplay_320-369'
 'cwm-baseline_330-379' 'cwm-selfplay_330-379' 'cwm-baseline_340-389'
 'cwm-selfplay_340-389' 'cwm-baseline_350-399' 'cwm-selfplay_350-399'
 'cwm-baseline_360-409' 'cwm-selfplay_360-409']",0.7956666666666666,0.8933333333333333,0.0083761585166264,astropy__astropy-13453
5,astropy__astropy-13579,0.416,121,"['cwm-baseline-10' 'cwm-baseline-30' 'cwm-baseline-40' 'cwm-baseline-60'
 'cwm-baseline-70' 'cwm-baseline-90' 'cwm-baseline-100' 'cwm-baseline-110'
 'cwm-baseline-130' 'cwm-baseline-140' 'cwm-baseline-150'
 'cwm-baseline-160' 'cwm-baseline-170' 'cwm-baseline-190'
 'cwm-baseline-200' 'cwm-baseline-210' 'cwm-baseline-240'
 'cwm-baseline-250' 'cwm-baseline-260' 'cwm-baseline-300'
 'cwm-baseline-320' 'cwm-baseline-350' 'cwm-baseline-360'
 'cwm-baseline-370' 'cwm-baseline-380' 'cwm-baseline-390'
 'cwm-selfplay-10' 'cwm-selfplay-30' 'cwm-selfplay-40' 'cwm-selfplay-50'
 'cwm-selfplay-60' 'cwm-selfplay-70' 'cwm-selfplay-80' 'cwm-selfplay-120'
 'cwm-selfplay-140' 'cwm-selfplay-150' 'cwm-selfplay-170'
 'cwm-selfplay-180' 'cwm-selfplay-190' 'cwm-selfplay-210'
 'cwm-selfplay-260' 'cwm-selfplay-290' 'cwm-selfplay-310'
 'cwm-selfplay-320' 'cwm-selfplay-330' 'cwm-selfplay-360'
 'cwm-selfplay-370' 'cwm-selfplay-380' 'cwm-selfplay-390'
 'cwm-baseline_10-59' 'cwm-selfplay_10-59' 'cwm-baseline_20-69'
 'cwm-selfplay_20-69' 'cwm-baseline_30-79' 'cwm-selfplay_30-79'
 'cwm-baseline_40-89' 'cwm-selfplay_40-89' 'cwm-baseline_50-99'
 'cwm-selfplay_50-99' 'cwm-baseline_60-109' 'cwm-selfplay_60-109'
 'cwm-baseline_70-119' 'cwm-selfplay_70-119' 'cwm-baseline_80-129'
 'cwm-selfplay_80-129' 'cwm-baseline_90-139' 'cwm-selfplay_90-139'
 'cwm-baseline_100-149' 'cwm-selfplay_100-149' 'cwm-baseline_110-159'
 'cwm-selfplay_110-159' 'cwm-baseline_120-169' 'cwm-selfplay_120-169'
 'cwm-baseline_130-179' 'cwm-selfplay_130-179' 'cwm-baseline_140-189'
 'cwm-selfplay_140-189' 'cwm-baseline_150-199' 'cwm-selfplay_150-199'
 'cwm-baseline_160-209' 'cwm-selfplay_160-209' 'cwm-baseline_170-219'
 'cwm-selfplay_170-219' 'cwm-baseline_180-229' 'cwm-selfplay_180-229'
 'cwm-baseline_190-239' 'cwm-selfplay_190-239' 'cwm-baseline_200-249'
 'cwm-selfplay_200-249' 'cwm-baseline_210-259' 'cwm-selfplay_210-259'
 'cwm-baseline_220-269' 'cwm-selfplay_220-269' 'cwm-baseline_230-279'
 'cwm-selfplay_230-279' 'cwm-baseline_240-289' 'cwm-selfplay_240-289'
 'cwm-baseline_250-299' 'cwm-selfplay_250-299' 'cwm-baseline_260-309'
 'cwm-selfplay_260-309' 'cwm-baseline_270-319' 'cwm-selfplay_270-319'
 'cwm-baseline_280-329' 'cwm-selfplay_280-329' 'cwm-baseline_290-339'
 'cwm-selfplay_290-339' 'cwm-baseline_300-349' 'cwm-selfplay_300-349'
 'cwm-baseline_310-359' 'cwm-selfplay_310-359' 'cwm-baseline_320-369'
 'cwm-selfplay_320-369' 'cwm-baseline_330-379' 'cwm-selfplay_330-379'
 'cwm-baseline_340-389' 'cwm-selfplay_340-389' 'cwm-baseline_350-399'
 'cwm-selfplay_350-399' 'cwm-baseline_360-409' 'cwm-selfplay_360-409']",0.6216666666666667,0.8066666666666666,-0.055033038927096566,astropy__astropy-13579
6,astropy__astropy-13977,,0,[],0.0,0.0,,astropy__astropy-13977
7,astropy__astropy-14096,0.416,103,"['cwm-baseline-10' 'cwm-baseline-30' 'cwm-baseline-40' 'cwm-baseline-50'
 'cwm-baseline-70' 'cwm-baseline-110' 'cwm-baseline-120'
 'cwm-baseline-140' 'cwm-baseline-180' 'cwm-baseline-260'
 'cwm-baseline-280' 'cwm-baseline-330' 'cwm-baseline-340'
 'cwm-baseline-350' 'cwm-selfplay-30' 'cwm-selfplay-40' 'cwm-selfplay-60'
 'cwm-selfplay-70' 'cwm-selfplay-90' 'cwm-selfplay-100' 'cwm-selfplay-110'
 'cwm-selfplay-130' 'cwm-selfplay-150' 'cwm-selfplay-160'
 'cwm-selfplay-200' 'cwm-selfplay-230' 'cwm-selfplay-250'
 'cwm-selfplay-270' 'cwm-selfplay-290' 'cwm-selfplay-310'
 'cwm-selfplay-320' 'cwm-selfplay-330' 'cwm-selfplay-340'
 'cwm-selfplay-370' 'cwm-selfplay-390' 'cwm-baseline_10-59'
 'cwm-selfplay_10-59' 'cwm-baseline_20-69' 'cwm-selfplay_20-69'
 'cwm-baseline_30-79' 'cwm-selfplay_30-79' 'cwm-baseline_40-89'
 'cwm-selfplay_40-89' 'cwm-baseline_50-99' 'cwm-selfplay_50-99'
 'cwm-baseline_60-109' 'cwm-selfplay_60-109' 'cwm-baseline_70-119'
 'cwm-selfplay_70-119' 'cwm-baseline_80-129' 'cwm-selfplay_80-129'
 'cwm-baseline_90-139' 'cwm-selfplay_90-139' 'cwm-baseline_100-149'
 'cwm-selfplay_100-149' 'cwm-baseline_110-159' 'cwm-selfplay_110-159'
 'cwm-baseline_120-169' 'cwm-selfplay_120-169' 'cwm-baseline_130-179'
 'cwm-selfplay_130-179' 'cwm-baseline_140-189' 'cwm-selfplay_140-189'
 'cwm-baseline_150-199' 'cwm-selfplay_150-199' 'cwm-baseline_160-209'
 'cwm-selfplay_160-209' 'cwm-baseline_170-219' 'cwm-selfplay_170-219'
 'cwm-baseline_180-229' 'cwm-selfplay_180-229' 'cwm-selfplay_190-239'
 'cwm-selfplay_200-249' 'cwm-selfplay_210-259' 'cwm-baseline_220-269'
 'cwm-selfplay_220-269' 'cwm-baseline_230-279' 'cwm-selfplay_230-279'
 'cwm-baseline_240-289' 'cwm-selfplay_240-289' 'cwm-baseline_250-299'
 'cwm-selfplay_250-299' 'cwm-baseline_260-309' 'cwm-selfplay_260-309'
 'cwm-baseline_270-319' 'cwm-selfplay_270-319' 'cwm-baseline_280-329'
 'cwm-selfplay_280-329' 'cwm-baseline_290-339' 'cwm-selfplay_290-339'
 'cwm-baseline_300-349' 'cwm-selfplay_300-349' 'cwm-baseline_310-359'
 'cwm-selfplay_310-359' 'cwm-baseline_320-369' 'cwm-selfplay_320-369'
 'cwm-baseline_330-379' 'cwm-selfplay_330-379' 'cwm-baseline_340-389'
 'cwm-selfplay_340-389' 'cwm-baseline_350-399' 'cwm-selfplay_350-399'
 'cwm-selfplay_360-409']",0.4523333333333333,0.6866666666666666,0.06066643949585454,astropy__astropy-14096
8,astropy__astropy-14182,0.47880000000000006,6,"['cwm-baseline-290' 'cwm-baseline_250-299' 'cwm-baseline_260-309'
 'cwm-baseline_270-319' 'cwm-baseline_280-329' 'cwm-baseline_290-339']",0.013333333333333334,0.04,0.04098569897015244,astropy__astropy-14182
9,astropy__astropy-14309,0.416,150,"['cwm-baseline-10' 'cwm-baseline-20' 'cwm-baseline-30' 'cwm-baseline-40'
 'cwm-baseline-50' 'cwm-baseline-60' 'cwm-baseline-70' 'cwm-baseline-80'
 'cwm-baseline-90' 'cwm-baseline-100' 'cwm-baseline-110'
 'cwm-baseline-120' 'cwm-baseline-130' 'cwm-baseline-140'
 'cwm-baseline-150' 'cwm-baseline-160' 'cwm-baseline-170'
 'cwm-baseline-180' 'cwm-baseline-190' 'cwm-baseline-200'
 'cwm-baseline-210' 'cwm-baseline-220' 'cwm-baseline-230'
 'cwm-baseline-240' 'cwm-baseline-250' 'cwm-baseline-260'
 'cwm-baseline-270' 'cwm-baseline-280' 'cwm-baseline-290'
 'cwm-baseline-300' 'cwm-baseline-310' 'cwm-baseline-320'
 'cwm-baseline-330' 'cwm-baseline-340' 'cwm-baseline-350'
 'cwm-baseline-360' 'cwm-baseline-370' 'cwm-baseline-380'
 'cwm-baseline-390' 'cwm-baseline-400' 'cwm-selfplay-10' 'cwm-selfplay-20'
 'cwm-selfplay-30' 'cwm-selfplay-40' 'cwm-selfplay-50' 'cwm-selfplay-60'
 'cwm-selfplay-70' 'cwm-selfplay-80' 'cwm-selfplay-90' 'cwm-selfplay-100'
 'cwm-selfplay-110' 'cwm-selfplay-120' 'cwm-selfplay-130'
 'cwm-selfplay-140' 'cwm-selfplay-150' 'cwm-selfplay-160'
 'cwm-selfplay-170' 'cwm-selfplay-180' 'cwm-selfplay-190'
 'cwm-selfplay-200' 'cwm-selfplay-210' 'cwm-selfplay-220'
 'cwm-selfplay-230' 'cwm-selfplay-250' 'cwm-selfplay-260'
 'cwm-selfplay-270' 'cwm-selfplay-280' 'cwm-selfplay-290'
 'cwm-selfplay-300' 'cwm-selfplay-310' 'cwm-selfplay-320'
 'cwm-selfplay-330' 'cwm-selfplay-340' 'cwm-selfplay-350'
 'cwm-selfplay-360' 'cwm-selfplay-370' 'cwm-selfplay-380'
 'cwm-selfplay-390' 'cwm-baseline_10-59' 'cwm-selfplay_10-59'
 'cwm-baseline_20-69' 'cwm-selfplay_20-69' 'cwm-baseline_30-79'
 'cwm-selfplay_30-79' 'cwm-baseline_40-89' 'cwm-selfplay_40-89'
 'cwm-baseline_50-99' 'cwm-selfplay_50-99' 'cwm-baseline_60-109'
 'cwm-selfplay_60-109' 'cwm-baseline_70-119' 'cwm-selfplay_70-119'
 'cwm-baseline_80-129' 'cwm-selfplay_80-129' 'cwm-baseline_90-139'
 'cwm-selfplay_90-139' 'cwm-baseline_100-149' 'cwm-selfplay_100-149'
 'cwm-baseline_110-159' 'cwm-selfplay_110-159' 'cwm-baseline_120-169'
 'cwm-selfplay_120-169' 'cwm-baseline_130-179' 'cwm-selfplay_130-179'
 'cwm-baseline_140-189' 'cwm-selfplay_140-189' 'cwm-baseline_150-199'
 'cwm-selfplay_150-199' 'cwm-baseline_160-209' 'cwm-selfplay_160-209'
 'cwm-baseline_170-219' 'cwm-selfplay_170-219' 'cwm-baseline_180-229'
 'cwm-selfplay_180-229' 'cwm-baseline_190-239' 'cwm-selfplay_190-239'
 'cwm-baseline_200-249' 'cwm-selfplay_200-249' 'cwm-baseline_210-259'
 'cwm-selfplay_210-259' 'cwm-baseline_220-269' 'cwm-selfplay_220-269'
 'cwm-baseline_230-279' 'cwm-selfplay_230-279' 'cwm-baseline_240-289'
 'cwm-selfplay_240-289' 'cwm-baseline_250-299' 'cwm-selfplay_250-299'
 'cwm-baseline_260-309' 'cwm-selfplay_260-309' 'cwm-baseline_270-319'
 'cwm-selfplay_270-319' 'cwm-baseline_280-329' 'cwm-selfplay_280-329'
 'cwm-baseline_290-339' 'cwm-selfplay_290-339' 'cwm-baseline_300-349'
 'cwm-selfplay_300-349' 'cwm-baseline_310-359' 'cwm-selfplay_310-359'
 'cwm-baseline_320-369' 'cwm-selfplay_320-369' 'cwm-baseline_330-379'
 'cwm-selfplay_330-379' 'cwm-baseline_340-389' 'cwm-selfplay_340-389'
 'cwm-baseline_350-399' 'cwm-selfplay_350-399' 'cwm-baseline_360-409'
 'cwm-selfplay_360-409']",1.0,1.0,,astropy__astropy-14309
